證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨折讓,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
3588,2014年01月01日至2014年03月31日,,,,                256527,                256527,,                252028,                252028,,,                159808,                159808,                159808,                 92220,,                 92220,,,                  6791,,                 17583,,                 41880,                 66254,                 25966,,,,                  3347,                  3347,,                  2411,                  5758,                 31724,,                  4715,                 27009,                 27009,,,                     45,                   -485,                   -440,                   -440,                 26569,,                 27009,,                 26569,,                              0.60,,                              0.59,                  4499,                              0,                              0,,,,
3588,2013年第3季,,,,                290483,                290483,                  5439,                285044,                285044,,,                183706,                183706,                183706,                101338,                              0,                101338,,,                  6735,,                 16677,,                 43287,                 66699,                 34639,,,,                  3377,                  3377,,                 -3046,                    331,                 34970,,                  9422,                 25548,                 25548,,,,,,                   -105,                 25443,,                 25548,,                 25443,,                              0.57,,                              0.56,,,,,                   -105,                              0,
3588,2013年第2季,,,,                277764,                277764,                              0,                269636,                269636,,,                169462,                169462,                169462,                100174,,                100174,,,                  7037,,                 18123,,                 43537,                 68697,                 31477,,,,                  3149,                  3149,,                  3572,                  6721,                 38198,,                  5774,                 32424,                 32424,,,,,,                    146,                 32570,,                 32424,,                 32570,,                              0.72,,                              0.71,                  8128,,,,                    146,                              0,
3588,2013年度,,,,              1086159,              1086159,                    103,              1061958,              1061958,,,                676735,                676735,                676735,                385223,,                385223,,,                 28452,,                 67765,,                170037,                266254,                118969,,,,,                 12472,,                 12774,                 25246,                144215,,                 31112,                113103,                113103,,,,,,                   -171,                112932,,                113103,,                112932,,                              2.51,,                              2.47,                 24098,,,                 31112,                    595,                    224,                   -990
3588,2013年07月01日至2013年09月30日,,,,                290483,                290483,                  5439,                285044,                285044,,,                183706,                183706,                183706,                101338,                              0,                101338,,,                  6735,,                 16677,,                 43287,                 66699,                 34639,,,,                  3377,                  3377,,                 -3046,                    331,                 34970,,                  9422,                 25548,                 25548,,,,,,                   -105,                 25443,,                 25548,,                 25443,,                              0.57,,                              0.56,,,,,                   -105,,
3588,2013年04月01日至2013年06月30日,,,,                277764,                277764,                              0,                269636,                269636,,,                169462,                169462,                169462,                100174,,                100174,,,                  7037,,                 18123,,                 43537,                 68697,                 31477,,,,                  3149,                  3149,,                  3572,                  6721,                 38198,,                  5774,                 32424,                 32424,,,,,,                    146,                 32570,,                 32424,,                 32570,,                              0.72,,                              0.71,                  8128,,,,                    146,,
3588,2013年01月01日至2013年12月31日,,,,              1086159,              1086159,                    103,              1061958,              1061958,,,                676735,                676735,                676735,                385223,,                385223,,,                 28452,,                 67765,,                170037,                266254,                118969,,,,,                 12472,,                 12774,                 25246,                144215,,                 31112,                113103,                113103,,,,,,                   -171,                112932,,                113103,,                112932,,                              2.51,,                              2.47,                 24098,,,                 31112,                    595,                    224,                   -990
3588,2013年01月01日至2013年09月30日,,,,                810626,                810626,                 20465,                790161,                790161,,,                500240,                500240,                500240,                289921,                              0,                289921,,,                 21146,,                 51729,,                126327,                199202,                 90719,,,,                  9347,                  9347,,                  7621,                 16968,                107687,,                 20508,                 87179,                 87179,,,,,,                    467,                 87646,,                 87179,,                 87646,,                              1.94,,                              1.90,,,,,                    467,                              0,
3588,2013年01月01日至2013年06月30日,,,,                520143,                520143,                              0,                505117,                505117,,,                316534,                316534,                316534,                188583,,                188583,,,                 14411,,                 35052,,                 83040,                132503,                 56080,,,,                  5970,                  5970,,                 10667,                 16637,                 72717,,                 11086,                 61631,                 61631,,,,,,                    572,                 62203,,                 61631,,                 62203,,                              1.37,,                              1.35,                 15026,,,,                    572,                              0,
3588,2013年01月01日至2013年03月31日,,,,                242379,                242379,,                235481,                235481,,,                147072,                147072,                147072,                 88409,,                 88409,,,                  7374,,                 16929,,                 39503,                 63806,                 24603,,,,                  2821,                  2821,,                  7095,                  9916,                 34519,,                  5312,                 29207,                 29207,,,,,,                    426,                 29633,,                 29207,,                 29633,,                              0.65,,                              0.64,                  6898,                              0,                              0,,                    426,                              0,
3588,2012年07月01日至2012年09月30日,,,,                310837,                310837,                  5465,                305372,                305372,,,                191858,                191858,                191858,                113514,                              0,                113514,,,                 12778,,                 20129,,                 38637,                 71544,                 41970,,,,                  2734,                  2734,,                    154,                  2888,                 44858,,                  6365,                 38493,                 38493,,,,,,                   -359,                 38134,,                 38493,,                 38134,,                              0.86,,                              0.84,,,,,                   -359,,
3588,2012年04月01日至2012年06月30日,,,,                292717,                292717,                    303,                287804,                287804,,,                176512,                176512,                176512,                111292,,                111292,,,                  9567,,                 17784,,                 42624,                 69975,                 41317,,,,                  2803,                  2803,,                  2394,                  5197,                 46514,,                  5445,                 41069,                 41069,,,,,,                    311,                 41380,,                 41069,,                 41380,,                              0.92,,                              0.88,                  4610,,,,                    311,,
3588,2012年01月01日至2012年12月31日,,,,              1102989,              1102989,                    542,              1082371,              1082371,,,                679115,                679115,                679115,                403256,,                403256,,,                 36998,,                 67144,,                164311,                268453,                134803,,,,,                 10737,,                    194,                 10931,                145734,,                 23790,                121944,                121944,,,,,,                  1251,                123195,,                121944,,                123195,,                              2.73,,                              2.66,                 20076,,,                 23790,                   -909,                              0,                  2160
3588,2012年01月01日至2012年09月30日,,,,                858270,                858270,                 15018,                843252,                843252,,,                526930,                526930,                526930,                316322,                              0,                316322,,,                 31231,,                 52775,,                118949,                202955,                113367,,,,                  8126,                  8126,,                 -1807,                  6319,                119686,,                 13517,                106169,                106169,,,,,,                   -791,                105378,,                106169,,                105378,,                              2.38,,                              2.31,,,,,                   -791,,
3588,2012年01月01日至2012年06月30日,,,,                547433,                547433,                    303,                537880,                537880,,,                335072,                335072,                335072,                202808,,                202808,,,                 18453,,                 32646,,                 80312,                131411,                 71397,,,,                  5392,                  5392,,                 -1961,                  3431,                 74828,,                  7152,                 67676,                 67676,,,,,,                   -432,                 67244,,                 67676,,                 67244,,                              1.52,,                              1.45,                  9250,,,,                   -432,,
3588,2012年01月01日至2012年03月31日,,,,                254716,                254716,,                250076,                250076,,,                158560,                158560,                158560,                 91516,,                 91516,,,                  8886,,                 14862,,                 37688,                 61436,                 30080,,,,                  2589,                  2589,,                 -4355,                 -1766,                 28314,,                  1707,                 26607,                 26607,,,,,,                   -743,                 25864,,                 26607,,                 25864,,                              0.60,,                              0.57,                  4640,                              0,                              0,,                   -743,,
