證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　　　 銷貨收入,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
1108,2014年01月01日至2014年03月31日,,              1219347,,              1052909,                166438,                166438,,,                 31110,,                 32359,                 63469,,,,                102969,,,,                    639,                  2385,,                  1176,                  4200,,                     22,                 -2084,                  3284,,,                              0,                 -5346,,                 15444,                 15444,                -16590,                 86379,,                 17869,                 68510,,,                 68510,,,                  5921,                  6210,                 12131,                 12131,                 80641,,                 73015,                 -4505,,                 82881,                 -2240,,                              0.18,,                              0.18,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,
1108,2013年第3季,,              1195803,,              1040150,                155653,                155653,,,                 33140,,                 38573,                 71713,,,,                 83940,,,,                    517,                  2100,,                  3383,                  6000,,                 -2750,                  3801,                  6508,,,,                 -5457,,                 16981,                 16981,                -16438,                 67502,,                 14486,                 53016,,,                 53016,,,,,,                    278,                 53294,,                 55302,                 -2286,,                 55301,                 -2007,,                              0.14,,                              0.14,,,,,,,,                    489,                   -211,,,,              1197527,                  1724,              1195803,,,,,,,,,,
1108,2013年第2季,,              1121734,,                981797,                139937,                139937,,,                 33250,,                 35350,                 68600,,,                              0,                 71337,,,,                    684,                  2100,,                  4649,                  7433,,                              0,                 -1975,                  6226,,,,                 -8201,,                 17444,                 17444,                -18212,                 53125,,                 10901,                 42224,,                              0,                 42224,,,,,,                -18972,                 23252,,                 46151,                 -3927,,                 27300,                 -4048,,                              0.11,,                              0.11,,,,,,,,                 -1154,                -17818,,,,              1124747,                  3013,              1121734,              1124747,                              0,                              0,                              0,,                              0,,                              0,,                              0
1108,2013年度,,              4869590,,              4327188,                542402,                542402,,,                122108,,                149163,                271271,,,,                271131,,,,                  2662,                  8367,,                 27598,                 38627,,                 15647,                 -4792,                 39556,,,,                -28701,,                 69349,                 69349,                -59423,                211708,,                 48891,                162817,,,                162817,,,,,,                -10140,                152677,,                179445,                -16628,,                171043,                -18366,,                              0.44,,                              0.44,,,,,,,,                 -7152,                 -7850,                  4862,,,,,,,,,,,,,,,
1108,2013年07月01日至2013年09月30日,,              1195803,,              1040150,                155653,                155653,,,                 33140,,                 38573,                 71713,,,,                 83940,,,,                    517,                  2100,,                  3383,                  6000,,                 -2750,                  3801,                  6508,,,,                 -5457,,                 16981,                 16981,                -16438,                 67502,,                 14486,                 53016,,,                 53016,,,,,,                    278,                 53294,,                 55302,                 -2286,,                 55301,                 -2007,,                              0.14,,                              0.14,,,,,,,,                    489,                   -211,,,,              1197527,                  1724,              1195803,,,,                              0,,,,,,
1108,2013年04月01日至2013年06月30日,,              1121734,,                981797,                139937,                139937,,,                 33250,,                 35350,                 68600,,,                              0,                 71337,,,,                    684,                  2100,,                  4649,                  7433,,                              0,                 -1975,                  6226,,,,                 -8201,,                 17444,                 17444,                -18212,                 53125,,                 10901,                 42224,,                              0,                 42224,,,,,,                -18972,                 23252,,                 46151,                 -3927,,                 27300,                 -4048,,                              0.11,,                              0.11,,,,,,,,                 -1154,                -17818,,,,              1124747,                  3013,              1121734,              1124747,                              0,                              0,                              0,,                              0,,                              0,,                              0
1108,2013年01月01日至2013年12月31日,,              4869590,,              4327188,                542402,                542402,,,                122108,,                149163,                271271,,,,                271131,,,,                  2662,                  8367,,                 27598,                 38627,,                 15647,                 -4792,                 39556,,,,                -28701,,                 69349,                 69349,                -59423,                211708,,                 48891,                162817,,,                162817,,,,,,                -10140,                152677,,                179445,                -16628,,                171043,                -18366,,                              0.44,,                              0.44,,,,,,,,                 -7152,                 -7850,                  4862,,,              4879285,                  9695,              4869590,,,,                              0,,,,,,
1108,2013年01月01日至2013年09月30日,,              3521208,,              3073807,                447401,                447401,,,                 85873,,                108028,                193901,,,,                253500,,,,                  1932,                  6292,,                 11118,                 19342,,                  7373,                 -3604,                 18636,,,,                -14867,,                 52737,                 52737,                -48262,                205238,,                 46129,                159109,,,                159109,,,,,,                -10116,                148993,,                171007,                -11898,,                161704,                -12711,,                              0.42,,                              0.42,,,,,,,,                 -3875,                 -6241,,,,              3528681,                  7473,              3521208,,,,,,,,,,
1108,2013年01月01日至2013年06月30日,,              2325405,,              2033657,                291748,                291748,,,                 52733,,                 69455,                122188,,,                              0,                169560,,,,                  1415,                  4192,,                  7735,                 13342,,                 10123,                 -7405,                 12128,,,,                 -9410,,                 35756,                 35756,                -31824,                137736,,                 31643,                106093,,                              0,                106093,,,,,,                -10394,                 95699,,                115705,                 -9612,,                106403,                -10704,,                              0.29,,                              0.29,,,,,,,,                 -4364,                 -6030,,,,              2331154,                  5749,              2325405,              2331154,                              0,                              0,                              0,,                              0,,                              0,,                              0
1108,2013年01月01日至2013年03月31日,,              1203671,,              1051860,                151811,                151811,,,                 19483,,                 34105,                 53588,,,                              0,                 98223,,,,                    731,                  2092,,                  3086,                  5909,,                 10123,                 -5430,                  5902,,,,                 -1209,,                 18312,                 18312,                -13612,                 84611,,                 20742,                 63869,,                              0,                 63869,,,,,,                  8578,                 72447,,                 69554,                 -5685,,                 79103,                 -6656,,                              0.17,,                              0.17,,,,,,,,                 -3210,                 11788,,,,              1206407,                  2736,              1203671,              1206407,                              0,                              0,                              0,,                              0,,                              0,,                              0
1108,2012年07月01日至2012年09月30日,,              1003832,,                924891,                 78941,                 78941,,,                 39131,,                 37255,                 76386,,,,                  2555,,,,                    515,                  2747,,                  7303,                 10565,,                 32195,                  5330,                  7425,,,,                 28782,,                 19147,                 19147,                 20200,                 22755,,                    874,                 21881,,,                 21881,,,,,,                 20089,                 41970,,                 24914,                 -3033,,                 44608,                 -2638,,                              0.06,,                              0.06,,,,,,,,                    968,                 19121,,,,              1005471,                  1639,              1003832,,,,                 -1318,,,,,,
1108,2012年04月01日至2012年06月30日,,              1052567,,                950839,                101728,                101728,,,                 41315,,                 42170,                 83485,,,                              0,                 18243,,,,                    641,                  1114,,                  5272,                  7027,,                 35441,                 -4164,                  6149,,,,                 25783,,                 20296,                 20296,                 12514,                 30757,,                 10375,                 20382,,                              0,                 20382,,,,,,                -57603,                -37221,,                 23340,                 -2958,,                -34110,                 -3111,,                              0.06,,                              0.06,,,,,,,,                    954,                -58557,,,,              1055114,                  2547,              1052567,              1055114,                              0,                              0,                    655,,                              0,,                              0,,                              0
1108,2012年01月01日至2012年12月31日,,              4190014,,              3839604,                350410,                350410,,,                155347,,                157153,                312500,,,,                 37910,,,,                  2052,                  7051,,                 21105,                 30208,,                275050,                  7489,                 58816,,,,                223251,,                 80323,                 80323,                173136,                211046,,                 31163,                179883,,,                179883,,,,,,                -88775,                 91108,,                198469,                -18586,,                108488,                -17380,,                              0.49,,                              0.49,,,,,,,,                 -1479,                -88576,                  1280,,,              4199269,                  9255,              4190014,,,,                   -472,,,,,,
1108,2012年01月01日至2012年09月30日,,              3004812,,              2763756,                241056,                241056,,,                117886,,                117458,                235344,,,,                  5712,,,,                  1556,                  8272,,                 13008,                 22836,,                232246,                  7582,                 20225,,,,                218964,,                 61154,                 61154,                180646,                186358,,                 22515,                163843,,,                163843,,,,,,                -39832,                124011,,                173039,                 -9196,,                131935,                 -7924,,                              0.43,,                              0.43,,,,,,,,                  1441,                -41273,,,,              3010912,                  6100,              3004812,,,,                   -639,,,,,,
1108,2012年01月01日至2012年06月30日,,              2000980,,              1838865,                162115,                162115,,,                 78755,,                 80203,                158958,,,                              0,                  3157,,,,                  1041,                  5525,,                  5705,                 12271,,                200051,                  2252,                 12800,,,,                190182,,                 42007,                 42007,                160446,                163603,,                 21641,                141962,,                              0,                141962,,,,,,                -59921,                 82041,,                148125,                 -6163,,                 87327,                 -5286,,                              0.37,,                              0.37,,,,,,,,                    473,                -60394,,,,              2005441,                  4461,              2000980,              2005441,                              0,                              0,                    679,,                              0,,                              0,,                              0
1108,2012年01月01日至2012年03月31日,,                948413,,                888026,                 60387,                 60387,,,                 37440,,                 38033,                 75473,,,                              0,                -15086,,,,                    400,                  4411,,                    433,                  5244,,                164610,                  6416,                  6651,,,,                164399,,                 21711,                 21711,                147932,                132846,,                 11266,                121580,,                              0,                121580,,,,,,                 -2318,                119262,,                124785,                 -3205,,                121437,                 -2175,,                              0.31,,                              0.31,,,,,,,,                   -481,                 -1837,,,,                950327,                  1914,                948413,                950327,                              0,                              0,                     24,,                              0,,                              0,,                              0
