證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1902,2014年01月01日至2014年03月31日,,,,              1510999,,,,              1393102,                117897,                117897,,,                 86178,,                 72850,                159028,                -41131,,,                 16525,,                  3373,,                  8900,,                 18276,                 29274,                -11857,,                  3071,                -14928,                -14928,,,                 49650,,                  6054,                  8172,                 47532,                 47532,                 32604,,                -19335,                  4407,,                 20564,                 12040,,                             -0.05,                             -0.05,,,,,,,,,,
1902,2013年第3季,,,              1599321,              1599321,,,              1500144,              1500144,                 99177,                 99177,,,                 88014,,                 67792,                155806,                -56629,,,                 30790,,                 -1296,,                  8894,,                 20421,                 41021,                -15608,,                 13498,                -29106,                -29106,,,,,,,,                -31518,                -60624,,                -32230,                  3124,,                -58450,                 -2174,,                             -0.08,                             -0.08,                -33215,,,                 -3673,                 -5370,,,,,
1902,2013年第2季,,,              1705721,              1705721,,,              1513530,              1513530,                192191,                192191,,,                 96656,,                 66896,                163552,                 28639,,,                 19683,,                 -6260,,                  9175,,                 14399,                 18647,                 47286,,                  9096,                 38190,                 38190,,,,,,,,                 -3060,                 35130,,                 33661,                  4529,,                 33221,                  1909,,                              0.08,                              0.08,                 -8386,,,                  5236,                    -90,,,,,
1902,2013年度,,,,              6579073,,,,              6068995,                510078,                510078,,,                342789,,                285874,                628663,               -118585,,,                 88564,,                  2504,,                 34009,,                 68033,                125092,                  6507,,                -27733,                 34240,                 34240,,,,,,,,                 42720,                 76960,,                 17356,                 16884,,                 50726,                 26234,,                              0.04,                              0.04,                 25243,                 18225,,                  6009,                  6757,,,,,
1902,2013年07月01日至2013年09月30日,,,              1599321,              1599321,,,              1500144,              1500144,                 99177,                 99177,,,                 88014,,                 67792,                155806,                -56629,,,                 30790,,                 -1296,,                  8894,,                 20421,                 41021,                -15608,,                 13498,                -29106,                -29106,,,,,,,,                -31518,                -60624,,                -32230,                  3124,,                -58450,                 -2174,,                             -0.08,,                -33215,,,                 -3673,                 -5370,,,,,                             -0.08
1902,2013年04月01日至2013年06月30日,,,              1705721,              1705721,,,              1513530,              1513530,                192191,                192191,,,                 96656,,                 66896,                163552,                 28639,,,                 19683,,                 -6260,,                  9175,,                 14399,                 18647,                 47286,,                  9096,                 38190,                 38190,,,,,,,,                 -3060,                 35130,,                 33661,                  4529,,                 33221,                  1909,,                              0.08,                              0.08,                 -8386,,,                  5236,                    -90,,,,                              0.08,                              0.08
1902,2013年01月01日至2013年12月31日,,,              6579073,              6579073,,,              6068995,              6068995,                510078,                510078,,,                342789,,                285874,                628663,               -118585,,,                 88564,,                  2504,,                 34009,,                 68033,                125092,                  6507,,                -27733,                 34240,                 34240,,,,,,,,                 42720,                 76960,,                 17356,                 16884,,                 50726,                 26234,,                              0.04,                              0.04,                 31252,                 18225,,,                  6757,,                              0,,                              0.04,                              0.04
1902,2013年01月01日至2013年09月30日,,,              5016413,              5016413,,,              4565176,              4565176,                451237,                451237,,,                271244,,                198360,                469604,                -18367,,,                 70645,,                 -5197,,                 25595,,                 49176,                 89029,                 70662,,                 45691,                 24971,                 24971,,,,,,,,                   -501,                 24470,,                 13752,                 11219,,                  9386,                 15084,,                              0.03,                              0.03,                 -3731,,,                  2336,                   -894,,,,,
1902,2013年01月01日至2013年06月30日,,,              3417092,              3417092,,,              3065032,              3065032,                352060,                352060,,,                183230,,                130568,                313798,                 38262,,,                 39855,,                 -3901,,                 16701,,                 28755,                 48008,                 86270,,                 32193,                 54077,                 54077,,,,,,,,                 31017,                 85094,,                 45982,                  8095,,                 67836,                 17258,,                              0.11,                              0.11,                 29484,,,                  6009,                  4476,,,,,
1902,2013年01月01日至2013年03月31日,,,              1711371,              1711371,,,              1551502,              1551502,                159869,                159869,,,                 86574,,                 63672,                150246,                  9623,,,                 20172,,                  2359,,                  7526,,                 14356,                 29361,                 38984,,                 23097,                 15887,                 15887,,,,,,,,                 34077,                 49964,,                 12321,                  3566,,                 34615,                 15349,,                              0.03,                              0.03,                 38643,,,,                  4566,,,,,
1902,2012年07月01日至2012年09月30日,,,              1546982,              1546982,,,              1473280,              1473280,                 73702,                 73702,,,                 85148,,                 66913,                152061,                -78359,,,                 30001,,                 -8043,,                  7387,,                 19864,                 34435,                -43924,,                 23136,                -67060,                -67060,,,,,,,,                -31697,                -98757,,                -68294,                  1234,,                -94434,                 -4323,,                             -0.17,,                -33811,,,                 -3240,                 -5354,,,,,                             -0.17
1902,2012年04月01日至2012年06月30日,,,              1480381,              1480381,,,              1355325,              1355325,                125056,                125056,,,                 79566,,                 57276,                136842,                -11786,,,                 24857,,                  1226,,                  6665,,                 16758,                 36176,                 24390,,                 13916,                 10474,                 10474,,,,,,,,                    909,                 11383,,                  5194,                  5280,,                  3377,                  8006,,                              0.01,                              0.01,                 -1594,,,                  2131,                   -372,,,,                              0.01,                              0.01
1902,2012年01月01日至2012年12月31日,,,              5975142,              5975142,,,              5665987,              5665987,                309155,                309155,,,                307349,,                242681,                550030,               -240875,,,                106873,,                -16550,,                 28459,,                 68415,                130279,               -110596,,                 68140,               -178736,               -178736,,,,,,,,                -55779,               -234515,,               -193391,                 14655,,               -240711,                  6196,,                             -0.48,                             -0.48,                -58692,                 -6780,,,                 -9693,,                              0,,                             -0.48,                             -0.48
1902,2012年01月01日至2012年09月30日,,,              4393512,              4393512,,,              4130213,              4130213,                263299,                263299,,,                235604,,                188903,                424507,               -161208,,,                 84503,,                -16437,,                 20207,,                 46866,                 94725,                -66483,,                 55411,               -121894,               -121894,,,,,,,,                -47510,               -169404,,               -134815,                 12921,,               -175701,                  6297,,                             -0.34,,                -51005,,,                 -4879,                 -8374,,,,,                             -0.34
1902,2012年01月01日至2012年06月30日,,,              2846530,              2846530,,,              2656933,              2656933,                189597,                189597,,,                150456,,                121990,                272446,                -82849,,,                 54502,,                 -8394,,                 12820,,                 27002,                 60290,                -22559,,                 32275,                -54834,                -54834,,,,,,,,                -15813,                -70647,,                -66521,                 11687,,                -81267,                 10620,,                             -0.17,                             -0.17,                -17194,,,                 -1639,                 -3020,,,,                             -0.17,                             -0.17
1902,2012年01月01日至2012年03月31日,,,              1366149,              1366149,,,              1301608,              1301608,                 64541,                 64541,,,                 70890,,                 64714,                135604,                -71063,,,                 29645,,                 -9620,,                  6155,,                 10244,                 24114,                -46949,,                 18359,                -65308,                -65308,,,,,,,,                -16722,                -82030,,                -71715,                  6407,,                -84644,                  2614,,                             -0.18,                             -0.18,                -16722,,,,,,,,,
