證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
2468,2014年01月01日至2014年03月31日,,,                303988,,                103128,                407116,,,                266718,,                 95367,                362085,                 45031,                 45031,,                 38541,                  6490,,,,                  2678,,                  1120,,                    647,                  3151,                  9641,,                  1728,                  7913,                  7913,,,                  1193,                   -429,                    486,                    278,                    278,                  8191,,                  7913,,                  8191,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,
2468,2013年第3季,,,                269835,,                 69253,                339088,,,                234933,,                 66229,                301162,                 37926,                 37926,,                 36968,                    958,,,                  2620,                  2620,,                    206,,                    952,                  1874,                  2832,,                    726,                  2106,                  2106,,,,,,,                  4530,                  6636,,                  2106,,                  6636,,                              0.03,                              0.03,,                              0.03,                              0.03,                   -767,                  6382,,                 -1085,
2468,2013年第2季,,,                294856,,                 66967,                361823,,,                256991,,                 62328,                319319,                 42504,                 42504,,                 39752,                  2752,,,                  2222,                  2222,,                   -389,,                    909,                    924,                  3676,,                    800,                  2876,                  2876,,,,,,,                 -7179,                 -4303,,                  2876,,                 -4303,,                              0.04,                              0.04,,                              0.04,                              0.04,                    480,                 -9228,,                  1569,
2468,2013年度,,,              1133938,,                319662,              1453600,,,                986123,,                298887,              1285010,                168590,                168590,,                160858,                  7732,,,                 10143,                 10143,,                 23363,,                  3400,                 30106,                 37838,,                  6938,                 30900,                 30900,,,,,,,                     13,                 30913,,                 30900,,                 30913,,                              0.44,                              0.44,,                              0.44,                              0.44,                  1536,                 -3288,                  1453,                    312,
2468,2013年07月01日至2013年09月30日,,,                269835,,                 69253,                339088,,,                234933,,                 66229,                301162,                 37926,                 37926,,                 36968,                    958,,,                  2620,                  2620,,                    206,,                    952,                  1874,                  2832,,                    726,                  2106,                  2106,,,,,,,                  4530,                  6636,,                  2106,,                  6636,,                              0.03,                              0.03,,                              0.03,                              0.03,                   -767,                  6382,,                 -1085,
2468,2013年04月01日至2013年06月30日,,,                294856,,                 66967,                361823,,,                256991,,                 62328,                319319,                 42504,                 42504,,                 39752,                  2752,,,                  2222,                  2222,,                   -389,,                    909,                    924,                  3676,,                    800,                  2876,                  2876,,,,,,,                 -7179,                 -4303,,                  2876,,                 -4303,,                              0.04,                              0.04,,                              0.04,                              0.04,                    480,                 -9228,,                  1569,
2468,2013年01月01日至2013年12月31日,,,              1133938,,                319662,              1453600,,,                986123,,                298887,              1285010,                168590,                168590,,                160858,                  7732,,,                 10143,                 10143,,                 23363,,                  3400,                 30106,                 37838,,                  6938,                 30900,                 30900,,,,,,,                     13,                 30913,,                 30900,,                 30913,,                              0.44,                              0.44,,                              0.44,                              0.44,                  1536,                 -3288,                  1453,                    312,
2468,2013年01月01日至2013年09月30日,,,                817750,,                196299,              1014049,,,                710368,,                188576,                898944,                115105,                115105,,                120882,                 -5777,,,                  6160,                  6160,,                  8979,,                  2508,                 12631,                  6854,,                  1752,                  5102,                  5102,,,,,,,                 -1853,                  3249,,                  5102,,                  3249,,                              0.07,                              0.07,,                              0.07,                              0.07,                  1360,                 -3871,,                    658,
2468,2013年01月01日至2013年06月30日,,,                547915,,                127046,                674961,,,                475435,,                122347,                597782,                 77179,                 77179,,                 83914,                 -6735,,,                  3540,                  3540,,                  8773,,                  1556,                 10757,                  4022,,                  1026,                  2996,                  2996,,,,,,,                 -6383,                 -3387,,                  2996,,                 -3387,,                              0.04,                              0.04,,                              0.04,                              0.04,                  2127,                -10253,,                  1743,
2468,2013年01月01日至2013年03月31日,,,                253059,,                 60079,                313138,,,                218444,,                 60019,                278463,                 34675,                 34675,,                 44162,                 -9487,,,,                  1318,,                  9162,,                    647,                  9833,                    346,,                    226,                    120,                    120,,,,,,,                    796,                    916,,                    120,,                    916,,                              0.00,                              0.00,,                              0.00,                              0.00,                  1647,                 -1025,,,                   -174
2468,2012年07月01日至2012年09月30日,,,                314533,,                 84632,                399165,,,                276653,,                 82973,                359626,                 39539,                 39539,,                 42487,                 -2948,,,                  3618,                  3618,,                -10924,,                    504,                 -7810,                -10758,,                 -1400,                 -9358,                 -9358,,,,,,,                    214,                 -9144,,                 -9358,,                 -9144,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,                 -1329,                  1543,,                              0,
2468,2012年04月01日至2012年06月30日,,,                298619,,                115381,                414000,,,                259524,,                100445,                359969,                 54031,                 54031,,                 41901,                 12130,,,                  1385,                  1385,,                  3687,,                    165,                  4907,                 17037,,                  2677,                 14360,                 14360,,,,,,,                  1205,                 15565,,                 14360,,                 15565,,                              0.21,                              0.21,,                              0.20,                              0.20,                    722,                    483,,                              0,
2468,2012年01月01日至2012年12月31日,,,              1270168,,                358939,              1629107,,,              1115595,,                329308,              1444903,                184204,                184204,,                168515,                 15689,,,                 11588,                 11588,,                -13670,,                  1294,                 -3376,                 12313,,                  5198,                  7115,                  7115,,,,,,,                 -4472,                  2643,,                  7115,,                  2643,,                              0.10,                              0.10,,                              0.10,                              0.10,                 -7822,                  2810,                    650,                   -110,
2468,2012年01月01日至2012年09月30日,,,                888776,,                278007,              1166783,,,                781708,,                257601,              1039309,                127474,                127474,,                128285,                   -811,,,                  6194,                  6194,,                -10433,,                    670,                 -4909,                 -5720,,                    849,                 -6569,                 -6569,,,,,,,                   -591,                 -7160,,                 -6569,,                 -7160,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,                 -2617,                  2026,,                              0,
2468,2012年01月01日至2012年06月30日,,,                574243,,                193375,                767618,,,                505055,,                174628,                679683,                 87935,                 87935,,                 85798,                  2137,,,                  2576,                  2576,,                    491,,                    166,                  2901,                  5038,,                  2249,                  2789,                  2789,,,,,,,                   -805,                  1984,,                  2789,,                  1984,,                              0.04,                              0.04,,                              0.04,                              0.04,                 -1288,                    483,,                              0,
2468,2012年01月01日至2012年03月31日,,,                275624,,                 77994,                353618,,,                245531,,                 74183,                319714,                 33904,                 33904,,                 43897,                 -9993,,,,                  1191,,                 -3196,,                      1,                 -2006,                -11999,,                   -428,                -11571,                -11571,,,,,,,                 -2010,                -13581,,                -11571,,                -13581,,                             -0.16,                             -0.16,,                             -0.16,                             -0.16,                 -2010,                              0,,,                              0
