證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額
1477,2014年01月01日至2014年03月31日,,              5213181,,              3953692,              1259489,              1259489,,,                387016,,                276151,                663167,                596322,,,                  3996,,                 17363,,                 16930,,                 -5668,                 -1239,                595083,,                106281,                488802,                488802,,,                 -4971,                              0,                 -4971,,                 35529,                              0,                 35529,                 30558,                519360,,                489402,                   -600,,                519876,                   -516,,                              2.89,,                              2.80,,,,,,,
1477,2013年第3季,,              5167258,,              4172352,                994906,                994906,,,                286728,,                228757,                515485,                479421,,,                 17543,,                -19575,,                 15192,,                              0,                -17224,                462197,,                 94297,                367900,                367900,,,,,,,,,,                -34974,                332926,,                367208,                    692,,                332429,                    497,,                              2.19,,                              2.11,                -34974,                              0,,,              5217070,                 49812,              5167258
1477,2013年第2季,,              4122757,,              3301711,                821046,                821046,,,                264449,,                197765,                462214,                358832,,,                  7909,,                 10378,,                 15193,,                              0,                  3094,                361926,,                 68776,                293150,                293150,,,,,,,,,,                 26142,                319292,,                292935,                    215,,                318974,                    318,,                              1.76,,                              1.68,                 26142,                              0,,,              4163691,                 40934,              4122757
1477,2013年度,,             17910935,,             14343598,              3567337,              3567337,,,              1073568,,                869479,              1943047,              1624290,,,                 41767,,                 43176,,                 62058,,                   -866,                 22019,              1646309,,                304055,              1342254,              1342254,,,,,,,,,,                 81714,              1423968,,              1341006,                  1248,,              1423008,                    960,,                              8.02,,                              7.66,                 81714,                              0,,,,,
1477,2013年07月01日至2013年09月30日,,              5167258,,              4172352,                994906,                994906,,,                286728,,                228757,                515485,                479421,,,                 17543,,                -19575,,                 15192,,,                -17224,                462197,,                 94297,                367900,                367900,,,,,,,,,,                -34974,                332926,,                367208,                    692,,                332429,                    497,,                              2.19,,                              2.11,                -34974,                              0,,,              5217070,                 49812,              5167258
1477,2013年04月01日至2013年06月30日,,              4122757,,              3301711,                821046,                821046,,,                264449,,                197765,                462214,                358832,,,                  7909,,                 10378,,                 15193,,,                  3094,                361926,,                 68776,                293150,                293150,,,,,,,,,,                 26142,                319292,,                292935,                    215,,                318974,                    318,,                              1.76,,                              1.68,                 26142,                              0,,,              4163691,                 40934,              4122757
1477,2013年01月01日至2013年12月31日,,             17910935,,             14343598,              3567337,              3567337,,,              1073568,,                869479,              1943047,              1624290,,,                 41767,,                 43176,,                 62058,,                   -866,                 22019,              1646309,,                304055,              1342254,              1342254,,,,,,,,,,                 81714,              1423968,,              1341006,                  1248,,              1423008,                    960,,                              8.02,,                              7.66,                 81714,                              0,,,             18102537,                191602,             17910935
1477,2013年01月01日至2013年09月30日,,             13587635,,             10876623,              2711012,              2711012,,,                809572,,                633757,              1443329,              1267683,,,                 35674,,                 17844,,                 46053,,                              0,                  7465,              1275148,,                227780,              1047368,              1047368,,,,,,,,,,                 51034,              1098402,,              1046001,                  1367,,              1097517,                    885,,                              6.27,,                              5.98,                 51034,                              0,,,             13703998,                116363,             13587635
1477,2013年01月01日至2013年06月30日,,              8420377,,              6704271,              1716106,              1716106,,,                522844,,                405000,                927844,                788262,,,                 18131,,                 37419,,                 30861,,                              0,                 24689,                812951,,                133483,                679468,                679468,,,,,,,,,,                 86008,                765476,,                678793,                    675,,                765088,                    388,,                              4.09,,                              3.88,                 86008,                              0,,,              8486928,                 66551,              8420377
1477,2013年01月01日至2013年03月31日,,              4297620,,              3402560,                895060,                895060,,,                258395,,                207235,                465630,                429430,,,                 10222,,                 27041,,                 15668,,                              0,                 21595,                451025,,                 64707,                386318,                386318,,,,,,,,,,                 59866,                446184,,                385858,                    460,,                446114,                     70,,                              2.33,,                              2.20,                 59866,                              0,,,              4323237,                 25617,              4297620
1477,2012年07月01日至2012年09月30日,,              4624557,,              3767281,                857276,                857276,,,                221855,,                194727,                416582,                440694,,,                 31230,,                -44658,,                 12067,,,                -25495,                415199,,                 83372,                331827,                331827,,,,,,,,,,                -39961,                291866,,                332481,                   -654,,                292520,                   -654,,                              2.02,,                              1.96,                -39961,                              0,,,              4642695,                 18138,              4624557
1477,2012年04月01日至2012年06月30日,,              3546863,,              2773873,                772990,                772990,,,                244010,,                186540,                430550,                342440,,,                  1626,,                  4194,,                  9567,,,                 -3747,                338693,,                 66604,                272089,                272089,,,,,,,,,,                 22711,                294800,,                272694,                   -605,,                295405,                   -605,,                              1.67,,                              1.63,                 22711,                              0,,,              3561338,                 14475,              3546863
1477,2012年01月01日至2012年12月31日,,             15866859,,             12705616,              3161243,              3161243,,,                890157,,                741262,              1631419,              1529824,,,                 68539,,               -101754,,                 58495,,                              0,                -91710,              1438114,,                261318,              1176796,              1176796,,,,,,,,,,                -73332,              1103464,,              1175429,                  1367,,              1102097,                  1367,,                              7.17,,                              6.93,                -73332,                              0,,,             16019719,                152860,             15866859
1477,2012年01月01日至2012年09月30日,,             12104960,,              9561740,              2543220,              2543220,,,                721765,,                579889,              1301654,              1241566,,,                 47094,,                -57475,,                 34802,,,                -45183,              1196383,,                225738,                970645,                970645,,,,,,,,,,                -68998,                901647,,                970585,                     60,,                901587,                     60,,                              5.93,,                              5.77,                -68998,                              0,,,             12147922,                 42962,             12104960
1477,2012年01月01日至2012年06月30日,,              7480403,,              5794459,              1685944,              1685944,,,                499910,,                385162,                885072,                800872,,,                 15864,,                -12817,,                 22735,,,                -19688,                781184,,                142366,                638818,                638818,,,,,,,,,,                -29037,                609781,,                638104,                    714,,                609067,                    714,,                              3.92,,                              3.82,                -29037,                              0,,,              7505227,                 24824,              7480403
1477,2012年01月01日至2012年03月31日,,              3933540,,              3020586,                912954,                912954,,,                255900,,                198622,                454522,                458432,,,                 14238,,                -17011,,                 13168,,,                -15941,                442491,,                 75762,                366729,                366729,,,,,,,,,,                -51748,                314981,,                365410,                  1319,,                313662,                  1319,,                              2.24,,                              2.19,                -51748,                              0,,,              3943889,                 10349,              3933540
