證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　　 銷貨收入,　　　 廉價購買利益,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
2475,2014年01月01日至2014年03月31日,,,             14972538,             14972538,,,,             12249302,              2723236,              2723236,,,                249751,,                677927,,              1169611,              2097289,,,                625947,,,                614518,,               -460397,,                461550,,                   -674,               -308103,                317844,,                   -989,                318833,                318833,,,                404922,                220127,,                  2907,                 81151,                546805,                546805,                865638,,                 81651,                237182,,                519823,                345815,,                              0.01,,                              0.01,,             15160927,                 65729,                122660,,,,,,,,,,,
2475,2013年第3季,,,             15498225,             15498225,,,,             12813626,              2684599,              2684599,,,                279190,,                702407,,              1312140,              2293737,,,                390862,,,                282963,,                665194,,                438084,,                -65014,                445059,                835921,,                118896,                717025,                717025,,,,,,,,,               -473037,                243988,,                470156,                246869,,                127843,                116145,,                              0.07,,,,             15765664,                 73370,                194069,,                              0,                282963,               -472728,                -62415,,,                 -1386,                -63492,,
2475,2013年第2季,,,             15127535,             15127535,,,,             13262402,              1865133,              1865133,,,                253094,,                699749,,              1195439,              2148282,,,               -283149,,,              1655672,,             -4039342,,                444135,,                -67802,             -2895607,             -3178756,,                158788,             -3337544,             -3337544,,,,,,,,,              2119523,             -1218021,,             -3494909,                157365,,             -1506871,                288850,,                             -0.54,,                             -0.54,,             15332813,                 45663,                159615,,              1498470,                157202,                263310,              1846219,,,                 37305,                 27311,                             -0.54,                             -0.54
2475,2013年度,,,             58660484,             58660484,,,             51492609,             51492609,              7167875,              7167875,,,                913970,,              2667787,,              4631223,              8212980,,,             -1045105,,,              2869068,,             -2852802,,              1755767,,             -1168701,             -2908202,             -3953307,,                241488,             -4194795,             -4194795,,,,,,,,,              2466232,             -1728563,,             -4852882,                658087,,             -2602077,                873514,,                             -0.75,,                             -0.75,,             59405586,                153337,                591765,             59405586,              1498470,              1370598,                612408,              1756663,                105016,,                 51942,                 59797,,
2475,2013年07月01日至2013年09月30日,,,             15498225,             15498225,,,,             12813626,              2684599,              2684599,,,                279190,,                702407,,              1312140,              2293737,,,                390862,,,                282963,,                665194,,                438084,,                -65014,                445059,                835921,,                118896,                717025,                717025,,,,,,,,,               -473037,                243988,,                470156,                246869,,                127843,                116145,,                              0.07,,                              0.07,,             15765664,                 73370,                194069,,                              0,                282963,               -472728,                -62415,,,                 -1386,                -63492,,
2475,2013年04月01日至2013年06月30日,,,             15127535,             15127535,,,,             13262402,              1865133,              1865133,,,                253094,,                699749,,              1195439,              2148282,,,               -283149,,,              1655672,,             -4039342,,                444135,,                -67802,             -2895607,             -3178756,,                158788,             -3337544,             -3337544,,,,,,,,,              2119523,             -1218021,,             -3494909,                157365,,             -1506871,                288850,,                             -0.54,,,,             15332813,                 45663,                159615,             15332813,              1498470,                157202,                263310,              1846219,,,                 37305,                 27311,,
2475,2013年01月01日至2013年12月31日,,,             58660484,             58660484,,,,             51492609,              7167875,              7167875,,,                913970,,              2667787,,              4631223,              8212980,,,             -1045105,,,              2869068,,             -2852802,,              1755767,,             -1168701,             -2908202,             -3953307,,                241488,             -4194795,             -4194795,,,,,,,,,              2466232,             -1728563,,             -4852882,                658087,,             -2602077,                873514,,                             -0.75,,,,             59405586,                153337,                591765,,              1498470,              1370598,                612408,              1756663,                105016,,                 51942,                 59797,,
2475,2013年01月01日至2013年09月30日,,,             43215908,             43215908,,,,             38369268,              4846640,              4846640,,,                625689,,              1975141,,              3457831,              6058661,,,             -1212021,,,              2135740,,             -3668581,,              1293544,,               -196703,             -3023088,             -4235109,,                384511,             -4619620,             -4619620,,,,,,,,,              2082907,             -2536713,,             -5103162,                483542,,             -3146369,                609656,,                             -0.79,,,,             43858601,                147540,                495153,,              1498470,                637270,                292662,              1779061,,,                 38557,                 27373,,
2475,2013年01月01日至2013年06月30日,,,             27717683,             27717683,,,,             25555642,              2162041,              2162041,,,                346499,,              1272734,,              2145691,              3764924,,,             -1602883,,,              1852777,,             -4333775,,                855460,,               -131689,             -3468147,             -5071030,,                265615,             -5336645,             -5336645,,,,,,,,,              2555944,             -2780701,,             -5573318,                236673,,             -3274212,                493511,,                             -0.86,,                             -0.86,,             28092937,                 74170,                301084,,              1498470,                354307,                765390,              1841476,,,                 39943,                 90865,                             -0.86,                             -0.86
2475,2013年01月01日至2013年03月31日,,,             12590148,             12590148,,,,             12293240,                296908,                296908,,,                 93405,,                572985,,                950252,              1616642,,,             -1319734,,,                197105,,               -294433,,                411325,,                -63887,               -572540,             -1892274,,                106827,             -1999101,             -1999101,,,,,,,,,                436421,             -1562680,,             -2078409,                 79308,,             -1767341,                204661,,                             -0.32,,                             -0.32,,             12760124,                 28507,                141469,,,,                502080,                 -4743,,,                  2638,                 63554,,
2475,2012年07月01日至2012年09月30日,,,             13128717,             13128717,,,,             14350643,             -1221926,             -1221926,,,                214605,,                710815,,              1037178,              1962598,,,             -3184524,,,                474090,,                204965,,                404901,,                -37583,                236571,             -2947953,,                140739,             -3088692,             -3088692,,,,,,,,,                 82249,             -3006443,,             -3213287,                124595,,             -3088566,                 82123,,                             -0.50,,                             -0.50,,             13256373,                  5171,                122485,,                              0,                474090,                -73619,                227469,,,                 17984,                 89585,,
2475,2012年04月01日至2012年06月30日,,,             11060061,             11060061,,,,             12674298,             -1614237,             -1614237,,,                192064,,                557489,,              1011025,              1760578,,,             -3374815,,,                210300,,               -341525,,                373113,,                  9072,               -495266,             -3870081,,                 75311,             -3945392,             -3945392,,,,,,,,,                475615,             -3469777,,             -4036989,                 91597,,             -3935011,                465234,,                             -0.62,,,,             11195609,                 42503,                 93045,             11195609,                              0,                210300,                825087,               -289846,,,                   -918,                 58708,,
2475,2012年01月01日至2012年12月31日,,,             48265353,             48265353,,,,             52054893,             -3789540,             -3789540,,,                791345,,              2878838,,              4084891,              7755074,,,            -11544614,,,              1818507,,                476556,,              1584014,,               -242049,                469000,            -11075614,,               -216265,            -10859349,            -10859349,,,,,,,,,               -664307,            -11523656,,            -11302162,                442813,,            -11858300,                334644,,                             -1.74,,,,             48890824,                137835,                487636,,                              0,              1818507,               -719877,                 28675,                -35847,,                -39919,               -102661,,
2475,2012年01月01日至2012年09月30日,,,             35583668,             35583668,,,,             39131028,             -3547360,             -3547360,,,                600488,,              2081951,,              2932918,              5615357,,,             -9162717,,,              1006443,,                -31029,,              1168964,,                -39002,               -232552,             -9395269,,                331468,             -9726737,             -9726737,,,,,,,,,               -477621,            -10204358,,            -10027823,                301086,,            -10407319,                202961,,                             -1.55,,                             -1.55,,             35950456,                 54719,                312069,,                              0,              1006443,               -534995,                 77352,,,                -11542,                  8436,,
2475,2012年01月01日至2012年06月30日,,,             22454951,             22454951,,,,             24780385,             -2325434,             -2325434,,,                385883,,              1371136,,              1895740,              3652759,,,             -5978193,,,                532353,,               -235994,,                764063,,                 -1419,               -469123,             -6447316,,                190729,             -6638045,             -6638045,,,,,,,,,               -559870,             -7197915,,             -6814536,                176491,,             -7318753,                120838,,                             -1.05,,,,             22694083,                 49548,                189584,             22694083,                              0,                532353,               -461376,               -150117,,,                -29526,                -81149,,
2475,2012年01月01日至2012年03月31日,,,             11394890,             11394890,,,             12106087,             12106087,               -711197,               -711197,,,                193819,,                813647,,                884715,              1892181,,,             -2603378,,,                322053,,                105531,,                390950,,                -10491,                 26143,             -2577235,,                115418,             -2692653,             -2692653,,,,,,,,,             -1035485,             -3728138,,             -2777547,                 84894,,             -3383742,               -344396,,                             -0.43,,,,             11498474,                  7045,                 96539,,,,             -1286463,                139729,,,                -28608,               -139857,,
