證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資性不動產利益,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 減損損失,　　　　 減損損失合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
2405,2013年第3季,,,,              4927170,                 35765,              4891405,              4891405,,,              4358614,              4358614,                532791,                532791,,,                152085,,                 81122,,                136369,                369576,,                   -829,                162386,,,,                  1007,                    751,                  9520,                 12735,                 24013,,,                 -2774,                 -1743,                  8822,                   -453,                -18843,,                  4086,                  4086,                    885,                163271,,                 16931,                146340,                146340,,,,,,,,,                -30311,                116029,,                146800,                   -460,,                116568,                   -539,,                              0.43,                              0.43,,                              0.43,                              0.43,,                  5957,,                   -199,                -30014,                   -209,,,                    -88,,,,
2405,2013年第2季,,,,              4070893,                 41882,              4029011,              4029011,,,              3500098,              3500098,                528913,                528913,,,                159392,,                 60353,,                112804,                332549,,                    154,                196518,,,,                  1305,                    761,,                 13357,                 15423,,,                 -7741,                 -1660,                  1022,                  1056,                -11479,,                  2405,                  2405,                  1305,                197823,,                 24692,                173131,                173131,,,,,,,,,                  8475,                181606,,                174445,                 -1314,,                183115,                 -1509,,                              0.51,                              0.51,,                              0.51,                              0.51,,,,                   -234,                 18741,                -10395,,,                    129,,                              0,,                              0
2405,2013年度,,,,             16469925,                137093,             16332832,             16332832,,,             14351484,             14351484,              1981348,              1981348,,,                728027,,                275022,,                449514,              1452563,,                    697,                529482,,,,                  4661,                  2976,                  9550,                 32961,                 50148,,                              0,                 -6401,                 -6646,                 26207,                  8476,                -53699,,                 14921,                 14921,                -19527,                509955,,                 56995,                452960,                452960,,,,,,,,,                 80889,                533849,,                474978,                -22018,,                555057,                -21208,,                              1.38,                              1.38,,                              1.37,                              1.37,,                  5969,,                 -1055,                 70999,                  6894,                  2625,,                    371,,,,
2405,2013年07月01日至2013年09月30日,,,,              4927170,                 35765,              4891405,              4891405,,,              4318184,              4318184,                573221,                573221,,,                192515,,                 81122,,                136369,                410006,,                   -829,                162386,,,,                  1007,                    751,                  9520,                 12735,                 24013,,,                 -2774,                 -1743,                  8822,                   -453,                -18843,,                  4086,                  4086,                    885,                163271,,                 16931,                146340,                146340,,,,,,,,,                -30311,                116029,,                146800,                   -460,,                116568,                   -539,,                              0.43,                              0.43,,                              0.43,                              0.43,,                  5957,,                   -199,                -30014,                   -209,,,                    -88,,,,
2405,2013年04月01日至2013年06月30日,,,,              4070893,                 41882,              4029011,              4029011,,,              3469147,              3469147,                559864,                559864,,,                190343,,                 60353,,                112804,                363500,,                    154,                196518,,,,                  1305,                    761,,                 13357,                 15423,,,                 -7741,                 -1660,                  1022,                  1056,                -11479,,                  2405,                  2405,                  1305,                197823,,                 24692,                173131,                173131,,,,,,,,,                  8475,                181606,,                174445,                 -1314,,                183115,                 -1509,,                              0.51,                              0.51,,                              0.51,                              0.51,,,,                   -234,                 18741,                -10395,,,                    129,,,,
2405,2013年01月01日至2013年12月31日,,,,             16469925,                137093,             16332832,             16332832,,,             14351484,             14351484,              1981348,              1981348,,,                728027,,                275022,,                449514,              1452563,,                    697,                529482,,,,                  4661,                  2976,                  9550,                 32961,                 50148,,,                 -6401,                 -6646,                 26207,                  8476,                -53699,,                 14921,                 14921,                -19527,                509955,,                 56995,                452960,                452960,,,,,,,,,                 80889,                533849,,                474978,                -22018,,                555057,                -21208,,                              1.38,                              1.38,,                              1.37,                              1.37,,                  5969,,                 -1055,                 70999,                  6894,                  2625,,                    371,,,,
2405,2013年01月01日至2013年09月30日,,,,             12105894,                 95771,             12010123,             12010123,,,             10548688,             10548688,              1461435,              1461435,,,                523081,,                205526,,                341334,              1069941,,                   -686,                390808,,,,                  3160,                  2217,                  9520,                 31336,                 46233,,,                -10515,                 -2306,                 17101,                  7105,                -42984,,                  8830,                  8830,                 -6635,                384173,,                 40883,                343290,                343290,,,,,,,,,                 42950,                386240,,                346245,                 -2955,,                389219,                 -2979,,                              1.01,                              1.01,,                              1.01,                              1.01,,                  5957,,                 -1054,                 42692,                     20,,,                    238,,,,
2405,2013年01月01日至2013年06月30日,,,,              7178724,                 60006,              7118718,              7118718,,,              6238431,              6238431,                880287,                880287,,,                322639,,                124404,,                204965,                652008,,                    143,                228422,,,,                  2153,                  1466,,                 18601,                 22220,,,                 -7741,                   -563,                  8279,                  7558,                -24141,,                  4744,                  4744,                 -7520,                220902,,                 23952,                196950,                196950,,,,,,,,,                 73261,                270211,,                199445,                 -2495,,                272651,                 -2440,,                              0.59,                              0.59,,                              0.58,                              0.58,,,,                   -855,                 72706,                    229,,,                    326,,                              0,,                              0
2405,2013年01月01日至2013年03月31日,,,,              3107831,                 18124,              3089707,              3089707,,,              2738333,              2738333,                351374,                351374,,,                163247,,                 64051,,                 92161,                319459,,                    -11,                 31904,,,,                    848,                    705,,                  5244,                  6797,,,                              0,                  1097,                  7257,                  6502,                -12662,,                  2339,                  2339,                 -8825,                 23079,,                   -740,                 23819,                 23819,,,,,,,,,                 64786,                 88605,,                 25000,                 -1181,,                 89536,                   -931,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,                   -621,                 53965,                 10624,,,                    197,,,,
2405,2012年07月01日至2012年09月30日,,,,              4896327,                 83695,              4812632,              4812632,,,              4186330,              4186330,                626302,                626302,,,                199502,,                123061,,                117955,                440518,,                              0,                185784,,,,                  1411,                    720,                 18028,                  2948,                 23107,,,                     12,                 -5397,                 17871,                 -8195,                -16836,,                  4033,                  4033,                  2238,                188022,,                 20061,                167961,                167961,,,,,,,,,                -30262,                137699,,                171045,                 -3084,,                140218,                 -2519,,                              0.50,                              0.50,,                              0.50,                              0.50,,                  1775,,                              0,                -23084,                 -7022,,,                   -156,,,,
2405,2012年04月01日至2012年06月30日,,,,              3483130,                 28999,              3454131,              3454131,,,              3112524,              3112524,                341607,                341607,,,                154043,,                 69549,,                 54439,                278031,,                              0,                 63576,,,,                  1918,                    443,,                    762,                  3123,,,                              0,                  3278,                  1435,                  3633,                 -1790,,                  3571,                  3571,                 -2238,                 61338,,                 -3100,                 64438,                 64438,,,,,,,,,                -10273,                 54165,,                 55664,                  8774,,                 45099,                  9066,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,                              0,                  6847,                -17173,,,                     53,,,,
2405,2012年01月01日至2012年12月31日,,,,             14391615,                218929,             14172686,             14172686,,,             12567865,             12567865,              1604821,              1604821,,,                628074,,                283617,,                347369,              1259060,,                -14187,                331574,,,,                  6272,                  2331,                 18051,                 59390,                 86044,,,                 38808,                   -574,                 68004,                  9664,                -53788,,                 18836,                 18836,                 13260,                344834,,                 27032,                317802,                317802,,,,,,,,,               -117248,                200554,,                325615,                 -7813,,                207814,                 -7260,,                              0.96,                              0.96,,                              0.96,                              0.96,,                 14354,,                   -160,                -55431,                -59125,                 -2130,,                   -562,,,,
2405,2012年01月01日至2012年09月30日,,,,             10917783,                147909,             10769874,             10769874,,,              9450494,              9450494,              1319380,              1319380,,,                534227,,                268543,,                279196,              1081966,,                    372,                237786,,,,                  4976,                  1603,                 18028,                 30149,                 54756,,,                 49464,                 -4204,                 45378,                  3158,                 -5051,,                 11149,                 11149,                 38556,                276342,,                 12861,                263481,                263481,,,,,,,,,                -92249,                171232,,                260987,                  2494,,                167837,                  3395,,                              0.77,                              0.77,,                              0.77,                              0.77,,                  1775,,                              0,                -40021,                -51663,,,                   -565,,,,
2405,2012年01月01日至2012年06月30日,,,,              6021456,                 64214,              5957242,              5957242,,,              5264164,              5264164,                693078,                693078,,,                334725,,                145482,,                161241,                641448,,                    372,                 52002,,,,                  3565,                    883,,                 27201,                 31649,,,                 49452,                  1193,                 27507,                 11353,                 11785,,                  7116,                  7116,                 36318,                 88320,,                 -7200,                 95520,                 95520,,,,,,,,,                -61987,                 33533,,                 89942,                  5578,,                 27619,                  5914,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,                              0,                -16937,                -44641,,,                   -409,,,,
2405,2012年01月01日至2012年03月31日,,,,              2538326,                 35215,              2503111,              2503111,,,              2151640,              2151640,                351471,                351471,,,                180682,,                 75933,,                106802,                363417,,                    372,                -11574,,,,                  1647,                    440,,                 26439,                 28526,,,                 49452,                 -2085,                 26072,                  7720,                 13575,,                  3545,                  3545,                 38556,                 26982,,                 -4100,                 31082,                 31082,,,,,,,,,                -51714,                -20632,,                 34278,                 -3196,,                -17480,                 -3152,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,                              0,                -23784,                -27468,,,                   -462,,,,
