證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
2542,2013年度,,             28310296,,             17827671,             10482625,             10482625,,,              1803703,,                838514,              2642217,              7840408,,,                107591,,                203205,,                334093,                -24612,              7815796,,              1356688,              6459108,              6459108,,,,,,,,,                 13421,              6472529,,              6407447,                 51661,,              6420868,                 51661,,                              7.23,,                              7.22,,                 -1315,                  1043,                 14410,                 -2032
2542,2013年07月01日至2013年09月30日,,              4701879,,              3149359,              1552520,              1552520,,,                345611,,                191934,                537545,              1014975,,,                 16104,,                 35616,,                 85033,                -32996,                981979,,                 77871,                904108,                904108,,,,,,,,,                  5149,                909257,,                907843,                 -3735,,                912992,                 -3735,,                              1.54,,                              1.54,,                    317,                   -126,                  5275,
2542,2013年04月01日至2013年06月30日,,              4775290,,              2890342,              1884948,              1884948,,,                482316,,                193085,                675401,              1209547,,,                 27303,,                 12471,,                 93020,                -53472,              1156075,,                514783,                641292,                641292,,,,,,,,,                -11143,                630149,,                657900,                -16608,,                646757,                -16608,,                              1.11,,                              1.11,,                   -226,                    297,                -11440,
2542,2013年01月01日至2013年12月31日,,             28310296,,             17827671,             10482625,             10482625,,,              1803703,,                838514,              2642217,              7840408,,,                107591,,                203205,,                334093,                -24612,              7815796,,              1356688,              6459108,              6459108,,,,,,,,,                 13421,              6472529,,              6407447,                 51661,,              6420868,                 51661,,                             10.85,,                             10.82,,                 -1315,                  1043,                 14410,                 -2032
2542,2013年01月01日至2013年09月30日,,             23850965,,             15044957,              8806008,              8806008,,,              1551440,,                589893,              2141333,              6664675,,,                 66959,,                125161,,                269774,                -78969,              6585706,,              1221090,              5364616,              5364616,,,,,,,,,                 10297,              5374913,,              5374275,                 -9659,,              5384572,                 -9659,,                              6.07,,                              6.05,,                 -1315,                    862,                  9435,
2542,2013年01月01日至2013年06月30日,,             19149086,,             11895598,              7253488,              7253488,,,              1205829,,                397959,              1603788,              5649700,,,                 50855,,                 89545,,                184741,                -45973,              5603727,,              1143219,              4460508,              4460508,,,,,,,,,                  5148,              4465656,,              4466432,                 -5924,,              4471580,                 -5924,,                              7.56,,                              7.54,,                 -1632,                    988,                  4160,
2542,2013年01月01日至2013年03月31日,,             14373796,,              9005256,              5368540,              5368540,,,                723513,,                204874,                928387,              4440153,,,                 23552,,                 77074,,                 91721,                  7499,              4447652,,                628436,              3819216,              3819216,,,,,,,,,                 16291,              3835507,,              3808532,                 10684,,              3824823,                 10684,,                              6.45,,                              6.44,,                 -1406,                    691,                 15600,
2542,2012年07月01日至2012年09月30日,,              2292333,,              1316419,                975914,                975914,,,                187394,,                195864,                383258,                592656,,,                 31473,,                 -1497,,                127791,                -97815,                494841,,                157325,                337516,                337516,,,,,,,,,                 11234,                348750,,                399447,                -61931,,                410681,                -61931,,                              0.61,,                              0.61,,                              0,                   -222,                 11456,
2542,2012年04月01日至2012年06月30日,,              1027301,,                697693,                329608,                329608,,,                177107,,                140515,                317622,                 11986,,,                 25827,,                 26290,,                125227,                -73110,                -61124,,                365454,               -426578,               -426578,,,,,,,,,                -12872,               -439450,,               -442127,                 15549,,               -454999,                 15549,,                             -0.60,,                             -0.60,,                              0,                    -72,                -12800,
2542,2012年01月01日至2012年12月31日,,             18728882,,             11531329,              7197553,              7197553,,,                986496,,                730108,              1716604,              5480949,,,                139550,,                137035,,                496115,               -221861,              5259088,,                785768,              4473320,              4473320,,,,,,,,,                -18494,              4454826,,              3307951,              1165369,,              3289457,              1165369,,                              4.89,,                              4.85,,                 -2331,                   -286,                -18208,                              0
2542,2012年01月01日至2012年09月30日,,              6097443,,              3666542,              2430901,              2430901,,,                484155,,                511324,                995479,              1435422,,,                 65264,,                111145,,                369916,               -193507,              1241915,,                545967,                695948,                695948,,,,,,,,,                -16838,                679110,,                718161,                -22213,,                701323,                -22213,,                              1.02,,                              1.01,,                              0,                   -294,                -16544,
2542,2012年01月01日至2012年06月30日,,              3805110,,              2350123,              1454987,              1454987,,,                296761,,                315460,                612221,                842766,,,                 33791,,                112642,,                242125,                -95692,                747074,,                388642,                358432,                358432,,,,,,,,,                -28072,                330360,,                318714,                 39718,,                290642,                 39718,,                              0.44,,                              0.43,,                              0,                    -72,                -28000,
2542,2012年01月01日至2012年03月31日,,              2777809,,              1652430,              1125379,              1125379,,,                119654,,                174945,                294599,                830780,,,                  7964,,                 86352,,                116898,                -22582,                808198,,                 23188,                785010,                785010,,,,,,,,,                -15200,                769810,,                760841,                 24169,,                745641,                 24169,,                              1.06,,                              1.03,,                              0,                              0,                -15200,
