證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 銷貨成本,　 未實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1515,2014年01月01日至2014年03月31日,,,,                688042,                688042,                     29,                 11993,                676020,                676020,,,                561140,                561140,                114880,                114880,,,                 55814,,                 33476,,                 32445,                121735,                 -6855,,,                  2559,,                 26224,,                 10263,,                     40,                 18560,                 11705,,                  2109,                  9596,                  9596,,,                    623,                -66974,                    106,                -66457,                -66457,                -56861,,                 10297,                   -701,,                -56276,                   -585,,                              0.06,                561140,,,,,
1515,2013年第3季,,,,                991662,                991662,                  6508,                 15916,                969238,                969238,,,                770695,                770695,                198543,                198376,,,                 81911,,                 36092,,                 34244,                152247,                 46129,,,                 32970,,                -49244,,                  9724,,                    208,                -25790,                 20339,,                  3442,                 16897,                 16897,,,,,,,                 61489,                 78386,,                 16805,                     92,,                 78386,                              0,,                              0.09,,                    167,                 -6226,                 66656,,                 -1059
1515,2013年第2季,,,,                749239,                749239,                              0,                 13227,                736012,                736012,,,                597120,                597120,                138892,                138622,,,                 76644,,                 39811,,                 31909,                148364,                 -9742,,,                 13655,,                111324,,                  9093,,                    177,                116063,                106321,,                 -1402,                107723,                107723,,,,,,,                -25081,                 82642,,                107691,                     32,,                 82557,                     85,,                              0.59,,                    270,                  7526,                -31327,,                  1280
1515,2013年度,,,,              3362794,              3362794,                  6722,                 69064,              3287008,              3287008,,,              2646282,              2646282,                640726,                640699,,,                320416,,                142732,,                127488,                590636,                 50063,,,                 53721,,                152202,,                 40208,,                    500,                166215,                216278,,                 10402,                205876,                205876,,,,,,,                220205,                426081,,                206812,                   -936,,                426802,                   -721,,                              1.14,,                     27,                 37529,                189441,                   -385,                  6380
1515,2013年07月01日至2013年09月30日,,,,                991662,                991662,                  6508,                 15916,                969238,                969238,,,                770862,                770862,                198376,                198376,,,                 81911,,                 36092,,                 34244,                152247,                 46129,,,                 32970,,                -49244,,                  9724,,                    208,                -25790,                 20339,,                  3442,                 16897,                 16897,,,,,,,                 61489,                 78386,,                 16805,                     92,,                 78386,                              0,,                              0.09,,,                 -5167,                 66656,,
1515,2013年04月01日至2013年06月30日,,,,                749239,                749239,                              0,                 13227,                736012,                736012,,,                597390,                597390,                138622,                138622,,,                 76644,,                 39811,,                 31909,                148364,                 -9742,,,                 13655,,                111324,,                  9093,,                    177,                116063,                106321,,                 -1402,                107723,                107723,,,,,,,                -25081,                 82642,,                107691,                     32,,                 82557,                     85,,                              0.59,,,                  6246,                -31327,,
1515,2013年01月01日至2013年12月31日,,,,              3362794,              3362794,                  6722,                 69064,              3287008,              3287008,,,              2646282,              2646282,                640726,                640699,,,                320416,,                142732,,                127488,                590636,                 50063,,,                 53721,,                152202,,                 40208,,                    500,                166215,                216278,,                 10402,                205876,                205876,,,,,,,                220205,                426081,,                206812,                   -936,,                426802,                   -721,,                              1.14,,                     27,                 37529,                189441,                   -385,                  6380
1515,2013年01月01日至2013年09月30日,,,,              2420317,              2420317,                  6514,                 38819,              2374984,              2374984,,,              1900916,              1900916,                474068,                474277,,,                223956,,                109446,,                 98406,                431808,                 42469,,,                 48634,,                 78444,,                 29826,,                    255,                 97507,                139976,,                  4395,                135581,                135581,,,,,,,                 99766,                235347,,                135993,                   -412,,                235607,                   -260,,                              0.75,,                   -209,                 16555,                 86025,,                  2814
1515,2013年01月01日至2013年06月30日,,,,              1428655,              1428655,                      6,                 22903,              1405746,              1405746,,,              1130221,              1130221,                275525,                275901,,,                142045,,                 73354,,                 64162,                279561,                 -3660,,,                 15664,,                127688,,                 20102,,                     47,                123297,                119637,,                    953,                118684,                118684,,,,,,,                 38277,                156961,,                119188,                   -504,,                157221,                   -260,,                              0.66,,                   -376,                 22781,                 19369,,                  3873
1515,2013年01月01日至2013年03月31日,,,,                679416,                679416,                      6,                  9676,                669734,                669734,,,                532455,                532455,                137279,                137279,,,                 65401,,                 33543,,                 32253,                131197,                  6082,,,                  2009,,                 16364,,                 11009,,                   -130,                  7234,                 13316,,                  2355,                 10961,                 10961,,,,,,,                 63358,                 74319,,                 11497,                   -536,,                 74664,                   -345,,                              0.06,                532455,,                 15255,                 50696,,                  2593
1515,2012年07月01日至2012年09月30日,,,,                792471,                792471,                              0,                 20561,                771910,                771910,,,                613477,                613477,                158433,                158433,,,                 77177,,                 33067,,                 28527,                138771,                 19662,,,                  2447,,                 -2439,,                 11890,,                    353,                -11529,                  8133,,                 -4827,                 12960,                 12960,,,,,,,                 28174,                 41134,,                 12331,                    629,,                 38781,                  2353,,                              0.05,,,                 -3405,                 31579,,
1515,2012年04月01日至2012年06月30日,,,,                905175,                905175,                   -177,                 27699,                877653,                877653,,,                694089,                694089,                183564,                183564,,,                 97767,,                 32038,,                 28706,                158511,                 25053,,,                 13410,,                  4903,,                 11885,,                     10,                  6438,                 31491,,                     22,                 31469,                 31469,,,,,,,                -65658,                -34189,,                 31686,                   -217,,                -35031,                    842,,                              0.14,,,                  3962,                -69620,,
1515,2012年01月01日至2012年12月31日,,,,              3399135,              3399135,                  9439,                 71616,              3318080,              3318080,,,              2619654,              2619654,                698426,                698325,,,                358798,,                123785,,                110245,                592828,                105497,,,                 20541,,                -16542,,                 47367,,                    708,                -42660,                 62837,,                   -158,                 62995,                 62995,,,,,,,                 24556,                 87551,,                 63574,                   -579,,                 86582,                    969,,                              0.35,,                    101,                -17013,                 35858,                  2819,                 -2892
1515,2012年01月01日至2012年09月30日,,,,              2432401,              2432401,                  9439,                 59438,              2363524,              2363524,,,              1870339,              1870339,                493185,                493185,,,                248522,,                 96870,,                 84387,                429779,                 63406,,,                 21039,,                 -6592,,                 35891,,                    370,                -21074,                 42332,,                 -5482,                 47814,                 47814,,,,,,,                 78527,                126341,,                 46728,                  1086,,                123668,                  2673,,                              0.21,,,                -12394,                 90921,,
1515,2012年01月01日至2012年06月30日,,,,              1639930,              1639930,                  9439,                 38877,              1591614,              1591614,,,              1256862,              1256862,                334752,                334752,,,                171345,,                 63803,,                 55860,                291008,                 43744,,,                 18592,,                 -4153,,                 24001,,                     17,                 -9545,                 34199,,                   -655,                 34854,                 34854,,,,,,,                 50353,                 85207,,                 34397,                    457,,                 84887,                    320,,                              0.15,,,                 -8989,                 59342,,
1515,2012年01月01日至2012年03月31日,,,,                734755,                734755,                  9616,                 11178,                713961,                713961,,,                562773,                562773,                151188,                151188,,,                 73578,,                 31765,,                 27154,                132497,                 18691,,,                  5182,,                 -9056,,                 12116,,                      7,                -15983,                  2708,,                   -677,                  3385,                  3385,,,,,,,                116011,                119396,,                  2711,                    674,,                119918,                   -522,,                              0.01,                562773,,                -12951,                128962,,
