證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2360,2014年01月01日至2014年06月30日,,,,              4660224,                  8636,                 17993,              4633595,              4633595,,,,              2876397,              1757198,                              0,              1757198,,,                595859,,                299898,,                380941,              1276698,                480500,,,,                 11215,                 14535,                 30726,                 18882,                 75358,,                  1127,                 12269,,                  4824,                  1736,,                              0,,                  2410,                  2410,                    819,,                  8635,                  8635,,                 41428,                108970,                589470,,                 89315,                500155,                500155,,,                 -9231,                -30277,,                  3998,                -35510,                -35510,                464645,,                512078,                -11923,,                476515,                -11870,,                              1.36,                              1.36,,                              1.33,                              1.33,                 13255,,,,,,
2360,2014年01月01日至2014年03月31日,,,,              2023343,                  4251,                 12991,              2006101,              2006101,,,              1250250,              1250250,                755851,,                755851,,,                275287,,                155613,,                181950,                612850,                143001,,,,                  5632,                  6064,,                  4964,                 16660,,                    263,                  1411,                 26959,                    828,                    462,,                              0,,                  2410,                  2410,                 26589,,,                  3228,,                 13983,                 54004,                197005,,                 25105,                171900,                171900,,,,,,,,                 47711,                219611,,                178306,                 -6406,,                225227,                 -5616,,                              0.48,                              0.48,,                              0.47,                              0.47,,,                 35817,                 11391,,,                    503
2360,2013年第3季,,,,              2706531,                  3630,                 19168,              2683733,              2683733,,,,              1779150,                904583,,                904583,,,                289651,,                159483,,                185482,                634616,                269967,,,,                  4183,                  9174,                  1161,                  3201,                 17719,,,                 28931,                              0,                    917,                  2355,                  4633,,,,                              0,                  7673,,                  2352,                  2352,,                 15409,                 38449,                308416,,                 35321,                273095,                273095,,,,,,,,                 35506,                308601,,                275854,                 -2759,,                311860,                 -3259,,                              0.74,                              0.74,,                              0.73,                              0.73,                 15187,,                -19758,                 53079,,,                  2185
2360,2013年第2季,,,,              2901575,                  6271,                  7201,              2888103,              2888103,,,,              1725080,              1163023,,              1163023,,,                270850,,                270527,,                184772,                726149,                436874,,,,                  3692,                  5995,                 22249,                  8049,                 39985,,,                  4973,                 12974,                    656,                 14492,                     -5,,,,                              0,                  4118,,                    340,                    340,,                 20954,                 64717,                501591,,                 79999,                421592,                421592,,,,,,,,                 78090,                499682,,                428437,                 -6845,,                506307,                 -6625,,                              1.15,                              1.15,,                              1.13,                              1.13,                     -2,,                 26456,                 47821,,,                  3813
2360,2013年度,,,,             10234844,                 17577,                 46636,             10170631,             10170631,,,,              6419811,              3750820,,              3750820,,,              1098997,,                769168,,                714156,              2582321,              1168499,,,,                 23335,                 27163,                 23790,                 28611,                102899,,                 21286,                 83191,                 18025,                  1820,                 13560,,,,                  2000,                  2000,                108762,,,                 14219,,                 51095,                248537,              1417036,,                237880,              1179156,              1179156,,,,,,,,                287363,              1466519,,              1204892,                -25736,,              1491388,                -24869,,                              3.21,                              3.21,,                              3.20,                              3.20,,                 51095,                 85763,                201001,                 -6023,,                  6622
2360,2013年07月01日至2013年09月30日,,,,              2706531,                  3630,                 19168,              2683733,              2683733,,,,              1779150,                904583,,                904583,,,                289651,,                159483,,                185482,                634616,                269967,,,,                  4183,                  9174,                  1161,                  3201,                 17719,,,                 28931,                              0,                    917,                  2355,                  4633,,,,,                  7673,,                  2352,                  2352,,                 15409,                 38449,                308416,,                 35321,                273095,                273095,,,,,,,,                 35506,                308601,,                275854,                 -2759,,                311860,                 -3259,,                              0.74,                              0.74,,                              0.73,                              0.73,                 15187,,                -19758,                 53079,,,                  2185
2360,2013年04月01日至2013年06月30日,,,,              2901575,                  6271,                  7201,              2888103,              2888103,,,,              1725080,              1163023,,              1163023,,,                270850,,                270527,,                184772,                726149,                436874,,,,                  3692,                  5995,                 22249,                  8049,                 39985,,,                  4973,                 12974,                    656,                 14492,                     -5,                              0,,,,                  4118,,                    340,                    340,,                 20954,                 64717,                501591,,                 79999,                421592,                421592,,,,,,,,                 78090,                499682,,                428437,                 -6845,,                506307,                 -6625,,                              1.15,                              1.15,,                              1.13,                              1.13,                     -2,,                 26456,                 47821,,,                  3813
2360,2013年01月01日至2013年12月31日,,,,             10234844,                 17577,                 46636,             10170631,             10170631,,,,              6419811,              3750820,,              3750820,,,              1098997,,                769168,,                714156,              2582321,              1168499,,,,                 23335,                 27163,                 23790,                 28611,                102899,,                 21286,                 83191,                 18025,                  1820,                 13560,                              0,,,                  2000,                  2000,                108762,,                 14219,                 14219,,                 51095,                248537,              1417036,,                237880,              1179156,              1179156,,,,,,,,                287363,              1466519,,              1204892,                -25736,,              1491388,                -24869,,                              3.21,                              3.21,,                              3.20,                              3.20,                              0,,                 85763,                201001,                 -6023,,                  6622
2360,2013年01月01日至2013年09月30日,,,,              7787673,                 15195,                 33770,              7738708,              7738708,,,,              4866140,              2872568,,              2872568,,,                817042,,                599111,,                526293,              1942446,                930122,,,,                 12140,                 21503,                 23410,                 19947,                 77000,,,                 41659,                  5852,                  1573,                 17211,                  4659,,,,                              0,                 27214,,                  6595,                  6595,,                 42987,                140606,              1070728,,                156088,                914640,                914640,,,,,,,,                176350,              1090990,,                922718,                 -8078,,              1098559,                 -7569,,                              2.46,                              2.46,,                              2.44,                              2.44,                              0,,                 52094,                115933,,,                  8323
2360,2013年01月01日至2013年06月30日,,,,              5081142,                 11565,                 14602,              5054975,              5054975,,,,              3086990,              1967985,,              1967985,,,                527391,,                439628,,                340811,              1307830,                660155,,,,                  7957,                 12329,                 22249,                 16746,                 59281,,,                 12728,                 21039,                    656,                 14856,                     26,,,,                              0,                 19541,,                  4243,                  4243,,                 27578,                102157,                762312,,                120767,                641545,                641545,,,,,,,,                140844,                782389,,                646864,                 -5319,,                786699,                 -4310,,                              1.73,                              1.73,,                              1.71,                              1.71,                              0,,                 71852,                 62854,,,                  6138
2360,2013年01月01日至2013年03月31日,,,,              2179567,                  5294,                  7401,              2166872,              2166872,,,              1361910,              1361910,                804962,,                804962,,,                256541,,                169101,,                156039,                581681,                223281,,,,                  4265,                  6334,,                  8697,                 19296,,                    -31,                  7755,                  8065,                              0,                    364,,                      2,,                              0,                              0,                 15423,,,                  3903,,                  6624,                 37440,                260721,,                 40768,                219953,                219953,,,,,,,,                 62754,                282707,,                218427,                  1526,,                280392,                  2315,,                              0.58,                              0.58,,                              0.58,                              0.58,,,                 45396,                 15033,,,                  2325
2360,2012年07月01日至2012年09月30日,,,,              3235362,                  4177,                    793,              3230392,              3230392,,,,              2260279,                970113,,                970113,,,                242089,,                179203,,                190024,                611316,                358797,,,,                  2532,                  6622,                 12344,                 25100,                 46598,,,                  7272,                              0,                    949,                  2453,                    453,,,,,                -17265,,                  2551,                  2551,,                  5162,                 31944,                390741,,                 75975,                314766,                314766,,,,,,,,                 37868,                352634,,                314407,                    359,,                352904,                   -270,,                              0.84,                              0.84,,                              0.83,                              0.83,                 22580,,                -24640,                 62508,,,                              0
2360,2012年04月01日至2012年06月30日,,,,              3091924,                  1597,                    495,              3089832,              3089832,,,,              2175233,                914599,,                914599,,,                224659,,                170191,,                174710,                569560,                345039,,,,                  3756,                  6608,                  1200,                  8635,                 20199,,,                  5887,                              0,                 -1592,                    455,                    345,                    237,,,,                 12646,,                  2675,                  2675,,                  9833,                 40003,                385042,,                100188,                284854,                284854,,,,,,,,                 -8982,                275872,,                284793,                     61,,                275469,                    403,,                              0.76,                              0.76,,                              0.75,                              0.75,                 -9388,,                 10213,                -19195,,,                              0
2360,2012年01月01日至2012年12月31日,,,,             11668456,                 20242,                  4706,             11643508,             11643508,,,,              8253868,              3389640,,              3389640,,,                947920,,                686876,,                680912,              2315708,              1073932,,,,                 14529,                 28154,                 13767,                 56713,                113163,,                              0,                 23409,                              0,                    543,                 29157,                  2188,,,                              0,                              0,                -53653,,                 10022,                 10022,,                 14938,                 64426,              1138358,,                222121,                916237,                916237,,,,,,,,                 26276,                942513,,                920328,                 -4091,,                947956,                 -5443,,                              2.46,                              2.46,,                              2.44,                              2.44,                 46260,,                -48096,                 87773,                -13401,,                              0
2360,2012年01月01日至2012年09月30日,,,,              9029747,                  9694,                  3616,              9016437,              9016437,,,,              6396159,              2620278,,              2620278,,,                694550,,                514183,,                519590,              1728323,                891955,,,,                  8542,                 20507,                 13635,                 36066,                 78750,,,                 13271,                              0,                    712,                 25620,                  1072,,,,,                -47006,,                  6632,                  6632,,                 16359,                 41471,                933426,,                216035,                717391,                717391,,,,,,,,                 61940,                779331,,                722402,                 -5011,,                785330,                 -5999,,                              1.93,                              1.93,,                              1.91,                              1.91,                 34297,,                -44188,                106128,,,                              0
2360,2012年01月01日至2012年06月30日,,,,              5794385,                  5517,                  2823,              5786045,              5786045,,,,              4135880,              1650165,,              1650165,,,                452461,,                334980,,                329566,              1117007,                533158,,,,                  6010,                 13885,                  1291,                 10966,                 32152,,,                  5999,                              0,                              0,                 23167,                    619,                    237,,,,                -29741,,                  4081,                  4081,,                 11197,                  9527,                542685,,                140060,                402625,                402625,,,,,,,,                 24072,                426697,,                407995,                 -5370,,                432426,                 -5729,,                              1.09,                              1.09,,                              1.08,                              1.08,                 11717,,                -19548,                 43620,,,                              0
2360,2012年01月01日至2012年03月31日,,,,              2702461,                  3920,                  2328,              2696213,              2696213,,,,              1960647,                735566,,                735566,,,                227802,,                164789,,                154856,                547447,                188119,,,,                  2254,                  7277,                     91,                  2331,                 11953,,,                    112,                              0,                  1592,                 22712,                    274,                              0,,,,                -42387,,                  1406,                  1406,,                  1364,                -30476,                157643,,                 39872,                117771,                117771,,,,,,,,                 33054,                150825,,                123202,                 -5431,,                156957,                 -6132,,                              0.33,                              0.33,,                              0.33,                              0.33,                 21105,                  1364,                -29761,                 62815,,,                              0
