證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　 其他綜合損益,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
6201,2013年07月01日至2013年09月30日,,                977991,,                838137,                139854,                139854,,,                 28058,,                 61976,,                 33900,                123934,                 15920,,,                  3281,,                 -3781,,                     95,                     95,                   -595,                 15325,,                  5080,                 10245,                 10245,,,,,,                 -8436,                  1809,,                 10245,,                  1809,,                              0.11,                              0.11,,                              0.11,                -10163,,                 -1727,,,,,,
6201,2013年04月01日至2013年06月30日,,                978013,,                826190,                151823,                151823,,,                 28740,,                 57914,,                 30562,                117216,                 34607,,,                  3606,,                  2419,,                    143,                    143,                  5882,                 40489,,                 13312,                 27177,                 27177,,,,,,                 12750,                 39927,,                 27177,,                 39927,,                              0.30,                              0.30,,                              0.30,                 15361,,                  2611,,,,,,
6201,2013年01月01日至2013年12月31日,,              3642635,,              3054448,                588187,                588187,,,                116790,,                237464,,                131223,                485477,                102710,,,                 13920,,                 15762,,                    491,                    491,                 29191,                131901,,                 29111,                102790,                102790,,,,,,                 48987,                151777,,                102790,,                151777,,                              1.15,                              1.15,,                              1.15,                 52901,                  6119,                 10033,,,,,,
6201,2013年01月01日至2013年09月30日,,              2776138,,              2355866,                420272,                420272,,,                 85403,,                177909,,                 94219,                357531,                 62741,,,                  9999,,                 10193,,                    415,                    415,                 19777,                 82518,,                 20281,                 62237,                 62237,,,,,,                 30983,                 93220,,                 62237,,                 93220,,                              0.70,                              0.70,,                              0.70,                 37329,,                  6346,,,,,,
6201,2013年01月01日至2013年06月30日,,              1798147,,              1517729,                280418,                280418,,,                 57345,,                115933,,                 60319,                233597,                 46821,,,                  6718,,                 13974,,                    320,                    320,                 20372,                 67193,,                 15201,                 51992,                 51992,,,,,,                 39419,                 91411,,                 51992,,                 91411,,                              0.58,                              0.58,,                              0.58,                 47492,,                  8073,,,,,,
6201,2013年01月01日至2013年03月31日,,                820134,,                691539,                128595,                128595,,,                 28605,,                 58019,,                 29757,                116381,                 12214,,,                  3112,,                 11555,,                    177,                    177,                 14490,                 26704,,                  1889,                 24815,                 24815,,,,,,                 26669,                 51484,,                 24815,,                 51484,,                              0.28,                              0.28,,                              0.28,                 32131,,                  5462,,                  3112,                              0,                              0,                              0,                              0
6201,2012年07月01日至2012年09月30日,,              1115374,,                915492,                199882,                199882,,,                 32307,,                 58736,,                 35367,                126410,                 73472,,,                  7128,,                 -8477,,                    601,                    601,                 -1950,                 71522,,                 14157,                 57365,                 57365,,,,,,                -16461,                 40904,,                 57365,,                 40904,,                              0.64,                              0.64,,                              0.64,                -19832,,                 -3371,,,,,,
6201,2012年04月01日至2012年06月30日,,              1231744,,              1024844,                206900,                206900,,,                 33121,,                 59503,,                 30077,                122701,                 84199,,,                  5663,,                  9375,,                    495,                    495,                 14543,                 98742,,                 20680,                 78062,                 78062,,,,,,                  5872,                 83934,,                 78062,,                 83934,,                              0.87,                              0.87,,                              0.87,                  7074,,                  1202,,,,,,
6201,2012年01月01日至2012年12月31日,,              4200760,,              3502908,                697852,                697852,,,                118463,,                229016,,                130225,                477704,                220148,,,                 28851,,                -22731,,                  1161,                  1161,                  4959,                225107,,                 48472,                176635,                176635,,,,,,                -26571,                150064,,                176635,,                150064,,                              1.98,                              1.98,,                              1.97,                -35933,                  3920,                 -5442,,,,,,
6201,2012年01月01日至2012年09月30日,,              3317260,,              2747266,                569994,                569994,,,                100452,,                173898,,                 96738,                371088,                198906,,,                 17415,,                -14269,,                  1416,                  1416,                  1730,                200636,,                 42241,                158395,                158395,,,,,,                -29746,                128649,,                158395,,                128649,,                              1.78,                              1.78,,                              1.77,                -35838,,                 -6092,,,,,,
6201,2012年01月01日至2012年06月30日,,              2201886,,              1831774,                370112,                370112,,,                 68145,,                115162,,                 61371,                244678,                125434,,,                 10287,,                 -5792,,                    815,                    815,                  3680,                129114,,                 28084,                101030,                101030,,,,,,                -13285,                 87745,,                101030,,                 87745,,                              1.13,                              1.13,,                              1.13,                -16006,,                 -2721,,,,,,
6201,2012年01月01日至2012年03月31日,,                970142,,                806930,                163212,                163212,,,                 35024,,                 55659,,                 31294,                121977,                 41235,,,                  4624,,                -14492,,                    995,                    995,                -10863,                 30372,,                  7404,                 22968,                 22968,,,,,,                -19157,                  3811,,                 22968,,                  3811,,                              0.26,                              0.26,,                              0.26,                -23080,,                 -3923,,                  4624,                              0,                              0,                              0,                              0
