證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
1340,2014年01月01日至2014年03月31日,,                517764,,                337070,                180694,                180694,,,                  3637,,                 23649,,                  5290,                 32576,                148118,,,                  2117,,                 73841,,                  1442,                 74516,                222634,,                 32697,                189937,                189937,,,                 -9930,                 -9930,                 -9930,                180007,,                189937,,                180007,,                              2.17,                              2.17,,                              2.17,                              2.17,,,
1340,2013年第3季,,                721971,,                446344,                275627,                275627,,,                  4291,,                 21247,,                  4644,                 30182,                245445,,,                  1561,,                 -1285,,                  1995,                 -1719,                243726,,                 39823,                203903,                203903,,,,,                -40153,                163750,,                203903,,                163750,,                              2.57,                              2.57,,                              2.56,                              2.56,                -40153,,
1340,2013年第2季,,                632358,,                402423,                229935,                229935,,,                  6987,,                 19406,,                  3773,                 30166,                199769,,,                  1275,,                -10278,,                  1773,                -10776,                188993,,                 31968,                157025,                157025,,,,,                 40873,                197898,,                157025,,                197898,,                              2.17,                              2.17,,                              2.17,                              2.17,                 40873,,
1340,2013年度,,              2673657,,              1701150,                972507,                972507,,,                 20885,,                 82443,,                 15471,                118799,                853708,,,                  6480,,                -12747,,                  7506,                -13773,                839935,,                138556,                701379,                701379,,,,,                117772,                819151,,                701379,,                819151,,                              9.17,                              9.17,,                              9.13,                              9.13,                117772,,
1340,2013年07月01日至2013年09月30日,,                721971,,                446344,                275627,                275627,,,                  4291,,                 21247,,                  4644,                 30182,                245445,,,                  1561,,                 -1285,,                  1995,                 -1719,                243726,,                 39823,                203903,                203903,,,,,                -40153,                163750,,                203903,,                163750,,                              2.82,                              2.82,,                              2.81,                              2.81,                -40153,                              0,                              0
1340,2013年01月01日至2013年12月31日,,              2673657,,              1701150,                972507,                972507,,,                 20885,,                 82443,,                 15471,                118799,                853708,,,                  6480,,                -12747,,                  7506,                -13773,                839935,,                138556,                701379,                701379,,,,,                117772,                819151,,                701379,,                819151,,                             10.08,                             10.08,,                             10.04,                             10.04,                117772,                              0,                              0
1340,2013年01月01日至2013年09月30日,,              1874054,,              1189807,                684247,                684247,,,                 12667,,                 55487,,                 11248,                 79402,                604845,,,                  3797,,                 -9708,,                  5692,                -11603,                593242,,                 98096,                495146,                495146,,,,,                 56672,                551818,,                495146,,                551818,,                              6.56,                              6.56,,                              6.53,                              6.53,                 56672,,
1340,2013年01月01日至2013年06月30日,,              1152083,,                743463,                408620,                408620,,,                  8376,,                 34240,,                  6604,                 49220,                359400,,,                  2236,,                 -8423,,                  3697,                 -9884,                349516,,                 58273,                291243,                291243,,,,,                 96825,                388068,,                291243,,                388068,,                              4.36,                              4.36,,                              4.35,                              4.35,                 96825,,
1340,2013年01月01日至2013年03月31日,,                519725,,                341040,                178685,                178685,,,                  1389,,                 14834,,                  2831,                 19054,                159631,,,                    961,,                  1855,,                  1924,                    892,                160523,,                 26305,                134218,                134218,,,,,                 55952,                190170,,                134218,,                190170,,                              2.19,                              2.19,,                              2.18,                              2.18,                 55952,,
1340,2012年07月01日至2012年09月30日,,                588133,,                394549,                193584,                193584,,,                  4470,,                 10687,,                  2377,                 17534,                176050,,,                    851,,                 -3251,,                  2045,                 -4445,                171605,,                 26132,                145473,                145473,,,,,                -49034,                 96439,,                143931,,                 95417,,                              2.42,                              2.42,,                              0.00,                              0.00,                -49034,                  1542,                  1022
1340,2012年01月01日至2012年12月31日,,              1404946,,                939509,                465437,                465437,,,                 15639,,                 25911,,                  6893,                 48443,                416994,,,                  2786,,                 -7617,,                  4882,                 -9713,                407281,,                 68438,                338843,                338843,,,,,                -12995,                325848,,                335185,,                322331,,                              5.63,                              5.63,,                              0.00,                              0.00,                -12995,                  3658,                  3517
1340,2012年01月01日至2012年09月30日,,                768130,,                513701,                254429,                254429,,,                  8172,,                 17254,,                  3107,                 28533,                225896,,,                  1868,,                 -3260,,                  2763,                 -4155,                221741,,                 32529,                189212,                189212,,,,,                -47586,                141626,,                187206,,                140125,,                              3.15,                              3.15,,                              0.00,                              0.00,                -47586,                  2006,                  1501
1340,2012年01月01日至2012年06月30日,,                179997,,                119152,                 60845,                 60845,,,                  3702,,                  6567,,                    730,                 10999,                 49846,,,                  1017,,                     -9,,                    718,                    290,                 50136,,                  6397,                 43739,                 43739,,,,,                  1448,                 45187,,                 43275,,                 44708,,                              0.73,                              0.73,,                              0.00,                              0.00,                  1448,                    464,                    479
