證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
3419,2014年01月01日至2014年03月31日,,,                478405,                478405,,,                396853,                396853,                 81552,                 81552,,,                 30658,,                 39878,,                 29121,                 99657,,,                    643,                -17462,,,                  3774,,                     -8,,                  3721,,                              0,                     45,                -17417,,                    186,                -17603,,                 -6358,                -23961,,,                   -116,                   -116,                   -116,                -24077,,                -23961,,                -24077,,                             -0.15,                             -0.05,                             -0.20,,                             -0.15,                             -0.05,                             -0.20,                              0,                              0,                              0,                              0,,,,,,,,
3419,2013年第3季,,,                580526,                580526,,,,                476900,                103626,                103626,,,                 33759,,                 41100,,                 28982,                103841,,                   -174,                   -174,                   -389,,,                  4201,,                 -4167,,                  3741,,                              0,                 -3707,                 -4096,,                   -237,                 -3859,,                -24109,                -27968,,,,,                -14280,                -42248,,                -27968,,                -42248,,                             -0.03,                             -0.21,                             -0.24,,                             -0.03,                             -0.21,                             -0.24,                              0,                              0,                              0,                              0,                -14280,,,,,,,
3419,2013年第2季,,,                503089,                503089,,,,                420531,                 82558,                 82558,,,                 38462,,                 44451,,                 29253,                112166,,                   -216,                   -216,                -29824,,,                  2979,,                 -2876,,                  3151,,                              0,                 -3048,                -32872,,                   -361,                -32511,,                -65724,                -98235,,,,,                 22681,                -75554,,                -98235,,                -75554,,                             -0.28,                             -0.58,                             -0.86,,                             -0.28,                             -0.58,                             -0.86,                              0,                              0,                              0,                              0,                 22681,,,,,,,
3419,2013年度,,,              2182271,              2182271,,,              1780861,              1780861,                401410,                401410,,,                145475,,                165808,,                115806,                427089,,                   -452,                   -452,                -26131,,,                 13744,,                 -3220,,                 14050,,                              0,                 -3526,                -29657,,                  3720,                -33377,,                -96425,               -129802,,,,,                 69601,                -60201,,               -129802,,                -60201,,                             -0.29,                             -0.82,                             -1.11,,                             -0.29,                             -0.82,                             -1.11,                              0,                              0,                              0,                              0,                 70920,                 -1319,,,,,,
3419,2013年07月01日至2013年09月30日,,,                721026,                721026,,,                611918,                611918,                109108,                109108,,,                 38194,,                 59525,,                 35082,                132801,,                   -219,                   -219,                -23912,,,                  4648,,                 -5869,,                  4069,,,                 -5290,                -29202,,                 -1234,                -27968,,,                -27968,,,,,                -14280,                -42248,,                -27968,,                -42248,,                             -0.24,,                             -0.24,,                             -0.24,,                             -0.24,                              0,                              0,                              0,                              0,                -14280,,                              0,                              0,,,,
3419,2013年04月01日至2013年06月30日,,,                697332,                697332,,,                599618,                599618,                 97714,                 97714,,,                 85236,,                 65798,,                 36413,                187447,,                 -1064,                 -1064,                -90797,,,                  3450,,                 -5084,,                  3340,,,                 -4974,                -95771,,                  2464,                -98235,,,                -98235,,,,,                 22681,                -75554,,                -98235,,                -75554,,                             -0.91,                              0.00,                             -0.91,,                             -0.91,                              0.00,                             -0.91,                              0,                              0,                              0,                              0,                 22681,,,,,,,
3419,2013年01月01日至2013年12月31日,,,              2914867,              2914867,,,              2440249,              2440249,                474618,                474618,,,                208726,,                246397,,                140711,                595834,,                 -1213,                 -1213,               -122429,,,                 21889,,                 -5695,,                 15017,,,                  1177,               -121252,,                  8550,               -129802,,,               -129802,,,,,                 69601,                -60201,,               -129802,,                -60201,,                             -1.11,,                             -1.11,,                             -1.11,,                             -1.11,                              0,                              0,                              0,                              0,                 70920,                 -1319,                              0,                              0,,                              0,,                              0
3419,2013年01月01日至2013年09月30日,,,              1652884,              1652884,,,,              1358894,                293990,                293990,,,                103584,,                126344,,                 84708,                314636,,                   -429,                   -429,                -21075,,,                 11510,,                 -2448,,                 10825,,                              0,                 -1763,                -22838,,                 -1325,                -21513,,               -101356,               -122869,,,,,                 48240,                -74629,,               -122869,,                -74629,,                             -0.19,                             -0.88,                             -1.07,,                             -0.19,                             -0.88,                             -1.07,                              0,                              0,                              0,                              0,                 48240,,,,,,,
3419,2013年01月01日至2013年06月30日,,,              1072358,              1072358,,,,                881994,                190364,                190364,,,                 69825,,                 85244,,                 55726,                210795,,                   -255,                   -255,                -20686,,,                  7309,,                  1719,,                  7084,,                              0,                  1944,                -18742,,                 -1088,                -17654,,                -77247,                -94901,,,,,                 62520,                -32381,,                -94901,,                -32381,,                             -0.15,                             -0.68,                             -0.83,,                             -0.15,                             -0.68,                             -0.83,                              0,                              0,                              0,                              0,                 62520,,,,,,,
3419,2013年01月01日至2013年03月31日,,,                757525,                757525,,,                619513,                619513,                138012,                138012,,,                 47555,,                 61324,,                 33050,                141929,,                    147,                    147,                 -3770,,,                  4483,,                  6341,,                  4041,,,                  6783,                  3013,,                   -321,                  3334,,,                  3334,,,,,                 39839,                 43173,,                  3334,,                 43173,,                              0.03,,                              0.03,,                              0.03,,                              0.03,                              0,                              0,                              0,                              0,                 39839,,                              0,                              0,,,,
3419,2012年07月01日至2012年09月30日,,,                899880,                899880,,,                743175,                743175,                156705,                156705,,,                 39511,,                 68433,,                 31758,                139702,,                   -615,                   -615,                 16388,,,                  4473,,                   -890,,                  7463,,,                 -3880,                 12508,,                  1448,                 11060,,,                 11060,,,,,                -14005,                 -2945,,                 11060,,                 -2945,,                              0.10,,                              0.10,,                              0.11,,                              0.11,                              0,                              0,                              0,                              0,                -14005,,                              0,                              0,,,,
3419,2012年04月01日至2012年06月30日,,,              1000711,              1000711,,,                838550,                838550,                162161,                162161,,,                 44118,,                 64735,,                 34941,                143794,,                  2251,                  2251,                 20618,,,                  7694,,                  8237,,                  7241,,,                  8690,                 29308,,                  6073,                 23235,,,                 23235,,,,,                  5391,                 28626,,                 23235,,                 28626,,                              0.23,                              0.00,                              0.23,,                              0.22,                              0.00,                              0.22,                              0,                              0,                              0,                              0,                  5391,,,,,,,
3419,2012年01月01日至2012年12月31日,,,              3848196,              3848196,,,              3168831,              3168831,                679365,                679365,,,                162978,,                273910,,                137189,                574077,,                  9026,                  9026,                114314,,,                 19412,,                  1084,,                 27024,,,                 -6528,                107786,,                 15616,                 92170,,,                 92170,,,,,                -41836,                 50334,,                 92170,,                 50334,,                              0.90,,                              0.90,,                              0.86,,                              0.86,                              0,                              0,                              0,                              0,                -40721,                 -1115,                              0,                              0,,                              0,,                              0
3419,2012年01月01日至2012年09月30日,,,              2870593,              2870593,,,              2394903,              2394903,                475690,                475690,,,                112990,,                202538,,                 99367,                414895,,                  1034,                  1034,                 61829,,,                 14197,,                    700,,                 21353,,,                 -6456,                 55373,,                 14883,                 40490,,,                 40490,,,,,                -39969,                    521,,                 40490,,                    521,,                              0.37,,                              0.37,,                              0.34,,                              0.34,                              0,                              0,                              0,                              0,                -39969,,                              0,                              0,,,,
3419,2012年01月01日至2012年06月30日,,,              1970713,              1970713,,,              1651728,              1651728,                318985,                318985,,,                 73479,,                134105,,                 67609,                275193,,                  1649,                  1649,                 45441,,,                  9724,,                  1590,,                 13890,,,                 -2576,                 42865,,                 13435,                 29430,,,                 29430,,,,,                -25964,                  3466,,                 29430,,                  3466,,                              0.29,                              0.00,                              0.29,,                              0.28,                              0.00,                              0.28,                              0,                              0,                              0,                              0,                -25964,,,,,,,
3419,2012年01月01日至2012年03月31日,,,                970108,                970108,,,                813284,                813284,                156824,                156824,,,                 29361,,                 69370,,                 32668,                131399,,,,                 25425,,,                  2030,,                 -7249,,                  6649,,,                -11868,                 13557,,                  7362,                  6195,,,                  6195,,,,,                -31355,                -25160,,                  6195,,                -25160,,                              0.06,                              0.00,                              0.06,,,,                              0.06,,                              0,,                              0,                -31355,,,,,,,
