證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3004,2014年01月01日至2014年03月31日,,,,                348161,                348161,                348161,                348161,,                217405,                130756,                130756,,,                  8497,,                 35898,,                 13502,                 57897,                 72859,,,                    303,,                  6419,,                  5118,                  1604,                 74463,,                 14686,                 59777,                 59777,,,                    613,                    104,                    509,                    509,                 60286,,                 59777,                              0,,                 60286,                              0,,                              1.43,,                              1.41,,,
3004,2013年第3季,,,,,,,                238190,,                174026,                 64164,                 64164,,,                  7371,,                 22966,,                 11790,                 42127,                 22037,,,                    191,,                 -2457,,                  4719,                 -6985,                 15052,,                  3691,                 11361,                 11361,,,,,,                   -720,                 10641,,                 11361,                              0,,                 10641,                              0,,                              0.27,,                              0.27,                   -807,                              0,                    -87
3004,2013年第2季,,,,,,,                250265,,                176586,                 73679,                 73679,,,                 14336,,                 21372,,                 12085,                 47793,                 25886,,,                    242,,                  2299,,                  4912,                 -2371,                 23515,,                  5689,                 17826,                 17826,,,,,,                  1442,                 19268,,                 17826,                              0,,                 19268,                              0,,                              0.43,,                              0.42,                  1677,,                    235
3004,2013年度,,,,,,,              1064425,,                733184,                331241,                331241,,,                 31546,,                110511,,                 44732,                186789,                144452,,,                  1170,,                 13940,,                 20216,                 -5106,                139346,,                 28595,                110751,                110751,,,,,,                  2424,                113175,,                110751,                              0,,                113175,                              0,,                              2.66,,                              2.60,                  2051,                    869,                    496
3004,2013年07月01日至2013年09月30日,,,,,,,                238190,,                174026,                 64164,                 64164,,,                  7371,,                 22966,,                 11790,                 42127,                 22037,,,                    191,,                 -2457,,                  4719,                 -6985,                 15052,,                  3691,                 11361,                 11361,,,,,,                   -720,                 10641,,                 11361,                              0,,                 10641,                              0,,                              0.27,,                              0.27,                   -807,,                    -87
3004,2013年04月01日至2013年06月30日,,,,,,,                250265,,                176586,                 73679,                 73679,,,                 14336,,                 21372,,                 12085,                 47793,                 25886,,,                    242,,                  2299,,                  4912,                 -2371,                 23515,,                  5689,                 17826,                 17826,,,,,,                  1442,                 19268,,                 17826,                              0,,                 19268,                              0,,                              0.43,,                              0.42,                  1677,,                    235
3004,2013年01月01日至2013年12月31日,,,,,,,              1064425,,                733184,                331241,                331241,,,                 31546,,                110511,,                 44732,                186789,                144452,,,                  1170,,                 13940,,                 20216,                 -5106,                139346,,                 28595,                110751,                110751,,,,,,                  2424,                113175,,                110751,                              0,,                113175,                              0,,                              2.66,,                              2.60,                  2051,                    869,                    496
3004,2013年01月01日至2013年09月30日,,,,,,,                788156,,                552796,                235360,                235360,,,                 24838,,                 71425,,                 32587,                128850,                106510,,,                    587,,                  7879,,                 14621,                 -6155,                100355,,                 21098,                 79257,                 79257,,,,,,                    990,                 80247,,                 79257,                              0,,                 80247,                              0,,                              1.90,,                              1.87,                  1193,                              0,                    203
3004,2013年01月01日至2013年06月30日,,,,,,,                549966,,                378770,                171196,                171196,,,                 17467,,                 48459,,                 20797,                 86723,                 84473,,,                    396,,                 10336,,                  9902,                    830,                 85303,,                 17407,                 67896,                 67896,,,,,,                  1710,                 69606,,                 67896,                              0,,                 69606,                              0,,                              1.63,,                              1.60,                  2000,,                    290
3004,2013年01月01日至2013年03月31日,,,,,,,                299701,,                202184,                 97517,                 97517,,,                  3131,,                 27087,,                  8712,                 38930,                 58587,,,                    154,,                  8037,,                  4990,                  3201,                 61788,,                 11718,                 50070,                 50070,,,,,,                    268,                 50338,,                 50070,                              0,,                 50338,                              0,,                              1.21,,                              1.18,                    323,,                     55
3004,2012年07月01日至2012年09月30日,,,,,,,                311577,,                214267,                 97310,                 97310,,,                  4575,,                 24981,,                 12010,                 41566,                 55744,,,                     64,,                 -2973,,                  4720,                 -7629,                 48115,,                  7400,                 40715,                 40715,,,,,,                   -317,                 40398,,                 40715,                              0,,                 40398,                              0,,                              0.98,,                              0.96,                   -373,,                    -56
3004,2012年04月01日至2012年06月30日,,,,,,,                301231,,                201758,                 99473,                 99473,,,                  7428,,                 28940,,                  9499,                 45867,                 53606,,,                    247,,                  1033,,                  4546,                 -3266,                 50340,,                  9631,                 40709,                 40709,,,,,,                    390,                 41099,,                 40709,                              0,,                 41099,                              0,,                              1.00,,                              0.96,                    461,,                     71
3004,2012年01月01日至2012年12月31日,,,,,,,              1252504,,                825966,                426538,                426538,,,                 26634,,                114527,,                 42531,                183692,                242846,,,                    678,,                 -6530,,                 18602,                -24454,                218392,,                 38911,                179481,                179481,,,,,,                    687,                180168,,                179481,                              0,,                180168,                              0,,                              4.36,,                              4.22,                    -88,                    916,                    141
3004,2012年01月01日至2012年09月30日,,,,,,,                937151,,                630724,                306427,                306427,,,                 20939,,                 78135,,                 31756,                130830,                175597,,,                    428,,                 -5277,,                 14277,                -19126,                156471,,                 28031,                128440,                128440,,,,,,                    -67,                128373,,                128440,                              0,,                128373,                              0,,                              3.13,,                              3.03,                    -81,,                    -14
3004,2012年01月01日至2012年06月30日,,,,,,,                625574,,                416457,                209117,                209117,,,                 16364,,                 53154,,                 19746,                 89264,                119853,,,                    364,,                 -2304,,                  9557,                -11497,                108356,,                 20631,                 87725,                 87725,,,,,,                    250,                 87975,,                 87725,                              0,,                 87975,                              0,,                              2.15,,                              2.07,                    292,,                     42
3004,2012年01月01日至2012年03月31日,,,,,,,                324343,,                214699,                109644,                109644,,,                  8936,,                 24214,,                 10247,                 43397,                 66247,,,                    117,,                 -3337,,                  5011,                 -8231,                 58016,,                 11000,                 47016,                 47016,,,,,,                   -140,                 46876,,                 47016,                              0,,                 46876,                              0,,                              1.15,,                              1.11,                   -169,,                    -29
