證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2115,2014年01月01日至2014年03月31日,,                629072,,                499254,                129818,                129818,,,                 23814,,                 42042,,                  5326,                 71182,                 58636,,,                  3911,,                    547,,                  2172,                  2286,                 60922,,                 13462,                 47460,                 47460,,,                 33540,                 33540,,                -33974,                -33974,                   -434,                 47026,,                 47460,,                 47026,,                              0.67,,                              0.67,,,
2115,2013年第3季,,                599162,,                497939,                101223,                101223,,,                 20145,,                 36111,,                  6346,                 62602,                 38621,,,                  4311,,                -12719,,                  2500,                -10908,                 27713,,                 11417,                 16296,                 16296,,,,,,,,                -19225,                 -2929,,                 16296,,                 -2929,,                              0.27,,                              0.27,                -19225,,
2115,2013年第2季,,                569012,,                473047,                 95965,                 95965,,,                 18977,,                 35317,,                  5939,                 60233,                 35732,,,                  5598,,                 -6949,,                  1920,                 -3271,                 32461,,                 11349,                 21112,                 21112,,,,,,,,                 21800,                 42912,,                 21112,,                 42912,,                              0.35,,                              0.35,                 21800,,
2115,2013年度,,              2400859,,              1956765,                444094,                444094,,,                 86562,,                137984,,                 24949,                249495,                194599,,,                 22748,,                -46990,,                  8553,                -32795,                161804,,                 54979,                106825,                106825,,,,,,,,                 73192,                180017,,                106825,,                180017,,                              1.69,,                              1.69,                 73244,                    -92,                    -40
2115,2013年07月01日至2013年09月30日,,                599162,,                497939,                101223,                101223,,,                 20145,,                 36111,,                  6346,                 62602,                 38621,,,                  4311,,                -12719,,                  2500,                -10908,                 27713,,                 11417,                 16296,                 16296,,,,,,,,                -19225,                 -2929,,                 16296,,                 -2929,,                              0.27,,                              0.27,                -19225,,
2115,2013年01月01日至2013年12月31日,,              2400859,,              1956765,                444094,                444094,,,                 83471,,                141075,,                 24949,                249495,                194599,,,                 22748,,                -46990,,                  8553,                -32795,                161804,,                 54979,                106825,                106825,,,,,,,,                 73192,                180017,,                106825,,                180017,,                              1.77,,                              1.77,                 73244,                    -92,                    -40
2115,2013年01月01日至2013年09月30日,,              1757312,,              1444470,                312842,                312842,,,                 60037,,                107410,,                 19037,                186484,                126358,,,                 12902,,                -24358,,                  5958,                -17414,                108944,,                 35644,                 73300,                 73300,,,,,,,,                 48843,                122143,,                 73300,,                122143,,                              1.16,,                              1.16,                 48843,,
2115,2013年01月01日至2013年06月30日,,              1158150,,                946531,                211619,                211619,,,                 39892,,                 71299,,                 12691,                123882,                 87737,,,                  8591,,                -11639,,                  3458,                 -6506,                 81231,,                 24227,                 57004,                 57004,,,,,,,,                 68068,                125072,,                 57004,,                125072,,                              0.95,,                              0.95,                 68068,,
2115,2013年01月01日至2013年03月31日,,                589138,,                473484,                115654,                115654,,,                 20915,,                 35982,,                  6752,                 63649,                 52005,,,                  2993,,                 -4690,,                  1538,                 -3235,                 48770,,                 12878,                 35892,                 35892,,,,,,,,                 46268,                 82160,,                 35892,,                 82160,,                              0.60,,                              0.60,                 46268,,
2115,2012年07月01日至2012年09月30日,,                498835,,                415294,                 83541,                 83541,,,                 18352,,                 34327,,                  5744,                 58423,                 25118,,,                  2469,,                   -259,,                  2138,                     72,                 25190,,                  6237,                 18953,                 18953,,,,,,,,                -27708,                 -8755,,                 18953,,                 -8755,,                              0.32,,                              0.32,                -27708,,
2115,2012年01月01日至2012年12月31日,,              2163061,,              1778370,                384691,                384691,,,                 78506,,                148903,,                 24125,                251534,                133157,,,                 12293,,                   -901,,                  7891,                  3501,                136658,,                 45893,                 90765,                 90765,,,,,,,,                -49805,                 40960,,                 90765,,                 40960,,                              1.51,,                              1.51,                -51192,                  1654,                    267
2115,2012年01月01日至2012年09月30日,,              1626112,,              1347308,                278804,                278804,,,                 59371,,                110296,,                 17930,                187597,                 91207,,,                 11070,,                    -58,,                  6378,                  4634,                 95841,,                 33298,                 62543,                 62543,,,,,,,,                -50348,                 12195,,                 62543,,                 12195,,                              1.04,,                              1.04,                -50348,,
