證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 稀釋繼續營業單位淨利（淨損）
2208,2013年07月01日至2013年09月30日,,              6085799,,              5970840,                114959,                114959,,,                 17038,,                 66988,,                 26697,                110723,                  4236,,,                 23900,,                 32979,,                  4186,,,                 52693,                 56929,,                  8557,                 48372,                 48372,                 48372,,                 48101,                    271,,                 48101,                    271,,                              0.06,                              0.06,,,                              0.06,,,,,                              0.06
2208,2013年04月01日至2013年06月30日,,              6146797,,              5889207,                257590,                257590,,,                 21406,,                 72669,,                 17775,                111850,                145740,,,                 23646,,                 12488,,                  4183,,,                 31951,                177691,,                 25199,                152492,                152492,                152492,,                150316,                  2176,,                150316,                  2176,,                              0.20,                              0.20,,,                              0.20,,,,,                              0.20
2208,2013年01月01日至2013年12月31日,,             24892573,,             24033879,                858694,                858694,,,                 88888,,                310214,,                117669,                516771,                341923,,,                 92285,,                 84917,,                 16722,,,                160480,                502403,,                 62602,                439801,                439801,                478057,,                436902,                  2899,,                475158,                  2899,,                              0.59,                              0.59,,,                              0.59,,                 46092,                  7836,                 38256,                              0.59
2208,2013年01月01日至2013年09月30日,,             18374131,,             17696526,                677605,                677605,,,                 58632,,                209497,,                 65819,                333948,                343657,,,                 66437,,                 51969,,                 12546,,,                105860,                449517,,                 68740,                380777,                380777,                380777,,                378188,                  2589,,                378188,                  2589,,                              0.51,                              0.51,,,                              0.51,,,,,                              0.51
2208,2013年01月01日至2013年06月30日,,             12288332,,             11725686,                562646,                562646,,,                 41594,,                142509,,                 39122,                223225,                339421,,,                 42537,,                 18990,,                  8360,,,                 53167,                392588,,                 60183,                332405,                332405,                332405,,                330087,                  2318,,                330087,                  2318,,                              0.44,                              0.44,,,                              0.44,,,,,                              0.44
2208,2013年01月01日至2013年03月31日,,              6141535,,              5836479,                305056,                305056,,,                 20188,,                 69840,,                 21347,                111375,                193681,,,                 18891,,                  6502,,                  4177,,,                 21216,                214897,,                 34984,                179913,                179913,                179913,,                179771,                    142,,                179771,                    142,,                              0.24,                              0.24,,,                              0.24,,,,,                              0.24
2208,2012年07月01日至2012年09月30日,,              7924044,,              7600420,                323624,                323624,,,                 17434,,                 67926,,                 35726,                121086,                202538,,,                 24477,,                 10579,,                  4740,,,                 30316,                232854,,                 31325,                201529,                201529,                201529,,                200217,                  1312,,                200217,                  1312,,                              0.27,                              0.27,,,                              0.27,,,,,                              0.27
2208,2012年04月01日至2012年06月30日,,              8297436,,              7934751,                362685,                362685,,,                 19116,,                 69327,,                 29153,                117596,                245089,,,                 17948,,                 14233,,                  4731,,,                 27450,                272539,,                106290,                166249,                166249,                166249,,                165073,                  1176,,                165073,                  1176,,                              0.22,                              0.22,,,                              0.22,,,,,                              0.22
2208,2012年01月01日至2012年12月31日,,             30945055,,             29725434,              1219621,              1219621,,,                 77415,,                279602,,                163508,                520525,                699096,,,                110234,,                 51091,,                 19038,,,                142287,                841383,,                156897,                684486,                684486,                688439,,                680142,                  4344,,                684095,                  4344,,                              0.91,                              0.91,,,                              0.91,,                  4763,                    810,                  3953,                              0.91
2208,2012年01月01日至2012年09月30日,,             24043045,,             23043874,                999171,                999171,,,                 56265,,                201968,,                 94456,                352689,                646482,,,                 63891,,                 38937,,                 14301,,,                 88527,                735009,,                179398,                555611,                555611,                555611,,                552594,                  3017,,                552594,                  3017,,                              0.74,                              0.74,,,                              0.74,,,,,                              0.74
2208,2012年01月01日至2012年06月30日,,             16119001,,             15436290,                682711,                682711,,,                 38831,,                134042,,                 58730,                231603,                451108,,,                 39414,,                 21194,,                  9561,,,                 51047,                502155,,                148073,                354082,                354082,                354082,,                352377,                  1705,,                352377,                  1705,,                              0.47,                              0.47,,,                              0.47,,,,,                              0.47
2208,2012年01月01日至2012年03月31日,,              7821565,,              7501539,                320026,                320026,,,                 19715,,                 64715,,                 29577,                114007,                206019,,,                 21466,,                  6961,,                  4830,,,                 23597,                229616,,                 41783,                187833,                187833,                187833,,                187304,                    529,,                187304,                    529,,                              0.25,                              0.25,,,                              0.25,,,,,                              0.25
