證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
2440,2013年04月01日至2013年06月30日,,                596585,,                513345,                 83240,                 83240,,,                 16179,,                 38908,,                  4915,                 60002,                 23238,,,,,                -44861,,                  2576,,,                -47437,                -24199,,                  1514,                -25713,                -25713,,,,,,,                -28564,                -54277,,                -23551,,                -52878,,                             -0.17,                  6281,                -34845,,,                 -2162,                 -1399
2440,2013年01月01日至2013年12月31日,,              2171502,,              2033135,                138367,                138367,,,                 69275,,                146421,,                 20928,                236624,                -98257,,,,,                 29905,,                 10631,,,                 19274,                -78983,,                  5346,                -84329,                -84329,,,,,,,                 46216,                -38113,,                -75963,,                -33143,,                             -0.55,                 29125,                 17387,                   -296,,                 -8366,                 -4970
2440,2013年01月01日至2013年09月30日,,              1590149,,              1513112,                 77037,                 77037,,,                 52451,,                113455,,                 16306,                182212,               -105175,,,                  1492,,                 21487,,                  8174,,                              0,                 14805,                -90370,,                  5284,                -95654,                -95654,,,,,,,                     77,                -95577,,                -87242,,                -90561,,                             -0.63,                 21499,                -21422,,,                 -8412,                 -5016
2440,2013年01月01日至2013年06月30日,,              1007580,,                965482,                 42098,                 42098,,,                 29635,,                 79298,,                  8352,                117285,                -75187,,,                    990,,                  7587,,                  5638,,                              0,                  2939,                -72248,,                  2229,                -74477,                -74477,,,,,,,                  2974,                -71503,,                -66623,,                -67701,,                             -0.48,                 28381,                -25407,,,                 -7854,                 -3802
2440,2013年01月01日至2013年03月31日,,                410995,,                442147,                -31152,                -31152,,,                 13456,,                 40390,,                  3437,                 57283,                -88435,,,                    472,,                 42976,,                  3062,,                              0,                 40386,                -48049,,                    715,                -48764,                -48764,,,,,,,                 31538,                -17226,,                -43072,,                -14823,,                             -0.31,                 22100,                  9438,,,                 -5692,                 -2403
2440,2012年07月01日至2012年09月30日,,                570028,,                543361,                 26667,                 26667,,,                 39007,,                 28229,,                  3114,                 70350,                -43683,,,,,                  6685,,                  2861,,,                  3824,                -39859,,                 -4075,                -35784,                -35784,,,,,,,                 -1237,                -37021,,                -35089,,                -35657,,                             -0.25,                 -7115,                  5878,,,                   -695,                 -1364
2440,2012年04月01日至2012年06月30日,,                553231,,                555563,                 -2332,                 -2332,,,                 11292,,                 44569,,                  5535,                 61396,                -63728,,,,,                 19703,,                  2676,,,                 17027,                -46701,,                 -4123,                -42578,                -42578,,,,,,,                  7255,                -35323,,                -43296,,                -37552,,                             -0.41,                  4609,                  2646,,,                    718,                  2229
2440,2012年01月01日至2012年12月31日,,              2171582,,              2097954,                 73628,                 73628,,,                 44481,,                188150,,                  4208,                236839,               -163211,,,,,                 -3771,,                 11224,,,                -14995,               -178206,,                  7468,               -185674,               -185674,,,,,,,                -12499,               -198173,,               -189162,,               -199107,,                             -1.36,                -21325,                 11509,                 -2683,,                  3488,                    934
2440,2012年01月01日至2012年09月30日,,              1614278,,              1561275,                 53003,                 53003,,,                 57042,,                118219,,                  9148,                184409,               -131406,,,,,                 23571,,                  8437,,,                 15134,               -116272,,                 -9907,               -106365,               -106365,,,,,,,                 -4787,               -111152,,               -109756,,               -112156,,                             -0.79,                -18138,                 13351,,,                  3391,                  1004
2440,2012年01月01日至2012年06月30日,,              1044250,,              1017914,                 26336,                 26336,,,                 18035,,                 90422,,                  6034,                114491,                -88155,,,,,                 17318,,                  5576,,,                 11742,                -76413,,                 -5832,                -70581,                -70581,,,,,,,                 -3550,                -74131,,                -74667,,                -76499,,                             -0.54,                -11023,                  7473,,,                  4086,                  2368
2440,2012年01月01日至2012年03月31日,,                491019,,                462351,                 28668,                 28668,,,                  6743,,                 45853,,                    499,                 53095,                -24427,,,                  4401,,                 -6786,,                  2900,,,                 -5285,                -29712,,                 -1709,                -28003,                -28003,,,,,,,                -10805,                -38808,,                -31371,,                -38947,,                             -0.23,                -15632,                  4827,,,                  3368,                    139
