證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 處分不動產、廠房及設備損失,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　　 什項支出,　　　 外幣兌換損失
4919,2014年01月01日至2014年06月30日,,              3511258,,              1990038,              1521220,              1521220,,,                125941,,                183575,,              1006276,              1315792,                205428,,,,                  8113,                 39600,                  3388,                 51101,,                   -160,                      1,                  4118,                 -2174,                  1785,,                    238,                    238,,                 10318,                 62966,                268394,,                 43674,                224720,                224720,,,,,,                  2558,                  2558,                  2558,                227278,,                224720,,                227278,,                              1.08,                              1.08,,                              1.07,                              1.07,,,,,,,,
4919,2014年01月01日至2014年03月31日,,              1617630,,                925261,                692369,                692369,,,                 61429,,                 84766,,                495286,                641481,                 50888,,,,                  3780,,                  1163,                  4943,,                     14,,                  8581,,                   -263,,,,,                  4670,                  9350,                 60238,,                 15997,                 44241,                 44241,,,,,,                 17580,                 17580,                 17580,                 61821,,                 44241,,                 61821,,                              0.21,                              0.21,,                              0.21,                              0.21,                  8858,,,,,,,
4919,2013年第3季,,              1744452,,              1044190,                700262,                700262,,,                 53737,,                 93302,,                413672,                560711,                139551,,,,                  4068,                     26,                  1196,                  5290,,                     23,                     -4,                 -5655,                  5878,                    242,,,,,                  3648,                  9180,                148731,,                 94102,                 54629,                 54629,,,,,,,,                 -4934,                 49695,,                 54629,,                 49695,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,                              0,                 -4934,,,
4919,2013年第2季,,              1900549,,              1097707,                802842,                802842,,,                 59846,,                 89122,,                477486,                626454,                176388,,,,                  4439,                 25600,                  1024,                 31063,,                   -507,                 -2053,                  6419,                 -4742,                 -1666,,,,,                  8300,                 37697,                214085,,                 99419,                114666,                114666,,,,,,,,                 11026,                125692,,                114666,,                125692,,                              0.55,                              0.55,,                              0.55,                              0.55,,,,                    783,                 11026,,,
4919,2013年度,,              6809449,,              4023208,              2786241,              2786241,,,                228566,,                343253,,              1782576,              2354395,                431846,,,,                 16910,                 25626,                  4274,                 46810,,,                 -2250,                 19695,,                  3535,,,,,                 16094,                 66439,                498285,,                239070,                259215,                259215,,,,,,,,                 54757,                313972,,                259215,,                313972,,                              1.25,                              1.25,,                              1.24,                              1.24,                 11281,                  1846,,                    783,                 53743,                  1014,,
4919,2013年07月01日至2013年09月30日,,              1744452,,              1044190,                700262,                700262,,,                 53737,,                 93302,,                413672,                560711,                139551,,,,                  4068,                     26,                  1196,                  5290,,                     23,                     -4,                 -5655,                  5878,                    242,,,,,                  3648,                  9180,                148731,,                 94102,                 54629,                 54629,,,,,,,,                 -4934,                 49695,,                 54629,,                 49695,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,                              0,                 -4934,,,
4919,2013年04月01日至2013年06月30日,,              1900549,,              1097707,                802842,                802842,,,                 59846,,                 89122,,                477486,                626454,                176388,,,,                  4439,                 25600,                  1024,                 31063,,                   -507,                 -2053,                  6419,                 -4742,                 -1666,,,,,                  8300,                 37697,                214085,,                 99419,                114666,                114666,,,,,,,,                 11026,                125692,,                114666,,                125692,,                              0.55,                              0.55,,                              0.55,                              0.55,,,,                    783,                 11026,,,
4919,2013年01月01日至2013年12月31日,,              6809449,,              4023208,              2786241,              2786241,,,                228566,,                343253,,              1782576,              2354395,                431846,,,,                 16910,                 25626,                  4274,                 46810,,                 -1846,                 -2250,                 19695,                -11281,                  3535,,,,,                 16094,                 66439,                498285,,                239070,                259215,                259215,,,,,,,,                 54757,                313972,,                259215,,                313972,,                              1.25,                              1.25,,                              1.24,                              1.24,,,,                    783,                 53743,                  1014,,
4919,2013年01月01日至2013年09月30日,,              5283645,,              3114355,              2169290,              2169290,,,                164134,,                265796,,              1334995,              1764925,                404365,,,,                 13111,                 25626,                  2690,                 41427,,                 -2271,                 -2057,                 14476,                -10212,                   -847,,,,,                 12996,                 53576,                457941,,                223021,                234920,                234920,,,,,,,,                 37899,                272819,,                234920,,                272819,,                              1.13,                              1.13,,                              1.12,                              1.12,,,,                    783,                 37899,,,
4919,2013年01月01日至2013年06月30日,,              3539193,,              2070165,              1469028,              1469028,,,                110397,,                172494,,                921323,              1204214,                264814,,,,                  9043,                 25600,                  1494,                 36137,,                 -2294,                 -2053,                 20131,                -16090,                 -1089,,,,,                  9348,                 44396,                309210,,                128919,                180291,                180291,,,,,,,,                 42833,                223124,,                180291,,                223124,,                              0.87,                              0.87,,                              0.87,                              0.87,,,,                    783,                 42833,,,
4919,2013年01月01日至2013年03月31日,,              1638644,,                972458,                666186,                666186,,,                 50551,,                 83372,,                443837,                577760,                 88426,,,,                  4604,,                    470,                  5074,,                 -1787,,                 13712,,                    577,,,,,                  1048,                  6699,                 95125,,                 29500,                 65625,                 65625,,,,,,,,                 31807,                 97432,,                 65625,,                 97432,,                              0.32,                              0.32,,                              0.32,                              0.32,                 11348,,,,                 31807,,,
4919,2012年07月01日至2012年09月30日,,              1935005,,              1135297,                799708,                799708,,,                 50079,,                 93077,,                443007,                586163,                213545,,,,                  5745,                    100,                  5285,                 11130,,                    188,                              0,                 -8835,                  4729,                 -3918,,,,,                  2687,                  9899,                223444,,                 42039,                181405,                181405,,,,,,,,                -16882,                164523,,                181405,,                164523,,                              0.88,                              0.88,,                              0.87,                              0.87,,,,                              0,                -16882,,,
4919,2012年04月01日至2012年06月30日,,              2237233,,              1289933,                947300,                947300,,,                 57245,,                 91891,,                465530,                614666,                332634,,,,                  5253,                              0,                  3353,                  8606,,                 13158,                    191,                 12027,                -11574,                 13802,,,,,                  7894,                 30302,                362936,,                 54236,                308700,                308700,,,,,,,,                 -3879,                304821,,                308700,,                304821,,                              1.48,                              1.48,,                              1.48,                              1.48,,,,                              0,                 -3879,,,
4919,2012年01月01日至2012年12月31日,,              7412789,,              4398146,              3014643,              3014643,,,                207542,,                335415,,              1757078,              2300035,                714608,,,,                 19445,                    100,                 16504,                 36049,,                 13309,                    191,                -11549,                  9606,                 11557,,,,,                 14458,                 62064,                776672,,                146858,                629814,                629814,,,,,,,,               -127967,                501847,,                629814,,                501847,,                              3.03,                              3.03,,                              3.00,                              3.00,,,,                              0,                -29557,                -98410,,
4919,2012年01月01日至2012年09月30日,,              5811223,,              3403084,              2408139,              2408139,,,                155980,,                265595,,              1320318,              1741893,                666246,,,,                 15091,                    100,                 10396,                 25587,,                 15640,                    191,                 -8961,                  4963,                 11833,,,,,                 12003,                 49423,                715669,,                126838,                588831,                588831,,,,,,,,                -35927,                552904,,                588831,,                552904,,                              2.84,                              2.84,,                              2.80,                              2.80,,,,                              0,                -35927,,,
4919,2012年01月01日至2012年06月30日,,              3876218,,              2267787,              1608431,              1608431,,,                105901,,                172518,,                877311,              1155730,                452701,,,,                  9346,                              0,                  5111,                 14457,,                 15452,                    191,                   -126,                    234,                 15751,,,,,                  9316,                 39524,                492225,,                 84799,                407426,                407426,,,,,,,,                -19045,                388381,,                407426,,                388381,,                              1.96,                              1.96,,                              1.95,                              1.95,,,,                              0,                -19045,,,
4919,2012年01月01日至2012年03月31日,,              1638985,,                977854,                661131,                661131,,,                 48656,,                 80627,,                411781,                541064,                120067,,,,                  4246,,                  1811,                  6057,,                  2294,,                              0,                 11808,                  1896,,                    153,                    153,,                  1422,                  9222,                129289,,                 30563,                 98726,                 98726,,,,,,,,                -15166,                 83560,,                 98726,,                 83560,,                              0.48,                              0.48,,                              0.47,                              0.47,                              0,                              0,,,                -15166,,                     53,                 12153
