證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1727,2014年01月01日至2014年03月31日,,                470824,,                397370,                 73454,                 73454,,,                 28893,,                 11755,,                  4896,                 45544,                 27910,,,                    860,,                 -1055,,                  1166,                 -1361,                 26549,,                  4400,                 22149,                 22149,,,                   -248,                    -34,                   -214,                   -214,                 21935,,                 21972,                    177,,                 21804,                    131,,                              0.21,,,,,                              0,                              0,,                              0,,                              0,,                              0,,,
1727,2013年第3季,,                510357,,                421154,                 89203,                 89203,,,                 28865,,                 10958,,                  8479,                 48302,                 40901,,,                  1096,,                 -2397,,                  1318,                 -2619,                 38282,,                  4680,                 33602,                 33602,,,,,,                    -50,                 33552,,                 34220,                   -618,,                 34182,                   -630,,                              0.33,,,,,,,,,,,,,                    -58,,                     -8
1727,2013年第2季,,                518218,,                442851,                 75367,                 75367,,,                 28993,,                 11823,,                  7028,                 47844,                 27523,,,                  1013,,                 -2612,,                  1145,                 -2744,                 24779,,                  4450,                 20329,                 20329,,,,,,                    168,                 20497,,                 20610,                   -281,,                 20741,                   -244,,                              0.21,,,,,,,,,,,,,                    195,,                     27
1727,2013年度,,              2080288,,              1751648,                328640,                328640,,,                117941,,                 45244,,                 31336,                194521,                134119,,,                  6545,,                 -3441,,                  5131,                 -2027,                132092,,                 24222,                107870,                107870,,,,,,                    993,                108863,,                109130,                 -1260,,                109768,                   -905,,                              1.04,,,,,                              0,                              0,,                              0,,                              0,,                              0,                  1901,                   -777,                    131
1727,2013年07月01日至2013年09月30日,,                510357,,                421154,                 89203,                 89203,,,                 28865,,                 10958,,                  8479,                 48302,                 40901,,,                  1096,,                 -2397,,                  1318,                 -2619,                 38282,,                  4680,                 33602,                 33602,,,,,,                    -50,                 33552,,                 34220,                   -618,,                 34182,                   -630,,                              0.34,,,,,,,,,,,,,                    -58,,                     -8
1727,2013年04月01日至2013年06月30日,,                518218,,                442851,                 75367,                 75367,,,                 28993,,                 11823,,                  7028,                 47844,                 27523,,,                  1013,,                 -2612,,                  1145,                 -2744,                 24779,,                  4450,                 20329,                 20329,,,,,,                    168,                 20497,,                 20610,                   -281,,                 20741,                   -244,,                              0.22,,,,,                              0,                              0,,                              0,,                              0,,                              0,                    195,,                     27
1727,2013年01月01日至2013年12月31日,,              2080288,,              1751648,                328640,                328640,,,                117941,,                 45244,,                 31336,                194521,                134119,,,                  6545,,                 -3441,,                  5131,                 -2027,                132092,,                 24222,                107870,                107870,,,,,,                    993,                108863,,                109130,                 -1260,,                109768,                   -905,,                              1.09,,,,,                              0,                              0,,                              0,,                              0,,                              0,                  1901,                   -777,                    131
1727,2013年01月01日至2013年09月30日,,              1546462,,              1303209,                243253,                243253,,,                 87474,,                 34250,,                 22421,                144145,                 99108,,,                  3583,,                 -8160,,                  3737,                 -8314,                 90794,,                 14000,                 76794,                 76794,,,,,,                  1041,                 77835,,                 77837,                 -1043,,                 78654,                   -819,,                              0.74,,,,,,,,,,,,,                  1208,,                    167
1727,2013年01月01日至2013年06月30日,,              1036105,,                882055,                154050,                154050,,,                 58609,,                 23292,,                 13942,                 95843,                 58207,,,                  2487,,                 -5763,,                  2419,                 -5695,                 52512,,                  9320,                 43192,                 43192,,,,,,                  1091,                 44283,,                 43617,                   -425,,                 44472,                   -189,,                              0.44,,,,,,,,,,,,,                  1266,,                    175
1727,2013年01月01日至2013年03月31日,,                517887,,                439204,                 78683,                 78683,,,                 29616,,                 11469,,                  6914,                 47999,                 30684,,,                  1474,,                 -3151,,                  1274,                 -2951,                 27733,,                  4870,                 22863,                 22863,,,,,,                    923,                 23786,,                 23007,                   -144,,                 23731,                     55,,                              0.23,,,,,                              0,                              0,,                              0,,                              0,,                              0,                  1071,                              0,                    148
1727,2012年07月01日至2012年09月30日,,                599423,,                511899,                 87524,                 87524,,,                 34856,,                  9471,,                  4756,                 49083,                 38441,,,                  1384,,                 -3502,,                  1803,                 -3921,                 34520,,                 10884,                 23636,                 23636,,,,,,                   -197,                 23439,,                 23898,                   -262,,                 23744,                   -305,,                              0.24,,,,,,,,,,,,,                   -228,,                    -31
1727,2012年04月01日至2012年06月30日,,                560909,,                478820,                 82089,                 82089,,,                 29946,,                  9611,,                  4056,                 43613,                 38476,,,                  1680,,                 -1938,,                    989,                 -1247,                 37229,,                  4197,                 33032,                 33032,,,,,,                    -13,                 33019,,                 33483,                   -451,,                 33473,                   -454,,                              0.36,,,,,                              0,                              0,,                              0,,                              0,,                              0,                    -15,,                     -2
1727,2012年01月01日至2012年12月31日,,              2194510,,              1867879,                326631,                326631,,,                120675,,                 38081,,                 18258,                177014,                149617,,,                  6451,,                -11564,,                  5733,                -10846,                138771,,                 27247,                111524,                111524,,,,,,                 -2877,                108647,,                113110,                 -1586,,                110470,                 -1823,,                              1.13,,,,,                              0,                              0,,                              0,,                              0,,                              0,                 -1270,                 -2147,                   -540
1727,2012年01月01日至2012年09月30日,,              1669006,,              1425202,                243804,                243804,,,                 92781,,                 28432,,                 13644,                134857,                108947,,,                  4685,,                 -8412,,                  4362,                 -8089,                100858,,                 20381,                 80477,                 80477,,,,,,                 -1080,                 79397,,                 81541,                 -1064,,                 80695,                 -1298,,                              0.82,,,,,,,,,,,,,                 -1253,,                   -173
1727,2012年01月01日至2012年06月30日,,              1069583,,                913303,                156280,                156280,,,                 57925,,                 18961,,                  8888,                 85774,                 70506,,,                  3301,,                 -4910,,                  2559,                 -4168,                 66338,,                  9497,                 56841,                 56841,,,,,,                   -883,                 55958,,                 57643,                   -802,,                 56951,                   -993,,                              0.62,,,,,                              0,                              0,,                              0,,                              0,,                              0,                 -1025,,                   -142
1727,2012年01月01日至2012年03月31日,,                508674,,                434483,                 74191,                 74191,,,                 27979,,                  9350,,                  4832,                 42161,                 32030,,,                  1621,,                 -2972,,                  1570,                 -2921,                 29109,,                  5300,                 23809,                 23809,,,,,,                   -870,                 22939,,                 24160,                   -351,,                 23478,                   -539,,                              0.26,,,,,,,,,,,,,                 -1010,,                   -140
