證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1473,2014年01月01日至2014年03月31日,,              2711834,,              2099656,                612178,                612178,,,                427830,,                150813,,                 22326,                600969,                 11209,,,                 25744,,                 22464,,                 13602,                 34606,                 45815,,                 47888,                 -2073,                 -2073,,,                 24535,                     24,                 24559,                 24559,                 22486,,                 80733,                -82806,,                105292,                -82806,,                              0.56,                              0.56,,                              0.55,                              0.55,,,,,,
1473,2013年第3季,,              2275462,,              1807720,                467742,                467742,,,                358390,,                141987,,                 19406,                519783,                -52041,,,                 15354,,                -18869,,                 11922,                -15437,                -67478,,                  8876,                -76354,                -76354,,,,,,                -30098,               -106452,,                  8136,                -84490,,                -21962,                -84490,,                              0.06,                              0.06,,                              0.06,                              0.06,,                              0,                -30081,                    -17,,
1473,2013年第2季,,              2208645,,              1667821,                540824,                540824,,,                412548,,                147747,,                 18883,                579178,                -38354,,,                 15087,,                  7642,,                 11896,                 10833,                -27521,,                 23000,                -50521,                -50521,,,,,,                 22473,                -28048,,                 37865,                -88386,,                 60338,                -88386,,                              0.26,                              0.26,,                              0.26,                              0.26,,                              0,                 26610,                 -4137,,
1473,2013年度,,              9333749,,              6948170,              2385579,              2385579,,,              1676999,,                592962,,                 78348,              2348309,                 37270,,,                 78966,,                -12988,,                 48615,                 16993,                 54263,,                128904,                -74641,                -74641,,,,,,                135001,                 60360,,                235351,               -309992,,                370352,               -309992,,                              1.62,                              1.62,,                              1.61,                              1.61,,                   -370,                 97595,                  4941,                 40298,                  7833
1473,2013年07月01日至2013年09月30日,,              2275462,,              1807720,                467742,                467742,,,                358390,,                141987,,                 19406,                519783,                -52041,,,                 15354,,                -18869,,                 11922,                -15437,                -67478,,                  8876,                -76354,                -76354,,,,,,                -30098,               -106452,,                  8136,                -84490,,                -21962,                -84490,,                              0.06,                              0.06,,                              0.06,                              0.06,,                              0,                -30081,                    -17,,
1473,2013年04月01日至2013年06月30日,,              2208645,,              1667821,                540824,                540824,,,                412548,,                147747,,                 18883,                579178,                -38354,,,                 15087,,                  7642,,                 11896,                 10833,                -27521,,                 23000,                -50521,                -50521,,,,,,                 22473,                -28048,,                 37865,                -88386,,                 60338,                -88386,,                              0.26,                              0.26,,                              0.26,                              0.26,,                              0,                 26610,                 -4137,,
1473,2013年01月01日至2013年12月31日,,              9333749,,              6948170,              2385579,              2385579,,,              1676999,,                592962,,                 78348,              2348309,                 37270,,,                 78966,,                -12988,,                 48615,                 16993,                 54263,,                128904,                -74641,                -74641,,,,,,                135001,                 60360,,                235351,               -309992,,                370352,               -309992,,                              1.62,                              1.62,,                              1.61,                              1.61,,                   -370,                 97595,                  4941,                 40298,                  7833
1473,2013年01月01日至2013年09月30日,,              7268814,,              5488754,              1780060,              1780060,,,              1238261,,                461593,,                 57816,              1757670,                 22390,,,                 47676,,                 13287,,                 35868,                 24725,                 47115,,                 87078,                -39963,                -39963,,,,,,                 73452,                 33489,,                196875,               -236838,,                270327,               -236838,,                              1.36,                              1.36,,                              1.35,                              1.35,,                   -370,                 68677,                  4775,,
1473,2013年01月01日至2013年06月30日,,              4993352,,              3681034,              1312318,              1312318,,,                879871,,                319606,,                 38410,              1237887,                 74431,,,                 32322,,                 32156,,                 23946,                 40162,                114593,,                 78202,                 36391,                 36391,,,,,,                103550,                139941,,                188739,               -152348,,                292289,               -152348,,                              1.30,                              1.30,,                              1.30,                              1.30,,                   -370,                 98758,                  4792,,
1473,2013年01月01日至2013年03月31日,,              2784707,,              2013213,                771494,                771494,,,                467323,,                171859,,                 19527,                658709,                112785,,,                 17235,,                 24514,,                 12050,                 29329,                142114,,                 55202,                 86912,                 86912,,,,,,                 81077,                167989,,                150874,                -63962,,                231951,                -63962,,                              1.04,                              1.04,,                              1.03,                              1.03,,                   -370,                 72148,                  8929,,
1473,2012年07月01日至2012年09月30日,,              3189945,,              2495124,                694821,                694821,,,                377156,,                255224,,                 16333,                648713,                 46108,,,                 21315,,                 13012,,                 10391,                 24154,                 70262,,                 23602,                 46660,                 46660,,,,,,                -46463,                    197,,                 84049,                -37389,,                 37586,                -37389,,                              0.58,                              0.58,,                              0.58,                              0.58,,                    218,                -46459,                     -4,,
1473,2012年04月01日至2012年06月30日,,              2065199,,              1626072,                439127,                439127,,,                412228,,                169133,,                 16590,                597951,               -158824,,,                 32250,,                 10325,,                  7380,                 34374,               -124450,,                 14970,               -139420,               -139420,,,,,,                 23381,               -116039,,                -49599,                -89821,,                -26218,                -89821,,                             -0.34,                             -0.34,,                             -0.34,                             -0.34,,                   -821,                 23339,                     42,,
1473,2012年01月01日至2012年12月31日,,             10998936,,              8283099,              2715837,              2715837,,,              1964203,,                689009,,                 67776,              2720988,                 -5151,,,                126646,,                 32182,,                 36515,                117300,                112149,,                 88336,                 23813,                 23813,,,,,,                -99435,                -75622,,                175632,               -151819,,                 76197,               -151819,,                              1.21,                              1.21,,                              1.20,                              1.20,,                 -5013,                -87068,                 -2113,                -12354,                 -2100
1473,2012年01月01日至2012年09月30日,,              8283916,,              6367943,              1915973,              1915973,,,              1339387,,                597154,,                 49962,              1986503,                -70530,,,                 84469,,                 17485,,                 27827,                 73237,                  2707,,                 81586,                -78879,                -78879,,,,,,                -83954,               -162833,,                 89876,               -168755,,                  5922,               -168755,,                              0.62,                              0.62,,                              0.61,                              0.61,,                   -890,                -84045,                     91,,
1473,2012年01月01日至2012年06月30日,,              5093971,,              3872819,              1221152,              1221152,,,                962231,,                341930,,                 33629,              1337790,               -116638,,,                 63154,,                  4473,,                 17436,                 49083,                -67555,,                 57984,               -125539,               -125539,,,,,,                -37491,               -163030,,                  5827,               -131366,,                -31664,               -131366,,                              0.04,                              0.04,,                              0.04,                              0.04,,                 -1108,                -37586,                     95,,
1473,2012年01月01日至2012年03月31日,,              3028772,,              2246747,                782025,                782025,,,                550003,,                172797,,                 17039,                739839,                 42186,,,                 30904,,                 -5852,,                 10056,                 14709,                 56895,,                 43014,                 13881,                 13881,,,,,,                -60872,                -46991,,                 55426,                -41545,,                 -5446,                -41545,,                              0.38,                              0.38,,                              0.38,                              0.38,,                   -287,                -60925,                     53,,
