證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
2107,2014年01月01日至2014年03月31日,,                821519,,                381881,                439638,                439638,,,                 38505,,                 50858,,                  3036,                 92399,                347239,,,                  8236,,                 11094,,                    973,,                    837,                 19194,                366433,,                 21675,                344758,                344758,,,                -72341,                 -1027,                -71314,                -71314,                273444,,                344758,                              0,,                273444,                              0,,                              0.69,,                              0.69,,,,
2107,2013年第3季,,                942727,,                409595,                533132,                533132,,,                 39351,,                 46339,,                  4194,                 89884,                443248,,,                 40004,,                 -4205,,                  1493,,                  6965,                 41271,                484519,,                 34236,                450283,                450283,,,,,,                 60054,                510337,,                450283,                              0,,                510337,                              0,,                              0.91,,                              0.90,                 60042,,                    -12,
2107,2013年第2季,,              1611366,,                546722,              1064644,              1064644,,,                 76426,,                 59241,,                  3807,                139474,                925170,,,                  3784,,                 14810,,                    966,,                   -236,                 17392,                942562,,                 73310,                869252,                869252,,,,,,                  9420,                878672,,                869252,                              0,,                878672,                              0,,                              1.75,,                              1.75,                 10573,,                  1153,
2107,2013年度,,              4120132,,              1734477,              2385655,              2385655,,,                190588,,                193157,,                 16319,                400064,              1985591,,,                 55263,,                 52871,,                  4705,,                 10810,                114239,              2099830,,                173372,              1926458,              1926458,,,,,,                287139,              2213597,,              1926466,                     -8,,              2213605,                     -8,,                              3.87,,                              3.87,                304039,                -13361,                  3539,
2107,2013年07月01日至2013年09月30日,,                942727,,                409595,                533132,                533132,,,                 39351,,                 46339,,                  4194,                 89884,                443248,,,                 40004,,                 -4205,,                  1493,,                  6965,                 41271,                484519,,                 34236,                450283,                450283,,,,,,                 60054,                510337,,                450283,                              0,,                510337,                              0,,                              0.91,,,                 60042,,                    -12,
2107,2013年04月01日至2013年06月30日,,              1611366,,                546722,              1064644,              1064644,,,                 76426,,                 59241,,                  3807,                139474,                925170,,,                  3784,,                 14810,,                    966,,                   -236,                 17392,                942562,,                 73310,                869252,                869252,,,,,,                  9420,                878672,,                869252,                              0,,                878672,                              0,,                              1.75,,,                 10573,,                  1153,
2107,2013年01月01日至2013年12月31日,,              4120132,,              1734477,              2385655,              2385655,,,                190588,,                193157,,                 16319,                400064,              1985591,,,                 55263,,                 52871,,                  4705,,                 10810,                114239,              2099830,,                173372,              1926458,              1926458,,,,,,                287139,              2213597,,              1926466,                     -8,,              2213597,,,                              3.87,,,                304039,                -13361,                  3539,
2107,2013年01月01日至2013年09月30日,,              3157507,,              1287706,              1869801,              1869801,,,                152965,,                153502,,                 11859,                318326,              1551475,,,                 47172,,                 81607,,                  3769,,                  8255,                133265,              1684740,,                124018,              1560722,              1560722,,,,,,                180289,              1741011,,              1560722,                              0,,              1741011,                              0,,                              3.14,,                              3.13,                184944,,                  4655,
2107,2013年01月01日至2013年06月30日,,              2214780,,                878111,              1336669,              1336669,,,                113614,,                107163,,                  7665,                228442,              1108227,,,                  7168,,                 85812,,                  2276,,                  1290,                 91994,              1200221,,                 89782,              1110439,              1110439,,,,,,                120235,              1230674,,              1110439,                              0,,              1230674,                              0,,                              2.23,,                              2.23,                124902,,                  4667,
2107,2013年01月01日至2013年03月31日,,                603414,,                331389,                272025,                272025,,,                 37188,,                 47922,,                  3858,                 88968,                183057,,,                  3384,,                 71002,,                  1310,,                  1526,                 74602,                257659,,                 16472,                241187,                241187,,,,,,                110815,                352002,,                241187,                              0,,                352002,                              0,,                              0.49,,                              0.49,                114329,,,                 -3514
2107,2012年07月01日至2012年09月30日,,                845129,,                402760,                442369,                442369,,,                 30613,,                 55171,,                  4489,                 90273,                352096,,,                 36255,,                  2632,,                  5043,,                  5014,                 38858,                390954,,                 25995,                364959,                364959,,,,,,                141462,                506421,,                364959,                              0,,                506421,                              0,,                              0.73,,,                142829,,                  1367,
2107,2012年04月01日至2012年06月30日,,              1342852,,                576842,                766010,                766010,,,                 55997,,                 74247,,                  4002,                134246,                631764,,,                  3110,,                  5667,,                    531,,                     41,                  8287,                640051,,                 48337,                591714,                591714,,,,,,                -45726,                545988,,                591714,                              0,,                545988,                              0,,                              1.19,,,                -48254,,                 -2528,
2107,2012年01月01日至2012年12月31日,,              3423409,,              1675852,              1747557,              1747557,,,                147098,,                217411,,                 15994,                380503,              1367054,,,                 50774,,                 -3703,,                  7848,,                  3663,                 42886,              1409940,,                108228,              1301712,              1301712,,,,,,                229737,              1531449,,              1301719,                     -7,,              1531449,,,                              2.62,,,                229951,                  1653,                  1867,
2107,2012年01月01日至2012年09月30日,,              2598979,,              1291139,              1307840,              1307840,,,                108198,,                169856,,                 11726,                289780,              1018060,,,                 46935,,                  4400,,                  5638,,                  4423,                 50120,              1068180,,                 82008,                986172,                986172,,,,,,                235411,              1221583,,                986172,                              0,,              1221583,                              0,,                              1.98,,,                236998,,                  1587,
2107,2012年01月01日至2012年06月30日,,              1753850,,                888379,                865471,                865471,,,                 77585,,                114685,,                  7237,                199507,                665964,,,                 10680,,                  1768,,                    595,,                   -591,                 11262,                677226,,                 56013,                621213,                621213,,,,,,                 93949,                715162,,                621213,                              0,,                715162,                              0,,                              1.25,,,                 94169,,                    220,
2107,2012年01月01日至2012年03月31日,,                410998,,                311537,                 99461,                 99461,,,                 21588,,                 40438,,                  3235,                 65261,                 34200,,,                  7570,,                 -3899,,                     64,,                   -632,                  2975,                 37175,,                  7676,                 29499,                 29499,,,,,,                139675,                169174,,                 29499,                              0,,                169174,                              0,,                              0.06,,,                142423,,,                 -2748
