證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 研究發展費用,　　　 研究發展費用合計
4904,2013年度,,             89670579,,             52904612,             36765967,             36765967,,,             15457215,,              5830054,             21287269,             15478698,,,                311234,,               -989159,,                118018,,               -128365,               -924308,             14554390,,              2648007,             11906383,             11906383,,,,,,,,,               -189171,             11717212,,             11829195,                 77188,,             11639600,                 77612,,,                              3.63,,,                              3.63,                    448,                -69498,                -78949,                 17368,,                -52041,                  6499,,
4904,2013年07月01日至2013年09月30日,,             22124259,,             12590595,              9533664,              9533664,,,              3881870,,              1384695,              5266565,              4267099,,,                 88667,,               -374121,,                 35380,,                -27968,               -348802,              3918297,,                713964,              3204333,              3204333,,,,,,,,,               -202981,              3001352,,              3185232,                 19101,,              2982551,                 18801,,,                              0.98,,,                              0.98,                 -1430,               -232455,                 39636,,,                 -9157,                   -425,,
4904,2013年04月01日至2013年06月30日,,             22100586,,             12904500,              9196086,              9196086,,,              3901196,,              1303441,              5204637,              3991449,,,                 79431,,               -192415,,                 12291,,                -22559,               -147834,              3843615,,                698901,              3144714,              3144714,,,,,,,,,                 16829,              3161543,,              3130022,                 14692,,              3146451,                 15092,,,                              0.96,,,                              0.96,                  1820,                 52452,                -27698,,,                 -9231,                    514,,
4904,2013年01月01日至2013年12月31日,,             89670579,,             52904612,             36765967,             36765967,,,             15457215,,              5830054,             21287269,             15478698,,,                311234,,             -1055330,,                118018,,               -128365,               -990479,             14488219,,              2641558,             11846661,             11846661,,,,,,,,,               -189171,             11657490,,             11770520,                 76141,,             11580925,                 76565,,,                              3.61,,,                              3.61,                    448,                -69498,                -78949,                 17368,,                -52041,                  6499,,
4904,2013年01月01日至2013年09月30日,,             66310632,,             38946096,             27364536,             27364536,,,             11357794,,              4180814,             15538608,             11825928,,,                239158,,               -732469,,                 58294,,                -72009,               -623614,             11202314,,              2039113,              9163201,              9163201,,,,,,,,,               -177718,              8985483,,              9101872,                 61329,,              8924412,                 61071,,,                              2.79,,,                              2.79,                   -718,                -54493,                -77992,,,                -41953,                  2562,,
4904,2013年01月01日至2013年06月30日,,             44186373,,             26355501,             17830872,             17830872,,,              7475924,,              2796119,             10272043,              7558829,,,                150491,,               -360416,,                 22914,,                -44041,               -276880,              7281949,,              1325149,              5956800,              5956800,,,,,,,,,                 25263,              5982063,,              5914596,                 42204,,              5939817,                 42246,,,                              1.82,,,                              1.81,                    712,                177962,               -117628,,,                -32796,                  2987,,
4904,2013年01月01日至2013年03月31日,,             22085787,,             13451001,              8634786,              8634786,,,              3574728,,              1474091,              5067406,              3567380,,,                 71060,,               -172042,,                 10623,,                -21482,               -133087,              3434293,,                626248,              2808045,              2808045,,,,,,,,,                  8434,              2816479,,              2780578,                 27467,,              2789370,                 27109,,,                              0.85,,,                              0.85,                 -1108,                125510,                -89930,,,                -23565,                  2473,,                 18587
4904,2012年07月01日至2012年09月30日,,             21633534,,             12522303,              9111231,              9111231,,,              4015840,,              1280527,              5296367,              3814864,,,                 83036,,               -189439,,                 10526,,                -19202,               -136131,              3678733,,                669874,              3008859,              3008859,,,,,,,,,                 80821,              3089680,,              2994789,                 14070,,              3075564,                 14116,,,                              0.92,,,                              0.92,                    463,                 68661,                 40949,,,                -28455,                    797,,
4904,2012年04月01日至2012年06月30日,,             21375200,,             12512791,              8862409,              8862409,,,              3624819,,              1489568,              5114387,              3748022,,,                 75503,,               -376608,,                 12347,,                -60373,               -373825,              3374197,,                633747,              2740450,              2740450,,,,,,,,,               -110202,              2630248,,              2749174,                 -8724,,              2639004,                 -8756,,,                              0.84,,,                              0.84,                   -116,                -27982,                -25899,,,                -56634,                   -429,,
4904,2012年01月01日至2012年12月31日,,             86665697,,             51495918,             35169779,             35169779,,,             15789094,,              5632728,             21421822,             13747957,,,                306578,,               -909680,,                 46511,,                -89217,               -738830,             13009127,,              2374676,             10634451,             10634451,,,,,,,,,                 15625,             10650076,,             10591519,                 42932,,             10606276,                 43800,,,                              3.25,,,                              3.25,                 -2068,                 98967,                 87644,                -65867,,               -113387,                -10336,,
4904,2012年01月01日至2012年09月30日,,             64285404,,             37827349,             26458055,             26458055,,,             11466298,,              4310260,             15776558,             10681497,,,                230526,,               -779356,,                 36676,,                -76325,               -661831,             10019666,,              1834590,              8185076,              8185076,,,,,,,,,                 97719,              8282795,,              8163707,                 21369,,              8261642,                 21153,,,                              2.51,,,                              2.50,                 -1994,                115272,                 68600,,,                -85089,                   -930,,
4904,2012年01月01日至2012年06月30日,,             42651870,,             25305046,             17346824,             17346824,,,              7450458,,              3029733,             10480191,              6866633,,,                147490,,               -589917,,                 26150,,                -57123,               -525700,              6340933,,              1164716,              5176217,              5176217,,,,,,,,,                 16898,              5193115,,              5168918,                  7299,,              5186078,                  7037,,,                              1.59,,,                              1.58,                 -2457,                 46611,                 27651,,,                -56634,                 -1727,,
4904,2012年01月01日至2012年03月31日,,             21276670,,             12792255,              8484415,              8484415,,,              3825639,,              1526639,              5365804,              3118611,,,                 71987,,               -213309,,                 13803,,                  3250,               -151875,              2966736,,                530969,              2435767,              2435767,,,,,,,,,                127100,              2562867,,              2419744,                 16023,,              2547074,                 15793,,,                              0.74,,,                              0.74,                 -2341,                 74593,                 53550,,,                              0,                 -1298,,                 13526
