證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 遞延所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 共同控制下前手權益（淨利／損）
2637,2014年01月01日至2014年03月31日,,              2130891,,              1703142,                427749,                427749,,                 37479,                390270,,,,                 24042,                848696,                872738,,                  6319,,                  4338,                497536,,               -496172,,                191060,                191060,                185506,                575776,,                    143,                    143,                575633,                575633,,,                -55153,                -41734,                -96887,                -96887,                478746,,                568113,                  7520,,                468163,                 10583,,                              1.23,,                              1.12,,                              0,,                  9293,,                              0,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
2637,2013年第3季,,              2121243,,              1707816,                413427,                413427,,                 34352,                379075,,,,                 20748,                -12113,                  8635,,                -12304,                -32259,                -22132,                  2448,,                -69143,,                177729,                177729,               -238237,                140838,,,                              0,                140838,                140838,,,,,,               -507126,               -366288,,                136410,                  4428,,               -368821,                  2533,,                              0.32,,                              0.32,,                              0,,,,                              0,,                              0,,,,,,,,,,,,               -485829,                -21297,                              0,                              0,,,,,
2637,2013年第2季,,              2053327,,              1625973,                427354,                427354,,                 42089,                385265,,,,                 18756,                 14751,                 33507,,                    608,                 81194,                 26209,                    712,                              0,                107299,,                157916,                157916,                -17110,                368155,,,                              0,                368155,                368155,,,,,,              1553526,              1921681,,                351844,                 16311,,              1904739,                 16942,,                              0.85,,                              0.80,,                              0,,                              0,,                              0,,                              0,,,,                              0,,,,,,,,              1353162,                200364,                              0,                              0,,                              0,,,
2637,2013年度,,              8327523,,              6640688,              1686835,              1686835,,                148026,              1538809,,,,                 80017,                319590,                399607,,                 82492,                325642,                 51400,                221028,,                238506,,                678206,                678206,                -40093,              1498716,,,                    195,              1498521,              1498521,,,,,,              6194469,              7692990,,              1439155,                 59366,,              7630947,                 62043,,                              3.35,,                              3.21,,,,,,,,,,,,,,,,,,,,              5410609,                785959,                 -2099,,,,,,
2637,2013年07月01日至2013年09月30日,,              2121243,,              1707816,                413427,                413427,,                 34352,                379075,,,,                 20748,                              0,                 20748,,                              0,                              0,                              0,                 14561,                 22132,                -81256,,                177729,                177729,               -238237,                140838,,,                              0,                140838,                140838,,,,,,               -507126,               -366288,,                136410,                  4428,,               -368821,                  2533,,                              0.33,,                              0.33,,,                 12304,                 32259,,                              0,,                              0,,,,                              0,,,,,,,,               -485829,                -21297,                              0,,,                              0,,,                              0
2637,2013年04月01日至2013年06月30日,,              2053327,,              1625973,                427354,                427354,,                 42089,                385265,,,,                 18756,                 14751,                 33507,,                    608,                 81194,                 26209,                    712,                              0,                107299,,                157916,                157916,                -17110,                368155,,,                              0,                368155,                368155,,,,,,              1553526,              1921681,,                351844,                 16311,,              1904739,                 16942,,                              0.89,,                              0.84,,,,                              0,,,,,,,,,,,,,,,,              1353162,                200364,                              0,,,,,,
2637,2013年01月01日至2013年12月31日,,              8327523,,              6640688,              1686835,              1686835,,                148026,              1538809,,,,                 80017,                319590,                399607,,                 82492,                325642,                 51400,                221028,,                238506,,                678206,                678206,                -40093,              1498716,,,                    195,              1498521,              1498521,,,,,,              6194469,              7692990,,              1439155,                 59366,,              7630947,                 62043,,                              3.43,,                              3.29,,,,,,,,,,,,,,,,,,,,              5410609,                785959,                 -2099,,,,,,
2637,2013年01月01日至2013年09月30日,,              6160555,,              4870521,              1290034,              1290034,,                107465,              1182569,,,,                 56436,                 33614,                 90050,,                 85296,                172561,                 15072,                  3775,,                269154,,                493588,                493588,               -134384,              1048185,,,                              0,              1048185,              1048185,,,,,,              4028204,              5076389,,              1004469,                 43716,,              5031075,                 45314,,                              2.36,,                              2.32,,                              0,,,,                              0,,                              0,,,,,,,,,,,,              3527786,                502421,                 -2003,                              0,,,,,
2637,2013年01月01日至2013年06月30日,,              4039312,,              3162705,                876607,                876607,,                 73113,                803494,,,,                 35688,                 45727,                 81415,,                 97600,                204820,                 37204,                  1327,                              0,                338297,,                315859,                315859,                103853,                907347,,,                              0,                907347,                907347,,,,,,              4535330,              5442677,,                868059,                 39288,,              5399896,                 42781,,                              2.09,,                              2.00,,                              0,,                              0,,                              0,,                              0,,,,                              0,,,,,,,,              4013615,                523718,                 -2003,                              0,,                              0,,,
2637,2013年01月01日至2013年03月31日,,              1985985,,              1536732,                449253,                449253,,                 31024,                418229,,,,                 16932,                 30976,                 47908,,                 96992,                123626,                 10995,                    615,,                230998,,                157943,                157943,                120963,                539192,,,                              0,                539192,                539192,,,,,,              2981804,              3520996,,                516215,                 22977,,              3495157,                 25839,,                              1.25,,                              1.19,,,,                              0,,,,,,,,,,,,,,,,              2660453,                323354,                 -2003,,,,                              1.25,                              1.19,
2637,2012年07月01日至2012年09月30日,,              2192595,,              1557058,                635537,                635537,,                 26256,                609281,,,,                  5002,                  1246,                  6248,,                     54,                              0,                              0,                  1101,                 45896,               -138779,,                180070,                180070,               -312601,                296680,,,                    564,                296116,                296116,,,,,,               -982063,               -685947,,                293481,                  2635,,               -686760,                    813,,                              0.71,,                              0.71,,,                              0,                 91836,,                              0,,                              0,,,,                              0,,,,,,,,               -942632,                -39431,                              0,,,                              0,,,                              0
2637,2012年04月01日至2012年06月30日,,              2076353,,              1418610,                657743,                657743,,                 30708,                627035,,,,                  8109,                  1262,                  9371,,                 29451,                              0,                              0,                  4938,                 48448,               -139921,,                157931,                157931,               -288481,                338554,,,                  1230,                337324,                337324,,,,,,               -644414,               -307090,,                336842,                    482,,               -308701,                  1611,,                              0.86,,                              0.81,,,,                115986,,,,,,,,,,,,,,,,               -622822,                -21592,                              0,,,,,,
2637,2012年01月01日至2012年12月31日,,              8396669,,              5855718,              2540951,              2540951,,                127899,              2413052,,,,                 30556,                 38188,                 68744,,                 29364,                246086,                 72495,                  9572,,                338373,,                664673,                664673,               -257556,              2155496,,,                  1560,              2153936,              2153936,,,,,,              2970887,              5124823,,              2100167,                 53769,,              5074365,                 50458,,                              5.08,,                              4.96,,,,,,,,,,,,,,,,,,,,              2625673,                345214,                              0,,,,,,
2637,2012年01月01日至2012年09月30日,,              6343898,,              4341614,              2002284,              2002284,,                 84654,              1917630,,,,                 22981,                 20845,                 43826,,                 29505,                              0,                 48253,                  6688,                              0,                 64174,,                488813,                488813,               -380813,              1536817,,,                  1794,              1535023,              1535023,,,,,,               -422760,              1112263,,              1509441,                 25582,,              1089206,                 23057,,                              3.65,,                              3.56,,,                              0,                  6896,,                              0,,                              0,,,,                              0,,,,,,,,               -361388,                -61372,                              0,,,                              0,,,                              0
2637,2012年01月01日至2012年06月30日,,              4151303,,              2784556,              1366747,              1366747,,                 58398,              1308349,,,,                 17979,                 19599,                 37578,,                 29451,                 84940,                 94149,                  5587,                              0,                202953,,                308743,                308743,                -68212,              1240137,,,                  1230,              1238907,              1238907,,,,,,                559303,              1798210,,              1215960,                 22947,,              1775966,                 22244,,                              3.09,,                              3.02,,,,                              0,,,,,,,,,,,,,,,,                581244,                -21941,                              0,,,,,,
2637,2012年01月01日至2012年03月31日,,              2074950,,              1365946,                709004,                709004,,                 27690,                681314,,,,                  9870,                 18337,                 28207,,                              0,                200926,                142597,                    649,,                342874,,                150812,                150812,                220269,                901583,,,                              0,                901583,                901583,,,,,,              1203717,              2105300,,                879118,                 22465,,              2084667,                 20633,,                              2.23,,                              2.23,,,,,,,,,,,,,,,,,,,,              1204066,                   -349,                              0,,,,                              2.23,                              2.23,
