證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2401,2014年01月01日至2014年03月31日,,              1460354,,                854175,                606179,                606179,,,                 90947,,                116209,,                411990,                619146,,                     -5,                -12972,,,                 16384,,                 58927,,                  7500,,                 37998,                105809,                 92837,,                  5410,                 87427,,                -87037,                    390,,,                              0,                              0,,                -16374,                246730,,                      6,                230362,                230362,                230752,,                  8460,                 -8070,,                239345,                 -8593,,                              0.01,,                              0.01,,                              0.16,,                              0.16,,,,,
2401,2013年第3季,,              2314326,,              1387141,                927185,                927185,,,                133719,,                146914,,                600844,                881477,,                   -528,                 45180,,,                 52107,,                -14676,,                  9156,,                 19219,                 47494,                 92674,,                 18327,                 74347,,,                 74347,,,,,,,,,,,                -70330,                  4017,,                 37555,                 36792,,                -34565,                 38582,,                              0.06,,                              0.06,,                              0.06,,                              0.06,                 -4877,                -65453,,,
2401,2013年第2季,,              2364620,,              1425413,                939207,                939207,,,                137844,,                146242,,                632790,                916876,,                    197,                 22528,,,                 15871,,                 64859,,                  9977,,                 55471,                126224,                148752,,                 -2275,                151027,,,                151027,,,,,,,,,,,                 76779,                227806,,                 90283,                 60744,,                153706,                 74100,,                              0.15,,                              0.15,,                              0.15,,                              0.15,                 50742,                 26037,,,
2401,2013年度,,              8521868,,              5129900,              3391968,              3391968,,,                486736,,                560365,,              2365059,              3412160,,                  5932,                -14260,,,                108012,,                 89607,,                 37516,,                 19901,                180004,                165744,,                 37197,                128547,,,                128547,,,,,,,,,,,                162015,                290562,,                 52785,                 75762,,                195179,                 95383,,                              0.09,,                              0.09,,                              0.09,,                              0.09,                129434,                -12847,                 47377,,                 -1949
2401,2013年07月01日至2013年09月30日,,              2314326,,              1387141,                927185,                927185,,,                133694,,                146912,,                601399,                882005,,,                 45180,,,                 52107,,                -14676,,                  9156,,                 19219,                 47494,                 92674,,                 18327,                 74347,,,                 74347,,,,,,,,,,,                -70330,                  4017,,                 37555,                 36792,,                -34565,                 38582,,                              0.06,,                              0.06,,                              0.06,,                              0.06,                 -4877,                -65453,,,
2401,2013年04月01日至2013年06月30日,,              2364620,,              1425413,                939207,                939207,,,                137839,,                146162,,                632678,                916679,,,                 22528,,,                 15871,,                 64859,,                  9977,,                 55471,                126224,                148752,,                 -2275,                151027,,,                151027,,,,,,,,,,,                 76779,                227806,,                 90283,                 60744,,                153706,                 74100,,                              0.15,,                              0.15,,                              0.15,,                              0.15,                 50742,                 26037,,,
2401,2013年01月01日至2013年12月31日,,              8521868,,              5123400,              3398468,              3398468,,,                486706,,                560976,,              2365046,              3412728,,,                -14260,,,                108012,,                 89607,,                 37516,,                 19901,                180004,                165744,,                 37197,                128547,,,                128547,,,,,,,,,,,                162015,                290562,,                 52785,                 75762,,                195179,                 95383,,                              0.09,,                              0.09,,                              0.09,,                              0.09,                129434,                -14704,                 37780,,                  9505
2401,2013年01月01日至2013年09月30日,,              6430820,,              3869971,              2560849,              2560849,,,                368152,,                422877,,              1794830,              2585859,,                  6189,                -18821,,,                 95683,,                105981,,                 28990,,                 47736,                220410,                201589,,                 22923,                178666,,,                178666,,,,,,,,,,,                 71453,                250119,,                 83888,                 94778,,                137041,                113078,,                              0.14,,                              0.14,,                              0.14,,                              0.14,                 97962,                -26509,,,
2401,2013年01月01日至2013年06月30日,,              4116494,,              2482830,              1633664,              1633664,,,                234433,,                275963,,              1193986,              1704382,,                  6717,                -64001,,,                 43576,,                120657,,                 19834,,                 28517,                172916,                108915,,                  4596,                104319,,,                104319,,,,,,,,,,,                141783,                246102,,                 46333,                 57986,,                171606,                 74496,,                              0.08,,                              0.08,,                              0.08,,                              0.08,                102839,                 38944,,,
2401,2013年01月01日至2013年03月31日,,              1751874,,              1057417,                694457,                694457,,,                 96589,,                129721,,                561196,                787506,,                  6520,                -86529,,,                 27705,,                 55798,,                  9857,,                -26954,                 46692,                -39837,,                  6871,                -46708,,,                -46708,,,,,,,,,,,                 65004,                 18296,,                -43950,                 -2758,,                 17900,                    396,,                             -0.07,,                             -0.07,,                             -0.07,,                             -0.07,                 52097,                 12907,,,
2401,2012年07月01日至2012年09月30日,,              2466673,,              1504862,                961811,                961811,,,                119596,,                136815,,                712050,                968461,,,                 -6650,,,                 46996,,                 -5089,,                 11213,,                  9412,                 40106,                 33456,,                 10770,                 22686,,,                 22686,,,,,,,,,,,                163961,                186647,,                -19721,                 42407,,                145731,                 40916,,                             -0.03,,                             -0.03,,                             -0.03,,                             -0.03,                -33590,                197551,,,
2401,2012年04月01日至2012年06月30日,,              2492002,,              1486126,              1005876,              1005876,,,                108717,,                141616,,                694032,                944365,,,                 61511,,,                 21652,,                 14102,,                 10918,,                  8170,                 33006,                 94517,,                  6155,                 88362,,,                 88362,,,,,,,,,,,                -64147,                 24215,,                 25137,                 63225,,                -37115,                 61330,,                              0.04,,                              0.04,,                              0.04,,                              0.04,                 13912,                -78059,,,
2401,2012年01月01日至2012年12月31日,,              8615264,,              5345844,              3269420,              3269420,,,                435778,,                561599,,              2707469,              3704846,,,               -435426,,,                112334,,               -565589,,                 39896,,                 32923,               -460228,               -895654,,                 20581,               -916235,,,               -916235,,,,,,,,,,,                456145,               -460090,,               -933609,                 17374,,               -472162,                 12072,,                             -1.59,,                             -1.59,,                             -1.59,,                             -1.59,                -86477,                578365,                -15141,,                -20602
2401,2012年01月01日至2012年09月30日,,              6746272,,              4081052,              2665220,              2665220,,,                319794,,                422602,,              2060731,              2803127,,,               -137907,,,                 84541,,                 -6772,,                 27193,,                 21082,                 71658,                -66249,,                 22349,                -88598,,,                -88598,,,,,,,,,,,                358283,                269685,,               -164403,                 75805,,                196302,                 73383,,                             -0.28,,                             -0.28,,                             -0.28,,                             -0.28,                -58630,                416913,,,
2401,2012年01月01日至2012年06月30日,,              4279599,,              2576190,              1703409,              1703409,,,                200198,,                285787,,              1348681,              1834666,,,               -131257,,,                 37545,,                 -1683,,                 15980,,                 11670,                 31552,                -99705,,                 11579,               -111284,,,               -111284,,,,,,,,,,,                194322,                 83038,,               -144682,                 33398,,                 50571,                 32467,,                             -0.25,,                             -0.25,,                             -0.25,,                             -0.25,                -25040,                219362,,,
2401,2012年01月01日至2012年03月31日,,              1787597,,              1090064,                697533,                697533,,,                 91481,,                144161,,                654605,                890247,,                    -54,               -192768,,,                 15893,,                -15785,,                  5062,,                  3500,                 -1454,               -194222,,                  5424,               -199646,,,               -199646,,,,,,,,,,,                258469,                 58823,,               -169819,                -29827,,                 87686,                -28863,,                             -0.29,,                             -0.29,,                             -0.29,,                             -0.29,                -38952,                297421,,,
