證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 處分投資損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 處分投資利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 生物資產當期公允價值減出售成本之變動之利益
1735,2013年04月01日至2013年06月30日,,              1209788,,              1063858,                145930,                145930,,,                 41146,,                 58199,,                 15253,                114598,                 31332,,,,                  1969,                  9115,                 11084,,                  8818,                  6032,,                  2786,,                 10676,                 10676,                  3194,                 34526,,                 11014,                 23512,                 23512,,,,,,                  4167,                 27679,,                 23945,                   -433,,                 26592,                  1087,,                              0.24,                              0.24,,                              0.24,                              0.24,,,                  4709,,                    542,
1735,2013年01月01日至2013年12月31日,,              4726442,,              4162125,                564317,                564317,,,                182391,,                196075,,                 62630,                441096,                123221,,,,                  3718,                  9798,                 13516,,                 27916,                 23298,,                  4699,,                 45637,                 45637,                -27422,                 95799,,                 38477,                 57322,                 57322,,,,,,                 12584,                 69906,,                 66949,                 -9627,,                 73334,                 -3428,,                              0.69,                              0.69,,                              0.68,                              0.68,,,                 16155,                   -214,                  3357,                     81
1735,2013年01月01日至2013年09月30日,,              3485641,,              3077893,                407748,                407748,,,                124872,,                152491,,                 44725,                322088,                 85660,,,,                  2544,                 20048,                 22592,,                 16665,                 20098,,                 -3433,,                 30280,                 30280,                -11121,                 74539,,                 30751,                 43788,                 43788,,,,,,                  8197,                 51985,,                 49073,                 -5285,,                 52502,                   -517,,                              0.51,                              0.51,,                              0.50,                              0.50,,,                 10946,,                  2749,
1735,2013年01月01日至2013年06月30日,,              2256350,,              2009538,                246812,                246812,,,                 78176,,                106147,,                 28230,                212553,                 34259,,,,                  2232,                 15861,                 18093,,                 18402,                  8920,,                  9482,,                 20639,                 20639,                  6936,                 41195,,                 17430,                 23765,                 23765,,,,,,                 12999,                 36764,,                 34022,                -10257,,                 41257,                 -4493,,                              0.35,                              0.35,,                              0.35,                              0.35,,,                 16526,,                  3527,
1735,2013年01月01日至2013年03月31日,,              1046562,,                945680,                100882,                100882,,,                 37030,,                 47948,,                 12977,                 97955,                  2927,,,,                    263,                  6746,                  7009,,                  9584,                  2888,,                  6696,,                  9963,                  9963,                  3742,                  6669,,                  6416,                    253,                    253,,,,,,                  8832,                  9085,,                 10077,                 -9824,,                 14665,                 -5580,,                              0.11,                              0.11,,                              0.11,                              0.11,,,                 11817,,                  2985,
1735,2012年07月01日至2012年09月30日,,              1160257,,              1046879,                113378,                113378,,,                 42123,,                 35402,,                 15173,                 92698,                 20680,,,,                              0,                  1820,                  1820,,                   -512,                 12313,,                 53464,,                 14964,                 14964,                 40320,                 61000,,                 14937,                 46063,                 46063,,,,,,                 -5127,                 40936,,                 41587,                  4476,,                 39342,                  1594,,                              0.47,                              0.47,,                              0.47,                              0.47,,                 66289,                 -6521,,                 -1394,
1735,2012年04月01日至2012年06月30日,,              1158321,,              1019408,                138913,                138913,,,                 39791,,                 51773,,                 13665,                105229,                 33684,,,,                    320,                  6273,                  6593,,                    846,                  3920,,                 -3074,,                 13287,                 13287,                 -9768,                 23916,,                 15244,                  8672,                  8672,,,,,,                  6611,                 15283,,                  8755,                    -83,,                 13755,                  1528,,                              0.10,                              0.10,,                              0.10,                              0.10,,,                  7257,,                    646,
1735,2012年01月01日至2012年12月31日,,              4844019,,              4293469,                550550,                550550,,,                201931,,                189297,,                 39301,                430529,                120021,,,,                  5368,                 20623,                 25991,,                  1959,                 20049,,                 48199,,                 61699,                 61699,                 12491,                132512,,                 47707,                 84805,                 84805,,,,,,                -15819,                 68986,,                 72752,                 12053,,                 64199,                  4787,,                              0.82,                              0.82,,                              0.82,                              0.82,,,                -17396,                 -2231,                 -3808,                 66289
1735,2012年01月01日至2012年09月30日,,              3451851,,              3064971,                386880,                386880,,,                119937,,                133876,,                 42345,                296158,                 90722,,,,                  1066,                 16587,                 17653,,                 -3213,                 18009,,                 45067,,                 47377,                 47377,                 15343,                106065,,                 37286,                 68779,                 68779,,,,,,                -13846,                 54933,,                 64045,                  4734,,                 56465,                 -1532,,                              0.72,                              0.72,,                              0.72,                              0.72,,                 66289,                -16709,,                 -2863,
1735,2012年01月01日至2012年06月30日,,              2291594,,              2018092,                273502,                273502,,,                 77814,,                 98474,,                 27172,                203460,                 70042,,,,                  1195,                 14767,                 15962,,                 -2701,                  5825,,                 -8526,,                 32413,                 32413,                -24977,                 45065,,                 22349,                 22716,                 22716,,,,,,                 -8719,                 13997,,                 22458,                    258,,                 17123,                 -3126,,                              0.25,                              0.25,,                              0.25,                              0.25,,,                -10188,,                 -1469,
1735,2012年01月01日至2012年03月31日,,              1133273,,                998684,                134589,                134589,,,                 38023,,                 46701,,                 13507,                 98231,                 36358,,,,,,                  9369,,                 -3547,                 21031,,                -24578,,,,                -15209,                 21149,,                  7105,                 14044,                 14044,,,,,,                -15330,                 -1286,,                 15100,                 -1056,,                  4765,                 -6051,,                              0.17,                              0.17,,                              0.17,                              0.17,,,                -17445,,                 -2115,
