證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 國外營運機構淨投資避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
4930,2014年01月01日至2014年03月31日,,              3035613,,              2632670,                402943,                402943,,,                165443,,                163472,,                 67401,                396316,                  6627,,,                105345,,                -85315,,                 12144,,                 -2694,                  5192,                 11819,,                 -6875,                 18694,                 18694,,,                109815,                              0,,                              0,                 13233,                 96582,                 96582,                115276,,                -13887,                 32581,,                 50723,                 64553,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,,,,,,
4930,2013年第3季,,              4075610,,              3556470,                519140,                519140,,,                207532,,                169680,,                 77374,                454586,                 64554,,,                 50432,,                 43900,,                 11631,,                -10774,                 71927,                136481,,                 40139,                 96342,                 96342,,,,,,,,,                -54120,                 42222,,                 27025,                 69317,,                -18830,                 61052,,                              0.10,                              0.10,,                              0.10,                              0.10,                -63512,,,,                              0,                 -9392
4930,2013年第2季,,              3151052,,              2804709,                346343,                346343,,,                204433,,                168126,,                 74963,                447522,               -101179,,,                 35625,,                 13527,,                  7061,,                 -4880,                 37211,                -63968,,                 -8351,                -55617,                -55617,,,,,,,,,                 83797,                 28180,,                -59716,                  4099,,                -12860,                 41040,,                             -0.22,                             -0.22,,                             -0.22,                             -0.22,                 93395,,,,,                  9598
4930,2013年度,,             13933957,,             12228119,              1705838,              1705838,,,                800795,,                717412,,                310773,              1828980,               -123142,,,                226194,,                 21854,,                 30854,,                -18587,                198607,                 75465,,                 12755,                 62710,                 62710,,,,,,,,,                219231,                281941,,                -79919,                142629,,                 28293,                253648,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,                240697,                              0,                    794,,                              0,                 22260
4930,2013年07月01日至2013年09月30日,,              4075610,,              3556470,                519140,                519140,,,                207532,,                169680,,                 77374,                454586,                 64554,,,                 50432,,                 43900,,                 11631,,                -10774,                 71927,                136481,,                 40139,                 96342,                 96342,,,,,,,,,                -54120,                 42222,,                 27025,                 69317,,                -18830,                 61052,,                              0.10,                              0.10,,                              0.10,                              0.10,                -63512,,,,,                 -9392
4930,2013年04月01日至2013年06月30日,,              3151052,,              2823068,                327984,                327984,,,                186074,,                168126,,                 74963,                429163,               -101179,,,                 35625,,                 13527,,                  7061,,                 -4880,                 37211,                -63968,,                 -8351,                -55617,                -55617,,,,,,,,,                 83797,                 28180,,                -59716,                  4099,,                -12860,                 41040,,                             -0.22,                             -0.22,,                             -0.22,                             -0.22,                 93395,,,,,                  9598
4930,2013年01月01日至2013年09月30日,,             10201401,,              8893015,              1308386,              1308386,,,                593955,,                510963,,                223205,              1328123,                -19737,,,                132124,,                 46556,,                 21015,,                -13667,                143998,                124261,,                 39686,                 84575,                 84575,,,,,,,,,                148322,                232897,,                -20945,                105520,,                 54628,                178269,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,                163801,,,,                              0,                 15479
4930,2013年01月01日至2013年06月30日,,              6125791,,              5336545,                789246,                789246,,,                386423,,                341283,,                145831,                873537,                -84291,,,                 81692,,                  2656,,                  9384,,                 -2893,                 72071,                -12220,,                   -453,                -11767,                -11767,,,,,,,,,                202442,                190675,,                -47970,                 36203,,                 73458,                117217,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,                227313,,,,,                 24871
4930,2013年01月01日至2013年03月31日,,              2974739,,              2513477,                461262,                461262,,,                200349,,                173157,,                 70868,                444374,                 16888,,,                 46067,,                -10871,,                  2323,,                  1987,                 34860,                 51748,,                  7898,                 43850,                 43850,,,,,,,,,                118645,                162495,,                 11746,                 32104,,                 86318,                 76177,,,                              0.04,,,                              0.04,                133918,,,,,                 15273
4930,2012年07月01日至2012年09月30日,,              4106752,,              3549279,                557473,                557473,,,                226618,,                194193,,                 87825,                508636,                 48837,,,                 67094,,                 21064,,                 15000,,                              0,                 73158,                121995,,                  8022,                113973,                113973,,,,,,,,,               -106098,                  7875,,                 56773,                 57200,,                -14770,                 22645,,                              0.26,                              0.26,,                              0.26,                              0.26,               -120623,,,,,                -14525
4930,2012年04月01日至2012年06月30日,,              3590544,,              3111607,                478937,                478937,,,                235880,,                238981,,                 80735,                555596,                -76659,,,                 55075,,               -460208,,                  8230,,                              0,               -413363,               -490022,,                -74993,               -415029,               -415029,,,,,,,,,                -36708,               -451737,,               -404724,                -10305,,               -354855,                -96882,,                             -1.85,                             -1.85,,                             -1.85,                             -1.85,                -26373,,,,,                 10335
4930,2012年01月01日至2012年09月30日,,             10825345,,              9385881,              1439464,              1439464,,,                708760,,                657689,,                252657,              1619106,               -179642,,,                170486,,               -419208,,                 28629,,                              0,               -277351,               -456993,,                -80417,               -376576,               -376576,,,,,,,,,               -258627,               -635203,,               -394758,                 18182,,               -535968,                -99235,,                             -1.81,                             -1.81,,                             -1.81,                             -1.81,               -287392,,,,,                -28765
4930,2012年01月01日至2012年06月30日,,              6718593,,              5836602,                881991,                881991,,,                482142,,                463496,,                164832,              1110470,               -228479,,,                103392,,               -440272,,                 13629,,                              0,               -350509,               -578988,,                -88439,               -490549,               -490549,,,,,,,,,               -152529,               -643078,,               -451531,                -39018,,               -521198,               -121880,,                             -2.07,                             -2.07,,                             -2.07,                             -2.07,               -166769,,,,,                -14240
4930,2012年01月01日至2012年03月31日,,              3128049,,              2724995,                403054,                403054,,,                246262,,                224515,,                 84097,                554874,               -151820,,,                 48317,,                 19936,,                  5399,,                              0,                 62854,                -88966,,                -13446,                -75520,                -75520,,,,,,,,,               -115821,               -191341,,                -46807,                -28713,,               -166343,                -24998,,,                             -0.21,,,                             -0.21,               -140396,,,,,                -24575
