證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 利息費用,　　　 處分投資利益,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3033,2014年01月01日至2014年03月31日,,,,              9673918,              9673918,              9673918,              9673918,,,              9096228,              9096228,              9096228,                577690,                577690,,,                291985,,                101399,                393384,                184306,,,                  5212,                  5212,,                    525,                  3972,                  4589,,,                    -92,,                 22566,                -17446,                166860,,                 31760,                135100,                135100,,,                 47736,                     46,                              0,                 47782,                 47782,                182882,,                135100,,                182882,,                              0.54,                              0.54,,                              0.47,                              0.47,                 22566,,,,,,,,
3033,2013年第3季,,,,              8821045,              8821045,              8821045,              8821045,,,              8242470,              8242470,              8242470,                578575,                578575,,,                304097,,                107761,                411858,                166717,,,                  7530,                  7530,,                 24343,                 10442,                    198,,,                 34587,,                 21804,                 20313,                187030,,                 36884,                150146,                150146,,,,,,,                -27601,                122545,,                150146,,                122545,,                              0.62,                              0.62,,                              0.51,                              0.51,,,,,,                -33254,                              0,,                 -5653
3033,2013年第2季,,,,              7781101,              7781101,              7781101,              7781101,,,              7249639,              7249639,              7249639,                531462,                531462,,,                263358,,                 99834,                363192,                168270,,,                  2226,                  2226,,                 20466,                 -7340,                  3592,,,                  9534,,                 15212,                 -3452,                164818,,                 29581,                135237,                135237,,,,,,,                 13818,                149055,,                135237,,                149055,,                              0.55,                              0.55,,                              0.52,                              0.52,,                              0,,,,                 16833,                   -154,,                  2861
3033,2013年度,,,,             33299359,             33299359,             33299359,             33299359,,,             31111369,             31111369,             31111369,              2187990,              2187990,,,              1117087,,                428335,              1545422,                642568,,,                 22198,                 22198,,                 73090,                 19979,                  1272,,,                 76797,,                 82942,                 16053,                658621,,                130548,                528073,                528073,,,,,,,                 66702,                594775,,                528073,,                594775,,                              2.16,                              2.16,,                              1.85,                              1.85,,                              0,,                 15000,                 15000,                 72144,                    126,                  8068,                 13636
3033,2013年07月01日至2013年09月30日,,,,              8821045,              8821045,              8821045,              8821045,,,              8242470,              8242470,              8242470,                578575,                578575,,,                304097,,                107761,                411858,                166717,,,                  7530,                  7530,,                 24343,                 10442,                  3482,,,                 31303,,                 18520,                 20313,                187030,,                 36884,                150146,                150146,,,,,,,                -27601,                122545,,                150146,,                122545,,                              0.62,                              0.62,,                              0.51,                              0.51,,                              0,,,,                -33254,                              0,,                 -5653
3033,2013年04月01日至2013年06月30日,,,,              7781101,              7781101,              7781101,              7781101,,,              7249639,              7249639,              7249639,                531462,                531462,,,                263358,,                 99834,                363192,                168270,,,                  2226,                  2226,,                 20466,                 -7340,                  3592,,,                  9534,,                 15212,                 -3452,                164818,,                 29581,                135237,                135237,,,,,,,                 13818,                149055,,                135237,,                149055,,                              0.55,                              0.55,,                              0.52,                              0.52,,                              0,,,,                 16833,                   -154,,                  2861
3033,2013年01月01日至2013年12月31日,,,,             33299359,             33299359,             33299359,             33299359,,,             31111369,             31111369,             31111369,              2187990,              2187990,,,              1117087,,                428335,              1545422,                642568,,,                 22198,                 22198,,                 73090,                 19979,                 13262,,,                 64807,,                 70952,                 16053,                658621,,                130548,                528073,                528073,,,,,,,                 66702,                594775,,                528073,,                594775,,                              2.16,                              2.16,,                              1.85,                              1.85,,                              0,,                 15000,                 15000,                 72144,                    126,                  8068,                 13636
3033,2013年01月01日至2013年09月30日,,,,             23527561,             23527561,             23527561,             23527561,,,             21921488,             21921488,             21921488,              1606073,              1606073,,,                821086,,                300725,              1121811,                484262,,,                 12410,                 12410,,                 58032,                  6869,                  1289,,,                 63612,,                 57524,                 18498,                502760,,                 96945,                405815,                405815,,,,,,,                 34883,                440698,,                405815,,                440698,,                              1.66,                              1.66,,                              1.45,                              1.45,,,,,,                 42002,                     21,,                  7140
3033,2013年01月01日至2013年06月30日,,,,             14706516,             14706516,             14706516,             14706516,,,             13679018,             13679018,             13679018,              1027498,              1027498,,,                516989,,                192964,                709953,                317545,,,                  4880,                  4880,,                 33689,                 -3573,                  5965,,,                 24151,,                 30846,                 -1815,                315730,,                 60061,                255669,                255669,,,,,,,                 62484,                318153,,                255669,,                318153,,                              1.05,                              1.05,,                              0.95,                              0.95,,                              0,,,,                 75256,                     21,,                 12793
3033,2013年01月01日至2013年03月31日,,,,              6925415,              6925415,              6925415,              6925415,,,              6429379,              6429379,              6429379,                496036,                496036,,,                253631,,                 93130,                346761,                149275,,,                  2654,                  2654,,                 13223,                  3767,                  2373,,,                 14617,,                 15634,                  1637,                150912,,                 30480,                120432,                120432,,,,,,,                 48666,                169098,,                120432,,                169098,,                              0.49,                              0.49,,                              0.43,                              0.43,                 15634,,,,,                 58423,                    175,,                  9932
3033,2012年07月01日至2012年09月30日,,,,              8210299,              8210299,              8210299,              8210299,,,              7680802,              7680802,              7680802,                529497,                529497,,,                282161,,                 91962,                374123,                155374,,,                  2971,                  2971,,                 20868,                 -1660,                 11095,,,                  8113,,                 20822,                 -9738,                145636,,                 29555,                116081,                116081,,,,,,,                -35443,                 80638,,                116081,,                 80638,,                              0.48,                              0.48,,                              0.43,                              0.43,,                              0,,,,                -42234,                   -389,,                 -7180
3033,2012年04月01日至2012年06月30日,,,,              7075371,              7075371,              7075371,              7075371,,,              6563231,              6563231,              6563231,                512140,                512140,,,                274645,,                 70026,                344671,                167469,,,                  2748,                  2748,,                 12133,                 -1302,                  4562,,,                  6269,,                 21432,                -12415,                155054,,                 41751,                113303,                113303,,,,,,,                 20147,                133450,,                113303,,                133450,,                              0.46,                              0.46,,                              0.42,                              0.42,,                              0,,,,                 24506,                   -193,,                  4166
3033,2012年01月01日至2012年12月31日,,,,             29308439,             29308439,             29308439,             29308439,,,             27340819,             27340819,             27340819,              1967620,              1967620,,,              1052785,,                357972,              1410757,                556863,,,                 17227,                 17227,,                 51250,                  3088,                 17588,,,                 62806,,                 78574,                  1459,                558322,,                123491,                434831,                434831,,,,,,,               -101351,                333480,,                434831,,                333480,,                              1.78,                              1.78,,                              1.56,                              1.56,,                 45927,,                 19871,                 19871,                -76029,                -26505,                -14111,                -15294
3033,2012年01月01日至2012年09月30日,,,,             22036133,             22036133,             22036133,             22036133,,,             20493179,             20493179,             20493179,              1542954,              1542954,,,                788709,,                268953,              1057662,                485292,,,                  8004,                  8004,,                 39163,                  5425,                 20222,,,                 70293,,                 61672,                 16625,                501917,,                103347,                398570,                398570,,,,,,,                -82368,                316202,,                398570,,                316202,,                              1.63,                              1.63,,                              1.42,                              1.42,,                 45927,,,,                -67887,                -26022,,                -11541
3033,2012年01月01日至2012年06月30日,,,,             13825834,             13825834,             13825834,             13825834,,,             12812377,             12812377,             12812377,              1013457,              1013457,,,                506548,,                176991,                683539,                329918,,,                  5033,                  5033,,                 18295,                  7085,                  9127,,,                 62180,,                 40850,                 26363,                356281,,                 73792,                282489,                282489,,,,,,,                -46925,                235564,,                282489,,                235564,,                              1.16,                              1.16,,                              0.98,                              0.98,,                 45927,,,,                -25653,                -25633,,                 -4361
3033,2012年01月01日至2012年03月31日,,,,              6750463,              6750463,              6750463,              6750463,,,              6249146,              6249146,              6249146,                501317,                501317,,,                231903,,                106965,                338868,                162449,,,                  2285,                  2285,,                  6162,                  8387,                  4565,,,                 55911,,                 19418,                 38778,                201227,,                 32041,                169186,                169186,,,,,,,                -67072,                102114,,                169186,,                102114,,                              0.69,                              0.69,,                              0.56,                              0.56,                 19418,                 45927,,,,                -50159,                -25440,,                 -8527
