證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2912,2014年01月01日至2014年06月30日,,             98052269,,             67602243,             30450026,             30450026,,,             21683047,,              4061079,             25744126,              4705900,,,                661083,,                961121,,                 52126,,                442478,              2012556,              6718456,,              1019332,              5699124,              5699124,,,                 -7616,,                              0,                 -7616,,                -43972,                -16214,,                    561,                    592,                -60217,                -67833,              5631291,,              5164884,                534240,,              5097051,                534240,,                              4.97,                              4.97,,                              4.96,                              4.96,,,,,,
2912,2014年01月01日至2014年03月31日,,             49787544,,             34054819,             15732725,             15732725,,,             10896579,,              2495367,             13391946,              2340779,,,                326509,,              1013077,,                 28948,,                 65126,              1375764,              3716543,,                508396,              3208147,              3208147,,,,,,,,,,,,,,                 -1739,              3206408,,              2969808,                238339,,              2968069,                238339,,                              2.86,                              2.86,,                              2.85,                              2.85,                 26818,                -15457,                -12097,,,                  1003
2912,2013年第3季,,             52372791,,             35442955,             16929836,             16929836,,,             11276756,,              2842398,             14119154,              2810682,,,                410966,,                -58066,,                 35096,,                 57673,                375477,              3186159,,                626792,              2559367,              2559367,,,,,,,,,,,,,,               -103474,              2455893,,              2241968,                317399,,              2138494,                317399,,                              2.16,                              2.16,,                              2.16,                              2.16,                -76399,                -25693,                              0,,                              0,                  1382
2912,2013年第2季,,             49548404,,             33950070,             15598334,             15598334,,,             10302571,,              2680483,             12983054,              2615280,,,                529849,,                143114,,                 25640,,                 11789,                659112,              3274392,,                673743,              2600649,              2600649,,,,,,,,,,,,,,                -25125,              2575524,,              2302861,                297788,,              2277736,                297788,,                              2.22,                              2.22,,                              2.22,                              2.22,                              0,                -26598,                              0,,                              0,                 -1473
2912,2013年度,,            200610839,,            137188780,             63422059,             63422059,,,             45111247,,              8114247,             53225494,             10196565,,,              1712551,,               -586079,,                119753,,                 89512,              1096231,             11292796,,              2050503,              9242293,              9242293,,,,,,,,,,,,,,                -72378,              9169915,,              8036752,              1205541,,              7965390,              1204525,,                              7.73,                              7.73,,                              7.72,                              7.72,                155668,                 40777,               -319772,,                              0,                -50949
2912,2013年07月01日至2013年09月30日,,             52372791,,             35442955,             16929836,             16929836,,,             11276756,,              2842398,             14119154,              2810682,,,                410966,,                -58066,,                 35096,,                 57673,                375477,              3186159,,                626792,              2559367,              2559367,,,,,,,,,,,,,,               -103474,              2455893,,              2241968,                317399,,              2138494,                317399,,                              2.16,                              2.16,,                              2.16,                              2.16,                -76399,                -25693,,,,                  1382
2912,2013年04月01日至2013年06月30日,,             49548404,,             33950070,             15598334,             15598334,,,             10302571,,              2680483,             12983054,              2615280,,,                529849,,                143114,,                 25640,,                 11789,                659112,              3274392,,                673743,              2600649,              2600649,,,,,,,,,,,,,,                -25125,              2575524,,              2302861,                297788,,              2277736,                297788,,                              2.22,                              2.22,,                              2.22,                              2.22,                              0,                -26598,,,,                 -1473
2912,2013年01月01日至2013年12月31日,,            200610839,,            137188780,             63422059,             63422059,,,             45111247,,              8114247,             53225494,             10196565,,,              1712551,,               -586079,,                119753,,                 89512,              1096231,             11292796,,              2050503,              9242293,              9242293,,,,,,,,,,,,,,                -72378,              9169915,,              8036752,              1205541,,              7965390,              1204525,,                              7.73,                              7.73,,                              7.72,                              7.72,                155668,                 40777,               -319772,,,                -50949
2912,2013年01月01日至2013年09月30日,,            150295405,,            102860088,             47435317,             47435317,,,             32243250,,              7337286,             39580536,              7854781,,,              1391373,,                 29434,,                 91295,,                 78908,              1408420,              9263201,,              1834761,              7428440,              7428440,,,,,,,,,,,,,,                 56383,              7484823,,              6566688,                861752,,              6623071,                861752,,                              6.32,                              6.32,,                              6.31,                              6.31,                 49930,                  9962,                              0,,                              0,                  3509
2912,2013年01月01日至2013年06月30日,,             97922614,,             67417133,             30505481,             30505481,,,             20966494,,              4494888,             25461382,              5044099,,,                980407,,                 87500,,                 56199,,                 21235,              1032943,              6077042,,              1207969,              4869073,              4869073,,,,,,,,,,,,,,                159857,              5028930,,              4324720,                544353,,              4484577,                544353,,                              4.16,                              4.16,,                              4.16,                              4.16,                126329,                 35655,                              0,,                              0,                  2127
2912,2013年01月01日至2013年03月31日,,             48374210,,             33467063,             14907147,             14907147,,,             10663923,,              1814405,             12478328,              2428819,,,                450558,,                -55614,,                 30559,,                  9446,                373831,              2802650,,                534226,              2268424,              2268424,,,,,,,,,,,,,,                184982,              2453406,,              2021859,                246565,,              2206841,                246565,,                              1.94,                              1.94,,                              1.94,                              1.94,                126329,                 62253,                              0,,,                  3600
2912,2012年07月01日至2012年09月30日,,             50669689,,             34283974,             16385715,             16385715,,,             12240798,,              2085336,             14326134,              2059581,,,                470552,,                 33714,,                 31699,,                  8731,                481298,              2540879,,                372756,              2168123,              2168123,,,,,,,,,,,,,,                 11569,              2179692,,              1924587,                243536,,              1936156,                243536,,                              1.85,                              1.85,,                              1.85,                              1.85,                              0,                 12806,,,,                  1237
2912,2012年04月01日至2012年06月30日,,             46904402,,             30922931,             15981471,             15981471,,,             11600908,,              2131813,             13732721,              2248750,,,                525733,,               -283225,,                 27690,,                 13348,                228166,              2476916,,                488488,              1988428,              1988428,,,,,,,,,,,,,,               -126995,              1861433,,              1822257,                166171,,              1695262,                166171,,                              1.76,                              1.76,,                              1.75,                              1.75,                -33284,                -97596,,,,                 -3885
2912,2012年01月01日至2012年12月31日,,            192602970,,            129388300,             63214670,             63214670,,,             46570118,,              7876675,             54446793,              8767877,,,              1568635,,             -1644173,,                115273,,                 29118,               -161693,              8606184,,              1849924,              6756260,              6756260,,,,,,,,,,,,,,                159437,              6915697,,              5915636,                840624,,              6269073,                646624,,                              5.69,                              5.69,,                              5.68,                              5.68,               -135259,              1118826,               -994558,,,               -170428
2912,2012年01月01日至2012年09月30日,,            144181668,,             96935382,             47246286,             47246286,,,             34385426,,              6434696,             40820122,              6426164,,,              1350748,,               -359301,,                 85118,,                 22962,                929291,              7355455,,              1305708,              6049747,              6049747,,,,,,,,,,,,,,                 -3869,              6045878,,              5433879,                615868,,              5430010,                615868,,                              5.23,                              5.23,,                              5.22,                              5.22,                -33284,                 29516,,,,                    101
2912,2012年01月01日至2012年06月30日,,             93511979,,             62651408,             30860571,             30860571,,,             22144628,,              4349360,             26493988,              4366583,,,                880196,,               -393015,,                 53419,,                 14231,                447993,              4814576,,                932952,              3881624,              3881624,,,,,,,,,,,,,,                -15438,              3866186,,              3509292,                372332,,              3493854,                372332,,                              3.38,                              3.38,,                              3.37,                              3.37,                -33284,                 16710,,,,                 -1136
2912,2012年01月01日至2012年03月31日,,             46607577,,             31728477,             14879100,             14879100,,,             10543720,,              2217547,             12761267,              2117833,,,                354463,,               -109790,,                 25729,,                    883,                219827,              2337660,,                444464,              1893196,              1893196,,,,,,,,,,,,,,                111557,              2004753,,              1687035,                206161,,              1798592,                206161,,                              1.62,                              1.62,,                              1.62,                              1.62,                              0,                114306,,,,                  2749
