證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 手續費支出,　　　　 手續費支出合計,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 其他綜合損益（淨額）,　　 其他綜合損益,　　　 什項支出,　　　 利息費用,　　　　 其他利息收入
2530,2014年01月01日至2014年03月31日,,                  2768,,                  2179,                    589,                    589,,,                 20615,,                 15814,                 36429,                -35840,,,                  1456,,                  7247,,                  6543,                  2160,                -33680,,                      6,                -33686,                -33686,                -33686,,                -31285,                 -2401,,                -31285,                 -2401,,                             -0.12,,                             -0.12,,,,,                  2768,                  2768,                              0,                  2768,,                  1447,                  1447,                      9,                  2768,                  2283,                  2196,,                              0,                              0,                              0,,,,,                              0,                  6543,
2530,2013年第3季,,                 33689,,                 20917,                 12772,                 12772,,,                 57684,,                 14879,                 72563,                -59791,,,                  2271,,                  5392,,                  6892,                    771,                -59020,,                    114,                -59134,                -59134,                -59134,,                -56409,                 -2725,,                -56409,                 -2725,,                             -0.21,,                             -0.21,,,,,,,,,,,,,,,,,,,,,,                              0,                              0,,,
2530,2013年第2季,,                152111,,                125543,                 26568,                 26568,,,                 21897,,                 16096,                 37993,                -11425,,,                  6100,,                -11620,,                  6583,                -12103,                -23528,,                  5299,                -28827,                -28827,                -28827,,                -25436,                 -3391,,                -25436,                 -3391,,                             -0.10,,                             -0.10,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2530,2013年度,,                602996,,                403466,                199530,                199530,,,                136068,,                 75254,                211322,                -11792,,,                 11905,,                 -8148,,                 27304,                -23547,                -35339,,                 12315,                -47654,                -47654,                -42063,,                -35184,                -12470,,                -29593,                -12470,,                             -0.13,,                             -0.13,,,,,,,,,,,,,,,,,,,,,                  5591,                  5591,,,,
2530,2013年07月01日至2013年09月30日,,                 33689,,                 20917,                 12772,                 12772,,,                 57684,,                 14879,                 72563,                -59791,,,                  2271,,                  5392,,                  6892,                    771,                -59020,,                    114,                -59134,                -59134,                -59134,,                -56409,                 -2725,,                -56409,                 -2725,,                             -0.21,,                             -0.21,,,,,,,,,,,,,,,,,,,,,,                              0,                              0,,,
2530,2013年04月01日至2013年06月30日,,                152111,,                125543,                 26568,                 26568,,,                 21897,,                 16096,                 37993,                -11425,,,                  6100,,                -11620,,                  6583,                -12103,                -23528,,                  5299,                -28827,                -28827,                -28827,,                -25436,                 -3391,,                -25436,                 -3391,,                             -0.10,,                             -0.10,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2530,2013年01月01日至2013年12月31日,,                602996,,                403466,                199530,                199530,,,                136068,,                 75254,                211322,                -11792,,,                 11905,,                 -8148,,                 27304,                -23547,                -35339,,                 12315,                -47654,                -47654,                -42063,,                -35184,                -12470,,                -29593,                -12470,,                             -0.13,,                             -0.13,,,,,,,,,,,,,,,,,,,,,                  5591,                  5591,,,,
2530,2013年01月01日至2013年09月30日,,                601394,,                403467,                197927,                197927,,,                109594,,                 48490,                158084,                 39843,,,                  8583,,                 -5795,,                 20264,                -17476,                 22367,,                 12307,                 10060,                 10060,                 10060,,                 18843,                 -8783,,                 18843,                 -8783,,                              0.07,,                              0.07,,,,,,,,,,,,,,,,,,,,,,                              0,                              0,,,
2530,2013年01月01日至2013年06月30日,,                567705,,                382550,                185155,                185155,,,                 51910,,                 33611,                 85521,                 99634,,,                  6312,,                -11187,,                 13372,                -18247,                 81387,,                 12193,                 69194,                 69194,                 69194,,                 75252,                 -6058,,                 75252,                 -6058,,                              0.28,,                              0.28,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2530,2013年01月01日至2013年03月31日,,                415594,,                257007,                158587,                158587,,,                 30013,,                 17515,                 47528,                111059,,,                    212,,                    433,,                  6789,                 -6144,                104915,,                  6894,                 98021,                 98021,                 98021,,                100688,                 -2667,,                100688,                 -2667,,                              0.38,,                              0.38,,,,,                415594,                415594,                              0,                415594,,                    212,                    212,                              0,                     18,                              0,                    415,,,,,,,,,                              0,                  6789,
2530,2012年07月01日至2012年09月30日,,                  4537,,                  5151,                   -614,                   -614,,,                    846,,                 15613,                 16459,                -17073,,,                  1225,,                  2383,,                  5923,                 -2315,                -19388,,                  4708,                -24096,                -24096,                -24096,,                -22196,                 -1900,,                -22196,                 -1900,,                             -0.08,,                             -0.08,,,,,,,,,,,,,,,,,,,,,,                              0,                              0,,,
2530,2012年04月01日至2012年06月30日,,                  1671,,                              0,                  1671,                  1671,,,                    860,,                 16418,                 17278,                -15607,,,                    126,,                   -118,,                  5585,                 -5577,                -21184,,                              0,                -21184,                -21184,                -21184,,                -18154,                 -3030,,                -18154,                 -3030,,                             -0.07,,                             -0.07,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2530,2012年01月01日至2012年12月31日,,                 14010,,                 14101,                    -91,                    -91,,,                  3645,,                 74686,                 78331,                -78422,,,                  1708,,                106349,,                 23822,                 84235,                  5813,,                 33773,                -27960,                -27960,                -30474,,                -17482,                -10478,,                -19996,                -10478,,                             -0.07,,                             -0.07,,,,,,,,,,,,,,,,,,,,,                 -2514,                 -2514,,,,
2530,2012年01月01日至2012年09月30日,,                  7881,,                  5151,                  2730,                  2730,,,                  2407,,                 49237,                 51644,                -48914,,,                  1460,,                105454,,                 16940,                 89974,                 41060,,                 32275,                  8785,                  8785,                  8785,,                 15689,                 -6904,,                 15689,                 -6904,,                              0.06,,                              0.06,,,,,,,,,,,,,,,,,,,,,,                              0,                              0,,,
2530,2012年01月01日至2012年06月30日,,                  3344,,                              0,                  3344,                  3344,,,                  1561,,                 33624,                 35185,                -31841,,,                    235,,                103071,,                 11017,                 92289,                 60448,,                 27567,                 32881,                 32881,                 32881,,                 37885,                 -5004,,                 37885,                 -5004,,                              0.14,,                              0.14,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2530,2012年01月01日至2012年03月31日,,                  1673,,                              0,                  1673,                  1673,,,                    701,,                 17206,                 17907,                -16234,,,                    108,,                103190,,                  5432,                 97866,                 81632,,                 27567,                 54065,                 54065,                 54065,,                 56039,                 -1974,,                 56039,                 -1974,,                              0.21,,                              0.21,,,,,                  1673,                  1673,                              0,                  1673,,                     72,                    108,,                101353,,                  1845,,,,,,,,,                      8,                  5432,                     36
