證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 其他收益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　　 銷貨收入,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 備供出售金融資產未實現評價損益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　 停業單位損益,　　 停業單位損益合計
1731,2013年04月01日至2013年06月30日,,,,                389998,                  5525,                  6779,                377694,                377694,,,                247362,                247362,                130332,                130332,,,                 91856,,                 30181,                122037,,                      9,                  8304,,,,                    731,                  1478,,                    222,                  2431,,                  2810,                              0,                    820,,                              0,                  1955,,                  1609,                  1609,,                 -4242,                 -1465,                  6839,,                    276,                  6563,                  6563,,,,,,,,                  3414,                  9977,,                  6563,,                  9977,,,                              0.05,,,                              0.05,                     99,,                  2917,,,                    497,,                              0,                              0,                              0,                     64,,                              0
1731,2013年01月01日至2013年12月31日,,,,              1538585,                 21543,                  4713,              1512329,              1512329,,,                982513,                982513,                529816,                529816,,,                352230,,                106505,                458735,,                  4476,                 75557,,,,                  3245,                  5903,,                  1062,                 10210,,                 19048,,                    750,,                              0,                 18298,,                  6437,                  6437,,                -27747,                 -5676,                 69881,,                  6308,                 63573,                 63573,,,,,,,,                  8733,                 72306,,                 63573,,                 72306,,                              0.48,                              0.48,,                              0.48,                              0.48,,,                  9060,                  9395,,                 -9722,,,,                              0,,,
1731,2013年01月01日至2013年09月30日,,,,              1246642,                 13753,                  9605,              1223284,              1223284,,,                823785,                823785,                399499,                399499,,,                273656,,                 81175,                354831,,                   -455,                 44213,,,,                  2308,                  4378,                    192,                  1487,                  8365,,                 10308,,                  1546,,                              0,                  8762,,                  4828,                  4828,,                -10823,                  1476,                 45689,,                  2020,                 43669,                 43669,,,,,,,,                 -4493,                 39176,,                 43669,,                 39176,,,                              0.33,,,                              0.33,,,                  4978,,,                 -9471,              1246642,                              0,                              0,                              0,,,
1731,2013年01月01日至2013年06月30日,,,,                970301,                 10063,                  9322,                950916,                950916,,,                674150,                674150,                276766,                276766,,,                195544,,                 54898,                250442,,                   -465,                 25859,,,,                  1579,                  2928,,                  1355,                  5862,,                  5325,,                  1383,,,                  3942,,                  3218,                  3218,,                 -4108,                  2478,                 28337,,                   -391,                 28728,                 28728,,,,,,,,                    292,                 29020,,                 28728,,                 29020,,                              0.22,                              0.22,,                              0.22,                              0.22,,,                  7782,,,                 -7490,,,,                              0,,,
1731,2013年01月01日至2013年03月31日,,,,                580303,                  4538,                  2543,                573222,                573222,,,                426788,                426788,                146434,                146434,,,                103688,,                 24717,                128405,,                   -474,                 17555,,,,                    848,                  1450,,                  1069,                  3367,,                  2515,,                    464,,,                  2051,,                  1609,                  1609,,                    134,                  3943,                 21498,,                   -667,                 22165,                 22165,,,,,,,,                 -3122,                 19043,,                 22165,,                 19043,,                              0.17,                              0.17,,                              0.17,                              0.17,,,                  4865,,,                 -7987,,,,,,,
1731,2012年07月01日至2012年09月30日,,,,                545098,                  7192,                  3667,                534239,                534239,,,                398948,                398948,                135291,                135291,,,                104188,,                 24828,                129016,,                    402,                  6677,,,,                    635,                  1450,                              0,                  2959,                  5044,,                 13743,                    246,                      2,,                 12000,                  2420,,                  1610,                  1610,,                 -1762,                  4092,                 10769,,                     18,                 10751,                 10751,,,,,,,,                 15626,                 26377,,                 10751,,                 26377,,                              0.08,                              0.08,,                              0.08,                              0.08,                              0,                    402,                   -981,,,                  2840,,                              0,                              0,                 13767,                    433,,
1731,2012年04月01日至2012年06月30日,,,,                537997,                  4146,                  2203,                531648,                531648,,,                397587,                397587,                134061,                134061,,,                104488,,                 25644,                130132,,                    129,                  4058,,,,                    668,                  1479,,                    183,                  2330,,                  9477,                    709,                              0,,                    828,                  9741,,                  1609,                  1609,,                 -4667,                  5795,                  9853,,                  1768,                  8085,                  8085,,,,,,,,                -10026,                 -1941,,                  8085,,                 -1941,,,                              0.06,,,                              0.06,                              0,,                    389,,,                 -4404,,                              0,                              0,                 -6011,                    383,,                              0
1731,2012年01月01日至2012年12月31日,,,,              2178401,                 21974,                  9520,              2146907,              2146907,,,              1594874,              1594874,                552033,                552033,,,                397142,,                 90840,                487982,,                 -1487,                 62564,,,,                  2882,                  5805,,                  5408,                 14095,,                 35546,,                      7,,                 39285,                 -3746,,                  6437,                  6437,,                -17376,                -13464,                 49100,,                  3540,                 45560,                 45560,,,,,,,,                 13626,                 59186,,                 45560,,                 59186,,                              0.34,                              0.34,,                              0.34,                              0.34,,,                 -3416,                 -5880,,                 15823,,,,                  7099,,,
1731,2012年01月01日至2012年09月30日,,,,              1630709,                 15117,                  8119,              1607473,              1607473,,,              1191954,              1191954,                415519,                415519,,,                310979,,                 74635,                385614,,                    541,                 30446,,,,                  2055,                  4327,                              0,                  3657,                 10039,,                 33794,                    639,                      7,,                 19248,                 16202,,                  4828,                  4828,,                -10343,                 11070,                 41516,,                  4463,                 37053,                 37053,,,,,,,,                 15308,                 52361,,                 37053,,                 52361,,                              0.28,                              0.28,,                              0.28,                              0.28,                              0,                    541,                 -3396,,,                 11605,,                              0,                              0,                  7099,                  1024,,
1731,2012年01月01日至2012年06月30日,,,,              1085611,                  7925,                  4452,              1073234,              1073234,,,                793006,                793006,                280228,                280228,,,                206791,,                 49807,                256598,,                    139,                 23769,,,,                  1420,                  2877,,                    698,                  4995,,                 20051,                    393,                      5,,                  7248,                 13782,,                  3218,                  3218,,                 -8581,                  6978,                 30747,,                  4445,                 26302,                 26302,,,,,,,,                   -318,                 25984,,                 26302,,                 25984,,,                              0.20,,,                              0.20,                              0,,                 -2415,,,                  8765,,                              0,                              0,                 -6668,                    591,,                              0
1731,2012年01月01日至2012年03月31日,,,,                547614,                  3779,                  2249,                541586,                541586,,,                395419,                395419,                146167,                146167,,,                102303,,                 24163,                126466,,                     10,                 19711,,,,                    752,                  1398,,                    515,                  2665,,                 10574,,                      5,,                  6420,                  4041,,                  1609,                  1609,,                 -3914,                  1183,                 20894,,                  2677,                 18217,                 18217,,,,,,,,                  9708,                 27925,,                 18217,,                 27925,,                              0.14,                              0.14,,                              0.14,                              0.14,                    316,,                 -2804,,,                 13169,,,,                   -657,                    208,,                              0
