證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 營建工程成本,　　　 營建工程成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 租賃成本,　　　 租賃成本合計,　　　 採用權益法認列之關聯企業及合資利益之份額
1218,2014年01月01日至2014年03月31日,,              2100231,,              1776178,                324053,                  1107,                    410,                323356,,,                240910,,                101251,                342161,                -18805,,,,                  1246,                  1246,,                 13617,,                 16165,,                 46223,                 44921,                 26116,,                  2060,                 24056,                 24056,,,                 -2904,                  3870,,                 17884,                              0,                 18850,                 18850,                 42906,,                 24000,                     56,,                 42850,                     56,,                              0.07,,                              0.07,,              1776178,              1776178,,,,,,,,,,,,,,,,,,,,,,
1218,2013年第3季,,              2462785,,              2032975,                429810,                     37,                    328,                430101,,,                390138,,                 94421,                484559,                -53807,,,,                    738,                    738,,                 38191,,                 15607,,                 91674,                114996,                 61189,,                  4887,                 56302,                 56302,,,,,,,,,                 -7494,                 48808,,                 56197,                    105,,                 48703,                    105,,                              0.17,,                              0.16,,              2032975,              2032975,,,,                 -3626,                 -4070,                              0,,                    202,                              0,,                              0,,                    651,,,,,,,,,
1218,2013年第2季,,              2391644,,              2116649,                274995,                    312,                    227,                274910,,,                269142,,                 73492,                342634,                -67724,,,,                  1239,                  1239,,                 36585,,                 17115,,                 77159,                 97868,                 30144,,                 12276,                 17868,                 17868,,,,,,,,,                 -1028,                 16840,,                 18688,                   -820,,                 17660,                   -820,,                              0.06,,                              0.05,,              2116649,              2116649,,,,                  8084,                 -6194,                 -1607,,                 -1311,                              0,,,,,,,,,,,,,
1218,2013年度,,              9112164,,              7967825,              1144339,                    410,                    -16,              1143913,,,              1157823,,                335321,              1493144,               -349231,,,,                  5290,                  5290,,                 62008,,                 67479,,                243874,                243693,               -105538,,                 13789,               -119327,               -119327,,,,,,,,,                   -904,               -120231,,               -119396,                     69,,               -120302,                     71,,                             -0.35,,                              0.00,,,              7967825,,              9112164,                              0,                 20959,                 -1085,                 -2849,,                -17929,                              0,,,,,,,,,,,,,
1218,2013年07月01日至2013年09月30日,,              2462785,,              2032975,                429810,                     37,                    328,                430101,,,                390138,,                 94421,                484559,                -53807,,,,,                    738,,                 38191,,                 15607,,                 91674,                114996,                 61189,,                  4887,                 56302,                 56302,,,,,,,,,                 -7494,                 48808,,                 56197,                    105,,                 48703,                    105,,                              0.17,,                              0.16,,,,,,,                 -3626,                 -4070,                              0,,                    202,                              0,,,,                    651,,,,,,,,,
1218,2013年04月01日至2013年06月30日,,              2391644,,              2116454,                275190,                    311,                    226,                275105,,,                269142,,                 73492,                342634,                -67724,,,,,                  1239,,                 36585,,                 17115,,                 77159,                 97868,                 30144,,                 12276,                 17868,                 17868,,,,,,,,,                 -1028,                 16840,,                 18730,                   -862,,                 17660,                   -820,,                              0.06,,                              0.05,,,,,,,                  8084,                 -6194,                 -1607,,                 -1311,                              0,,,,                   -195,,,,,,,,,
1218,2013年01月01日至2013年12月31日,,              9112164,,              7967825,              1144339,                    410,                    -16,              1143913,,,              1157823,,                335321,              1493144,               -349231,,,,                  5290,                  5290,,                 62008,,                 67479,,                243874,                243693,               -105538,,                 13789,               -119327,               -119327,,,,,,,,,                   -904,               -120231,,               -119396,                     69,,               -120302,                     71,,                             -0.35,,,,              7967825,              7967825,,,,                 20959,                 -1085,                 -2849,,                -17929,                              0,,                              0,,,,,,,,,,,
1218,2013年01月01日至2013年09月30日,,              7221061,,              6234022,                987039,                     37,                    -16,                986986,,,                873454,,                244029,              1117483,               -129285,,,,                  3075,                  3075,,                 74738,,                 49695,,                191876,                219994,                 90709,,                 17431,                 73278,                 73278,,,,,,,,,                  3869,                 77147,,                 73123,                    155,,                 76992,                    155,,                              0.22,,                              0.20,,              6234022,              6234022,,,,                 16218,                 -7800,                 -1607,,                 -2942,                              0,,                              0,,                  1212,,,,,,,,,
1218,2013年01月01日至2013年06月30日,,              4758276,,              4200487,                557789,                    328,                    -16,                557445,,,                483315,,                149608,                632923,                -75478,,,,                  2337,                  2337,,                 36547,,                 34088,,                100202,                104998,                 29520,,                 12544,                 16976,                 16976,,,,,,,,,                 11363,                 28339,,                 16926,                     50,,                 28289,                     50,,                              0.05,,                              0.05,,              4200487,              4200487,,,,                 19844,                 -3730,                 -1607,,                 -3144,                              0,,,,,,,,,,,,,
1218,2013年01月01日至2013年03月31日,,              2366632,,              2083838,                282794,                    243,                    -16,                282535,,,                214173,,                 76116,                290289,                 -7754,,,,                  1098,                  1098,,                    -38,,                 16973,,                 23043,                  7130,                   -624,,                    268,                   -892,                   -892,,,,,,,,,                 12391,                 11499,,                 -1762,                    870,,                 10629,                    870,,                             -0.01,,                              0.00,,              2083838,              2083838,,,,                 11760,                  2464,,,                 -1833,                              0,,,,                              0,,,,,,,,,
1218,2012年07月01日至2012年09月30日,,              3103416,,              2706832,                396584,                    247,                    109,                396446,,,                267706,,                 99753,                367459,                 28568,,,,,                  1171,,                 13758,,                 15341,,                 67272,                 66860,                 95428,,                  2147,                 93281,                 93281,,,,,,,,,                  5252,                 98533,,                 90197,                  3084,,                 95449,                  3084,,                              0.27,,                              0.27,,,,,,,                 -3430,                  8051,                              0,,                    631,                              0,,,,                   -419,,,,,,,,,
1218,2012年04月01日至2012年06月30日,,              2428028,,              2207042,                220986,                    112,                    -86,                220788,,,                124010,,                 88114,                212124,                 -1423,,,,,                  1575,,                 12178,,                 18140,,                 68642,                 64255,                 62832,,                  6729,                 56103,                 56103,,,,,,,,,                -13890,                 42213,,                 58754,                 -2651,,                 44864,                 -2651,,                              0.17,,                              0.17,,,,,,,                  1122,                -14301,                              0,,                   -711,                              0,,,,                -10087,,,,,,,,,
1218,2012年01月01日至2012年12月31日,,             10198124,,              9264698,                933426,                    -16,                      3,                933445,,,                975174,,                325029,              1300203,               -366758,,,,                  5852,                  5852,,                 28873,,                 68159,,                205597,                172163,               -194595,,                  6397,               -200992,               -200992,,,,,,,,,                -32975,               -233967,,               -200020,                   -972,,               -232969,                   -998,,                             -0.59,,,,              9264698,              9264698,,,,                -15203,                 14404,                -20798,,                -11378,                              0,,                              0,,,,,,,,,,,
1218,2012年01月01日至2012年09月30日,,              7774238,,              6925850,                848388,                    247,                      3,                848144,,,                672347,,                265969,                938316,               -107832,,,,,                  3070,,                 36865,,                 47753,,                151068,                143250,                 35418,,                  9545,                 25873,                 25873,,,,,,,,,                -14438,                 11435,,                 21353,                  4520,,                  6915,                  4520,,                              0.06,,                              0.06,,,,,,,                -16684,                  2215,                              0,,                     31,                              0,,,,                -17660,,,,,,,,,
1218,2012年01月01日至2012年06月30日,,              4670822,,              4219018,                451804,                    109,                      3,                451698,,,                404641,,                166216,                570857,               -136400,,,,,                  1899,,                 23107,,                 32412,,                 83796,                 76390,                -60010,,                  7398,                -67408,                -67408,,,,,,,,,                -19690,                -87098,,                -68844,                  1436,,                -88534,                  1436,,                             -0.20,,                             -0.20,,,,,,,                -13254,                 -5836,                              0,,                   -600,                              0,,,,                -17241,,,,,,,,,
1218,2012年01月01日至2012年03月31日,,              2208225,,              1980692,                227533,                     -3,                     89,                227625,,,                275583,,                 77682,                353265,               -125640,,,,,                    324,,                  1592,,                 14272,,                 15154,                  2798,               -122842,,                    669,               -123511,               -123511,,,,,,,,,                 -5800,               -129311,,               -127598,                  4087,,               -133398,                  4087,,                             -0.38,,                             -0.38,,,              1980258,,              2206790,,                -14376,                  8465,,,                    111,                              0,,                              0,,,,                  1435,,,                              0,                              0,,                    434,                 15154
