證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計
8271,2014年01月01日至2014年03月31日,,              2403968,,              2068424,                335544,                335544,,,                118705,,                 40011,,                 27245,                185961,                149583,,,                  1654,,                  1100,,                    988,,                              0,                  1766,                151349,,                 29305,                122044,                122044,,,                   -270,                              0,                   -270,                   -270,                121774,,                122044,,                121774,,                              0.90,,,,,,,,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,
8271,2013年第3季,,              2745279,,              2482519,                262760,                262760,,,                112513,,                 39548,,                 20743,                172804,                 89956,,,                  1335,,                   -273,,                    840,,                              0,                    222,                 90178,,                 20957,                 69221,                 69221,,,,,,                    686,                 69907,,                 69221,,                 69907,,                              0.52,,                              0.51,,,              2745279,              2745279,              2745279,                              0,,,,,,,,,,,,                    686,,,,,              2482519,              2482519,,                              0,,                              0,,                              0,,,
8271,2013年第2季,,              2440039,,              2084418,                355621,                355621,,,                129814,,                 35975,,                 30176,                195965,                159656,,,                  3214,,                  2737,,                    509,,                              0,                  5442,                165098,,                 37550,                127548,                127548,,,,,,                   -680,                126868,,                127548,,                126868,,                              0.97,,                              0.94,,,,,,                              0,,,,,,,,,,,,                   -680,,,                              0,,,              2084418,,,,,,,,,
8271,2013年度,,              9835612,,              8515626,              1319986,              1319986,,,                497371,,                155255,,                101924,                754550,                565436,,,                  8017,,                 10301,,                  2833,,                              0,                 15485,                580921,,                133711,                447210,                447210,,,,,,                 -3807,                443403,,                447210,,                443403,,                              3.33,,                              3.24,,,,,,                              0,,,,,,,,,,,,                 -1867,                              0,                 -2338,                   -398,,,,,,,,,,,,
8271,2013年07月01日至2013年09月30日,,              2745279,,              2482519,                262760,                262760,,,                112513,,                 39548,,                 20743,                172804,                 89956,,,                  1335,,                   -273,,                    840,,,                    222,                 90178,,                 20957,                 69221,                 69221,,,,,,                    686,                 69907,,                 69221,,                 69907,,                              0.52,,                              0.51,,,,,,,,,,,,,,,,,,                    686,,,,,,,,,,,,,,,
8271,2013年04月01日至2013年06月30日,,              2440039,,              2084418,                355621,                355621,,,                129814,,                 35975,,                 30176,                195965,                159656,,,                  3214,,                  2737,,                    509,,,                  5442,                165098,,                 37550,                127548,                127548,,,,,,                   -680,                126868,,                127548,,                126868,,                              0.97,,                              0.94,,,,,,,,,,,,,,,,,,                   -680,,,,,,,,,,,,,,,
8271,2013年01月01日至2013年12月31日,,              9835612,,              8515626,              1319986,              1319986,,,                497371,,                155255,,                101924,                754550,                565436,,,                  8017,,                 10301,,                  2833,,,                 15485,                580921,,                133711,                447210,                447210,,,,,,                 -3807,                443403,,                447210,,                443403,,                              3.33,,                              3.24,,,,,,,,,,,,,,,,,,                 -1867,                              0,                 -2338,                   -398,,,,,,,,,,,,
8271,2013年01月01日至2013年09月30日,,              7294430,,              6310311,                984119,                984119,,,                361809,,                122937,,                 75414,                560160,                423959,,,                  6163,,                  7036,,                  2054,,                              0,                 11145,                435104,,                 99177,                335927,                335927,,,,,,                   -963,                334964,,                335927,,                334964,,                              2.51,,                              2.44,,,              7294430,              7294430,              7294430,                              0,,,,,,,,,,,,                   -963,,,,,              6310311,              6310311,,                              0,,                              0,,                              0,,,
8271,2013年01月01日至2013年06月30日,,              4549151,,              3827792,                721359,                721359,,,                249296,,                 83389,,                 54671,                387356,                334003,,,                  4828,,                  7309,,                  1214,,                              0,                 10923,                344926,,                 78220,                266706,                266706,,,,,,                 -1649,                265057,,                266706,,                265057,,                              2.03,,                              1.97,,,,,,                              0,,,,,,,,,,,,                 -1649,,,                              0,,,              3827792,,,,,,,,,
8271,2013年01月01日至2013年03月31日,,              2109112,,              1743374,                365738,                365738,,,                119482,,                 47414,,                 24495,                191391,                174347,,,                  1614,,                  4572,,                    705,,,                  5481,                179828,,                 40670,                139158,                139158,,,,,,                   -969,                138189,,                139158,,                138189,,                              1.06,,                              1.03,,,,,,,,,,,,,,,,,,                   -969,,,                              0,,,,,,,,,,,                  1614,                  1614
8271,2012年07月01日至2012年09月30日,,              1981400,,              1681817,                299583,                299583,,,                104777,,                 34917,,                 26711,                166405,                133178,,,                  1293,,                  1407,,                    528,,,                  2172,                135350,,                 37925,                 97425,                 97425,,,,,,                    665,                 98090,,                 97425,,                 98090,,                              0.74,,                              0.72,,,,,,,,,,,,,,,,,,                    665,,,,,,,,,,,,,,,
8271,2012年04月01日至2012年06月30日,,              1863581,,              1559811,                303770,                303770,,,                 95909,,                 40608,,                 29817,                166334,                137436,,,                  1325,,                  3014,,                    581,,,                  3758,                141194,,                 32025,                109169,                109169,,,,,,                    -68,                109101,,                109169,,                109101,,                              0.84,,                              0.82,,,,,,,,,,,,,,,,,,                    -68,,,,,,,,,,,,,,,
8271,2012年01月01日至2012年12月31日,,              7703044,,              6510806,              1192238,              1192238,,,                431926,,                152649,,                108209,                692784,                499454,,,                  6046,,                 10749,,                  1897,,,                 14898,                514352,,                116559,                397793,                397793,,,,,,                 10093,                407886,,                397793,,                407886,,                              2.99,,                              2.91,,,,,,,,,,,,,,,,,,                 -1292,                 19179,                 -9390,                 -1596,,,,,,,,,,,,
8271,2012年01月01日至2012年09月30日,,              5814785,,              4908622,                906163,                906163,,,                312275,,                108446,,                 80382,                501103,                405060,,,                  3849,,                  7083,,                  1327,,,                  9605,                414665,,                100298,                314367,                314367,,,,,,                   -267,                314100,,                314367,,                314100,,                              2.37,,                              2.31,,,,,,,,,,,,,,,,,,                   -267,,,,,,,,,,,,,,,
8271,2012年01月01日至2012年06月30日,,              3833385,,              3226805,                606580,                606580,,,                207498,,                 73529,,                 53671,                334698,                271882,,,                  2556,,                  5676,,                    799,,,                  7433,                279315,,                 62373,                216942,                216942,,,,,,                   -932,                216010,,                216942,,                216010,,                              1.66,,                              1.62,,,,,,,,,,,,,,,,,,                   -932,,,,,,,,,,,,,,,
8271,2012年01月01日至2012年03月31日,,              1969804,,              1666994,                302810,                302810,,,                111589,,                 32921,,                 23854,                168364,                134446,,,                  1231,,                  2662,,                    218,,,                  3675,                138121,,                 30348,                107773,                107773,,,,,,                   -864,                106909,,                107773,,                106909,,                              0.83,,                              0.81,,,,,,,,,,,,,,,,,,                   -864,,,                              0,,,,,,,,,,,                  1231,                  1231
