證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　　 營建收入,　　　 採用權益法認列之關聯企業及合資損失之份額,　 已實現銷貨（損）益,　　　 利息收入,　　　　 利息收入合計,　　　 什項支出,　　　 其他收入－其他,　　　 利息費用
5534,2014年01月01日至2014年03月31日,,,                  5977,,,                 46071,                 46071,                 52048,,,                    543,,                 41166,                 41166,                 41709,                 10339,                    617,                  9722,,,                  3590,,                 26023,                 29613,                -19891,,,                     75,,                  8478,,                 13641,,                 -3525,                 -8613,                -28504,,                 20918,                -49422,                -49422,                -49422,,                -49432,                     10,,                -49432,                     10,,                             -0.20,,                             -0.20,                  8478,,,,,,,,
5534,2013年第3季,,,                  6759,,,                497689,                497689,                504448,,,                    713,,                240621,                240621,                241334,                263114,                    380,                262734,,,                 21311,,                 27479,                 48790,                213944,,,                  2750,,                -11891,,                  7766,,                 -9771,                -26678,                187266,,                    -85,                187351,                187351,                187351,,                187353,                     -2,,                187353,                     -2,,                              0.75,,                              0.75,,,,,,,,,
5534,2013年第2季,,,                  6111,,,                 84453,                 84453,                 90564,,,                  1270,,                 55967,                 55967,                 57237,                 33327,,                 33077,,,                  3638,,                 32114,                 35752,                 -2675,,,                  2284,,                    141,,                              0,,                    687,                  3112,                    437,,                239871,               -239434,               -239434,               -239434,,               -239437,                      3,,               -239437,                      3,,                             -0.96,,                             -0.96,,,,                   -250,,,,,
5534,2013年度,,,                 25693,,,              8207574,              8207574,              8233267,,,                  4429,,              2662360,              2662360,              2666789,              5566478,                    921,              5565557,,,                 45897,,                161653,                207550,              5358007,,,                  8766,,                 -5678,,                 25864,,                -14387,                -37163,              5320844,,                257852,              5062992,              5062992,              5062992,,              5063002,                    -10,,              5063002,                    -10,,                             20.36,,                             20.28,,              8207574,                 14387,,,,,,
5534,2013年07月01日至2013年09月30日,,,                  6759,,,                497689,                497689,                504448,,,                    713,,                240621,                240621,                241334,                263114,                    380,                262734,,,                 21311,,                 27479,                 48790,                213944,,,                 13882,,                -23023,,                  7766,,                 -9771,                -26678,                187266,,                    -85,                187351,                187351,                187351,,                187353,                     -2,,                187353,                     -2,,                              0.75,,                              0.75,,,,,,,,,
5534,2013年04月01日至2013年06月30日,,,                  6111,,,                 84453,                 84453,                 90564,,,                  1270,,                 55967,                 55967,                 57237,                 33327,                    250,                 33077,,,                  3638,,                 32114,                 35752,                 -2675,,,                  9655,,                 -7231,,                              0,,                    688,                  3112,                    437,,                239871,               -239434,               -239434,               -239434,,               -239437,                      3,,               -239437,                      3,,                             -0.96,,                             -0.96,,,,,,,,,
5534,2013年01月01日至2013年12月31日,,,                 25693,,,              8207574,              8207574,              8233267,,,                  4429,,              2662360,              2662360,              2666789,              5566478,,              5565557,,,                 45897,,                161653,                207550,              5358007,,,                  8766,,                 -5678,,                 25864,,                -14387,                -37163,              5320844,,                257852,              5062992,              5062992,              5062992,,              5063002,                    -10,,              5063002,                    -10,,                             20.36,,                             20.28,,              8207574,                 14387,                   -921,,,,,
5534,2013年01月01日至2013年09月30日,,,                 19153,,,              7571142,              7571142,              7590295,,,                  2726,,              2366963,              2366963,              2369689,              5220606,                    630,              5219976,,,                 27549,,                 87758,                115307,              5104669,,,                  8086,,                   -861,,                  7904,,                -13192,                -13871,              5090798,,                248426,              4842372,              4842372,              4842372,,              4842360,                     12,,              4842360,                     12,,                             19.48,,                             19.39,,,,,,,,,
5534,2013年01月01日至2013年06月30日,,,                 12394,,,              7073453,              7073453,              7085847,,,                  2013,,              2126342,              2126342,              2128355,              4957492,,              4957242,,,                  6238,,                 60279,                 66517,              4890725,,,                  5336,,                 11030,,                    138,,                 -3421,                 12807,              4903532,,                248511,              4655021,              4655021,              4655021,,              4655007,                     14,,              4655007,                     14,,                             18.73,,                             18.63,,,,                   -250,,,,,
5534,2013年01月01日至2013年03月31日,,,                  6283,,,              6989000,              6989000,              6995283,,,                    743,,              2070375,              2070375,              2071118,              4924165,,              4924165,,,                  2600,,                 28165,                 30765,              4893400,,,                  3052,,                 10889,,                    138,,                 -4108,                  9695,              4903095,,                  8640,              4894455,              4894455,              4894455,,              4894455,                              0,,              4894444,                     11,,                             19.72,,                             19.61,                 10889,,                  4108,                              0,,                  3052,                              0,,
5534,2012年07月01日至2012年09月30日,,,                  4530,,,              2890791,              2890791,              2895321,,,                    725,,              1360496,              1360496,              1361221,              1534100,                              0,              1534100,,,                182551,,                 30900,                213451,              1320649,,,                 15607,,                  2541,,                              0,,                 -3892,                 14256,              1334905,,                 95757,              1239148,              1239148,              1239148,,              1239140,                      8,,              1239140,                      8,,                              5.01,,                              4.97,,,,,,,,,
5534,2012年04月01日至2012年06月30日,,,                  4443,,,                241953,                241953,                246396,,,                  1269,,                130870,                130870,                132139,                114257,                              0,                114257,,,                241203,,                 31637,                272840,               -158583,,,                  3485,,                    -16,,                              0,,                 -3251,                    218,               -158365,,                 51579,               -209944,               -209944,               -209944,,               -209955,                     11,,               -209955,                     11,,                             -0.84,,                             -0.84,,,,,,,,,
5534,2012年01月01日至2012年12月31日,,,                 19513,,,              5572286,              5572286,              5591799,,,                  4371,,              2636225,              2636225,              2640596,              2951203,,              2951203,,,                451327,,                185564,                636891,              2314312,,,                  5315,,                 23348,,                    521,,                -12363,                 15779,              2330091,,                299483,              2030608,              2030608,              2030608,,              2030544,                     64,,              2030544,                     64,,                              8.21,,                              8.15,,              5572286,                 12363,                              0,,,,,
5534,2012年01月01日至2012年09月30日,,,                 13504,,,              4633685,              4633685,              4647189,,,                  2730,,              2148658,              2148658,              2151388,              2495801,                              0,              2495801,,,                488002,,                 87232,                575234,              1920567,,,                 20886,,                  6289,,                      6,,                -11737,                 15432,              1935999,,                156469,              1779530,              1779530,              1779530,,              1779503,                     27,,              1779503,                     27,,                              7.20,,                              7.13,,,,,,,,,
5534,2012年01月01日至2012年06月30日,,,                  8974,,,              1742894,              1742894,              1751868,,,                  2005,,                788162,                788162,                790167,                961701,                              0,                961701,,,                305451,,                 56332,                361783,                599918,,,                  5279,,                  3748,,                      6,,                 -7845,                  1176,                601094,,                 60712,                540382,                540382,                540382,,                540363,                     19,,                540363,                     19,,                              2.19,,                              2.16,,,,,,,,,
5534,2012年01月01日至2012年03月31日,,,                  4531,,,              1500941,              1500941,              1505472,,,                    736,,                657292,                657292,                658028,                847444,,                847444,,,                 64248,,                 24695,                 88943,                758501,,,                  1794,,                  3764,,                      6,,                 -4594,                    958,                759459,,                  9133,                750326,                750326,                750326,,                750318,                      8,,                750318,                      8,,                              3.04,,                              3.02,                  3797,,                  4594,,,                    731,                     33,                  1063,                      6
