證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
1906,2013年度,,                503879,,                424044,                 79835,                 79835,,,                 47424,,                 32725,                 80149,                   -314,,,                 54180,,                  2311,,                 11846,,                -40012,                  4633,                  4319,,                              0,                  4319,                  4319,,,,,,,,,,,,,,,,,,              1037840,              1042159,,                    157,                  4162,,                965886,                 76273,,                              0.00,                              0.00,,                              0.00,                968016,                  1495,,                 68329
1906,2013年07月01日至2013年09月30日,,                113923,,                 94465,                 19458,                 19458,,,                 11677,,                  7708,                 19385,                     73,,,                  1488,,                 -2466,,                  2545,,                -12460,                -15983,                -15910,,                              0,                -15910,                -15910,,,,,,,,,,,,,,,,,,                 79160,                 63250,,                -15883,                    -27,,                 56415,                  6835,,                             -0.11,                             -0.11,,,                 75953,,,                  3207
1906,2013年04月01日至2013年06月30日,,                166836,,                143971,                 22865,                 22865,,,                 15082,,                  7631,                 22713,                    152,,,                 48415,,                    213,,                  2560,,                 -8129,                 37939,                 38091,,                              0,                 38091,                 38091,,,,,,,,,,,,,,,,,,                170592,                208683,,                 33866,                  4225,,                190520,                 18163,,                              0.23,                              0.23,,,                154243,,,                 16349
1906,2013年01月01日至2013年12月31日,,                503879,,                424044,                 79835,                 79835,,,                 47424,,                 32725,                 80149,                   -314,,,                 54180,,                  2311,,                 11846,,                -40012,                  4633,                  4319,,                              0,                  4319,                  4319,,,,,,,,,,,,,,,,,,              1037840,              1042159,,                    157,                  4162,,                965886,                 76273,,                              0.00,                              0.00,,,                968016,                  1495,,                 68329
1906,2013年01月01日至2013年09月30日,,                419125,,                356531,                 62594,                 62594,,,                 39129,,                 24491,                 63620,                 -1026,,,                 52691,,                  2735,,                  7894,,                -35278,                 12254,                 11228,,                              0,                 11228,                 11228,,,,,,,,,,,,,,,,,,                363844,                375072,,                  7052,                  4176,,                341017,                 34055,,                              0.05,                              0.05,,,                330689,,,                 33155
1906,2013年01月01日至2013年06月30日,,                305202,,                262066,                 43136,                 43136,,,                 27452,,                 16783,                 44235,                 -1099,,,                 51203,,                  5201,,                  5349,,                -22818,                 28237,                 27138,,                              0,                 27138,                 27138,,,,,,,,,,,,,,,,,,                284684,                311822,,                 22935,                  4203,,                284602,                 27220,,                              0.16,                              0.16,,,                254735,,,                 29949
1906,2013年01月01日至2013年03月31日,,                138366,,                118095,                 20271,                 20271,,,                 12370,,                  9152,                 21522,                 -1251,,,                  2788,,                  4988,,                  2789,,                -14689,                 -9702,                -10953,,,                -10953,                -10953,,,,,,,,,,,,,,,,,,                114092,                103139,,                -10931,                    -22,,                 94082,                  9057,,                             -0.07,                             -0.07,,,                100492,,,                 13600
1906,2012年07月01日至2012年09月30日,,                149884,,                130852,                 19032,                 19032,,,                 12413,,                  5431,                 17844,                  1188,,,                  1515,,                 -3807,,                  1940,,                -22840,                -27072,                -25884,,                              0,                -25884,                -25884,,,,,,,,,,,,,,,,,,                 32798,                  6914,,                -25844,                    -40,,                  3957,                  2957,,                             -0.18,                             -0.18,,,                 32806,,,                     -8
1906,2012年04月01日至2012年06月30日,,                 82099,,                 70039,                 12060,                 12060,,,                  5878,,                  5599,                 11477,                    583,,,                  1795,,                    946,,                  1929,,                 -3663,                 -2851,                 -2268,,                              0,                 -2268,                 -2268,,,,,,,,,,,,,,,,,,               -159096,               -161364,,                 -2251,                    -17,,               -149873,                -11491,,                             -0.01,                             -0.01,,,               -144328,,,                -14768
1906,2012年01月01日至2012年12月31日,,                468379,,                405193,                 63186,                 63186,,,                 39046,,                 23762,                 62808,                    378,,,                  7006,,                 -8871,,                  7702,,                -53109,                -62676,                -62298,,                    -11,                -62287,                -62287,,,,,,,,,,,,,,,,,,                -65414,               -127701,,                -62192,                    -95,,               -124208,                 -3493,,                             -0.42,                             -0.42,,,                -47848,                   -646,,                -16920
1906,2012年01月01日至2012年09月30日,,                339776,,                295152,                 44624,                 44624,,,                 26619,,                 17119,                 43738,                    886,,,                  5570,,                 -8164,,                  5716,,                -49653,                -57963,                -57077,,                    -11,                -57066,                -57066,,,,,,,,,,,,,,,,,,                -70604,               -127670,,                -56998,                    -68,,               -123676,                 -3994,,                             -0.39,                             -0.39,,,                -53690,,,                -16914
1906,2012年01月01日至2012年06月30日,,                189892,,                164300,                 25592,                 25592,,,                 14206,,                 11688,                 25894,                   -302,,,                  4055,,                 -4357,,                  3776,,                -26813,                -30891,                -31193,,                    -11,                -31182,                -31182,,,,,,,,,,,,,,,,,,               -103402,               -134584,,                -31154,                    -28,,               -127633,                 -6951,,                             -0.21,                             -0.21,,,                -86496,,,                -16906
1906,2012年01月01日至2012年03月31日,,                107793,,                 94261,                 13532,                 13532,,,                  8328,,                  6089,                 14417,                   -885,,,                  2260,,                 -5303,,                  1847,,                -23150,                -28040,                -28925,,                    -11,                -28914,                -28914,,,,,,,,,,,,,,,,,,                 55694,                 26780,,                -28903,                    -11,,                 22240,                  4540,,                             -0.20,                             -0.20,,,                 57836,,,                 -2142
