證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6202,2014年01月01日至2014年06月30日,,,              1915369,              1915369,,,              1000241,              1000241,                915128,                  7169,,                907959,,,                 39232,,                150870,,                316237,                506339,                401620,,,,                 13408,                 13408,,                 -1070,,                 19565,                 31903,                433523,,                 58635,                374888,                374888,,,,,,,                -16315,,                -16315,                -16315,                358573,,                372325,                  2563,,                356057,                  2516,,                              1.65,,                              1.63,,,
6202,2014年01月01日至2014年03月31日,,,                884215,                884215,,,                460130,                460130,                424085,                  7584,,                416501,,,                 18514,,                 75565,,                146402,                240481,                176020,,,,                  6371,                  6371,,                  1975,,                  7332,                 15678,                191698,,                 25865,                165833,                165833,,,,,,,                 -1414,,                 -1414,                 -1414,                164419,,                165101,                    732,,                163541,                    878,,                              0.73,,                              0.72,,,
6202,2013年第3季,,,                969322,                969322,,,                504557,                504557,                464765,                   -105,,                464870,,,                 22092,,                 83566,,                155972,                261630,                203240,,,,                  5916,                  5916,,                    388,,                 17065,                 23369,                226609,,                 30848,                195761,                195761,,,,,,,,,,                 -9194,                186567,,                195147,                    614,,                186052,                    515,,                              0.87,,                              0.86,                 -9194,,                              0
6202,2013年第2季,,,              1046284,              1046284,,,                554345,                554345,                491939,                  8848,,                483091,,,                 21710,,                 86619,,                159499,                267828,                215263,,,,                  6177,                  6177,,                 11095,,                 21135,                 38407,                253670,,                 34445,                219225,                219225,,,,,,,,,,                 11413,                230638,,                217441,                  1784,,                228836,                  1802,,                              0.97,,                              0.96,                 11413,,                              0
6202,2013年度,,,              3894361,              3894361,,,              2071023,              2071023,              1823338,                 20115,,              1803223,,,                 93717,,                330581,,                623336,              1047634,                755589,,,,                 23211,                 23211,,                 41980,,                 61252,                126443,                882032,,                134232,                747800,                747800,,,,,,,,,,                 36453,                784253,,                744945,                  2855,,                781291,                  2962,,                              3.32,,                              3.28,                 37307,                  6016,                  6870
6202,2013年04月01日至2013年06月30日,,,              1046284,              1046284,,,                554345,                554345,                491939,                  8848,,                483091,,,                 21710,,                 86619,,                159499,                267828,                215263,,,,                  6177,                  6177,,                 11095,,                 21135,                 38407,                253670,,                 34445,                219225,                219225,,,,,,,,,,                 11413,                230638,,                217441,                  1784,,                228836,                  1802,,                              0.97,,                              0.96,                 11413,,
6202,2013年01月01日至2013年12月31日,,,              3894361,              3894361,,,              2071023,              2071023,              1823338,                 20115,,              1803223,,,                 93717,,                330581,,                623336,              1047634,                755589,,,,                 23211,                 23211,,                 41980,,                 61252,                126443,                882032,,                134232,                747800,                747800,,,,,,,,,,                 36453,                784253,,                744945,                  2855,,                781291,                  2962,,                              3.32,,                              3.28,                 37307,                  6016,                  6870
6202,2013年01月01日至2013年09月30日,,,              2908435,              2908435,,,              1544061,              1544061,              1364374,                 17742,,              1346632,,,                 70432,,                248234,,                462238,                780904,                565728,,,,                 17494,                 17494,,                 28682,,                 43173,                 89349,                655077,,                 88966,                566111,                566111,,,,,,,,,,                 24015,                590126,,                563035,                  3076,,                587055,                  3071,,                              2.52,,                              2.48,                 24015,,                              0
6202,2013年01月01日至2013年06月30日,,,              1939113,              1939113,,,              1039504,              1039504,                899609,                 17847,,                881762,,,                 48340,,                164668,,                306266,                519274,                362488,,,,                 11578,                 11578,,                 28294,,                 26108,                 65980,                428468,,                 58118,                370350,                370350,,,,,,,,,,                 33209,                403559,,                367888,                  2462,,                401003,                  2556,,                              1.64,,                              1.62,                 33209,,                              0
6202,2013年01月01日至2013年03月31日,,,                892829,                892829,,,                485159,                485159,                407670,                  8999,,                398671,,,                 26630,,                 78049,,                146767,                251446,                147225,,,,                  5401,                  5401,,                 17199,,                  4973,                 27573,                174798,,                 23673,                151125,                151125,,,,,,,,,,                 21796,                172921,,                150447,                    678,,                172167,                    754,,                              0.67,,                              0.66,                 21796,,                              0
6202,2012年04月01日至2012年06月30日,,,                996170,                996170,,,                566611,                566611,                429559,                  3822,,                425737,,,                 24893,,                 78387,,                141902,                245182,                180555,,,,                  5329,                  5329,,                  5190,,                 14908,                 25427,                205982,,                 22636,                183346,                183346,,,,,,,,,,                  2046,                185392,,                182907,                    439,,                184933,                    459,,                              0.82,,                              0.81,                  2046,,
6202,2012年01月01日至2012年12月31日,,,              3555952,              3555952,,,              1986940,              1986940,              1569012,                  2679,,              1566333,,,                112490,,                296551,,                574980,                984021,                582312,,,,                 19739,                 19739,,                  6182,,                 39639,                 65560,                647872,,                 86823,                561049,                561049,,,,,,,,,,                 -4607,                556442,,                560194,                    855,,                555656,                    786,,                              2.51,,                              2.47,                -18317,                 10608,                 -3102
6202,2012年01月01日至2012年06月30日,,,              1757374,              1757374,,,                993763,                993763,                763611,                  7127,,                756484,,,                 50392,,                147178,,                275706,                473276,                283208,,,,                 10361,                 10361,,                  1244,,                 17570,                 29175,                312383,,                 33749,                278634,                278634,,,,,,,,,,                 -7241,                271393,,                278457,                    177,,                271226,                    167,,                              1.25,,                              1.23,                 -7241,,
6202,2012年01月01日至2012年03月31日,,,                761204,                761204,,,                427152,                427152,                334052,                  3305,,                330747,,,                 25499,,                 68791,,                133804,                228094,                102653,,,,                  5032,                  5032,,                 -3946,,                  2662,                  3748,                106401,,                 11113,                 95288,                 95288,,,,,,,,,,                 -9287,                 86001,,                 95550,                   -262,,                 86293,                   -292,,                              0.43,,                              0.42,                 -9287,,
