證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額
1236,2014年01月01日至2014年03月31日,,,                661979,                661979,,                494232,                167747,                167747,,,                125381,,                 15741,                141122,                 26625,,,                  8163,,                   -649,,                  1735,                  5779,                 32404,,                  9161,                 23243,                 23243,,,                     39,                332767,                      7,                332799,                332799,                356042,,                 23243,                              0,,                356042,,                              0.21,,                494232,                494232,,                              0,                              0,                              0,,,,,,,,,
1236,2013年第3季,,,                653643,                653643,,                456753,                196890,                196890,,,                131233,,                 21609,                152842,                 44048,,,                  4473,,                -51457,,                  1634,                -48618,                 -4570,,                 -7252,                  2682,                  2682,,,,,,,                 39609,                 42291,,                  2682,                              0,,                 42291,,                              0.02,,,,,,,,                 47723,                              0,,,                 -8114,,,,
1236,2013年第2季,,,                480358,                480358,,                377778,                102580,                102580,,,                104588,,                 16410,                120998,                -18418,,,                  4166,,                  2176,,                  2033,                  4309,                -14109,,                 -1269,                -12840,                -12840,,,,,,,                 -1012,                -13852,,                -12840,,,                -13852,,                              0.12,,                377778,                377778,,,,                              0,                 -1219,                              0,,                   -207,,,,,
1236,2013年度,,,,              2685119,,              1898917,                786202,                786202,,,                518431,,                 73444,                591875,                194327,,,                 20840,,                -50746,,                  8003,                -37909,                156418,,                 20250,                136168,                136168,,,,,,,                 31093,                167261,,                136168,,,                167261,,                              1.26,,,,,,,,                 49871,                              0,                -12410,                  6368,,,,,
1236,2013年07月01日至2013年09月30日,,,                653643,                653643,,                456753,                196890,                196890,,,                131233,,                 21609,                152842,                 44048,,,                  4473,,                -51457,,                  1634,                -48618,                 -4570,,                 -7252,                  2682,                  2682,,,,,,,                 39609,                 42291,,                  2682,                              0,,                 42291,,                              0.02,,,,,,,,                 47723,,,,                 -8114,,,,
1236,2013年04月01日至2013年06月30日,,,                480358,                480358,,                377778,                102580,                102580,,,                104588,,                 16410,                120998,                -18418,,,                  4166,,                  2176,,                  2033,                  4309,                -14109,,                 -1269,                -12840,                -12840,,,,,,,                 -1012,                -13852,,                -12840,,,                -13852,,                             -0.12,,                377778,                377778,,,,,                 -1219,,,                   -207,,                              0,                              0,,                              0
1236,2013年01月01日至2013年12月31日,,,,              2685119,,              1898917,                786202,                786202,,,                518431,,                 73444,                591875,                194327,,,                 20840,,                -50746,,                  8003,                -37909,                156418,,                 20250,                136168,                136168,,,,,,,                 31093,                167261,,                136168,,,                167261,,                              1.26,,,,,,,,                 49871,,                -12410,                  6368,,,,,
1236,2013年01月01日至2013年09月30日,,,              1860306,              1860306,,              1347639,                512667,                512667,,,                356508,,                 56484,                412992,                 99675,,,                 12958,,                -50276,,                  6367,                -43685,                 55990,,                  3303,                 52687,                 52687,,,,,,,                 41377,                 94064,,                 52687,                              0,,                 94064,,                              0.49,,,,,,,,                 49853,                              0,,,                 -8476,,,,
1236,2013年01月01日至2013年06月30日,,,              1206663,              1206663,,                890886,                315777,                315777,,,                225275,,                 34875,                260150,                 55627,,,                  8485,,                  1181,,                  4733,                  4933,                 60560,,                 10555,                 50005,                 50005,,,,,,,                  1768,                 51773,,                 50005,,,                 51773,,                              0.46,,                890886,                890886,,,,                              0,                  2130,                              0,,                    362,,                              0,                              0,,                              0
1236,2013年01月01日至2013年03月31日,,,                726305,                726305,,                513108,                213197,                213197,,,                120687,,                 18465,                139152,                 74045,,,                  4319,,                   -995,,                  2700,                    624,                 74669,,                 11824,                 62845,                 62845,,,,,,,                  2780,                 65625,,                 62845,                              0,,                 65625,,                              0.58,,                513108,                513108,,,,                              0,                  3349,                              0,,,                   -569,,,,
1236,2012年07月01日至2012年09月30日,,,                640588,                640588,,                427558,                213030,                213030,,,                136772,,                 14551,                151323,                 61707,,,                  3769,,                   -497,,                  2310,                    962,                 62669,,                  9516,                 53153,                 53153,,,,,,,                 -2064,                 51089,,                 53153,                              0,,                 51089,,                              0.49,,,,,,,,                 -2488,,,,                    424,,,,
1236,2012年04月01日至2012年06月30日,,,                403841,                403841,,                309172,                 94669,                 94669,,,                102608,,                 19966,                122574,                -27905,,,                  4242,,                 -6058,,                  1306,                 -3122,                -31027,,                  6758,                -37785,                -37785,,,,,,,                  1426,                -36359,,                -37785,,,                -36359,,                             -0.35,,                309172,                309172,,,,,                  1719,,,                    293,,                              0,                              0,,                              0
1236,2012年01月01日至2012年12月31日,,,,              2361141,,              1666659,                694482,                694482,,,                490587,,                 71317,                561904,                132578,,,                 13364,,                 39488,,                  7723,                 45129,                177707,,                 31241,                146466,                146466,,,,,,,                -46987,                 99479,,                146466,,,                 99479,,                              1.35,,,,,,,,                -49930,,                 -6680,                 -9623,,,,,
1236,2012年01月01日至2012年09月30日,,,              1583496,              1583496,,              1159055,                424441,                424441,,,                345323,,                 50638,                395961,                 28480,,,                 10362,,                 -6204,,                  5345,                 -1187,                 27293,,                 16063,                 11230,                 11230,,,,,,,                 -3625,                  7605,,                 11230,                              0,,                  7605,,                              0.10,,,,,,,,                 -4368,,,,                    743,,,,
1236,2012年01月01日至2012年06月30日,,,                942908,                942908,,                731497,                211411,                211411,,,                208551,,                 36087,                244638,                -33227,,,                  6593,,                 -5707,,                  3035,                 -2149,                -35376,,                  6547,                -41923,                -41923,,,,,,,                 -1561,                -43484,,                -41923,,,                -43484,,                             -0.39,,                731497,                731497,,,,,                 -1880,,,                   -319,,                              0,                              0,,                              0
1236,2012年01月01日至2012年03月31日,,,                539067,                539067,,                422325,                116742,                116742,,,                105943,,                 16121,                122064,                 -5322,,,                  2351,,                    351,,                  1729,                    973,                 -4349,,                   -211,                 -4138,                 -4138,,,,,,,                 -2987,                 -7125,,                 -4138,                              0,,                 -7125,,                              0.04,,                422325,                422325,,,,                              0,                 -3599,,,,                    612,,,,
