證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 其他收入－其他,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 股利收入
4426,2014年01月01日至2014年03月31日,,                321988,,                210457,                111531,                111531,,,                 28556,,                 18367,,                  8093,                 55016,                 56515,,,                  1783,,                  4058,,                  2325,,                   -392,                  3124,                 59639,,                  8083,                 51556,                 51556,,,                    205,                    -24,                     35,                    146,                    146,                 51702,,                 51556,,                 51702,,,,                              0.74,,                              0.74,,,,,,,,,,,,,                321988,,                210457,                210457,                    392,,,,,,,,
4426,2013年第3季,,                300216,,                196103,                104113,                104113,,,                 27827,,                 18792,,                  9174,                 55793,                 48320,,,                  2671,,                 -1273,,                  2487,,                 -1313,                 -2402,                 45918,,                  7342,                 38576,                 38576,,,,,,,                    -87,                 38489,,                 38576,,                 38489,,,,                              0.50,,                              0.50,,,,,,,,,,,,,,,,,,                   -133,                     24,,                    -22,,,,
4426,2013年第2季,,                267252,,                170024,                 97228,                 97228,,,                 12369,,                 21122,,                 11084,                 44575,                 52653,,,                  1311,,                  1869,,                  2364,,                              0,                    816,                 53469,,                 12742,                 40727,                 40727,,,,,,,                    -87,                 40640,,                 40727,,                 40640,,,,                              0.59,,                              0.59,,,,,,,,,,,,,                267252,,,,,                     54,                   -132,,                      9,                  1311,,,
4426,2013年度,,              1194375,,                769487,                424888,                424888,,,                 87556,,                 72136,,                 36580,                196272,                228616,,,                  7416,,                  8818,,                  9785,,                 -1002,                  5447,                234063,,                 38412,                195651,                195651,,,,,,,                 -1209,                194442,,                195651,,                194442,,,,                              2.82,,                              2.80,,,,,,,,,,,,,,,,,                  1002,                    235,                     -1,                 -1403,                     40,,,,
4426,2013年07月01日至2013年09月30日,,                300216,,                196103,                104113,                104113,,,                 27827,,                 18792,,                  9174,                 55793,                 48320,,,                  2671,,                 -1273,,                  2487,,                 -1313,                 -2402,                 45918,,                  7342,                 38576,                 38576,,,,,,,                    -87,                 38489,,                 38576,,                 38489,,,,                              0.60,,                              0.60,,,,,,,,,,,,,,,,,                  1313,                   -133,                     24,,                    -22,                  2664,,,                      7
4426,2013年04月01日至2013年06月30日,,                267252,,                170024,                 97228,                 97228,,,                 12369,,                 21122,,                 11084,                 44575,                 52653,,,                  1311,,                  1869,,                  2364,,,                    816,                 53469,,                 12742,                 40727,                 40727,,,,,,,                    -87,                 40640,,                 40727,,                 40640,,,,                              0.64,,                              0.63,,,,,,,,,,,,,,,,,,                     54,                   -132,,                      9,,,,
4426,2013年01月01日至2013年12月31日,,              1194375,,                769487,                424888,                424888,,,                 87556,,                 72136,,                 36580,                196272,                228616,,,                  7416,,                  8818,,                  9785,,                 -1002,                  5447,                234063,,                 38412,                195651,                195651,,,,,,,                 -1209,                194442,,                195651,,                194442,,,,                              2.82,,                              2.80,,,,,,,,,,,,,,,,,,                    235,                     -1,                 -1403,                     40,,                              2.82,                              2.80,
4426,2013年01月01日至2013年09月30日,,                847334,,                537083,                310251,                310251,,,                 67555,,                 56281,,                 28673,                152509,                157742,,,                  5536,,                  5046,,                  7205,,                 -1313,                  2064,                159806,,                 28652,                131154,                131154,,,,,,,                    110,                131264,,                131154,,                131264,,,,                              1.71,,                              1.70,,,,,,,,,,,,,,,,,,                    163,                    -25,,                     28,,,,
4426,2013年01月01日至2013年06月30日,,                547118,,                340980,                206138,                206138,,,                 39728,,                 37489,,                 19499,                 96716,                109422,,,                  2865,,                  6319,,                  4718,,                              0,                  4466,                113888,,                 21310,                 92578,                 92578,,,,,,,                    197,                 92775,,                 92578,,                 92775,,,,                              1.33,,                              1.32,,,,,,,,,,,,,                547118,,,,,                    296,                    -49,,                     50,                  2865,,,
4426,2013年01月01日至2013年03月31日,,                279866,,                170956,                108910,                108910,,,                 27359,,                 16367,,                  8415,                 52141,                 56769,,,                  1554,,                  4450,,                  2354,,                              0,                  3650,                 60419,,                  8568,                 51851,                 51851,,,,,,,                    284,                 52135,,                 51851,,                 52135,,,,                              0.81,,                              0.74,,,,,,,,,,,,,,,,,,                    242,                     83,,                     41,,                              0.81,                              0.74,
4426,2012年07月01日至2012年09月30日,,                292861,,                178964,                113897,                113897,,,                 16473,,                 21139,,                 15204,                 52816,                 61081,,,                  2298,,                 -4057,,                  2851,,                              0,                 -4610,                 56471,,                  6207,                 50264,                 50264,,,,,,,                    -71,                 50193,,                 50264,,                 50193,,,,                              0.79,,                              0.78,,,,,,,,,,,,,,,,,                              0,                    -67,                    -15,,                    -11,                  2281,,,                     17
4426,2012年04月01日至2012年06月30日,,                257408,,                159491,                 97917,                 97917,,,                 19822,,                 18011,,                  4550,                 42383,                 55534,,,                  1651,,                   -835,,                  2475,,,                 -1659,                 53875,,                  8266,                 45609,                 45609,,,,,,,                     11,                 45620,,                 45609,,                 45620,,,,                              0.71,,                              0.71,,,,,,,,,,,,,,,,,,                     56,                    -36,,                      9,,,,
4426,2012年01月01日至2012年12月31日,,              1024298,,                641549,                382749,                382749,,,                 92210,,                 65503,,                 48573,                206286,                176463,,,                 10418,,                 -6486,,                  9597,,                              0,                 -5665,                170798,,                 24289,                146509,                146509,,,,,,,                 -2337,                144172,,                146509,,                144172,,,,                              2.29,,                              2.27,,,,,,,,,,,,,,,,,,                   -230,                    -18,                 -2128,                    -39,,                              2.29,                              2.27,
4426,2012年01月01日至2012年09月30日,,                739866,,                461564,                278302,                278302,,,                 52684,,                 54491,,                 30010,                137185,                141117,,,                  4874,,                 -5947,,                  7005,,                              0,                 -8078,                133039,,                 17618,                115421,                115421,,,,,,,                    -92,                115329,,                115421,,                115329,,,,                              1.80,,                              1.79,,,,,,,,,,,,,,,,,                              0,                    -77,                    -28,,                    -13,                  4857,,,                     17
4426,2012年01月01日至2012年06月30日,,                447005,,                282600,                164405,                164405,,,                 36211,,                 33352,,                 14806,                 84369,                 80036,,,                  2576,,                 -1890,,                  4154,,,                 -3468,                 76568,,                 11411,                 65157,                 65157,,,,,,,                    -21,                 65136,,                 65157,,                 65136,,,,                              1.02,,                              1.01,,,,,,,,,,,,,,,,,,                    -10,                    -13,,                     -2,,,,
4426,2012年01月01日至2012年03月31日,,                189597,,                123109,                 66488,                 66488,,,                 16389,,                 15341,,                 10256,                 41986,                 24502,,,                    925,,                 -1055,,                  1679,,,                 -1809,                 22693,,                  3145,                 19548,                 19548,,,,,,,                    -32,                 19516,,                 19548,,                 19516,,,,                              0.32,,                              0.32,,,,,,,,,,,,,,,,,,                    -66,                     23,,                    -11,,,,
