證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本
1316,2014年01月01日至2014年03月31日,,                245207,,                203762,                 41445,                 41445,,,                 27218,,                 38193,,                  5845,                 71256,                -29811,,,                    215,,                  4948,,                  5488,                   -325,                -30136,,                  3729,                -33865,                -33865,,,,,,,,,,,,,,,,,                  5774,                 -2116,,,,,,,                  3658,                  3658,                -30207,,                -45692,                 11827,,                -43726,                 13519,,                             -0.36,,                             -0.36,,,,,,,,,,,
1316,2013年第3季,,                296400,,                258960,                 37440,                 37440,,,                 24582,,                 43676,,                  7135,                 75393,                -37953,,,                    125,,                -10978,,                  4372,                -15225,                -53178,,                  3396,                -56574,                -56574,,,,,,,,,,,,,,,,,,,,,,,,,,                    973,                -55601,,                -53812,                 -2762,,                -54538,                 -1063,,                             -0.61,,                             -0.61,,                296400,,                258960,                    793,                    180,                              0,,,,
1316,2013年第2季,,                341558,,                254865,                 86693,                 86693,,,                 30182,,                 95246,,                  4414,                129842,                -43149,,,                    258,,                   -784,,                  5961,                 -6487,                -49636,,                  1381,                -51017,                -51017,,,,,,,,,,,,,,,,,,,,,,,,,,                  4100,                -46917,,                -52509,                  1492,,                -51216,                  4299,,                             -0.61,,                             -0.61,,                341558,,                254865,                    670,                  3430,                              0,,                341558,                341558,                254865
1316,2013年度,,              1282356,,              1039015,                243341,                243341,,,                 83928,,                261312,,                 26703,                371943,               -128602,,,                  1088,,                -52499,,                 26298,                -77709,               -206311,,                  3935,               -210246,               -210246,,,,,,,,,,,,,,,,,,,,,,,,,,                 19864,               -190382,,               -223834,                 13588,,               -217672,                 27290,,                             -2.40,,                             -2.40,,              1282356,,              1039015,                 11160,                  8704,                              0,,,,
1316,2013年07月01日至2013年09月30日,,                296400,,                258960,                 37440,                 37440,,,                 24582,,                 43676,,                  7135,                 75393,                -37953,,,                    125,,                -10978,,                  4372,                -15225,                -53178,,                  3396,                -56574,                -56574,,,,,,,,,,,,,,,,,,,,,,,,,,                    973,                -55601,,                -53812,                 -2762,,                -54538,                 -1063,,                             -0.61,,,,,,,                    793,                    180,                              0,,,,
1316,2013年04月01日至2013年06月30日,,                341558,,                254865,                 86693,                 86693,,,                 30182,,                 95246,,                  4414,                129842,                -43149,,,                    258,,                   -784,,                  5961,                 -6487,                -49636,,                  1381,                -51017,                -51017,,,,,,,,,,,,,,,,,,,,,,,,,,                  4100,                -46917,,                -52509,                  1492,,                -51216,                  4299,,                             -0.61,,,,,,,                    670,                  3430,                              0,,,,
1316,2013年01月01日至2013年12月31日,,              1282356,,              1039015,                243341,                243341,,,                 83928,,                261312,,                 26703,                371943,               -128602,,,                  1088,,                -52499,,                 26298,                -77709,               -206311,,                  3935,               -210246,               -210246,,,,,,,,,,,,,,,,,,,,,,,,,,                 19864,               -190382,,               -223834,                 13588,,               -217672,                 27290,,                             -2.40,,                             -2.40,,,,,                 11160,                  8704,                              0,,,,
1316,2013年01月01日至2013年09月30日,,                980771,,                768506,                212265,                212265,,,                 74228,,                228926,,                 16353,                319507,               -107242,,,                    681,,                 -7888,,                 15149,                -22356,               -129598,,                  6378,               -135976,               -135976,,,,,,,,,,,,,,,,,,,,,,,,,,                 12608,               -123368,,               -137956,                  1980,,               -134042,                 10674,,                             -1.67,,                             -1.67,,                980771,,                768506,                  8880,                  3728,                              0,,,,
1316,2013年01月01日至2013年06月30日,,                684371,,                509546,                174825,                174825,,,                 49646,,                185250,,                  9218,                244114,                -69289,,,                    556,,                  3090,,                 10777,                 -7131,                -76420,,                  2982,                -79402,                -79402,,,,,,,,,,,,,,,,,,,,,,,,,,                 11635,                -67767,,                -84144,                  4742,,                -79504,                 11737,,                             -1.06,,                             -1.06,,                684371,,                509546,                  8087,                  3548,                              0,,                684371,                684371,                509546
1316,2013年01月01日至2013年03月31日,,                342813,,                254681,                 88132,                 88132,,,                 19464,,                 90004,,                  4804,                114272,                -26140,,,                    138,,                  4034,,                  4816,                   -644,                -26784,,                  1601,                -28385,                -28385,,,,,,,,,,,,,,,,,,,,,,,,,,                  7535,                -20850,,                -31635,                  3250,,                -28287,                  7437,,                             -0.43,,                             -0.43,,,,,                  7417,                    118,                              0,,,,
1316,2012年07月01日至2012年09月30日,,                448810,,                355582,                 93228,                 93228,,,                 10209,,                 90542,,                  4075,                104826,                -11598,,,                    257,,                -26523,,                  5060,                -31326,                -42924,,                    402,                -43326,                -43326,,,,,,,,,,,,,,,,,,,,,,,,,,                -16956,                -60282,,                -33259,                -10067,,                -34396,                -25886,,                             -0.53,,,,,,,                 -5922,                -11034,                              0,,,,
1316,2012年04月01日至2012年06月30日,,                365696,,                292178,                 73518,                 73518,,,                  8959,,                 86989,,                  5356,                101304,                -27786,,,                    322,,                 17328,,                  3149,                 14501,                -13285,,                   -134,                -13151,                -13151,,,,,,,,,,,,,,,,,,,,,,,,,,                 -2668,                -15819,,                -29560,                 16409,,                -29412,                 13593,,                             -0.45,,,,,,,                  3139,                 -5807,                              0,,,,
1316,2012年01月01日至2012年12月31日,,              1534377,,              1218516,                315861,                315861,,,                 49736,,                353107,,                 19222,                422065,               -106204,,,                  1213,,                -26576,,                 17454,                -42817,               -149021,,                 -4112,               -144909,               -144909,,,,,,,,,,,,,,,,,,,,,,,,,,                 -1597,               -146506,,               -138429,                 -6480,,               -141724,                 -4782,,                             -2.17,,                             -2.17,,,,,                -12038,                 10441,                              0,,,,
1316,2012年01月01日至2012年09月30日,,              1172461,,                929649,                242812,                242812,,,                 32329,,                263960,,                 14935,                311224,                -68412,,,                    909,,                 -3078,,                 12708,                -14877,                -83289,,                  2684,                -85973,                -85973,,,,,,,,,,,,,,,,,,,,,,,,,,                  1104,                -84869,,                -89894,                  3921,,                -92077,                  7208,,                             -1.40,,,,,,,                -10671,                 11775,                              0,,,,
1316,2012年01月01日至2012年06月30日,,                723651,,                574067,                149584,                149584,,,                 22120,,                173418,,                 10860,                206398,                -56814,,,                    652,,                 23445,,                  7648,                 16449,                -40365,,                  2282,                -42647,                -42647,,,,,,,,,,,,,,,,,,,,,,,,,,                 18060,                -24587,,                -56635,                 13988,,                -57681,                 33094,,                             -0.86,,,,,,,                 -4749,                 22809,                              0,,,,
1316,2012年01月01日至2012年03月31日,,                357955,,                281889,                 76066,                 76066,,,                 13161,,                 86429,,                  5504,                105094,                -29028,,,                    330,,                  6117,,                  4499,                  1948,                -27080,,                  2416,                -29496,                -29496,,,,,,,,,,,,,,,,,,,,,,,,,,                 20728,                 -8768,,                -27075,                 -2421,,                -28269,                 19501,,                             -0.43,,,,,,,                 -7888,                 28616,                              0,,,,
