證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
2457,2014年01月01日至2014年03月31日,,              2776835,,              2385168,                391667,                391667,,,                158182,,                149125,,                 96764,                404071,                -12404,,,                 30993,,                  6993,,                  4372,,                  5412,                 39026,                 26622,,                 20664,                  5958,                  5958,,,                 66678,,                 -7197,                 59481,                 59481,                 65439,,                  6060,                   -102,,                 65725,                   -286,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,,,
2457,2013年第3季,,              3408602,,              2829578,                579024,                579024,,,                162997,,                120012,,                137752,                420761,                158263,,,                 33413,,                -34543,,                  2358,,                   -871,                 -4359,                153904,,                 49097,                104807,                104807,,,,,,,                -57071,                 47736,,                104606,                    201,,                 47391,                    345,,                              0.38,                              0.38,,                              0.38,                              0.38,                -54384,                              0,,,                 -2687,,,,,
2457,2013年第2季,,              3023301,,              2581248,                442053,                442053,,,                164554,,                128341,,                139191,                432086,                  9967,,,                 62946,,                 -2627,,                  1544,,                              0,                 58775,                 68742,,                 52591,                 16151,                 16151,,,,,,,                 65382,                 81533,,                 13143,                  3008,,                 79282,                  2251,,                              0.05,                              0.05,,                              0.05,                              0.05,                 71153,                 -5771,,,                              0,,,,,
2457,2013年度,,             12081088,,             10227880,              1853208,              1853208,,,                675319,,                530909,,                493492,              1699720,                153488,,,                160280,,                -13071,,                  8867,,                  5006,                143348,                296836,,                146321,                150515,                150515,,,,,,,                210568,                361083,,                152534,                 -2019,,                364551,                 -3468,,                              0.55,                              0.55,,                              0.55,                              0.55,                220192,                 -1875,                  1447,,                 -8950,                    246,,,,
2457,2013年07月01日至2013年09月30日,,              3408602,,              2829578,                579024,                579024,,,                162997,,                120012,,                137752,                420761,                158263,,,                 33413,,                -34543,,                  2358,,                   -871,                 -4359,                153904,,                 49097,                104807,                104807,,,,,,,                -57071,                 47736,,                104606,                    201,,                 47391,                    345,,                              0.38,                              0.38,,                              0.38,                              0.38,                -54384,                              0,,,                 -2687,,,                              0,,
2457,2013年04月01日至2013年06月30日,,              3023301,,              2581248,                442053,                442053,,,                164554,,                128341,,                139191,                432086,                  9967,,,                 62946,,                 -2627,,                  1544,,                              0,                 58775,                 68742,,                 52591,                 16151,                 16151,,,,,,,                 65382,                 81533,,                 13143,                  3008,,                 79282,                  2251,,                              0.05,                              0.05,,                              0.05,                              0.05,                 71153,                 -5771,,,                              0,,,,,
2457,2013年01月01日至2013年12月31日,,             12081088,,             10227880,              1853208,              1853208,,,                675319,,                530909,,                493492,              1699720,                153488,,,                160280,,                -13071,,                  8867,,                  5006,                143348,                296836,,                146321,                150515,                150515,,,,,,,                210568,                361083,,                152534,                 -2019,,                364551,                 -3468,,                              0.55,                              0.55,,                              0.55,                              0.55,                220192,                 -1875,                  1447,,                 -8950,                    246,,,,
2457,2013年01月01日至2013年09月30日,,              9040497,,              7574521,              1465976,              1465976,,,                513758,,                379785,,                398787,              1292330,                173646,,,                128930,,                -16392,,                  5212,,                    229,                107555,                281201,,                123058,                158143,                158143,,,,,,,                126752,                284895,,                160054,                 -1911,,                288158,                 -3263,,                              0.58,                              0.58,,                              0.57,                              0.57,                141829,                 -1876,,,                -13201,,,,,
2457,2013年01月01日至2013年06月30日,,              5631895,,              4744943,                886952,                886952,,,                350761,,                259773,,                261035,                871569,                 15383,,,                 95517,,                 18151,,                  2854,,                  1100,                111914,                127297,,                 73961,                 53336,                 53336,,,,,,,                183823,                237159,,                 55448,                 -2112,,                240767,                 -3608,,                              0.20,                              0.20,,                              0.20,                              0.20,                196213,                 -1876,,,                -10514,,,,,
2457,2013年01月01日至2013年03月31日,,              2608594,,              2163695,                444899,                444899,,,                186207,,                131432,,                121844,                439483,                  5416,,,                 32571,,                 20778,,                  1310,,                  1100,                 53139,                 58555,,                 21370,                 37185,                 37185,,,,,,,                118441,                155626,,                 42305,                 -5120,,                161485,                 -5859,,                              0.15,                              0.15,,                              0.15,                              0.15,                125060,                  3895,,,                -10514,,,                              0,                              0.00,                              0.00
2457,2012年07月01日至2012年09月30日,,              3106142,,              2504535,                601607,                601607,,,                197636,,                128815,,                131595,                458046,                143561,,,                 39674,,                -41337,,                  1103,,                  3818,                  1052,                144613,,                 51467,                 93146,                 93146,,,,,,,                -81226,                 11920,,                 97381,                 -4235,,                 16013,                 -4093,,                              0.35,                              0.35,,                              0.35,                              0.35,                -83432,                  3107,,,                   -901,,,                              0,,
2457,2012年04月01日至2012年06月30日,,              3130761,,              2532554,                598207,                598207,,,                210583,,                120390,,                129510,                460483,                137724,,,                 35613,,                  8661,,                    908,,                 -4166,                 39200,                176924,,                 86642,                 90282,                 90282,,,,,,,                 27995,                118277,,                 94650,                 -4368,,                121845,                 -3568,,                              0.34,                              0.34,,                              0.33,                              0.33,                 37538,                 -4342,,,                 -5201,,,,,
2457,2012年01月01日至2012年12月31日,,             11891389,,              9588528,              2302861,              2302861,,,                776570,,                560162,,                475369,              1812101,                490760,,,                117397,,               -131221,,                  4532,,                 11156,                 -7200,                483560,,                186154,                297406,                297406,,,,,,,               -136175,                161231,,                312214,                -14808,,                176264,                -15033,,                              1.13,                              1.13,,                              1.11,                              1.11,               -148586,                  6458,                  6880,,                    243,                  1170,,,,
2457,2012年01月01日至2012年09月30日,,              8887319,,              7112744,              1774575,              1774575,,,                607155,,                385442,,                376030,              1368627,                405948,,,                113799,,                -94899,,                  3069,,                  2003,                 17834,                423782,,                195544,                228238,                228238,,,,,,,               -121795,                106443,,                241608,                -13370,,                119871,                -13428,,                              0.87,                              0.87,,                              0.85,                              0.85,               -126327,                  7296,,,                 -2764,,,                              0,,
2457,2012年01月01日至2012年06月30日,,              5781177,,              4608209,              1172968,              1172968,,,                409519,,                256627,,                244435,                910581,                262387,,,                 74125,,                -53562,,                  1966,,                 -1815,                 16782,                279169,,                144077,                135092,                135092,,,,,,,                -40569,                 94523,,                144227,                 -9135,,                103858,                 -9335,,                              0.52,                              0.52,,                              0.50,                              0.50,                -42895,                  4189,,,                 -1863,,,,,
2457,2012年01月01日至2012年03月31日,,              2650416,,              2075655,                574761,                574761,,,                198936,,                136237,,                114925,                450098,                124663,,,                 38512,,                -62223,,                  1058,,                  2351,                -22418,                102245,,                 57435,                 44810,                 44810,,,,,,,                -68564,                -23754,,                 49577,                 -4767,,                -17987,                 -5767,,                              0.18,                              0.18,,                              0.18,                              0.18,                -80433,                  8531,,,                  3338,,,,                              0.00,                              0.00
