證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 壞帳轉回利益,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 其他綜合損益
2013,2014年01月01日至2014年03月31日,,,                713123,,,              3530973,              3530973,,                 99419,,                  1755,              4345270,,              4170717,                174553,                174553,,,                 26915,,                 79674,,                              0,                106589,                 67964,,,                  3542,                  3542,,                 -2019,,                 14398,,                 23812,                 10937,                 78901,,                 10412,                 68489,                 68489,,,                 -1094,                -11589,,                 -4446,                    -97,                -17032,                -17032,                 51457,,                 68489,,                 51457,,                              0.35,                              0.35,,                              0.35,                              0.35,                              0,,,,,,,,,,,,,,,,,
2013,2013年第3季,,,                741868,,,              4324490,              4324490,,                109000,,                  1365,              5176723,,              4987478,                189245,                189245,,,                 28240,,                 67301,,,                 95541,                 93704,,,                  8769,                  8769,,                 -4822,,                 15503,,                 27771,                 16215,                109919,,                 16959,                 92960,                 92960,,,,,,,,,                 23230,                116190,,                 92960,,                116190,,,                              0.48,,,                              0.48,                              0,,,                 -8323,                 23851,,,                  7443,                   -259,,,,,,,,,
2013,2013年第2季,,,                712940,,,              4468253,              4468253,,                 95432,,                    947,              5277572,,              5102675,                174897,                174897,,,                 28618,,                 69552,,,                 98170,                 76727,,,                  4881,                  4881,,                 -3088,,                 11290,,                 31445,                 21948,                 98675,,                   -550,                 99225,                 99225,,,,,,,,,                -10566,                 88659,,                 99225,,                 88659,,,                              0.51,,,                              0.51,                              0,,,                 10981,                -13977,,,                 -7183,                    387,,,,,,,,,
2013,2013年度,,,              2826136,,,             16336628,             16336628,,                399758,,                  4995,             19567517,,             18738663,                828854,                828854,,,                115409,,                279641,,                              0,                395050,                433804,,,                 24370,                 50068,,                 -7098,,                 53379,,                102508,                 92099,                525903,,                 90372,                435531,                435531,,,,,,,,,                 29260,                464791,,                435531,,                464791,,                              2.25,                              2.25,,                              2.25,                              2.25,                 25698,,                              0,                 36213,                 27151,                -42501,,                  4266,                 -4131,,,,,,,,,
2013,2013年07月01日至2013年09月30日,,,                741868,,,              4324490,              4324490,,                109000,,                  1365,              5176723,,              4987478,                189245,                189245,,,                 28240,,                 67301,,                              0,                 95541,                 93704,,,                  8769,                  8769,,                 -4822,,                 15503,,                 27771,                 16215,                109919,,                 16959,                 92960,                 92960,,,,,,,,,                 23230,                116190,,                 92960,,                116190,,,                              0.48,,,                              0.48,                              0,,,                 -8323,                 23851,,,                  7443,                   -259,,,,,,,,,
2013,2013年04月01日至2013年06月30日,,,                712940,,,              4468253,              4468253,,                 95432,,                    947,              5277572,,              5102675,                174897,                174897,,,                 28618,,                 69552,,,                 98170,                 76727,,,                  4881,                  4881,,                 -3088,,                 11290,,                 31445,                 21948,                 98675,,                   -550,                 99225,                 99225,,,,,,,,,                -10566,                 88659,,                 99225,,                 88659,,,                              0.51,,,                              0.51,                              0,,,                 10981,                -13977,,,                 -7183,                    387,,,,,,,,,
2013,2013年01月01日至2013年12月31日,,,              2826136,,,             16336628,             16336628,,                399758,,                  4995,             19567517,,             18738663,                828854,                828854,,,                115409,,                279641,,                              0,                395050,                433804,,,                 24370,                 50068,,                 -7098,,                 53379,,                102508,                 92099,                525903,,                 90372,                435531,                435531,,,,,,,,,                 29260,                464791,,                435531,,                464791,,                              2.25,                              2.25,,                              2.25,                              2.25,                 25698,,                              0,                 36213,                 27151,                -42501,,                  4266,                 -4131,,,,,,,,,
2013,2013年01月01日至2013年09月30日,,,              2123394,,,             12739442,             12739442,,                299065,,                  3255,             15165156,,             14577523,                587633,                587633,,,                 85284,,                211594,,,                296878,                290755,,,                 20942,                 46640,,                 -5560,,                 37355,,                 78041,                 81766,                372521,,                 42843,                329678,                329678,,,,,,,,,                 26851,                356529,,                329678,,                356529,,,                              1.71,,,                              1.70,                 25698,,,                 23588,                  4695,,,                   -614,                    818,,,,,,,,,
2013,2013年01月01日至2013年06月30日,,,              1381526,,,              8414952,              8414952,,                190065,,                  1890,              9988433,,              9590045,                398388,                398388,,,                 57044,,                144293,,,                201337,                197051,,,                 12173,                 37871,,                   -738,,                 21852,,                 50270,                 65551,                262602,,                 25884,                236718,                236718,,,,,,,,,                  3621,                240339,,                236718,,                240339,,,                              1.23,,,                              1.22,                 25698,,,                 31911,                -19156,,,                 -8057,                  1077,,,,,,,,,
2013,2013年01月01日至2013年03月31日,,,                668586,,,              3946699,              3946699,,                 94633,,                    943,              4710861,,              4487370,                223491,                223491,,,                 28426,,                 74741,,,                103167,                120324,,,                  7292,                 32990,,                  2350,,                 10562,,                 18825,                 43603,                163927,,                 26434,                137493,                137493,,,,,,,,,                 14187,                151680,,                137493,,                151680,,                              0.71,                              0.71,,                              0.71,                              0.71,                 25698,,,                 21197,                 -5179,,,                 -1141,                    690,,,,,,,,,
2013,2012年07月01日至2012年09月30日,,,                162780,,,              4339830,              4339830,,                 98420,,                  1275,              4602305,,              4396047,                206258,                206258,,,                 28505,,                 67865,,                    480,                 96850,                109408,,,                 19776,                 68798,,                 -5097,,                 11446,,                 14911,                 67166,                176574,,                 27224,                149350,                149350,,,,,,,,,                 -8719,                140631,,                149350,,                140631,,,                              0.77,,,                              0.77,                 49022,,,                 -6518,                   -359,,,                 -1842,                              0,,,,,,,,,
2013,2012年04月01日至2012年06月30日,,,                805893,,,              3844727,              3844727,,                 96622,,                  1905,              4749147,,              4509482,                239665,                239665,,,                 27107,,                 60604,,,                 87711,                151954,,,                 11357,                 24091,,                   -109,,                 12597,,                 21976,                 33361,                185315,,                 63059,                122256,                122256,,,,,,,,,                -30583,                 91673,,                122256,,                 91673,,,                              0.63,,,                              0.63,                 12734,,,                  2957,                -29913,,,                 -3627,                              0,,,,,,,,,
2013,2012年01月01日至2012年12月31日,,,              3021304,,,             16636636,             16636636,,                383238,,                  7794,             20048972,,             19063764,                985208,                985208,,,                115937,,                265377,,                    480,                381794,                603414,,,                 33722,                157421,,                -13361,,                 46643,,                 65262,                162679,                766093,,                156487,                609606,                609606,,,,,,,,,                -44556,                565050,,                609606,,                565050,,                              3.16,                              3.16,,                              3.14,                              3.14,                123699,,                              0,                -21718,                   -601,                -30237,,                  2166,                 -5834,,,,,,,,,
2013,2012年01月01日至2012年09月30日,,,              1590802,,,             12228992,             12228992,,                288126,,                  5613,             14113533,,             13478251,                635282,                635282,,,                 82223,,                185406,,                    480,                268109,                367173,,,                 35059,                158758,,                 -9990,,                 35638,,                 51666,                164796,                531969,,                119207,                412762,                412762,,,,,,,,,                -26568,                386194,,                412762,,                386194,,,                              2.14,,,                              2.12,                123699,,,                -20996,                 -5884,,,                    312,                              0,,,,,,,,,
2013,2012年01月01日至2012年06月30日,,,              1428022,,,              7889162,              7889162,,                189706,,                  4338,              9511228,,              9082204,                429024,                429024,,,                 53718,,                117541,,,                171259,                257765,,,                 15283,                 89960,,                 -4893,,                 24192,,                 36755,                 97630,                355395,,                 91983,                263412,                263412,,,,,,,,,                -17849,                245563,,                263412,,                245563,,,                              1.36,,,                              1.36,                 74677,,,                -14478,                 -5525,,,                  2154,                              0,,,,,,,,,
2013,2012年01月01日至2012年03月31日,,,                622129,,,              4044435,              4044435,,                 93084,,                  2433,              4762081,,              4572722,                189359,                189359,,,                 26611,,                 56937,,,                 83548,                105811,,,                  3926,                 65869,,                 -4784,,                 11595,,                 14779,                 64269,                170080,,                 28924,                141156,                141156,,,,,,,,,                 12734,                153890,,                141156,,                153890,,                              0.73,                              0.73,,                              0.73,                              0.73,                 61943,,,                -17435,                 24388,,,                  5781,,,                578222,,              3884120,              3884120,,                 90383,                 19997,                              0
