證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）
1217,2014年01月01日至2014年06月30日,,,              1956775,              1956775,,,              1405180,              1405180,              1405180,                551595,                551595,,,                619104,,                174514,,                 21084,                814702,               -263107,,,                 22768,,                 16697,,                 86248,                 86248,,                  8073,                -38710,               -301817,,                 10015,               -311832,,,               -311832,,,                -13691,                  7735,,                -22197,                 -1531,                -26622,                -26622,               -338454,,               -276179,                -35653,,               -296479,                -41975,,                             -0.57,,                             -0.57,,                             -0.57,,                             -0.57,,,,,,,,,
1217,2014年01月01日至2014年03月31日,,,                853255,                853255,,,                634952,                634952,                634952,                218303,                218303,,,                277268,,                 79063,,                 11572,                367903,               -149600,,,                 10003,,                  6900,,                 41326,                 41326,,                  4531,                -19892,               -169492,,                -11582,               -157910,,,               -157910,,,,,,,,,                 -1964,               -159874,,               -136878,                -21032,,               -137653,                -22221,,                             -0.28,,                             -0.28,,                             -0.28,,                             -0.28,,,                 17100,                   -841,,,                -15302,                  2921,                -11582
1217,2013年第3季,,,              1547667,              1547667,,,              1049700,              1049700,              1049700,                497967,                497967,,,                333554,,                 88502,,                  9969,                432025,                 65942,,,                  5851,,                -72476,,                 41964,                 41964,,                -40264,               -148853,                -82911,,                    496,                -83407,,,                -83407,,,,,,,,,                 27366,                -56041,,                -83560,                    153,,                -58211,                  2170,,                             -0.17,,                             -0.17,,                             -0.17,,                             -0.17,,,                -18068,                 13690,,,                 28655,                 -3089,
1217,2013年第2季,,,              1130640,              1130640,,,                776268,                776268,                776268,                354372,                354372,,,                271612,,                 68480,,                 11263,                351355,                  3017,,,                 11518,,                  4215,,                 40566,                 40566,,                 10671,                -14162,                -11145,,                 -4832,                 -6313,,                              0,                 -6313,,,,,,,,,                -35434,                -41747,,                -16226,                  9913,,                -51781,                 10034,,                             -0.03,,                             -0.03,,                             -0.03,,                             -0.03,,,                 13749,                -19066,,,                -12633,                 17484,
1217,2013年度,,,              4479802,              4479802,,,              3101504,              3101504,              3101504,              1378298,              1378298,,,              1015889,,                353138,,                 45628,              1414655,                -36357,,,                 66014,,                 74868,,                161913,                161913,,                  1868,                -19163,                -55520,,                  4467,                -59987,,,                -59987,,,,,,,,,                  4354,                -55633,,                -53631,                 -6356,,                -57500,                  1867,,                             -0.11,,                             -0.11,,                             -0.11,,                             -0.11,,,                 65717,                -42695,                 11119,,                -18940,                 10847,
1217,2013年07月01日至2013年09月30日,,,              1547667,              1547667,,,              1065706,              1065706,              1065706,                481961,                481961,,,                333554,,                 88502,,                  9969,                432025,                 49936,,,                  5851,,                -57661,,                 41964,                 41964,,                -40427,               -134201,                -84265,,                    292,                -84557,,                              0,                -84557,,,,,,,,,                 27366,                -57191,,                -84704,                    147,,                -59355,                  2164,,                             -0.17,,                             -0.17,,                             -0.17,,                             -0.17,,,                -14979,                 13690,,,                 28655,,
1217,2013年04月01日至2013年06月30日,,,              1130640,              1130640,,,                763922,                763922,                763922,                366718,                366718,,,                271612,,                 68480,,                 11263,                351355,                 15363,,,                 11518,,                 -9411,,                 40566,                 40566,,                 10509,                -27950,                -12587,,                 -5048,                 -7539,,                              0,                 -7539,,,,,,,,,                -35434,                -42973,,                -17444,                  9905,,                -52994,                 10021,,                             -0.04,,                             -0.04,,                             -0.04,,                             -0.04,,,                 -3735,                -19066,,,                -12633,,
1217,2013年01月01日至2013年12月31日,,,              4479802,              4479802,,,              3101566,              3101566,              3101566,              1378236,              1378236,,,              1015889,,                353138,,                 45628,              1414655,                -36419,,,                 66014,,                  1180,,                161913,                161913,,                 -5817,               -100536,               -136955,,                  4388,               -141343,,,               -141343,,,,,,,,,                  4354,               -136989,,               -134669,                 -6674,,               -138538,                  1549,,                             -0.28,,                             -0.28,,                             -0.28,,                             -0.28,,,                 65717,                -42695,                 11119,,                -18940,                 10847,
1217,2013年01月01日至2013年09月30日,,,              3564792,              3564792,,,              2433181,              2433181,              2433181,              1131611,              1131611,,,                808698,,                234665,,                 31474,              1074837,                 56774,,,                 35652,,                -30484,,                120237,                120237,,                 -7317,               -122386,                -65612,,                 10167,                -75779,,,                -75779,,,,,,,,,                  6856,                -68923,,                -81115,                  5336,,                -79124,                 10201,,                             -0.17,,                             -0.17,,                             -0.17,,                             -0.17,,,                 32805,                -43136,,,                 22849,                  5662,
1217,2013年01月01日至2013年06月30日,,,              2017125,              2017125,,,              1383481,              1383481,              1383481,                633644,                633644,,,                475144,,                146163,,                 21505,                642812,                 -9168,,,                 29801,,                 41992,,                 78273,                 78273,,                 32947,                 26467,                 17299,,                  9671,                  7628,,                              0,                  7628,,,,,,,,,                -20510,                -12882,,                  2445,                  5183,,                -20913,                  8031,,                              0.01,,                              0.01,,                              0.01,,                              0.01,,,                 50873,                -56826,,,                 -5806,                  8751,
1217,2013年01月01日至2013年03月31日,,,                886485,                886485,,,                607228,                607228,                607228,                279257,                279257,,,                203532,,                 77683,,                 10242,                291457,                -12200,,,                 18283,,                 36588,,                 37707,                 37707,,                 22114,                 39278,                 27078,,                 14298,                 12780,,,                 12780,,,,,,,,,                 14924,                 27704,,                 17516,                 -4736,,                 29708,                 -2004,,                              0.04,,                              0.04,,                              0.03,,                              0.03,,,                 37124,                -37760,,,                  6827,                 -8733,                 14298
1217,2012年07月01日至2012年09月30日,,,              1604238,              1604238,,,              1078771,              1078771,              1078771,                525467,                525467,,,                335802,,                 70196,,                 10428,                416426,                109041,,,                  5139,,                -32199,,                 34122,                 34122,,                 23544,                -37638,                 71403,,                  7448,                 63955,,                              0,                 63955,,,,,,,,,                 -1373,                 62582,,                 59713,                  4242,,                 58174,                  4408,,                              0.12,,                              0.12,,                              0.12,,                              0.12,,,                -11755,                 21454,,,                -11072,,
1217,2012年04月01日至2012年06月30日,,,              1003396,              1003396,,,                659600,                659600,                659600,                343796,                343796,,,                239792,,                 67334,,                 11367,                318493,                 25303,,,                  5148,,                 -6585,,                 27623,                 27623,,                 25049,                 -4011,                 21292,,                 13779,                  7513,,                              0,                  7513,,,,,,,,,                -34505,                -26992,,                  3163,                  4350,,                -30197,                  3205,,                              0.01,,                              0.01,,                              0.01,,                              0.01,,,                  5970,                -34794,,,                 -5681,,
1217,2012年01月01日至2012年12月31日,,,              4417373,              4417373,,,              3055721,              3055721,              3055721,              1361652,              1361652,,,                974921,,                289525,,                 37632,              1302078,                 59574,,,                 53533,,                -10952,,                128634,                128634,,                 76960,                 -9093,                 50481,,                 41888,                  8593,,,                  8593,,,,,,,,,                 -7445,                  1148,,                  4546,                  4047,,                    209,                    939,,                              0.01,,                              0.01,,                              0.01,,                              0.01,,,                -23822,                 58585,                -35855,,                -15993,                 -9640,
1217,2012年01月01日至2012年09月30日,,,              3502961,              3502961,,,              2372723,              2372723,              2372723,              1130238,              1130238,,,                757904,,                208457,,                 32566,                998927,                131311,,,                 32140,,                 -7071,,                 89379,                 89379,,                 66733,                  2423,                133734,,                 24941,                108793,,                              0,                108793,,,,,,,,,                -45266,                 63527,,                101055,                  7738,,                 57226,                  6301,,                              0.21,,                              0.21,,                              0.21,,                              0.21,,,                -17235,                 -4412,,,                -23619,,
1217,2012年01月01日至2012年06月30日,,,              1898723,              1898723,,,              1293952,              1293952,              1293952,                604771,                604771,,,                422102,,                138261,,                 22138,                582501,                 22270,,,                 27001,,                 25128,,                 55257,                 55257,,                 43189,                 40061,                 62331,,                 17493,                 44838,,                              0,                 44838,,,,,,,,,                -43893,                    945,,                 41342,                  3496,,                   -948,                  1893,,                              0.08,,                              0.08,,                              0.08,,                              0.08,,,                 -5480,                -25866,,,                -12547,,
1217,2012年01月01日至2012年03月31日,,,                895327,                895327,,,                634352,                634352,                634352,                260975,                260975,,,                182310,,                 70927,,                 10771,                264008,                 -3033,,,                 21853,,                 31713,,                 27634,                 27634,,                 18140,                 44072,                 41039,,                  3714,                 37325,,,                 37325,,,,,,,,,                 -9388,                 27937,,                 38179,                   -854,,                 29249,                 -1312,,                              0.08,,                              0.08,,                              0.08,,                              0.08,,,                -13689,                  8928,,,                 -6866,                 -2239,                  3714
