證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 國外營運機構財務報表換算之兌換差額
2342,2014年01月01日至2014年06月30日,,,                975416,                975416,,              1178365,               -202949,               -202949,,,                 13354,,                 72705,,                 61168,                147227,               -350176,,,                  9710,,                263287,,                 17498,,                 30677,                286176,                -64000,,                  7215,                -71215,                -71215,,,                    103,                              0,                    103,,               -164490,,                    -34,                    -34,                              0,               -164524,               -164421,               -235636,,                -65786,                 -5429,,               -230578,                 -5058,,                             -0.18,,,,,,,
2342,2014年01月01日至2014年03月31日,,,                459673,                459673,,                550534,                -90861,                -90861,,,                  8953,,                 39619,,                 30230,                 78802,               -169663,,,                  7053,,                207816,,                  8927,,                 17962,                223904,                 54241,,                  6804,                 47437,                 47437,,,,,,,,,,,,,               -111525,                -64088,,                 49958,                 -2521,,                -61390,                 -2698,,                              0.13,               -115983,,,                  4458,                  4458,                              0,
2342,2013年第3季,,,                469768,                469768,,                644272,               -174504,               -174504,,,                  5589,,                 28882,,                 28393,                 62864,               -237368,,,                  9606,,                 93041,,                 12206,,                -14014,                 76427,               -160941,,                    673,               -161614,               -161614,,,,,,,,,,,,,                -54410,               -216024,,               -159353,                 -2261,,               -214912,                 -1112,,                             -0.43,                -51438,,,                 -2972,                 -2972,                              0,
2342,2013年第2季,,,                420274,                420274,,                636311,               -216037,               -216037,,,                  5313,,                 33358,,                 26394,                 65065,               -281102,,,                 18940,,               -298287,,                 11197,,                 47165,               -243379,               -524481,,                 -1499,               -522982,               -522982,,,,,,,,,,,,,                152686,               -370296,,               -520137,                 -2845,,               -367451,                 -2845,,                             -1.40,                151189,,,                  1497,                  1497,                              0,
2342,2013年度,,,              1735644,              1735644,,              2523936,               -788292,               -788292,,,                 23449,,                149434,,                114090,                286973,             -1075265,,,                 91956,,               -204853,,                 44416,,                 55568,               -101745,             -1177010,,                 11321,             -1188331,             -1188331,,,,,,,,,,,,,                201434,               -986897,,             -1180984,                 -7347,,               -980328,                 -6569,,                             -3.17,                170670,                 26452,,                  4312,                  4312,                              0,
2342,2013年07月01日至2013年09月30日,,,                469768,                469768,,                644272,               -174504,               -174504,,,                  5589,,                 28882,,                 28393,                 62864,               -237368,,,                  9606,,                 93041,,                 12206,,                -14014,                 76427,               -160941,,                    673,               -161614,               -161614,,,,,,,,,,,,,                -54410,               -216024,,               -159353,                 -2261,,               -214912,                 -1112,,                             -0.43,                -51438,,,,,                              0,                 -2972
2342,2013年04月01日至2013年06月30日,,,                420274,                420274,,                636311,               -216037,               -216037,,,                  5313,,                 33358,,                 26394,                 65065,               -281102,,,                 18940,,               -298287,,                 11197,,                 47165,               -243379,               -524481,,                 -1499,               -522982,               -522982,,,,,,,,,,,,,                152686,               -370296,,               -520137,                 -2845,,               -367451,                 -2845,,                             -1.40,                151189,,,,,                              0,                  1497
2342,2013年01月01日至2013年12月31日,,,              1735644,              1735644,,              2523936,               -788292,               -788292,,,                 23449,,                149434,,                114090,                286973,             -1075265,,,                 91956,,               -204853,,                 44416,,                 55568,               -101745,             -1177010,,                 11321,             -1188331,             -1188331,,,,,,,,,,,,,                201434,               -986897,,             -1180984,                 -7347,,               -980328,                 -6569,,                             -3.17,                170670,                 26452,,                  4312,                  4312,                              0,
2342,2013年01月01日至2013年09月30日,,,              1296131,              1296131,,              1902456,               -606325,               -606325,,,                 16965,,                114709,,                 80859,                212533,               -818858,,,                 71565,,               -144325,,                 34026,,                 44622,                -62164,               -881022,,                  7021,               -888043,               -888043,,,,,,,,,,,,,                179863,               -708180,,               -882455,                 -5588,,               -703741,                 -4439,,                             -2.37,                177335,,,                  2528,                  2528,                              0,                  2528
2342,2013年01月01日至2013年06月30日,,,                826363,                826363,,              1258184,               -431821,               -431821,,,                 11376,,                 85827,,                 52466,                149669,               -581490,,,                 61959,,               -237366,,                 21820,,                 58636,               -138591,               -720081,,                  6348,               -726429,               -726429,,,,,,,,,,,,,                234273,               -492156,,               -723102,                 -3327,,               -488829,                 -3327,,                             -1.94,                228773,,,                  5500,                  5500,                              0,
2342,2013年01月01日至2013年03月31日,,,                406089,                406089,,                621873,               -215784,               -215784,,,                  6063,,                 52469,,                 26072,                 84604,               -300388,,,                 43019,,                 60921,,                 10623,,                 11471,                104788,               -195600,,                  7847,               -203447,               -203447,,,,,,,,,,,,,                 81587,               -121860,,               -202965,                   -482,,               -121378,                   -482,,                             -0.55,                 77584,,,                  4003,                  4003,                              0,
2342,2012年07月01日至2012年09月30日,,,                405714,                405714,,                629817,               -224103,               -224103,,,                 38801,,                 32355,,                 24831,                 95987,               -320090,,,                  3541,,                -25813,,                 12067,,                 40795,                  6456,               -313634,,                -26321,               -287313,               -287313,,,,,,,,,,,,,                266573,                -20740,,               -284308,                 -3005,,                -17735,                 -3005,,                             -0.76,                266573,,,,,                              0,                              0
2342,2012年04月01日至2012年06月30日,,,                650847,                650847,,                658110,                 -7263,                 -7263,,,                  1177,,                 35446,,                 26142,                 62765,                -70028,,,                  2963,,                155921,,                 12203,,                -61398,                 85283,                 15255,,                 18324,                 -3069,                 -3069,,,,,,,,,,,,,               -529093,               -532162,,                   -482,                 -2587,,               -529575,                 -2587,,                              0.00,               -529093,,,,,                              0,                              0
2342,2012年01月01日至2012年12月31日,,,              1841750,              1841750,,              2581939,               -740189,               -740189,,,                135625,,                152257,,                101545,                389427,             -1129616,,,                 33929,,                152060,,                 49661,,                 62487,                198815,               -930801,,                -21787,               -909014,               -909014,,,,,,,,,,,,,                378558,               -530456,,               -894473,                -14541,,               -515760,                -14696,,                             -2.40,                386508,                  2090,,                -10040,                -10040,                              0,
2342,2012年01月01日至2012年09月30日,,,              1534140,              1534140,,              1926664,               -392524,               -392524,,,                 52767,,                104462,,                 74642,                231871,               -624395,,,                  9363,,                140426,,                 37008,,                 82910,                195691,               -428704,,                 -1642,               -427062,               -427062,,,,,,,,,,,,,                628021,                200959,,               -418328,                 -8734,,                209693,                 -8734,,                             -1.12,                628021,,,,,                              0,                              0
2342,2012年01月01日至2012年06月30日,,,              1128426,              1128426,,              1296847,               -168421,               -168421,,,                 13966,,                 72107,,                 49811,                135884,               -304305,,,                  5822,,                166239,,                 24941,,                 42115,                189235,               -115070,,                 24679,               -139749,               -139749,,,,,,,,,,,,,                361448,                221699,,               -134020,                 -5729,,                227428,                 -5729,,                             -0.36,                361448,,,,,                              0,                              0
2342,2012年01月01日至2012年03月31日,,,                477579,                477579,,                638737,               -161158,               -161158,,,                 12789,,                 36661,,                 23669,                 73119,               -234277,,,                  2859,,                 10318,,                 12738,,                103513,                103952,               -130325,,                  6355,               -136680,               -136680,,,,,,,,,,,,,                890541,                753861,,               -133538,                 -3142,,                757003,                 -3142,,                             -0.36,                890541,,,,,                              0,                              0
