證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　　 確定福利計畫精算利益（損失）
2496,2014年01月01日至2014年03月31日,,                 33572,,                 37949,                 -4377,                 -4377,,,                  4045,,                  6296,,                    373,                 10714,                -15091,,,                    235,,                  2326,,                     22,                  2539,                -12552,,                              0,                -12552,                -12552,                -12552,,                             -0.32,                             -0.32,,                             -0.32,                             -0.32,,,,,,,,,,,,
2496,2013年第3季,,                 30839,,                 35187,                 -4348,                 -4348,,,                  3565,,                  7647,,                  2860,                 14072,                -18420,,,                      8,,                   -378,,                              0,                   -370,                -18790,,                              0,                -18790,                -18790,                -18790,,                             -0.49,                             -0.49,,                             -0.49,                             -0.49,,,,,,,,,,,,
2496,2013年第2季,,                 36545,,                 26630,                  9915,                  9915,,,                  2155,,                  8573,,                  2280,                 13008,                 -3093,,,                     25,,                    316,,                              0,                    341,                 -2752,,                              0,                 -2752,                 -2752,                 -2752,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,,,,,,,,,,,,
2496,2013年度,,                151927,,                126251,                 25676,                 25676,,,                  9283,,                 31055,,                  9976,                 50314,                -24638,,,                    646,,                 -1933,,                     27,                 -1314,                -25952,,                              0,                -25952,                -25952,                -26197,,                             -0.69,                             -0.69,,                             -0.69,                             -0.69,,,,,,,,,,,                   -245,                   -245
2496,2013年07月01日至2013年09月30日,,                 30839,,                 35187,                 -4348,                 -4348,,,                  3565,,                  7647,,                  2860,                 14072,                -18420,,,                      8,,                   -378,,,                   -370,                -18790,,                              0,                -18790,                -18790,                -18790,,                             -0.49,                             -0.49,,                             -0.49,                             -0.49,,,,,,,,,,,,
2496,2013年04月01日至2013年06月30日,,                 36545,,                 26630,                  9915,                  9915,,,                  2155,,                  8549,,                  2304,                 13008,                 -3093,,,                     25,,                    316,,,                    341,                 -2752,,                              0,                 -2752,                 -2752,                 -2752,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,,,,,,,,,,,,
2496,2013年01月01日至2013年12月31日,,                151927,,                126251,                 25676,                 25676,,,                  9283,,                 31055,,                  9976,                 50314,                -24638,,,                    646,,                 -1933,,                     27,                 -1314,                -25952,,                              0,                -25952,                -25952,                -26197,,                             -0.69,                             -0.69,,                             -0.69,                             -0.69,,,,,,,,,,,                   -245,                   -245
2496,2013年01月01日至2013年09月30日,,                114495,,                 94676,                 19819,                 19819,,,                  7335,,                 24370,,                  8084,                 39789,                -19970,,,                     38,,                     47,,                              0,                     85,                -19885,,                              0,                -19885,                -19885,                -19885,,                             -0.54,                             -0.54,,                             -0.54,                             -0.54,,,,,,,,,,,,
2496,2013年01月01日至2013年06月30日,,                 83656,,                 59489,                 24167,                 24167,,,                  3770,,                 16723,,                  5224,                 25717,                 -1550,,,                     30,,                    425,,                              0,                    455,                 -1095,,                              0,                 -1095,                 -1095,                 -1095,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,,,,,,,,,,,
2496,2013年01月01日至2013年03月31日,,                 47111,,                 32859,                 14252,                 14252,,,                  1615,,                  8174,,                  2920,                 12709,                  1543,,,                      5,,                    109,,                              0,                    114,                  1657,,                              0,                  1657,                  1657,                  1657,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,
2496,2012年07月01日至2012年09月30日,,                 76800,,                 53393,                 23407,                 23407,,,                  4717,,                  9438,,                  1757,                 15912,                  7495,,,                    126,,                   -525,,,                   -399,                  7096,,                   -133,                  7229,                  7229,                  7229,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,,,,,
2496,2012年04月01日至2012年06月30日,,                 51929,,                 43133,                  8796,                  8796,,,                  4565,,                  8017,,                  1933,                 14515,                 -5719,,,                      8,,                    136,,,                    144,                 -5575,,                   -216,                 -5359,                 -5359,                 -5359,,                             -0.15,                             -0.15,,                             -0.15,                             -0.15,,,,,,,,,,,,
2496,2012年01月01日至2012年12月31日,,                228743,,                169478,                 59265,                 59265,,,                 11875,,                 32423,,                  9063,                 53361,                  5904,,,                 10831,,                   -206,,                              0,                 10625,                 16529,,                              0,                 16529,                 16529,                 15664,,                              0.46,                              0.46,,                              0.46,                              0.46,,,,,,,,,,,                   -865,                   -865
2496,2012年01月01日至2012年09月30日,,                166529,,                133398,                 33131,                 33131,,,                 11551,,                 23285,,                  6002,                 40838,                 -7707,,,                  1446,,                 -1032,,,                    414,                 -7293,,                   -349,                 -6944,                 -6944,                 -6944,,                             -0.19,                             -0.19,,                             -0.19,                             -0.19,,,,,,,,,,,,
2496,2012年01月01日至2012年06月30日,,                 89729,,                 80005,                  9724,                  9724,,,                  6834,,                 13847,,                  4245,                 24926,                -15202,,,                  1320,,                   -507,,,                    813,                -14389,,                   -216,                -14173,                -14173,                -14173,,                             -0.39,                             -0.39,,                             -0.39,                             -0.39,,,,,,,,,,,,
