證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　　 處分不動產、廠房及設備利益,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 處分投資損失
2344,2014年01月01日至2014年06月30日,,             18493376,,             13466174,              5027202,              5027202,,,                565377,,                539026,,              2507207,              3611610,              1415592,,,,                 83004,                 41625,                    902,                 18592,                144123,,                     96,,                 15905,                     -3,,                -14498,,                 83798,                 83798,,                 -1563,                 -1563,                 44264,              1459856,,                278219,              1181637,              1181637,,,,,,                 10388,                795193,                805581,                805581,              1987218,,              1094009,                 87628,,              1898592,                 88626,,                              0.30,                              0.30,,                              0.30,                              0.30,                -15585,                -16893,,,,,,,,,
2344,2014年01月01日至2014年03月31日,,              8751022,,              6495987,              2255035,              2255035,,,                268869,,                250661,,              1214538,              1734068,                520967,,,,                 42658,                              0,,                  5961,                 48619,,                              0,,                  7629,,,                  3739,,                 48664,                 48664,,                -15866,                -15866,                -12172,                508795,,                111451,                397344,                397344,,,,,,                 56336,                156153,                212489,                212489,                609833,,                380093,                 17251,,                585727,                 24106,,                              0.10,                              0.10,,                              0.10,                              0.10,                -56004,                -67205,                    167,,,,,,,,
2344,2013年第3季,,              8309158,,              6490215,              1818943,              1818943,,,                242098,,                250696,,              1020555,              1513349,                305594,,,,                 11245,                  2373,                              0,                 12031,                 25649,,                     61,                -54391,                 10354,                  3935,                -45855,                -22764,,                 60086,                 60086,,,                 -9410,                -66611,                238983,,                102358,                136625,                136625,,,,,,,,,                -41982,                 94643,,                135600,                  1025,,                 95544,                   -901,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,                              0,                              0,                -15701,                -26281,,                  9410,
2344,2013年第2季,,              8845828,,              6780069,              2065759,              2065759,,,                253181,,                246952,,              1044389,              1544522,                521237,,,,                 10739,                 27342,                    796,                  7571,                 46448,,                 -2051,                 44541,                  9247,,                 15997,                 15957,,                 73004,                 73004,,,                 13416,                  2817,                524054,,                107681,                416373,                416373,,,,,,,,,              1237777,              1654150,,                371660,                 44713,,              1605136,                 49014,,                              0.10,                              0.10,,                              0.10,                              0.10,,,                   -506,,                    783,                    783,                 27565,              1210212,,                -13416,
2344,2013年度,,             33135448,,             26226516,              6908932,              6908932,,,                972433,,                980725,,              4190576,              6143734,                765198,,,,                 53033,                 29715,                  6330,                 33742,                122820,,                 -7674,                161934,                 37652,                  3807,                 89923,                 22095,,                259402,                259402,,                -92057,                -92057,               -206544,                558654,,                271288,                287366,                287366,,,,,,,,,              1567420,              1854786,,                206564,                 80802,,              1752631,                102155,,                              0.06,                              0.06,,                              0.06,                              0.06,,,,,                    783,                    783,                 43138,              1487472,                 36810,,
2344,2013年07月01日至2013年09月30日,,              8309158,,              6490215,              1818943,              1818943,,,                242098,,                250696,,              1020555,              1513349,                305594,,,,                 11245,                  2373,                              0,                 12031,                 25649,,                     61,                              0,                 10354,                  3935,                              0,                -22764,,                 60086,                 60086,,                              0,                 -9410,                -66611,                238983,,                102358,                136625,                136625,,,,,,,,,                -41982,                 94643,,                135600,                  1025,,                 95544,                   -901,,,                              0.04,,,                              0.04,                 45855,                 54391,                              0,,                              0,                              0,                -15701,                -26281,,                  9410,                              0
2344,2013年04月01日至2013年06月30日,,              8845828,,              6780069,              2065759,              2065759,,,                253181,,                246952,,              1044389,              1544522,                521237,,,,                 10739,                 27342,                    796,                  7571,                 46448,,                              0,                 44541,                  9247,                    506,                 15997,                 15957,,                 73004,                 73004,,                 13416,                 13416,                  2817,                524054,,                107681,                416373,                416373,,,,,,,,,              1237777,              1654150,,                371660,                 44713,,              1605136,                 49014,,,                              0.10,,,                              0.10,                              0,,                              0,,                    783,                    783,                 27565,              1210212,,,                  2051
2344,2013年01月01日至2013年12月31日,,             33135448,,             26226516,              6908932,              6908932,,,                972433,,                980725,,              4190576,              6143734,                765198,,,,                 53033,                 29715,                  6330,                 33742,                122820,,,                161934,                 37652,                  3807,                 89923,                 22095,,                259402,                259402,,                              0,                -92057,               -206544,                558654,,                271288,                287366,                287366,,,,,,,,,              1567420,              1854786,,                206564,                 80802,,              1752631,                102155,,                              0.06,                              0.06,,                              0.06,                              0.06,                              0,                              0,                              0,,                    783,                    783,                 43138,              1487472,                 36810,                 92057,                  7674
2344,2013年01月01日至2013年09月30日,,             24830092,,             19696397,              5133695,              5133695,,,                734440,,                726487,,              3107977,              4568904,                564791,,,,                 31458,                 29715,                  6045,                 27027,                 94245,,                 -2554,                119704,                 28758,                  2931,                 71250,                 13428,,                208257,                208257,,,                 -1915,               -102499,                462292,,                246686,                215606,                215606,,,,,,,,,              1718294,              1933900,,                144278,                 71328,,              1847794,                 86106,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,                    783,                    783,                 69470,              1648824,,                  1915,
2344,2013年01月01日至2013年06月30日,,             16520934,,             13206182,              3314752,              3314752,,,                492342,,                475791,,              2087422,              3055555,                259197,,,,                 20213,                 27342,                  6045,                 14996,                 68596,,                 -2615,                174095,                 18404,,                117105,                 36192,,                148171,                148171,,,                  7495,                -35888,                223309,,                144328,                 78981,                 78981,,,,,,,,,              1760276,              1839257,,                  8678,                 70303,,              1752250,                 87007,,                              0.00,                              0.00,,                              0.00,                              0.00,,,                  1004,,                    783,                    783,                 85171,              1675105,,                 -7495,
2344,2013年01月01日至2013年03月31日,,              7675106,,              6426113,              1248993,              1248993,,,                239161,,                228839,,              1043033,              1511033,               -262040,,,,                  9474,,                  5249,                  7425,                 22148,,,                129554,                  9157,,                101108,                 20235,,                 75167,                 75167,,,                 -5921,                -38705,               -300745,,                 36647,               -337392,               -337392,,,,,,,,,                522499,                185107,,               -362982,                 25590,,                147114,                 37993,,                             -0.10,                             -0.10,,                              0.00,                              0.00,,,                  1510,,,,                 57606,                464893,,                  5921,                    564
2344,2012年07月01日至2012年09月30日,,              8540442,,              6993356,              1547086,              1547086,,,                260445,,                294020,,              1107172,              1661637,               -114551,,,,                 11948,                  6253,                              0,                 15347,                 33548,,                              0,                              0,                  7078,                              0,                              0,                -40215,,                 88528,                 88528,,                  2687,                  2687,                -92508,               -207059,,                 48780,               -255839,               -255839,,,,,,,,,                -50580,               -306419,,               -324629,                 68790,,               -368831,                 62412,,,                             -0.09,,,                              0.00,                 54931,                 53345,                    277,,                              0,                              0,                -39557,                -11023,,                              0,                 35000
2344,2012年04月01日至2012年06月30日,,              9069128,,              7620937,              1448191,              1448191,,,                255100,,                286660,,              1023632,              1565392,               -117201,,,,                 10839,                 40880,                              0,                  7456,                 59175,,                    191,                 36387,                  7337,                              0,                 36826,                   -418,,                 95963,                 95963,,                  7894,                  7894,                -29312,               -146513,,                 62503,               -209016,               -209016,,,,,,,,,               -142197,               -351213,,               -325406,                116390,,               -466138,                114925,,,                             -0.09,,,                              0.00,                              0,,                 17241,,                 10074,                 10074,                 18988,               -161185,,,                              0
2344,2012年01月01日至2012年12月31日,,             32965283,,             27802298,              5162985,              5162985,,,              1013571,,              1126336,,              4304440,              6444347,             -1281362,,,,                 43825,                 47133,                 79951,                 36793,                207702,,,                              0,                 27674,                              0,                              0,                -25335,,                364983,                364983,,                 14458,                 14458,               -168158,             -1449520,,                175037,             -1624557,             -1624557,,,,,,,,,               -227705,             -1852262,,             -1862883,                238326,,             -2040687,                188425,,                             -0.51,                             -0.51,,                              0.00,                              0.00,                103648,                 51631,                 17555,,                 25030,                 25030,                -93274,                 53553,               -187984,                              0,                 42203
2344,2012年01月01日至2012年09月30日,,             25095785,,             21093933,              4001852,              4001852,,,                780844,,                857401,,              3196880,              4835125,               -833273,,,,                 33109,                 47133,                 79951,                 28421,                188614,,                              0,                              0,                 20482,                              0,                              0,                -14322,,                280376,                280376,,                 12003,                 12003,                -94081,               -927354,,                146159,             -1073513,             -1073513,,,,,,,,,                 22374,             -1051139,,             -1296228,                222715,,             -1260209,                209070,,,                             -0.35,,,                              0.00,                 58880,                 27757,                 19836,,                 10074,                 10074,                -82245,                104619,,                              0,                 34725
2344,2012年01月01日至2012年06月30日,,             16555343,,             14100577,              2454766,              2454766,,,                520399,,                563381,,              2089708,              3173488,               -718722,,,,                 21161,                 40880,                 79951,                 13074,                155066,,                    275,                 25588,                 13404,                              0,                              0,                 25893,,                191848,                191848,,                  9316,                  9316,                 -1573,               -720295,,                 97379,               -817674,               -817674,,,,,,,,,                 72954,               -744720,,               -971599,                153925,,               -891378,                146658,,,                             -0.26,,,                              0.00,                  3949,,                 19559,,                 10074,                 10074,                -42688,                115642,,,                              0
2344,2012年01月01日至2012年03月31日,,              7486215,,              6479640,              1006575,              1006575,,,                258843,,                276721,,              1066076,              1601640,               -595065,,,,                 10322,,                 73495,                  5618,                 89435,,                     84,                              0,                  6067,,                              0,                 26311,,                 95885,                 95885,,                  1422,                  1422,                 21283,               -573782,,                 34876,               -608658,               -608658,,,,,,,,,                215151,               -393507,,               -646193,                 37535,,               -425240,                 31733,,,                             -0.17,,,,                 40775,                 10799,                  2318,,,,                -61676,                276827,,                              0,                              0
