證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額
3032,2014年01月01日至2014年03月31日,,,                837055,                837055,,,                649544,                649544,                187511,                187511,,,                 61589,,                 31089,,                 18873,                111551,                 75960,,,                  5013,,                 -7999,,                    606,                    606,,                  1961,                 -1631,                 74329,,                 17752,                 56577,                 56577,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 24518,                 -4808,                    304,                 19406,                 19406,                 75983,,                 58158,                 -1581,,                 77064,                 -1081,,                              0.56,,                              0.56,                              0,                              0,,,,                              0,,,,,,,,,,
3032,2013年第3季,,,                616549,                616549,,,                498286,                498286,                118263,                118263,,,                 49893,,                 32607,,                 20455,                102955,                 15308,,,                 15217,,                  1957,,                    923,                    923,,                              0,                 16251,                 31559,,                  6405,                 25154,                 25154,,,,,,,,,,,,,,,,,,                 -6511,                 18643,,                 26950,                 -1796,,                 19677,                 -1034,,                              0.26,,                              0.26,,,,,,,,,,,                -12084,                  5852,,                    279,,
3032,2013年第2季,,,                579984,                579984,,,                464152,                464152,                115832,                115832,,,                 55056,,                 32684,,                 20357,                108097,                  7735,,,                 12051,,                 -7355,,                  1143,                  1143,,                              0,                  3553,                 11288,,                  1995,                  9293,                  9293,,,,,,,,,,,,,,,,,,                 16634,                 25927,,                 11173,                 -1880,,                 27412,                 -1485,,                              0.11,,                              0.11,                              0,                              0,,                              0,,,,,,,                 22243,                 -5289,,                    320,,
3032,2013年度,,,              2380649,              2380649,,,              1929271,              1929271,                451378,                451378,,,                207819,,                140501,,                 78877,                427197,                 24181,,,                 49084,,                 -8909,,,                  4873,,                    947,                 36249,                 60430,,                 20838,                 39592,                 39592,,,,,,,,,,,,,,,,,,                 60055,                 99647,,                 50076,                -10484,,                108534,                 -8887,,                              0.48,,                              0.48,,,,,,,,              2380649,                              0,                              0,                 60370,                   -282,                  1425,                  1458,,
3032,2013年07月01日至2013年09月30日,,,                616549,                616549,,,                498286,                498286,                118263,                118263,,,                 49893,,                 32607,,                 20455,                102955,                 15308,,,                 15217,,                  1957,,                    923,                    923,,,                 16251,                 31559,,                  6405,                 25154,                 25154,,,,,,,,,,,,,,,,,,                 -6511,                 18643,,                 26950,                 -1796,,                 19677,                 -1034,,                              0.26,,                              0.26,,,,,,,,,,,                -12084,                  5852,,                    279,,
3032,2013年04月01日至2013年06月30日,,,                579984,                579984,,,                464152,                464152,                115832,                115832,,,                 55056,,                 32684,,                 20357,                108097,                  7735,,,                 12051,,                 -7355,,                  1143,                  1143,,                              0,                  3553,                 11288,,                  1995,                  9293,                  9293,,,,,,,,,,,,,,,,,,                 16634,                 25927,,                 11173,                 -1880,,                 27412,                 -1485,,                              0.11,,                              0.11,                              0,                              0,,                              0,,,,,,,                 22243,                 -5289,,                    320,,                              0
3032,2013年01月01日至2013年12月31日,,,              2380649,              2380649,,,              1929271,              1929271,                451378,                451378,,,                207819,,                140501,,                 78877,                427197,                 24181,,,                 49084,,                 -8909,,,                  4873,,                    947,                 36249,                 60430,,                 20838,                 39592,                 39592,,,,,,,,,,,,,,,,,,                 60055,                 99647,,                 50076,                -10484,,                108534,                 -8887,,                              0.48,,                              0.48,,,,,,,,              2380649,                              0,                              0,                 60370,                   -282,                  1425,                  1458,,
3032,2013年01月01日至2013年09月30日,,,              1793574,              1793574,,,              1439716,              1439716,                353858,                353858,,,                153186,,                 99053,,                 58985,                311224,                 42634,,,                 30754,,                 -8665,,                  3490,                  3490,,                              0,                 18599,                 61233,,                 17049,                 44184,                 44184,,,,,,,,,,,,,,,,,,                 39834,                 84018,,                 48703,                 -4519,,                 87703,                 -3685,,                              0.47,,                              0.47,,,,,,,,,,,                 44668,                 -4021,,                    813,,
3032,2013年01月01日至2013年06月30日,,,              1177025,              1177025,,,                941430,                941430,                235595,                235595,,,                103293,,                 66446,,                 38530,                208269,                 27326,,,                 15537,,                -10622,,                  2567,                  2567,,                              0,                  2348,                 29674,,                 10644,                 19030,                 19030,,,,,,,,,,,,,,,,,,                 46345,                 65375,,                 21753,                 -2723,,                 68025,                 -2650,,                              0.21,,                              0.21,                              0,                              0,,                              0,,,,,,,                 56752,                 -9873,,                    534,,
3032,2013年01月01日至2013年03月31日,,,                597041,                597041,,,                477278,                477278,                119763,                119763,,,                 48237,,                 33762,,                 18173,                100172,                 19591,,,                  3486,,                 -3267,,                  1424,                  1424,,                              0,                 -1205,                 18386,,                  8649,                  9737,                  9737,,,,,,,,,,,,,,,,,,                 29711,                 39448,,                 10580,                   -843,,                 40613,                 -1165,,                              0.10,,                              0.10,                              0,                              0,,                              0,,,,,,,                 34509,                 -4584,,                    214,,                              0
3032,2012年07月01日至2012年09月30日,,,                665732,                665732,,,                540585,                540585,                125147,                125147,,,                 51591,,                 34354,,                 22652,                108597,                 16550,,,                  7052,,                   -953,,                  1653,                  1653,,,                  4446,                 20996,,                  2672,                 18324,                 18324,,,,,,,,,,,,,,,,,,                -30362,                -12038,,                 19172,                   -848,,                -11571,                   -467,,                              0.19,,                              0.19,,,,,,,,,,,                -27413,                 -2949,,                              0,,
3032,2012年04月01日至2012年06月30日,,,                619626,                619626,,,                513312,                513312,                106314,                106314,,,                 61917,,                 34676,,                 25697,                122290,                -15976,,,                  2084,,                  1616,,                  1601,                  1601,,                              0,                  2099,                -13877,,                 -2200,                -11677,                -11677,,,,,,,,,,,,,,,,,,                  3239,                 -8438,,                -11491,                   -186,,                 -7195,                 -1243,,                             -0.11,,                             -0.11,                              0,                              0,,                              0,,,,,,,                 10165,                 -7469,,                   -543,,                              0
3032,2012年01月01日至2012年12月31日,,,              2536792,              2536792,,,              2081417,              2081417,                455375,                455375,,,                228382,,                139413,,                 90873,                458668,                 -3293,,,                 17802,,                   -897,,,                  6524,,                              0,                 10381,                  7088,,                  1562,                  5526,                  5526,,,,,,,,,,,,,,,,,,                -67920,                -62394,,                 10352,                 -4826,,                -57606,                 -4788,,                              0.10,,                              0.10,,,,,,,,              2536792,                              0,                              0,                -60974,                 -3612,                 -4438,                 -1104,,
3032,2012年01月01日至2012年09月30日,,,              1952497,              1952497,,,              1596427,              1596427,                356070,                356070,,,                171416,,                105818,,                 70706,                347940,                  8130,,,                 14100,,                   -936,,                  4959,                  4959,,,                  8205,                 16335,,                  4868,                 11467,                 11467,,,,,,,,,,,,,,,,,,                -58791,                -47324,,                 12832,                 -1365,,                -45406,                 -1918,,                              0.12,,                              0.12,,,,,,,,,,,                -53606,                 -5728,,                   -543,,
3032,2012年01月01日至2012年06月30日,,,              1286765,              1286765,,,              1055842,              1055842,                230923,                230923,,,                119825,,                 71464,,                 48054,                239343,                 -8420,,,                  7048,,                     17,,                  3306,                  3306,,                              0,                  3759,                 -4661,,                  2196,                 -6857,                 -6857,,,,,,,,,,,,,,,,,,                -28429,                -35286,,                 -6340,                   -517,,                -33835,                 -1451,,                             -0.06,,                             -0.06,                              0,                              0,,                              0,,,,,,,                -26193,                 -2779,,                   -543,,                              0
3032,2012年01月01日至2012年03月31日,,,                667139,                667139,,,                542566,                542566,                124573,                124573,,,                 57908,,                 36788,,                 22357,                117053,                  7520,,,                  5000,,                 -1599,,                  1705,                  1705,,                              0,                  1696,                  9216,,                  4396,                  4820,                  4820,,,,,,,,,,,,,,,,,,                -31668,                -26848,,                  5151,                   -331,,                -26640,                   -208,,                              0.05,,                              0.05,                              0,                              0,,                              0,,,,,,,                -36358,                  4690,,                              0,,                              0
