證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1701,2013年度,,              5173846,,              3607232,              1566614,              1566614,,,                817960,,                159060,,                354560,              1331580,                235034,,,                 56329,,                   -888,,                 41111,,                 77219,                 91549,                326583,,                 85031,                241552,                241552,,,,,,,,,                237362,                478914,,                240347,                  1205,,                476793,                  2121,,                              0.81,                              0.81,                 46907,                166346,                 31162,,                  9028,                 16081,,                              0.81,                              0.81
1701,2013年07月01日至2013年09月30日,,              1291484,,                897060,                394424,                394424,,,                195486,,                 36757,,                 87445,                319688,                 74736,,,                  8176,,                  2451,,                 11640,,                 14708,                 13695,                 88431,,                 17778,                 70653,                 70653,,,,,,,,,                 -1737,                 68916,,                 70388,                    265,,                 68129,                    787,,                              0.24,                              0.24,                 -9177,                  2313,,,                  4447,                   -680,,,
1701,2013年04月01日至2013年06月30日,,              1286532,,                896353,                390179,                390179,,,                206172,,                 35218,,                 76544,                317934,                 72245,,,                 19123,,                  1897,,                  9657,,                 23639,                 35002,                107247,,                 11930,                 95317,                 95317,,,,,,,,,                  7737,                103054,,                 94848,                    469,,                102585,                    469,,                              0.32,                              0.32,                  9662,                    -22,,,                   -260,                  1643,,,
1701,2013年01月01日至2013年12月31日,,              5173846,,              3607232,              1566614,              1566614,,,                817960,,                159060,,                354560,              1331580,                235034,,,                 56329,,                   -888,,                 41111,,                 77219,                 91549,                326583,,                 85031,                241552,                241552,,,,,,,,,                237362,                478914,,                240347,                  1205,,                476793,                  2121,,                              0.81,                              0.81,                 46907,                166346,                 31162,,                  9028,                 16081,,,
1701,2013年01月01日至2013年09月30日,,              3843294,,              2697534,              1145760,              1145760,,,                599699,,                114606,,                253577,                967882,                177878,,,                 36397,,                    674,,                 31311,,                 63884,                 69644,                247522,,                 38055,                209467,                209467,,,,,,,,,                 30328,                239795,,                208260,                  1207,,                238066,                  1729,,                              0.70,                              0.70,                 30940,                  1838,                              0,,                  3690,                  6140,,,
1701,2013年01月01日至2013年06月30日,,              2551810,,              1800474,                751336,                751336,,,                404213,,                 77849,,                166132,                648194,                103142,,,                 28221,,                 -1777,,                 19671,,                 49176,                 55949,                159091,,                 20277,                138814,                138814,,,,,,,,,                 32065,                170879,,                137872,                    942,,                169937,                    942,,                              0.46,                              0.46,                 40117,                   -475,,,                   -757,                  6820,,,
1701,2013年01月01日至2013年03月31日,,              1265278,,                904121,                361157,                361157,,,                198041,,                 42631,,                 89588,                330260,                 30897,,,                  9098,,                 -3674,,                 10014,,                 25537,                 20947,                 51844,,                  8347,                 43497,                 43497,,,,,,,,,                 24328,                 67825,,                 43024,                    473,,                 67352,                    473,,                              0.14,                              0.14,                 30455,                   -453,,,                   -497,                  5177,,,
1701,2012年07月01日至2012年09月30日,,              1220713,,                850527,                370186,                370186,,,                203016,,                 23971,,                 79419,                306406,                 63780,,,                  7698,,                  2271,,                  7048,,                 22418,                 25339,                 89119,,                 12614,                 76505,                 76505,,,,,,,,,                 -7914,                 68591,,                 76260,                    245,,                 67610,                    981,,                              0.26,                              0.26,                -12685,                  2515,,,                    115,                 -2141,,,
1701,2012年04月01日至2012年06月30日,,              1179086,,                805228,                373858,                373858,,,                191835,,                 49696,,                 81546,                323077,                 50781,,,                 13559,,                 10705,,                  8289,,                 39609,                 55584,                106365,,                 24633,                 81732,                 81732,,,,,,,,,                  7587,                 89319,,                 81380,                    352,,                 88967,                    352,,                              0.27,                              0.27,                 10074,                 -2238,,,                    869,                  1118,,,
1701,2012年01月01日至2012年12月31日,,              4947571,,              3352483,              1595088,              1595088,,,                843438,,                170129,,                321038,              1334605,                260483,,,                 55621,,                 23583,,                 36426,,                 88301,                131079,                391562,,                 66470,                325092,                325092,,,,,,,,,               -108836,                216256,,                324181,                    911,,                216683,                   -427,,                              1.09,                              1.09,                -25999,                -55625,                -38204,,                 -2272,                -13264,,,
1701,2012年01月01日至2012年09月30日,,              3665613,,              2487151,              1178462,              1178462,,,                596475,,                116922,,                236168,                949565,                228897,,,                 26879,,                 21567,,                 22968,,                 79310,                104788,                333685,,                 56753,                276932,                276932,,,,,,,,,                -17768,                259164,,                276267,                    665,,                257763,                  1401,,                              0.93,                              0.93,                -26420,                  3049,,,                  1112,                 -4491,,,
1701,2012年01月01日至2012年06月30日,,              2444900,,              1636624,                808276,                808276,,,                393459,,                 92951,,                156749,                643159,                165117,,,                 19181,,                 19296,,                 15920,,                 56892,                 79449,                244566,,                 44139,                200427,                200427,,,,,,,,,                 -9854,                190573,,                200007,                    420,,                190153,                    420,,                              0.67,                              0.67,                -13735,                    534,,,                    997,                 -2350,,,
1701,2012年01月01日至2012年03月31日,,              1265814,,                831396,                434418,                434418,,,                201624,,                 43255,,                 75203,                320082,                114336,,,                  5622,,                  8591,,                  7631,,                 17283,                 23865,                138201,,                 19506,                118695,                118695,,,,,,,,,                -17441,                101254,,                118627,                     68,,                101186,                     68,,                              0.40,                              0.40,                -23809,                  2772,,,                    128,                 -3468,,,
