證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本合計,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 其他營業收入,　　　 其他營業收入淨額,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
6192,2014年01月01日至2014年03月31日,,,              1172739,,,                226499,                226499,              1399238,,,                888650,,,                 96646,                 96646,                985296,                413942,                413942,,,                126777,,                 53660,,                 13442,                193879,                220063,,,                  6785,,                 -4604,,                  1639,                    542,                220605,,                 41635,                178970,                178970,,,                 15030,                 15030,                 15030,                194000,,                178970,,                194000,,                              1.51,,                              1.50,,                              0,,,,
6192,2013年第3季,,,              1390255,,,                213178,                213178,              1603433,,,              1053251,,,                114951,                114951,              1168202,                435231,                435231,,,                131878,,                 80506,,                 13261,                225645,                209586,,,                  5076,,                 -1058,,                  1619,                  2399,                211985,,                 48750,                163235,                163235,,,,,                -24669,                138566,,                163235,,                138566,,                              1.38,,                              1.37,,,,                -24669,,
6192,2013年第2季,,,              1189726,,,                226392,                226392,              1416118,,,                866310,,,                116198,                116198,                982508,                433610,                433610,,,                156919,,                 44046,,                 13471,                214436,                219174,,,                  4118,,                 -3826,,                  1694,                 -1402,                217772,,                 70544,                147228,                147228,,,,,                 18867,                166095,,                147228,,                166095,,                              1.24,,                              1.23,,                              0,,                 18867,,
6192,2013年度,,,              5318854,,,                921532,                921532,              6240386,,,              4092145,,,                480605,                480605,              4572750,              1667636,              1667636,,,                546280,,                254007,,                 50598,                850885,                816751,,,                 30642,,                 -3667,,                  7117,                 19858,                836609,,                197486,                639123,                639123,,,,,                 53291,                692414,,                639123,,                692414,,                              5.38,,                              5.33,,,                 30642,                 67557,                -17188,                  2922
6192,2013年07月01日至2013年09月30日,,,              1390255,,,                213178,                213178,              1603433,,,              1053251,,,                114951,                114951,              1168202,                435231,                435231,,,                131878,,                 80506,,                 13261,                225645,                209586,,,                  5076,,                 -1058,,                  1619,                  2399,                211985,,                 48750,                163235,                163235,,,,,                -24669,                138566,,                163235,,                138566,,                              1.38,,                              1.37,,,                  5076,                -24669,,
6192,2013年04月01日至2013年06月30日,,,              1189726,,,                226392,                226392,              1416118,,,                866310,,,                116198,                116198,                982508,                433610,                433610,,,                156919,,                 44046,,                 13471,                214436,                219174,,,                  4118,,                 -3826,,                  1694,                 -1402,                217772,,                 70544,                147228,                147228,,,,,                 18867,                166095,,                147228,,                166095,,                              1.24,,                              1.23,,                              0,                  4118,                 18867,,
6192,2013年01月01日至2013年12月31日,,,              5318854,,,                921532,                921532,              6240386,,,              4092145,,,                480605,                480605,              4572750,              1667636,              1667636,,,                546280,,                254007,,                 50598,                850885,                816751,,,                 30642,,                 -3667,,                  7117,                 19858,                836609,,                197486,                639123,                639123,,,,,                 53291,                692414,,                639123,,                692414,,                              5.38,,                              5.33,,,                 30642,                 67557,                -17188,                  2922
6192,2013年01月01日至2013年09月30日,,,              3733580,,,                661519,                661519,              4395099,,,              2836964,,,                328622,                328622,              3165586,              1229513,              1229513,,,                411371,,                171821,,                 38657,                621849,                607664,,,                 19556,,                 -4377,,                  4932,                 10247,                617911,,                150120,                467791,                467791,,,,,                 41033,                508824,,                467791,,                508824,,                              3.94,,                              3.90,,,,                 41033,,
6192,2013年01月01日至2013年06月30日,,,              2343325,,,                448341,                448341,              2791666,,,              1783713,,,                213671,                213671,              1997384,                794282,                794282,,,                279493,,                 91315,,                 25396,                396204,                398078,,,                 14480,,                 -3319,,                  3313,                  7848,                405926,,                101370,                304556,                304556,,,,,                 65702,                370258,,                304556,,                370258,,                              2.57,,                              2.54,,                              0,,                 65702,,
6192,2013年01月01日至2013年03月31日,,,              1153599,,,                221949,                221949,              1375548,,,                917403,,,                 97473,                 97473,              1014876,                360672,                360672,,,                122574,,                 47269,,                 11925,                181768,                178904,,,                 10362,,                    507,,                  1619,                  9250,                188154,,                 30826,                157328,                157328,,,,,                 46835,                204163,,                157328,,                204163,,                              1.33,,                              1.31,,                              0,,                 46835,,
6192,2012年07月01日至2012年09月30日,,,              1537267,,,                212463,                212463,              1749730,,,              1238419,,,                107573,                107573,              1345992,                403738,                403738,,,                116186,,                 49563,,                 11250,                176999,                226739,,,                  3879,,                    135,,                  2113,                  1901,                228640,,                 47651,                180989,                180989,,,,,                -20752,                160237,,                180989,,                160237,,                              1.52,,                              1.52,,,                  3879,                -20752,,
6192,2012年04月01日至2012年06月30日,,,              1504734,,,                197932,                197932,              1703410,,,              1245443,,,                104651,                104651,              1350094,                353316,                353316,,,                120276,,                 44121,,                 10028,                174425,                178891,,,                 15271,,                 -4644,,                  2409,                  8218,                187109,,                 58145,                128964,                128964,,,,,                 10756,                139720,,                128964,,                139720,,                              1.09,,                              1.08,,                    744,                 15271,                 10756,,
6192,2012年01月01日至2012年12月31日,,,              5940685,,,                808427,                808427,              6749112,,,              4745205,,,                419639,                419639,              5164844,              1584268,              1584268,,,                509867,,                187182,,                 33291,                730340,                853928,,,                 37848,,                -15086,,                  7297,                 15465,                869393,,                195844,                673549,                673549,,,,,                -62970,                610579,,                673549,,                610579,,                              5.67,,                              5.60,,,                 37848,                -54815,                 -9825,                  1670
6192,2012年01月01日至2012年09月30日,,,              4406352,,,                623019,                623019,              5029371,,,              3557028,,,                325158,                325158,              3882186,              1147185,              1147185,,,                356061,,                129106,,                 32054,                517221,                629964,,,                 23909,,                -11300,,                  5482,                  7127,                637091,,                142568,                494523,                494523,,,,,                -46959,                447564,,                494523,,                447564,,                              4.17,,                              4.12,,,                 23909,                -46959,,
6192,2012年01月01日至2012年06月30日,,,              2869085,,,                408386,                408386,              3279641,,,              2318609,,,                217585,                217585,              2536194,                743447,                743447,,,                239875,,                 79543,,                 20804,                340222,                403225,,,                 20030,,                -11435,,                  3369,                  5226,                408451,,                 94917,                313534,                313534,,,,,                -26207,                287327,,                313534,,                287327,,                              2.64,,                              2.61,,                  2170,                 20030,                -26207,,
6192,2012年01月01日至2012年03月31日,,,              1364351,,,                210454,                210454,              1576231,,,              1073166,,,                112934,                112934,              1186100,                390131,                390131,,,                119599,,                 35422,,                 10776,                165797,                224334,,,                  4759,,                 -6791,,                    960,                 -2992,                221342,,                 36772,                184570,                184570,,,,,                -36963,                147607,,                184570,,                147607,,                              1.55,,                              1.54,,                  1426,,                -36963,,
