證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 投資收入,　　　　 投資收入合計,　　　 投資收入（投資公司適用）合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 利息費用,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 銷貨退回,　　 其他費用,　 停業單位損益,　　 停業單位損益合計
2499,2014年01月01日至2014年03月31日,,,,              1877306,                 13111,              1864195,,,,                 46880,              1911075,,              1522534,                388541,,                388205,,,                 87043,,                138134,,                 54627,                279804,                108401,,,                  2389,,                 82972,,                 24253,,                  9442,                 70550,                178951,,                 14521,                164430,                164430,,,,,,,                100437,                 61883,,                 89672,                251992,                251992,                416422,,                170584,                 -6154,,                422006,                 -5584,,                              0.53,,,                    336,,,                 24253,                              0.53,                              0.00,,,,,,,,,
2499,2013年第3季,,,,              1729308,                 32184,              1697124,,,                 37556,                 37556,              1734680,,              1387018,                347662,                 -5359,                342303,,,                 71223,,                136373,,                 62861,                270457,                 71846,,,                  1109,,                -14884,,                 27764,,                 -1713,                -43252,                 28594,,                 -8892,                 37486,                 37486,,,,,,,,,,,,                -48265,                -10779,,                 37395,                     91,,                -10688,                    -91,,                              0.11,,                              0.11,,,,,,,                -73223,                 69461,,,                -44503,,,,
2499,2013年第2季,,,,              1992927,                 37421,              1955506,,,,                 54968,              2010474,,              1573057,                437417,                              0,                434038,,,                 79361,,                121912,,                 75547,                276820,                157218,,,                 27953,,                -33907,,                 25763,,                 -9805,                -41522,                115696,,                  7044,                108652,                108652,,,,,,,,,,,,                155318,                263970,,                107214,                  1438,,                261702,                  2268,,                              0.32,,                              0.32,                  3379,,                              0,,,,                 45558,                 74915,,,                 34845,,,,
2499,2013年度,,,,              7017673,                 92159,              6925514,,,,                177073,              7102587,,              5806481,              1296106,,              1291261,,,                330085,,                486265,,                254466,              1070816,                220445,,,                 33787,,                 68716,,                104464,,                    648,                 -1313,                219132,,                  9758,                209374,                209374,,,,,,,,,,,,                701580,                910954,,                207121,                  2253,,                916161,                 -5207,,                              0.63,,,                  4845,,,,                              0.63,                              0.00,                162671,                374916,                    976,,                163017,,,,
2499,2013年07月01日至2013年09月30日,,,,              1729308,                 32184,              1697124,,,                 37556,                 37556,              1734680,,              1387018,                347662,,                342303,,,                 71223,,                136373,,                 62861,                270457,                 71846,,,                  1109,,                -14884,,                 27764,,                 -1713,                -43252,                 28594,,                 -8892,                 37486,                 37486,,,,,,,,,,,,                -48265,                -10779,,                 37395,                     91,,                -10688,                    -91,,                              0.11,,                              0.11,                  5359,,,,,,                -73223,                 69461,,,                -44503,,,,
2499,2013年04月01日至2013年06月30日,,,,              1992927,                 37421,              1955506,,,,                 54968,              2010474,,              1573057,                437417,,                434038,,,                 79361,,                121912,,                 75547,                276820,                157218,,,                 27953,,                -33907,,                 25763,,                 -9805,                -41522,                115696,,                  7044,                108652,                108652,,,,,,,,,,,,                155318,                263970,,                107214,                  1438,,                261702,                  2268,,                              0.32,,                              0.32,                  3379,,                              0,,,,                 45558,                 74915,,,                 34845,,,,
2499,2013年01月01日至2013年12月31日,,,,              7017673,                 92159,              6925514,,,,                177073,              7102587,,              5806481,              1296106,,              1291261,,,                330085,,                486266,,                254465,              1070816,                220445,,,                 33787,,                 68716,,                104464,,                    648,                 -1313,                219132,,                  9758,                209374,                209374,,,,,,,,,,,,                701580,                910954,,                207121,                  2253,,                916161,                 -5207,,                              0.63,,,                  4845,,,,                              0.63,                              0.00,                162671,                374916,                    976,,                163017,,,,
2499,2013年01月01日至2013年09月30日,,,,              5488872,                 97536,              5391336,,,                146457,                146457,              5537793,,              4469712,              1068081,                 -9874,              1058207,,,                230365,,                369176,,                199973,                799514,                258693,,,                 30277,,                 46817,,                 78646,,                -14371,                -15923,                242770,,                  5062,                237708,                237708,,,,,,,,,,,,                523172,                760880,,                235641,                  2067,,                756206,                  4674,,                              0.71,,                              0.71,,,,,,,                110280,                325259,,,                 87633,,,,
2499,2013年01月01日至2013年06月30日,,,,              3759564,                 65352,              3694212,,,,                108901,              3803113,,              3082694,                720419,                              0,                715904,,,                159142,,                232803,,                137112,                529057,                186847,,,                 29168,,                 61701,,                 50882,,                -12658,                 27329,                214176,,                 13954,                200222,                200222,,,,,,,,,,,,                571437,                771659,,                198246,                  1976,,                766687,                  4972,,                              0.60,,                              0.60,                  4515,,                              0,,,,                183503,                255798,,,                132136,,,,
2499,2013年01月01日至2013年03月31日,,,,              1766637,                 27931,              1738706,,,,                 53933,              1792639,,              1509637,                283002,,                281866,,,                 79781,,                110891,,                 61565,                252237,                 29629,,,                  1215,,                 95608,,                 25119,,                 -2853,                 68851,                 98480,,                  6910,                 91570,                 91570,,,,,,,,,,,,                416119,                507689,,                 91032,                    538,,                504985,                  2704,,                              0.28,,,                  1136,,,                 25119,                              0.28,                              0.00,                137945,                180883,,,                 97291,,,,
2499,2012年07月01日至2012年09月30日,,,,              2476322,                 48842,              2427480,,,                 -5374,                 -5374,              2422106,,              1980172,                441934,,                442064,,,                 61678,,                 93928,,                 65499,                221105,                220959,,,                  4111,,               -169881,,                 25752,,                   -998,               -192520,                 28439,,                  8621,                 19818,                 19818,,,,,,,,,,,,                140020,                159838,,                 25386,                 -5568,,                166155,                 -6317,,                              0.08,,                              0.08,                   -130,,,,,,                -93535,                 59888,,,                173667,,,,
2499,2012年04月01日至2012年06月30日,,,,              1847646,                 10823,              1836823,,,,                  6149,              1842972,,              1517439,                325533,,                325473,,,                 66596,,                 88464,,                 63238,                218298,                107175,,,                 30808,,                 -1267,,                 24481,,                -11846,                 -6786,                100389,,                 21384,                 79005,                 79005,,,,,,,,,,,,                -96384,                -17379,,                 78285,                    720,,                -22196,                  4817,,                              0.24,,                              0.24,                     60,,                              0,,,,                 83677,               -133436,,,                -46625,,,,
2499,2012年01月01日至2012年12月31日,,,,              7621053,                148750,              7472303,,,,                266417,              7738720,,              6575863,              1162857,,              1161895,,,                269139,,                453379,,                254413,                976931,                184964,,,                281290,,               -226777,,                101570,,                -10930,                -57987,                126977,,                 50099,                 76878,                 76878,,,,,,,,,,,,                207213,                284091,,                 81922,                 -5044,,                290682,                 -6591,,                              0.25,,,                    962,,,,                              0.25,                              0.00,               -177090,                243521,                     53,,                140729,,,,
2499,2012年01月01日至2012年09月30日,,,,              5324874,                 80012,              5244862,,,                 41024,                 41024,              5285886,,              4297754,                988132,,                987036,,,                180527,,                316432,,                179588,                676547,                310489,,,                 36198,,                -79516,,                 75036,,                 -1953,               -120307,                190182,,                 42807,                147375,                147375,,,,,,,,,,,,                187573,                334948,,                152597,                 -5222,,                341622,                 -6674,,                              0.46,,                              0.45,                  1096,,,,,,               -140620,                145900,,,                182293,,,,
2499,2012年01月01日至2012年06月30日,,,,              2848552,                 31170,              2817382,,,,                 46398,              2863780,,              2317582,                546198,,                544972,,,                118849,,                222504,,                114089,                455442,                 89530,,,                 32087,,                 90365,,                 49284,,                   -955,                 72213,                161743,,                 34186,                127557,                127557,,,,,,,,,,,,                 47553,                175110,,                127211,                    346,,                175467,                   -357,,                              0.39,,                              0.36,                  1226,,                              0,,,,                -47085,                 86012,,,                  8626,,,,
2499,2012年01月01日至2012年03月31日,,,,              1000906,                 20347,                980559,,,,                 40249,              1020808,,                800143,                220665,,                219499,,,                 52253,,                134040,,                 50851,                237144,                -17645,,,                  1279,,                 91632,,                 24803,,                 10891,                 78999,                 61354,,                 12802,                 48552,                 48552,,,,,,,,,,,,                143937,                192489,,                 48926,                   -374,,                197663,                 -5174,,                              0.15,,                              0.11,                  1166,,,,,,               -130762,                219448,,,                 55251,                              0,                              0,,                              0
