證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6165,2013年07月01日至2013年09月30日,,                165488,,                146181,                 19307,                 19307,,,                 10431,,                 28158,,                  2915,                 41504,                -22197,,,                  6630,,                 -2346,,                    294,                  3990,                -18207,,                    178,                -18385,,,                -18385,,,,,                 -4321,                -22706,,                -18385,,                -22706,,                             -0.19,,                             -0.19,                 -4321,                              0,,
6165,2013年04月01日至2013年06月30日,,                155894,,                146039,                  9855,                  9855,,,                  9709,,                 24835,,                  2882,                 37426,                -27571,,,                 17602,,                  1036,,                    398,                 18240,                 -9331,,                    154,                 -9485,,,                 -9485,,,,,                    684,                 -8801,,                 -9485,,                 -8801,,                             -0.10,,                             -0.10,                    684,                              0,,
6165,2013年01月01日至2013年12月31日,,                620317,,                575405,                 44912,                 44912,,,                 39070,,                117718,,                 13113,                169901,               -124989,,,                 42306,,                  8150,,                  2897,                 47559,                -77430,,                  5825,                -83255,,,                -83255,,,,,                  3445,                -79810,,                -83255,,                -79810,,                             -0.88,,                             -0.88,                  2930,                   -655,                  1410,                    240
6165,2013年01月01日至2013年09月30日,,                501939,,                470066,                 31873,                 31873,,,                 29676,,                 89750,,                  8511,                127937,                -96064,,,                 30420,,                  9580,,                  1191,                 38809,                -57255,,                  4102,                -61357,,,                -61357,,,,,                    526,                -60831,,                -61357,,                -60831,,                             -0.65,,                             -0.65,                  1181,                   -655,,
6165,2013年01月01日至2013年06月30日,,                336451,,                323885,                 12566,                 12566,,,                 19245,,                 61592,,                  5596,                 86433,                -73867,,,                 23790,,                 11926,,                    897,                 34819,                -39048,,                  3924,                -42972,,,                -42972,,,,,                  4847,                -38125,,                -42972,,                -38125,,                             -0.45,,                             -0.45,                  5502,                   -655,,
6165,2013年01月01日至2013年03月31日,,                180557,,                177846,                  2711,                  2711,,,                  9536,,                 36757,,                  2714,                 49007,                -46296,,,                  6188,,                 10890,,                    499,                 16579,                -29717,,                  3770,                -33487,,,                -33487,,,,,                  4163,                -29324,,                -33487,,                -29324,,                             -0.35,,                             -0.35,                  4818,                   -655,,
6165,2012年07月01日至2012年09月30日,,                242715,,                227946,                 14769,                 14769,,,                  8700,,                 33845,,                  3318,                 45863,                -31094,,,                  4198,,                 -2953,,                   -378,                  1623,                -29471,,                   -498,                -28973,,,                -28973,,,,,                  2289,                -26684,,                -28973,,                -26684,,                             -0.30,,                             -0.30,                  2491,                   -202,,
6165,2012年04月01日至2012年06月30日,,                251483,,                246452,                  5031,                  5031,,,                 11913,,                 43298,,                  3273,                 58484,                -53453,,,                  3777,,                 -7166,,                    288,                 -3677,                -57130,,                 -1335,                -55795,,,                -55795,,,,,                 -5706,                -61501,,                -55795,,                -61501,,                             -0.59,,                             -0.59,                 -5603,                   -103,,
6165,2012年01月01日至2012年12月31日,,                892524,,                855086,                 37438,                 37438,,,                 49204,,                150842,,                 12928,                212974,               -175536,,,                 15924,,                -16972,,                  1007,                 -2055,               -177591,,                    -56,               -177535,,,               -177535,,,,,                 -5078,               -182613,,               -177535,,               -182613,,                             -1.87,,                             -1.87,                 -5440,                    655,                   -353,                    -60
6165,2012年01月01日至2012年09月30日,,                677699,,                640877,                 36822,                 36822,,,                 33831,,                109842,,                  9877,                153550,               -116728,,,                  9895,,                 -8111,,                    156,                  1628,               -115100,,                 -2470,               -112630,,,               -112630,,,,,                 -6846,               -119476,,               -112630,,               -119476,,                             -1.19,,                             -1.19,                 -7582,                    736,,
6165,2012年01月01日至2012年06月30日,,                434984,,                412931,                 22053,                 22053,,,                 25131,,                 75997,,                  6559,                107687,                -85634,,,                  5697,,                 -5158,,                    534,                      5,                -85629,,                 -1972,                -83657,,,                -83657,,,,,                 -9135,                -92792,,                -83657,,                -92792,,                             -0.88,,                             -0.88,                -10073,                    938,,
6165,2012年01月01日至2012年03月31日,,                183501,,                166479,                 17022,                 17022,,,                 13218,,                 32699,,                  3286,                 49203,                -32181,,,                  1920,,                  2008,,                    246,                  3682,                -28499,,                   -637,                -27862,,,                -27862,,,,,                 -3429,                -31291,,                -27862,,                -31291,,                             -0.29,,                             -0.29,                 -4470,                  1041,,
