證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額
1724,2014年01月01日至2014年03月31日,,                188427,,                187620,                    807,                    807,,,                 10782,,                  9081,,                  5782,                 25645,,                  2381,                -22457,,,                  1100,,                 27265,,                    813,,                   -353,                 27199,                  4742,,                    616,                  4126,                  4126,,,,                  1522,                    259,                  1263,                  1263,                  5389,,                  4126,,                  5389,,                              0.03,,                              0.03,,,,,,,
1724,2013年第3季,,                369558,,                320207,                 49351,                 49351,,,                 19843,,                  7178,,                  5335,                 32356,,                  2371,                 19366,,,                  2332,,               -266375,,                    884,,                  1586,               -263341,               -243975,,                -35920,               -208055,               -208055,,,,,,,                 -1553,               -209608,,               -208055,,               -209608,,                             -1.63,,                             -1.63,,,,                   -318,                              0,                              0,                 -1871
1724,2013年第2季,,                522260,,                407054,                115206,                115206,,,                 36925,,                 16097,,                  6195,                 59217,,                  2372,                 58361,,,                  4285,,                  1007,,                    625,,                   -863,                  3804,                 62165,,                 13296,                 48869,                 48869,,,,,,,                    642,                 49511,,                 48869,,                 49511,,                              0.38,,                              0.38,,,,                    131,                              0,                              0,                    773
1724,2013年度,,              1450914,,              1240882,                210032,                210032,,,                 90087,,                 49421,,                 21627,                161135,,                  9491,                 58388,,,                 11703,,                  3391,,                  3249,,                -17300,                 -5455,                 52933,,                 16274,                 36659,                 36659,,,,,,,                  5709,                 42368,,                 36584,,                 42293,,                              0.29,,                              0.28,                 10307,,                 -3428,                  1170,                     75,                     75,
1724,2013年07月01日至2013年09月30日,,                369558,,                320207,                 49351,                 49351,,,                 19843,,                  7178,,                  5335,                 32356,,                  2371,                 19366,,,                  2332,,               -266375,,                    884,,                  1586,               -263341,               -243975,,                -35920,               -208055,               -208055,,,,,,,                 -1553,               -209608,,               -208055,,               -209608,,                             -1.63,,                             -1.63,,,,                   -318,                              0,                              0,                 -1871
1724,2013年04月01日至2013年06月30日,,                522260,,                407054,                115206,                115206,,,                 36925,,                 16097,,                  6195,                 59217,,                  2372,                 58361,,,                  4285,,                  1007,,                    625,,                   -863,                  3804,                 62165,,                 13296,                 48869,                 48869,,,,,,,                    642,                 49511,,                 48869,,                 49511,,                              0.38,,                              0.38,,,,                    131,                              0,                              0,                    773
1724,2013年01月01日至2013年12月31日,,              1450914,,              1240882,                210032,                210032,,,                 90087,,                 49421,,                 21627,                161135,,                  9491,                 58388,,,                 11703,,                  3391,,                  3249,,                -17300,                 -5455,                 52933,,                 16274,                 36659,                 36659,,,,,,,                  5709,                 42368,,                 36584,,                 42293,,                              0.29,,                              0.28,                 10307,,                 -3428,                  1170,                     75,                     75,
1724,2013年01月01日至2013年09月30日,,              1323638,,              1076486,                247152,                247152,,,                 85199,,                 36730,,                 16913,                138842,,                  7114,                115424,,,                  8340,,               -227078,,                  2094,,                     66,               -220766,               -105342,,                -12693,                -92649,                -92649,,,,,,,                 -3722,                -96371,,                -92724,,                -96446,,                             -0.73,,                             -0.72,,,,                   -762,                     75,                     75,                 -4484
1724,2013年01月01日至2013年06月30日,,                954080,,                756279,                197801,                197801,,,                 65356,,                 29552,,                 11578,                106486,,                  4743,                 96058,,,                  6007,,                 39297,,                  1210,,                 -1520,                 42574,                138632,,                 23227,                115405,                115405,,,,,,,                 -2169,                113236,,                115330,,                113161,,                              0.90,,                              0.90,,,,                   -444,                     75,                     75,                 -2613
1724,2013年01月01日至2013年03月31日,,                431820,,                349225,                 82595,                 82595,,,                 28431,,                 13455,,                  5383,                 47269,,                  2371,                 37697,,,                  1722,,                 38290,,                    585,,                   -657,                 38770,                 76467,,                  9931,                 66536,                 66536,,,,,,,                 -2811,                 63725,,                 66461,,                 63650,,                              0.52,,                              0.52,,,                 -3386,                   -575,                     75,                     75,
1724,2012年07月01日至2012年09月30日,,                692818,,                511589,                181229,                181229,,,                 38107,,                 17213,,                  5246,                 60566,,                  2371,                123034,,,                  6659,,                -43525,,                    283,,                  4427,                -32722,                 90312,,                 12804,                 77508,                 77508,,,,,,,                   -583,                 76925,,                 93600,,                 93182,,                              0.73,,                              0.73,,,,                    -87,                -16092,                -16257,                   -670
1724,2012年04月01日至2012年06月30日,,                587279,,                451471,                135808,                135808,,,                 39148,,                 15910,,                  5310,                 60368,,                  2348,                 77788,,,                  1516,,                  6654,,                    494,,                  6710,                 14386,                 92174,,                 31355,                 60819,                 60819,,,,,,,                    426,                 61245,,                 61017,,                 61283,,                              0.48,,                              0.47,,,,                     55,                   -198,                    -38,                    481
1724,2012年01月01日至2012年12月31日,,              2393520,,              1825394,                568126,                568126,,,                138135,,                 68799,,                 21209,                228143,,                  9397,                349380,,,                 15708,,                -59064,,                  2622,,                -35093,                -81071,                268309,,                 60129,                208180,                208180,,,,,,,                 -1939,                206241,,                228784,,                227444,,                              1.79,,                              1.77,                   -729,,                 -1606,                   -396,                -20604,                -21203,
1724,2012年01月01日至2012年09月30日,,              1845192,,              1393428,                451764,                451764,,,                105841,,                 50955,,                 15928,                172724,,                  7026,                286066,,,                  9985,,                -46000,,                  1649,,                 13365,                -24299,                261767,,                 54617,                207150,                207150,,,,,,,                 -1508,                205642,,                223966,,                223073,,                              1.75,,                              1.74,,,,                   -184,                -16816,                -17431,                 -1692
1724,2012年01月01日至2012年06月30日,,              1152374,,                881839,                270535,                270535,,,                 67734,,                 33742,,                 10682,                112158,,                  4655,                163032,,,                  3326,,                 -2475,,                  1366,,                  8938,                  8423,                171455,,                 41813,                129642,                129642,,,,,,,                   -925,                128717,,                130366,,                129891,,                              1.02,,                              1.01,,,,                    -97,                   -724,                 -1174,                 -1022
1724,2012年01月01日至2012年03月31日,,                565095,,                430368,                134727,                134727,,,                 28586,,                 17832,,                  5372,                 51790,,                  2307,                 85244,,,                  1810,,                 -9129,,                    872,,                  2228,                 -5963,                 79281,,                 10458,                 68823,                 68823,,,,,,,                 -1351,                 67472,,                 69349,,                 68608,,                              0.54,,                              0.54,,,,                   -152,                   -526,                 -1136,                 -1503
