證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 其他綜合損益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本
1308,2013年04月01日至2013年06月30日,,              1349596,,              1264712,                 84884,                 84884,,,                 29858,,                 19768,,                  1904,                 51530,                 33354,,,                114959,                114959,,                  8756,,                     37,                     37,,                 17789,                141467,                174821,,                 16764,                158057,                158057,,,,,,,,,               -190114,                -32057,,                158057,,                -32057,,                              0.34,,                              0.34,,              1349596,,              1264712,                  8411,               -197966,,,,,                              0.34,                              0.34,                   -559,,,,,
1308,2013年01月01日至2013年12月31日,,              5804229,,              5312870,                491359,                491359,,,                119256,,                 85122,,                  7724,                212102,                279257,,,,                221093,,                 39295,,                    238,                    238,,                 66550,                326700,                605957,,                 69102,                536855,                536855,,,,,,,,,               -340879,                195976,,                536855,,                195976,,                              1.14,,                              1.14,,              5804229,,              5312870,                 15519,               -389177,                 -4568,,                 37671,                    324,                              1.14,                              1.14,,,,,,
1308,2013年01月01日至2013年09月30日,,              4125188,,              3813219,                311969,                311969,,,                 88158,,                 62393,,                  5592,                156143,                155826,,,,                199779,,                 50562,,                    124,                    124,,                 52464,                302681,                458507,,                 43094,                415413,                415413,,,,,,,,,               -355872,                 59541,,                415413,,                 59541,,                              0.88,,                              0.88,,,,,                 10097,               -356929,,,                 -9053,,,,                     13,,,,,
1308,2013年01月01日至2013年06月30日,,              2576827,,              2392817,                184010,                184010,,,                 55437,,                 41991,,                  3727,                101155,                 82855,,,                134513,                134513,,                 56420,,                     48,                     48,,                 43520,                234405,                317260,,                 28491,                288769,                288769,,,,,,,,,               -325452,                -36683,,                288769,,                -36683,,                              0.61,,                              0.61,,              2576827,,              2392817,                 18079,               -352134,,,                 10455,                  1852,                              0.61,                              0.61,,,,,,
1308,2013年01月01日至2013年03月31日,,              1227231,,              1128105,                 99126,                 99126,,,                 25579,,                 22223,,                  1823,                 49625,                 49501,,,,                 19554,,                 47664,,                     11,                     11,,                 25731,                 92938,                142439,,                 11727,                130712,                130712,,,,,,,,,               -135338,                 -4626,,                130712,,                 -4626,,                              0.28,,                              0.28,,              1227231,,              1128105,                 15141,               -131224,,,                -17962,                  1293,,,,,                              0,,,
1308,2012年07月01日至2012年09月30日,,              1344625,,              1245471,                 99154,                 99154,,,                 31793,,                 19879,,                  1934,                 53606,                 45548,,,                 70619,                 70619,,                 88867,,                     17,                     17,,                 17399,                176868,                222416,,                  9739,                212677,                212677,,,,,,,,,                342552,                555229,,                212677,,                555229,,                              0.45,,                              0.45,,              1344625,,              1245471,                -15455,                354314,,,,                 -3693,                              0.45,                              0.45,,,,,              1344625,              1245471
1308,2012年04月01日至2012年06月30日,,              1145921,,                969915,                176006,                176006,,,                 23417,,                 19238,,                  1866,                 44521,                131485,,,                101410,                101410,,                -14670,,                    179,                    179,,                 12608,                 99169,                230654,,                 52104,                178550,                178550,,,,,,,,,               -189317,                -10767,,                178550,,                -10767,,                              0.38,,                              0.38,,              1145921,,                969915,                  5220,               -195488,,,,,                              0.38,                              0.38,                    951,,,,,
1308,2012年01月01日至2012年12月31日,,              4790510,,              4289381,                501129,                501129,,,                106495,,                 76862,,                  7708,                191065,                310064,,,,                217124,,                110291,,                    218,                    218,,                 66709,                393906,                703970,,                 85080,                618890,                618890,,,,,,,,,                313965,                932855,,                618890,,                932855,,                              1.32,,                              1.32,,              4790510,,              4289381,                -22305,                362567,                 -9551,,                -24713,                 -7967,                              1.32,                              1.32,,,,,,
1308,2012年01月01日至2012年09月30日,,              3829014,,              3319957,                509057,                509057,,,                 84025,,                 58551,,                  5812,                148388,                360669,,,                191411,                191411,,                125984,,                    207,                    207,,                 55977,                373165,                733834,,                 94413,                639421,                639421,,,,,,,,,                667075,              1306496,,                639421,,              1306496,,                              1.36,,                              1.36,,              3829014,,              3319957,                -29573,                689575,,,,                 -7073,                              1.36,                              1.36,,,,,              3829014,              3319957
1308,2012年01月01日至2012年06月30日,,              2484389,,              2074486,                409903,                409903,,,                 52232,,                 38672,,                  3878,                 94782,                315121,,,                120792,                120792,,                 37117,,                    190,                    190,,                 38578,                196297,                511418,,                 84674,                426744,                426744,,,,,,,,,                324523,                751267,,                426744,,                751267,,                              0.91,,                              0.91,,              2484389,,              2074486,                -14118,                335261,,,,,                              0.91,                              0.91,                  3380,,,,,
1308,2012年01月01日至2012年03月31日,,              1338468,,              1104571,                233897,                233897,,,                 28815,,                 19434,,                  2012,                 50261,                183636,,,,                 19382,,                 51787,,                     11,                     11,,                 25970,                 97128,                280764,,                 32570,                248194,                248194,,,,,,,,,                513840,                762034,,                248194,,                762034,,                              0.53,,                              0.53,,              1338468,,              1104571,                -19338,                530749,,,,                 -2429,,,,,                              0,,,
