證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 現金流量避險
2481,2014年01月01日至2014年03月31日,,              3787359,,              3136049,                651310,                651310,,,                151147,,                266749,,                 83791,                501687,                149623,,,                 25696,,                 -8002,,                121184,,                  1201,               -102289,                 47334,,                 38089,                  9245,                  9245,,,                -22009,                 30506,                 -2287,                 10784,                 10784,                 20029,,                 72348,                -63103,,                 90739,                -70710,,                              0.20,,                              0.18,,,,,,,
2481,2013年第3季,,              3761719,,              3255862,                505857,                505857,,,                165059,,                231305,,                 67234,                463598,                 42259,,,                 36850,,                -36379,,                105910,,                 -3359,               -108798,                -66539,,                 -3457,                -63082,                -63082,,,,,,,                 -8098,                -71180,,                 13773,                -76855,,                  5233,                -76413,,                              0.04,,                              0.04,                -21720,                  3136,,                -10486,,,
2481,2013年第2季,,              3447511,,              3061562,                385949,                385949,,,                146510,,                270948,,                 68792,                486250,               -100301,,,                 27951,,                 -5454,,                 94567,,                 -2578,                -74648,               -174949,,                 -2202,               -172747,               -172747,,,,,,,                101651,                -71096,,                -75447,                -97300,,                  8653,                -79749,,                             -0.21,,                             -0.21,                 93469,                 23457,,                 15275,,,
2481,2013年度,,             13666556,,             11936784,              1729772,              1729772,,,                644564,,                993906,,                261360,              1899830,               -170058,,,                131300,,               -354554,,                402159,,                 -3766,               -629179,               -799237,,                -18237,               -781000,               -781000,,,,,,,                322427,               -458573,,               -268341,               -512659,,                -10807,               -447766,,                             -0.73,,                             -0.73,                308701,                 71571,                -11870,                 45975,,,
2481,2013年07月01日至2013年09月30日,,              3761719,,              3255862,                505857,                505857,,,                158078,,                231305,,                 67234,                456617,                 49240,,,                 29869,,                -36379,,                105910,,                 -3359,               -115779,                -66539,,                 -3457,                -63082,                -63082,,,,,,,                 -8098,                -71180,,                 13773,                -76855,,                  5233,                -76413,,                              0.04,,,                -21720,                  3136,,                -10486,,,                              0
2481,2013年04月01日至2013年06月30日,,              3491173,,              3105224,                385949,                385949,,,                153870,,                270948,,                 68792,                493610,               -107661,,,                 35311,,                 -5454,,                 94567,,                 -2578,                -67288,               -174949,,                 -2202,               -172747,               -172747,,,,,,,                101651,                -71096,,                -75447,                -97300,,                  8653,                -79749,,                             -0.21,,,                 93469,                 23457,,                 15275,,,                              0
2481,2013年01月01日至2013年12月31日,,             13719574,,             11989802,              1729772,              1729772,,,                644564,,                993906,,                261360,              1899830,               -170058,,,                131300,,               -354554,,                402159,,                 -3766,               -629179,               -799237,,                -18237,               -781000,               -781000,,,,,,,                322427,               -458573,,               -268341,               -512659,,                -10807,               -447766,,                             -0.73,,,                308701,                 71571,                -11870,                 45975,                              0,                              0,                              0
2481,2013年01月01日至2013年09月30日,,              9919629,,              8790988,              1128641,              1128641,,,                450072,,                739312,,                199173,              1388557,               -259916,,,                 85816,,                -35963,,                288864,,                 -2948,               -241959,               -501875,,                -49896,               -451979,               -451979,,,,,,,                211680,               -240299,,               -153812,               -298167,,                 14311,               -254610,,                             -0.42,,                             -0.42,                197411,                 36472,,                 22203,,,
2481,2013年01月01日至2013年06月30日,,              6157910,,              5535126,                622784,                622784,,,                285013,,                508007,,                131939,                924959,               -302175,,,                 48966,,                    416,,                182954,,                    411,               -133161,               -435336,,                -46439,               -388897,               -388897,,,,,,,                219778,               -169119,,               -167585,               -221312,,                  9078,               -178197,,                             -0.46,,                             -0.46,                219131,                 33336,,                 32689,,,
2481,2013年01月01日至2013年03月31日,,              2719755,,              2482920,                236835,                236835,,,                138503,,                237059,,                 63147,                438709,               -201874,,,                 10833,,                 16052,,                 88387,,                  2989,                -58513,               -260387,,                -44237,               -216150,               -216150,,,,,,,                118127,                -98023,,                -92138,               -124012,,                    425,                -98448,,                             -0.25,,                             -0.25,                125662,                  9879,,                 17414,,,
2481,2012年07月01日至2012年09月30日,,              3229794,,              2949478,                280316,                280316,,,                163717,,                226014,,                 87711,                477442,               -197126,,,                 31079,,                  2804,,                 88185,,                 -7468,                -61770,               -258896,,                -26565,               -232331,               -232331,,,,,,,                -10213,               -242544,,                -99788,               -132543,,               -106489,               -136055,,                             -0.27,,,                -33727,                 18430,,                 -5084,,,                              0
2481,2012年04月01日至2012年06月30日,,              3230468,,              2879827,                350641,                350641,,,                156945,,                208825,,                102671,                468441,               -117800,,,                 14624,,                -46776,,                 71358,,                -10508,               -114018,               -231818,,                  8979,               -240797,               -240797,,,,,,,                 24588,               -216209,,                -90107,               -150690,,                -72692,               -143517,,                             -0.25,,,                 32779,                 -5865,,                  2862,,,                    536
2481,2012年01月01日至2012年12月31日,,             12735667,,             11522883,              1212784,              1212784,,,                689673,,                920537,,                357446,              1967656,               -754872,,,                 78102,,               -222447,,                329671,,                -20388,               -494404,             -1249276,,                -52460,             -1196816,             -1196816,,,,,,,               -124456,             -1321272,,               -650721,               -546095,,               -745914,               -575358,,                             -1.77,,,               -173515,                 17970,                 -9786,                -40061,                              0,                              0,                    814
2481,2012年01月01日至2012年09月30日,,              9367199,,              8461147,                906052,                906052,,,                471563,,                708475,,                275750,              1455788,               -549736,,,                 65103,,                -57432,,                228715,,                -22213,               -243257,               -792993,,                -40878,               -752115,               -752115,,,,,,,               -118246,               -870361,,               -339727,               -412388,,               -423675,               -446686,,                             -0.92,,,               -167793,                 24600,,                -24133,,,                    814
2481,2012年01月01日至2012年06月30日,,              6137405,,              5511669,                625736,                625736,,,                307846,,                482461,,                188039,                978346,               -352610,,,                 34024,,                -60236,,                140530,,                -14745,               -181487,               -534097,,                -14313,               -519784,               -519784,,,,,,,               -108033,               -627817,,               -239939,               -279845,,               -317186,               -310631,,                             -0.65,,,               -134066,                  6170,,                -19049,,,                    814
2481,2012年01月01日至2012年03月31日,,              2906937,,              2631842,                275095,                275095,,,                150901,,                273636,,                 85368,                509905,               -234810,,,                 14662,,                 -8722,,                 69172,,                 -4237,                -67469,               -302279,,                -23292,               -278987,               -278987,,,,,,,               -132621,               -411608,,               -149832,               -129155,,               -244494,               -167114,,                             -0.41,,                             -0.41,               -166845,                 12035,,                -21911,,,                    278
