證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 其他收入－其他,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額
2911,2014年01月01日至2014年03月31日,,              2410618,,              1269771,              1140847,              1140847,,,              1011043,,                197306,              1208349,                -67502,,,                 14267,,                -25314,,                 15923,,                 -2183,                -29153,                -96655,,                -46736,                -49919,                -49919,,,                  3964,                   -244,,                    -13,                    361,                  3346,                  3346,                -46573,,                -54226,                  4307,,                -52715,                  6142,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,,,,,,,
2911,2013年第3季,,              2205526,,              1191102,              1014424,              1014424,,,                877012,,                197179,              1074191,                -59767,,,                 13810,,                -17737,,                 19576,,                  1376,                -22127,                -81894,,                -22931,                -58963,                -58963,,,,,,,,,                -32248,                -91211,,                -62358,                  3395,,                -96136,                  4925,,                             -0.30,                             -0.30,,,,                -38707,                    163,,,                   -642,                 -6938,                 13810,
2911,2013年第2季,,              1934648,,              1028843,                905805,                905805,,,                884184,,                198104,              1082288,               -176483,,,                  3047,,                  8339,,                 19464,,                     17,                 -8061,               -184544,,                -63981,               -120563,               -120563,,,,,,,,,                 31231,                -89332,,               -120054,                   -509,,                -88336,                   -996,,                             -0.57,                             -0.57,,,,                 36660,                    269,,,                    706,                  6404,                  3047,
2911,2013年度,,              9305249,,              4803135,              4502114,              4502114,,,              3773587,,                792855,              4566442,                -64328,,,                 35822,,                -21334,,                 66724,,                  5017,                -47219,               -111547,,                -52936,                -58611,                -58611,,,,,,,,,                110607,                 51996,,                -72304,                 13693,,                 36266,                 15730,,                             -0.34,                             -0.34,,,,                128625,                   -250,                  4390,,                     41,                 22199,,
2911,2013年07月01日至2013年09月30日,,              2205526,,              1191102,              1014424,              1014424,,,                877012,,                197179,              1074191,                -59767,,,                 13810,,                -17737,,                 19576,,                  1376,                -22127,                -81894,,                -22931,                -58963,                -58963,,,,,,,,,                -32248,                -91211,,                -62358,                  3395,,                -96136,                  4925,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,                -38707,                    163,,,                   -642,                 -6938,                 13810,                   -642
2911,2013年04月01日至2013年06月30日,,              1934648,,              1028843,                905805,                905805,,,                884184,,                198375,              1082559,               -176754,,,                  3047,,                  8610,,                 19464,,                     17,                 -7790,               -184544,,                -63981,               -120563,               -120563,,,,,,,,,                 31231,                -89332,,               -120054,                   -509,,                -88336,                   -996,,                             -0.57,                             -0.57,,                             -0.57,                             -0.57,                 36660,                    269,,,                    706,                  6404,                  3047,                    706
2911,2013年01月01日至2013年12月31日,,              9305249,,              4803135,              4502114,              4502114,,,              3773587,,                793369,              4566956,                -64842,,,                 35822,,                -20820,,                 66724,,                  5017,                -46705,               -111547,,                -52936,                -58611,                -58611,,,,,,,,,                110607,                 51996,,                -72304,                 13693,,                 36266,                 15730,,                             -0.34,                             -0.34,,                             -0.34,                             -0.34,                126284,                   -250,                  4390,,                  2382,                 22199,,
2911,2013年01月01日至2013年09月30日,,              6652202,,              3505779,              3146423,              3146423,,,              2727860,,                591125,              3318985,               -172562,,,                 19718,,                 -6245,,                 47916,,                  5795,                -28648,               -201210,,                -71266,               -129944,               -129944,,,,,,,,,                 67840,                -62104,,               -139121,                  9177,,                -74228,                 12124,,                             -0.66,                             -0.66,,,,                 79266,                    347,,,                  1423,                 13196,                 19718,
2911,2013年01月01日至2013年06月30日,,              4446676,,              2314677,              2131999,              2131999,,,              1850848,,                393946,              2244794,               -112795,,,                  5908,,                 11492,,                 28340,,                  4419,                 -6521,               -119316,,                -48335,                -70981,                -70981,,,,,,,,,                100088,                 29107,,                -76763,                  5782,,                 21908,                  7199,,                             -0.36,                             -0.36,,,,                117973,                    184,,,                  2065,                 20134,                  5908,
2911,2013年01月01日至2013年03月31日,,              2512028,,              1285834,              1226194,              1226194,,,                966664,,                195842,              1162506,                 63688,,,                  2861,,                  3153,,                  8876,,                  4402,                  1540,                 65228,,                 15646,                 49582,                 49582,,,,,,,,,                 68857,                118439,,                 43291,                  6291,,                110244,                  8195,,                              0.20,                              0.20,,                              0.19,                              0.19,                 81313,                    -85,,,                  1359,                 13730,,
2911,2012年07月01日至2012年09月30日,,              2352144,,              1173359,              1178785,              1178785,,,                861394,,                212151,              1073545,                105240,,,                  2536,,                    137,,                 11572,,                  1961,                 -6938,                 98302,,                 32049,                 66253,                 66253,,,,,,,,,                -19106,                 47147,,                 62402,                  3851,,                 42953,                  4194,,                              0.30,                              0.30,,                              0.30,                              0.30,                -22481,                   -158,,,                   -419,                 -3952,                  2536,                   -419
2911,2012年04月01日至2012年06月30日,,              2022272,,              1001919,              1020353,              1020353,,,                898942,,                164228,              1063170,                -42817,,,                  3767,,                 -1143,,                  7121,,                   -281,                 -4778,                -47595,,                -23313,                -24282,                -24282,,,,,,,,,                  5522,                -18760,,                -27266,                  2984,,                -22008,                  3248,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,                  7170,                   -609,,,                    163,                  1202,                  3767,                    163
2911,2012年01月01日至2012年12月31日,,              9733080,,              4872266,              4860814,              4860814,,,              3839182,,                757807,              4596989,                263825,,,                 12581,,                  2130,,                 37673,,                     24,                -22938,                240887,,                 65899,                174988,                174988,,,,,,,,,                -78322,                 96666,,                164663,                 10325,,                 86346,                 10320,,                              0.78,                              0.78,,                              0.78,                              0.78,                -80107,                   -837,                -11705,,                 -1655,                -15982,,
2911,2012年01月01日至2012年09月30日,,              6999104,,              3496192,              3502912,              3502912,,,              2756634,,                555033,              3311667,                191245,,,                  9464,,                    951,,                 27440,,                  5402,                -11623,                179622,,                 47136,                132486,                132486,,,,,,,,,                -68368,                 64118,,                123974,                  8512,,                 55651,                  8467,,                              0.59,                              0.59,,                              0.58,                              0.58,                -79747,                   -792,,,                 -1661,                -13832,                  9464,                 -1661
2911,2012年01月01日至2012年06月30日,,              4646960,,              2322833,              2324127,              2324127,,,              1895240,,                342882,              2238122,                 86005,,,                  6928,,                    814,,                 15868,,                  3441,                 -4685,                 81320,,                 15087,                 66233,                 66233,,,,,,,,,                -49262,                 16971,,                 61572,                  4661,,                 12698,                  4273,,                              0.29,                              0.29,,                              0.29,                              0.29,                -57266,                   -634,,,                 -1242,                 -9880,                  6928,                 -1242
2911,2012年01月01日至2012年03月31日,,              2624688,,              1320914,              1303774,              1303774,,,                996298,,                178654,              1174952,                128822,,,                  3161,,                  1957,,                  8747,,                  3722,                     93,                128915,,                 38400,                 90515,                 90515,,,,,,,,,                -54784,                 35731,,                 88838,                  1677,,                 34706,                  1025,,                              0.42,                              0.42,,                              0.42,                              0.42,                -64436,                    -25,,,                 -1405,                -11082,,                 -1405
