證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 薪資支出,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 當期所得稅費用（利益）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）
4916,2014年01月01日至2014年03月31日,,,                398234,                398234,,,                340205,                340205,                 58029,                 58029,,,                  6471,,                 27759,,                  2210,                 36440,                 21589,,,                    969,,                  9083,,                  1758,,,                  8294,                 29883,,                  7491,                 22392,                 22392,,,                  6491,,,                  6491,                  6491,                 28883,,                 22392,,                 28883,,                              0.33,,                              0.33,,,,,,,,,,,,,,,,,,
4916,2013年第3季,,,                487651,                487651,,,                397884,                397884,                 89767,                 89767,,,                  6878,,                 22351,,                  1527,                 30756,                 59011,,,                    495,,                 -4291,,                  1849,,                              0,                 -5645,                 53366,,                  9718,                 43648,                 43648,,,,,,,                 -3814,                 39834,,                 43648,,                 39834,,                              0.72,,                              0.72,                 -3814,,,                  6878,,                              0,,                              0,,,,,,,,,,
4916,2013年第2季,,,                419247,                419247,,,                343209,                343209,                 76038,                 76038,,,                 13549,,                 21343,,                  1608,                 36500,                 39538,,,                  1826,,                  1058,,                  1790,,,                  1094,                 40632,,                  5355,                 35277,                 35277,,,,,,,                  1497,                 36774,,                 35277,,                 36774,,                              0.58,,                              0.58,                  1497,,,,,,,,,,,,,,,,,
4916,2013年度,,,              1727621,              1727621,,,              1415097,              1415097,                312524,                312524,,,                 34959,,                 99359,,                  6628,                140946,                171578,,,                  4708,,                  8953,,                  6721,,,                  6940,                178518,,                 25072,                153446,                153446,,,,,,,                  5146,                158592,,                153446,,                158592,,                              2.51,,                              2.50,                  6599,                 -1750,                   -297,,,,,,,,,,,,,,,
4916,2013年07月01日至2013年09月30日,,,                487651,                487651,,,                397884,                397884,                 89767,                 89767,,,                  6878,,                 22351,,                  1527,                 30756,                 59011,,,                    495,,                 -4291,,                  1849,,,                 -5645,                 53366,,                  9718,                 43648,                 43648,,,,,,,                 -3814,                 39834,,                 43648,,                 39834,,                              0.72,,                              0.72,                 -3814,,,,,,,,,                              0,                              0,,                              0,,,,,
4916,2013年01月01日至2013年12月31日,,,              1727621,              1727621,,,              1415097,              1415097,                312524,                312524,,,                 34959,,                 99359,,                  6628,                140946,                171578,,,                  4708,,                  8953,,                  6721,,,                  6940,                178518,,                 25072,                153446,                153446,,,,,,,                  5146,                158592,,                153446,,                158592,,                              2.51,,                              2.50,                  6599,                 -1750,                   -297,,,,,,,,,,,,,,,
4916,2013年01月01日至2013年09月30日,,,              1286713,              1286713,,,              1043839,              1043839,                242874,                242874,,,                 26256,,                 62973,,                  4766,                 93995,                148879,,,                  3041,,                  6382,,                  4917,,                              0,                  4506,                153385,,                 21019,                132366,                132366,,,,,,,                  4243,                136609,,                132366,,                136609,,                              2.19,,                              2.19,                  4243,,,                 26256,,                              0,,                              0,,                              0,                              0,,                              0,,,,,
4916,2013年01月01日至2013年06月30日,,,                799062,                799062,,,                645955,                645955,                153107,                153107,,,                 19378,,                 40622,,                  3239,                 63239,                 89868,,,                  2546,,                 10673,,                  3068,,,                 10151,                100019,,                 11301,                 88718,                 88718,,,,,,,                  8057,                 96775,,                 88718,,                 96775,,                              1.47,,                              1.47,                  8057,,,,,,,,,,,,,                 11301,                              0,                              0,                              0,                              0
4916,2013年01月01日至2013年03月31日,,,                379815,                379815,,,                302746,                302746,                 77069,                 77069,,,                  5829,,                 19279,,                  1631,                 26739,                 50330,,,                    720,,                  9615,,                  1278,,,                  9057,                 59387,,                  5946,                 53441,                 53441,,,,,,,                  6560,                 60001,,                 53441,,                 60001,,                              0.89,,                              0.88,                  6560,                              0,                              0,,,,,,                              0,,,,,,,,,
4916,2012年07月01日至2012年09月30日,,,                352883,                352883,,,                272494,                272494,                 80389,                 80389,,,                  7924,,                 21081,,                  1396,                 30401,                 49988,,,                  2075,,                -11063,,                    843,,,                 -9831,                 40157,,                  6075,                 34082,                 34082,,,,,,,                              0,                 34082,,                 34082,,                 34082,,                              0.56,,                              0.56,                              0,,,,,,,,,                              0,                              0,,                              0,,,,,
4916,2012年01月01日至2012年12月31日,,,              1520061,              1520061,,,              1176353,              1176353,                343708,                343708,,,                 31887,,                 63162,,                  6932,                101981,                241727,,,                  8155,,                -17663,,                  4077,,,                -13585,                228142,,                 42527,                185615,                185615,,,,,,,                 -2337,                183278,,                185615,,                183278,,                              3.15,,                              3.14,                 -1333,                 -1004,                              0,,,,,,,,,,,,,,,
4916,2012年01月01日至2012年09月30日,,,              1172473,              1172473,,,                905797,                905797,                266676,                266676,,,                 23143,,                 42870,,                  4992,                 71005,                195671,,,                  6288,,                -13373,,                  2921,,,                -10006,                185665,,                 33955,                151710,                151710,,,,,,,                              0,                151710,,                151710,,                151710,,                              2.55,,                              2.53,                              0,,,,,,,,,                              0,                              0,,                              0,,,,,
4916,2012年01月01日至2012年06月30日,,,                819590,                819590,,,                633303,                633303,                186287,                186287,,,                 15219,,                 21789,,                  3596,                 40604,                145683,,,                  4213,,                 -2310,,                  2078,,,                   -175,                145508,,                 27880,                117628,                117628,,,,,,,                              0,                117628,,                117628,,                117628,,                              1.99,,                              1.98,                              0,,,,,,,,,,,,,                 27880,                              0,                              0,                              0,                              0
4916,2012年01月01日至2012年03月31日,,,                404148,                404148,,,                308853,                308853,                 95295,                 95295,,,                  7162,,                  9225,,                  1833,                 18220,                 77075,,,                  1274,,                 -9226,,                  1135,,,                 -9087,                 67988,,                  9053,                 58935,                 58935,,,,,,,                              0,                 58935,,                 58935,,                 58935,,                              1.02,,                              1.01,                              0,,,,,,,,,                              0,                              0,,                              0,,,,,
