證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 利息收入合計
2601,2014年01月01日至2014年03月31日,,              2275270,,                529264,              1746006,              1746006,,,              1241594,              1241594,                504412,,,                 38755,,                 79092,,                 50552,,                 19779,                 87074,                591486,,                171545,                419941,                419941,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                230632,                              0,                              0,                              0,                              0,,                              0,                              0,                 30632,                200000,                200000,                619941,,                246993,                172948,,                396549,                223392,,                              0.66,,                              0.66,,,,,
2601,2013年第3季,,              1729208,,                492854,              1236354,              1236354,,,,              1202225,                 34129,,,                 35747,,                420638,,                235757,,                 21188,                241816,                275945,,                 86568,                189377,                189377,,,,,,,,,,,,,,,,,,,,,,,,               -137704,                 51673,,                 82343,                107034,,                 -9157,                 60830,,                              0.22,,                              0.16,               -155009,,                -17305,,
2601,2013年第2季,,              1863915,,                462234,              1401681,              1401681,,,,              1213334,                188347,,,                 33498,,               -145947,,                 54120,,                 19115,               -147454,                 40893,,                131352,                -90459,                -90459,,,,,,,,,,,,,,,,,,,,,,,,                111973,                 21514,,               -181799,                 91340,,                -74789,                 96303,,                             -0.48,,                             -0.48,                131192,,                 19219,,
2601,2013年度,,              8122044,,              2082255,              6039789,              6039789,,,              5090975,              5090975,                948814,,,                145914,,                 19618,,                408660,,                 53701,               -189427,                759387,,                569373,                190014,                190014,,,,,,,,,,,,,,,,,,,,,,,,                661555,                851569,,               -291167,                481181,,                116572,                734997,,                             -0.79,,                             -0.79,                744740,                    272,                 83457,,
2601,2013年07月01日至2013年09月30日,,              1729208,,                492854,              1236354,              1236354,,,              1202225,              1202225,                 34129,,,                 36584,,                419801,,                235757,,                 21188,                241816,                275945,,                 86568,                189377,                189377,,,,,,,,,,,,,,,,,,,,,,,,               -137704,                 51673,,                 82343,                107034,,                 -9157,                 60830,,                              0.22,,                              0.16,               -155009,,                -17305,,
2601,2013年04月01日至2013年06月30日,,              1863915,,                462234,              1401681,              1401681,,,              1213334,              1213334,                188347,,,                 33780,,               -146229,,                 54120,,                 19115,               -147454,                 40893,,                131352,                -90459,                -90459,,,,,,,,,,,,,,,,,,,,,,,,                111973,                 21514,,               -181799,                 91340,,                -74789,                 96303,,                             -0.48,,                             -0.48,                131192,,                 19219,,
2601,2013年01月01日至2013年12月31日,,              8122044,,              2082255,              6039789,              6039789,,,,              5090975,                948814,,,                145914,,                 19618,,                408660,,                 53701,               -189427,                759387,,                569373,                190014,                190014,,,,,,,,,,,,,,,,,,,,,,,,                661555,                851569,,               -291167,                481181,,                116572,                734997,,                             -0.79,,                             -0.79,                744740,                    272,                 83457,,
2601,2013年01月01日至2013年09月30日,,              5656229,,              1415184,              4241045,              4241045,,,,              3701647,                539398,,,                105004,,                114389,,                359485,,                 41962,                -98130,                441268,,                397737,                 43531,                 43531,,,,,,,,,,,,,,,,,,,,,,,,                334852,                378383,,               -276965,                320496,,                  3504,                374879,,                             -0.75,,                             -0.75,                393733,,                 58881,,
2601,2013年01月01日至2013年06月30日,,              3927021,,                922330,              3004691,              3004691,,,,              2499422,                505269,,,                 69257,,               -306249,,                123728,,                 20774,               -339946,                165323,,                311169,               -145846,               -145846,,,,,,,,,,,,,,,,,,,,,,,,                472556,                326710,,               -359308,                213462,,                 12661,                314049,,                             -0.98,,                             -0.98,                548742,,                 76186,,
2601,2013年01月01日至2013年03月31日,,              2063106,,                460096,              1603010,              1603010,,,              1286088,              1286088,                316922,,,                 35759,,               -160303,,                 69608,,                  1659,               -192493,                124429,,                179817,                -55388,                -55388,,,,,,,,,,,,,,,,,,,,,,,,                360583,                305195,,               -177510,                122122,,                 87449,                217746,,                             -0.49,,                             -0.49,                417550,,                 56967,,                 35759
2601,2012年07月01日至2012年09月30日,,              1731059,,                344845,              1386214,              1386214,,,              1247694,              1247694,                138520,,,                 18767,,                109725,,                 56415,,                   -157,                 71920,                210440,,                 97304,                113136,                113136,,,,,,,,,,,,,,,,,,,,,,,,               -361698,               -248562,,                 89026,                 24110,,               -188889,                -59673,,                              0.32,,                              0.32,               -368593,,                 -6895,,
2601,2012年04月01日至2012年06月30日,,              1859419,,                468798,              1390621,              1390621,,,              1195552,              1195552,                195069,,,                 23943,,                 26169,,                 66817,,                   -126,                -16831,                178238,,                159990,                 18248,                 18248,,,,,,,,,,,,,,,,,,,,,,,,                 68716,                 86964,,                 -5507,                 23755,,                 56120,                 30844,,                             -0.02,,                             -0.02,                 66258,,                 -2458,,
2601,2012年01月01日至2012年12月31日,,              7915780,,              1742051,              6173729,              6173729,,,,              4956630,              1217099,,,                 60332,,                424115,,                300346,,                 -5608,                178493,              1395592,,                549284,                846308,                846308,,,,,,,,,,,,,,,,,,,,,,,,               -556756,                289552,,                482834,                363474,,                132052,                157500,,                              1.74,,                              1.74,               -631061,                 -2752,                -77057,,
2601,2012年01月01日至2012年09月30日,,              5663819,,              1285951,              4377868,              4377868,,,              3653246,              3653246,                724622,,,                 65129,,                258173,,                196553,,                   -283,                126466,                851088,,                407773,                443315,                443315,,,,,,,,,,,,,,,,,,,,,,,,               -555988,               -112673,,                262466,                180849,,               -133142,                 20469,,                              0.95,,                              0.93,               -602069,,                -46081,,
2601,2012年01月01日至2012年06月30日,,              3932760,,                941106,              2991654,              2991654,,,              2405552,              2405552,                586102,,,                 46362,,                148449,,                140138,,                   -126,                 54547,                640649,,                310469,                330180,                330180,,,,,,,,,,,,,,,,,,,,,,,,               -194290,                135890,,                173441,                156739,,                 55748,                 80142,,                              0.62,,                              0.58,               -233476,,                -39186,,
2601,2012年01月01日至2012年03月31日,,              2073341,,                472308,              1601033,              1601033,,,,              1210000,                391033,,,                 22419,,                122280,,                 73321,,                              0,                 71378,                462411,,                150479,                311932,                311932,,,,,,,,,,,,,,,,,,,,,,,,               -263006,                 48926,,                178948,                132984,,                   -372,                 49298,,                              0.64,,                              0.64,               -299734,,                -36728,,
