證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
9924,2014年01月01日至2014年03月31日,,              1547763,,              1276593,                271170,                271170,,,                 70113,,                 65679,,                 41997,                177789,                 93381,,,                  8916,,                -37375,,                  1120,,                  7477,                -22102,                 71279,,                 16447,                 54832,                 54832,,,                 10774,                 52492,,                -17754,                 45512,                 45512,                100344,,                 52124,                  2708,,                 97677,                  2667,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,,,,,,,
9924,2013年第3季,,              1609605,,              1345829,                263776,                263776,,,                 61413,,                 66478,,                 41811,                169702,                 94074,,,                 25871,,                 75013,,                  1759,,                244703,                343828,                437902,,                 77095,                360807,                360807,,,,,,,,                -83522,                277285,,                357172,                  3635,,                273745,                  3540,,                              1.90,                              1.90,,                              1.89,                              1.89,,,,,                -17745,                -68552,,,                  2775,
9924,2013年第2季,,              1528631,,              1314108,                214523,                214523,,,                 57117,,                 66991,,                 25265,                149373,                 65150,,,                 23882,,                  7099,,                     65,,                  6733,                 37649,                102799,,                 26734,                 76065,                 76065,,,,,,,,                 18007,                 94072,,                 73381,                  2684,,                 91226,                  2846,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,                 27606,                 -2728,,,                 -6871,
9924,2013年度,,              5887680,,              4935013,                952667,                952667,,,                225685,,                257266,,                161215,                644166,                308501,,,                 66159,,                 91237,,                  2764,,                299542,                454174,                762675,,                170363,                592312,                592312,,,,,,,,                  4901,                597213,,                580998,                 11314,,                585398,                 11815,,                              3.08,                              3.08,,                              3.07,                              3.07,,,,,                 80572,                -78366,                -24042,,                 22649,                 -4088
9924,2013年07月01日至2013年09月30日,,              1609605,,              1345829,                263776,                263776,,,                 61413,,                 66478,,                 41811,                169702,                 94074,,,                 25871,,                 75013,,                  1759,,                244703,                343828,                437902,,                 77095,                360807,                360807,,,,,,,,                -83522,                277285,,                357172,                  3635,,                273745,                  3540,,                              1.90,                              1.90,,                              1.89,                              1.89,,,,,                -17745,                -68552,,,                  2775,
9924,2013年04月01日至2013年06月30日,,              1528631,,              1314108,                214523,                214523,,,                 57117,,                 66991,,                 25265,                149373,                 65150,,,                 23882,,                  7099,,                     65,,                  6733,                 37649,                102799,,                 26734,                 76065,                 76065,,,,,,,,                 18007,                 94072,,                 73381,                  2684,,                 91226,                  2846,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,                 27606,                 -2728,,,                 -6871,
9924,2013年01月01日至2013年12月31日,,              5887680,,              4935013,                952667,                952667,,,                225685,,                257266,,                161215,                644166,                308501,,,                 66159,,                 91237,,                  2764,,                299542,                454174,                762675,,                170363,                592312,                592312,,,,,,,,                  4901,                597213,,                580998,                 11314,,                585398,                 11815,,                              3.08,                              3.08,,                              3.07,                              3.07,,,,,                 80572,                -78366,                -24042,,                 22649,                 -4088
9924,2013年01月01日至2013年09月30日,,              4396445,,              3727316,                669129,                669129,,,                162724,,                192254,,                117412,                472390,                196739,,,                 56901,,                105755,,                  1923,,                271683,                432416,                629155,,                127058,                502097,                502097,,,,,,,,                -17517,                484580,,                494727,                  7370,,                476883,                  7697,,                              2.63,                              2.63,,                              2.62,                              2.62,,,,,                 52495,                -81009,,,                 10997,
9924,2013年01月01日至2013年06月30日,,              2786840,,              2407224,                379616,                379616,,,                101311,,                125776,,                 49864,                276951,                102665,,,                 31030,,                 30742,,                    164,,                 26980,                 88588,                191253,,                 49963,                141290,                141290,,,,,,,,                 66005,                207295,,                137555,                  3735,,                203138,                  4157,,                              0.73,                              0.73,,                              0.73,                              0.73,,,,,                 70240,                -12457,,,                  8222,
9924,2013年01月01日至2013年03月31日,,              1258209,,              1093116,                165093,                165093,,,                 44194,,                 58785,,                 24599,                127578,                 37515,,,                  7148,,                 23643,,                     99,,                 20247,                 50939,                 88454,,                 23229,                 65225,                 65225,,,,,,,,                 47998,                113223,,                 64174,                  1051,,                111912,                  1311,,                              0.34,                              0.34,,                              0.34,                              0.34,,,,,                 42634,                 -9729,,,                 15093,
9924,2012年07月01日至2012年09月30日,,              1305021,,              1050708,                254313,                254313,,,                 52150,,                 60680,,                 33405,                146235,                108078,,,                 39824,,                 -6143,,                    353,,                 19894,                 53222,                161300,,                 25316,                135984,                135984,,,,,,,,                -10386,                125598,,                131929,                  4055,,                121662,                  3936,,                              0.70,                              0.70,,                              0.70,                              0.70,,,,,                -17592,                 13888,,,                 -6682,
9924,2012年04月01日至2012年06月30日,,              1266719,,              1055297,                211422,                211422,,,                 40086,,                 60580,,                 23873,                124539,                 86883,,,                  9096,,                 13870,,                     45,,                 26632,                 49553,                136436,,                 35849,                100587,                100587,,,,,,,,                -17309,                 83278,,                 97846,                  2741,,                 80941,                  2337,,                              0.52,                              0.52,,                              0.52,                              0.52,,,,,                 10247,                -31390,,,                  3834,
9924,2012年01月01日至2012年12月31日,,              5014718,,              4111286,                903432,                903432,,,                174904,,                239472,,                127849,                542225,                361207,,,                 84203,,                 -3904,,                    794,,                 71361,                150866,                512073,,                102019,                410054,                410054,,,,,,,,                 31165,                441219,,                398658,                 11396,,                430358,                 10861,,                              2.12,                              2.12,,                              2.10,                              2.10,,,,,                -40690,                128499,                -48407,,                -16466,                 -8229
9924,2012年01月01日至2012年09月30日,,              3674650,,              3002937,                671713,                671713,,,                128783,,                166903,,                 95952,                391638,                280075,,,                 64752,,                  1116,,                    398,,                 47349,                112819,                392894,,                 80624,                312270,                312270,,,,,,,,                 93962,                406232,,                303650,                  8620,,                398141,                  8091,,                              1.61,                              1.61,,                              1.61,                              1.61,,,,,                -39965,                148410,,,                -14483,
9924,2012年01月01日至2012年06月30日,,              2369629,,              1969247,                400382,                400382,,,                 76633,,                106223,,                 45529,                228385,                171997,,,                 24928,,                  7259,,                     45,,                 27455,                 59597,                231594,,                 55308,                176286,                176286,,,,,,,,                104348,                280634,,                171721,                  4565,,                276479,                  4155,,                              0.91,                              0.91,,                              0.91,                              0.91,,,,,                -22373,                134522,,,                 -7801,
9924,2012年01月01日至2012年03月31日,,              1102910,,                913950,                188960,                188960,,,                 36547,,                 45643,,                 21656,                103846,                 85114,,,                 15832,,                 -6611,,                              0,,                    823,                 10044,                 95158,,                 19459,                 75699,                 75699,,,,,,,,                121657,                197356,,                 73875,                  1824,,                195538,                  1818,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,                -32620,                165912,,,                -11635,
