證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 其他收入－其他,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2615,2014年01月01日至2014年03月31日,,             14754387,,             13386889,              1367498,              1367498,,                904116,                463382,,,                 53883,,                434314,,                204483,,                 16650,                300364,                763746,,                107178,                656568,                656568,,,                289244,                 -9002,,                              0,                280242,                280242,                936810,,                655305,                  1263,,                934473,                  2337,,                              0.30,,,,,,,,,,                 53883,,,,,,,,
2615,2013年第3季,,             15712650,,             14191327,              1521323,              1521323,,                811396,                709927,,,                130761,,               -256674,,                205365,,                 20460,               -310818,                399109,,                 50622,                348487,                348487,,,,,,,,               -207600,                140887,,                329422,                 19065,,                122500,                 18387,,                              0.15,,                              0.15,,,,,,,,,,,,,               -226212,                 18612,,
2615,2013年第2季,,             14776963,,             13489049,              1287914,              1287914,,                780934,                506980,,,                 39861,,                178081,,                202386,,                  3327,                 18883,                525863,,                 87273,                438590,                438590,,,,,,,,                141048,                579638,,                426898,                 11692,,                568838,                 10800,,                              0.19,,                              0.19,,,,,,,,,,,,,                123133,                 17915,,
2615,2013年度,,             59688505,,             54204308,              5484197,              5484197,,              3257536,              2226661,,,                254567,,                792319,,                808481,,                 39698,                278103,              2504764,,                360582,              2144182,              2144182,,,,,,,,                578012,              2722194,,              2129108,                 15074,,              2709594,                 12600,,                              0.96,,                              0.96,,,,,,,,                254567,,                              0,,                              0,                421713,                106343,                 60187,                 10231
2615,2013年07月01日至2013年09月30日,,             15712650,,             14191327,              1521323,              1521323,,                811396,                709927,,,                130761,,               -256674,,                205365,,                 20460,               -310818,                399109,,                 50622,                348487,                348487,,,,,,,,               -207600,                140887,,                329422,                 19065,,                122500,                 18387,,                              0.15,,                              0.15,,,,,,,,                130761,,,,,               -226212,                 18612,,                              0
2615,2013年04月01日至2013年06月30日,,             14776963,,             13489049,              1287914,              1287914,,                780934,                506980,,,                 39861,,                178081,,                202386,,                  3327,                 18883,                525863,,                 87273,                438590,                438590,,,,,,,,                141048,                579638,,                426898,                 11692,,                568838,                 10800,,                              0.19,,                              0.19,,,,,,,,                 39861,,,,,                123133,                 17915,,                              0
2615,2013年01月01日至2013年12月31日,,             59688505,,             54204308,              5484197,              5484197,,              3257536,              2226661,,,                254567,,                792319,,                808481,,                 39698,                278103,              2504764,,                360582,              2144182,              2144182,,,,,,,,                578012,              2722194,,              2129108,                 15074,,              2709594,                 12600,,                              0.96,,                              0.96,,,,,,,,                254567,,                              0,,                              0,                421713,                106343,                 60187,                 10231
2615,2013年01月01日至2013年09月30日,,             44358765,,             40801923,              3556842,              3556842,,              2429401,              1127441,,,                207584,,                340411,,                608158,,                 22963,                -37200,              1090241,,                189842,                900399,                900399,,,,,,,,                350021,              1250420,,                881206,                 19193,,              1232883,                 17537,,                              0.40,,                              0.40,,,,,,,,,,,,,                283116,                 66905,,
2615,2013年01月01日至2013年06月30日,,             28646115,,             26610596,              2035519,              2035519,,              1618005,                417514,,,                 76823,,                597085,,                402793,,                  2503,                273618,                691132,,                139220,                551912,                551912,,,,,,,,                557621,              1109533,,                551784,                    128,,              1110383,                   -850,,                              0.25,,                              0.25,,,,,,,,,,,,,                509328,                 48293,,
2615,2013年01月01日至2013年03月31日,,             13869152,,             13121547,                747605,                747605,,                837071,                -89466,,,                 36962,,                419004,,                200407,,                   -824,                254735,                165269,,                 51947,                113322,                113322,,,,,,,,                416573,                529895,,                124886,                -11564,,                541545,                -11650,,                              0.06,,,,,,,,,,                 36962,,,,,                386195,                 30378,,                              0
2615,2012年07月01日至2012年09月30日,,             16457162,,             14934541,              1522621,              1522621,,                628688,                893933,,,                157672,,               -288507,,                208378,,                    402,               -338811,                555122,,                 83257,                471865,                471865,,,,,,,,                -57465,                414400,,                460728,                 11137,,                403657,                 10743,,                              0.21,,                              0.21,,,,,,,,                157672,,,,,               -172539,                115074,,                              0
2615,2012年04月01日至2012年06月30日,,             16050780,,             13734943,              2315837,              2315837,,                866160,              1449677,,,                 51895,,                194180,,                194484,,                  4284,                 55875,              1505552,,                162854,              1342698,              1342698,,,,,,,,                 19146,              1361844,,              1343169,                   -471,,              1362152,                   -308,,                              0.61,,                              0.61,,,,,,,,                 51895,,,,,                118439,                -99293,,                              0
2615,2012年01月01日至2012年12月31日,,             62935731,,             57021461,              5914270,              5914270,,              3055613,              2858657,,,                312211,,               -144901,,                791242,,                  7013,               -616919,              2241738,,                389728,              1852010,              1852010,,,,,,,,               -222214,              1629796,,              1848228,                  3782,,              1626909,                  2887,,                              0.83,,                              0.83,,,,,,,,                312211,,                              0,,                              0,               -358836,                 52638,                101185,                 17201
2615,2012年01月01日至2012年09月30日,,             47184353,,             42842673,              4341680,              4341680,,              2328767,              2012913,,,                263193,,                -97737,,                587581,,                   -109,               -422234,              1590679,,                180346,              1410333,              1410333,,,,,,,,               -216965,              1193368,,              1410838,                   -505,,              1194610,                 -1242,,                              0.64,,                              0.64,,,,,,,,                263193,,,,,               -313145,                 96180,,                              0
2615,2012年01月01日至2012年06月30日,,             30727191,,             27908132,              2819059,              2819059,,              1700079,              1118980,,,                105521,,                190770,,                379203,,                   -511,                -83423,              1035557,,                 97089,                938468,                938468,,,,,,,,               -159500,                778968,,                950110,                -11642,,                790953,                -11985,,                              0.43,,                              0.43,,,,,,,,                105521,,,,,               -140606,                -18894,,                              0
2615,2012年01月01日至2012年03月31日,,             14676411,,             14173189,                503222,                503222,,                833919,               -330697,,,                 53626,,                 -3410,,                184719,,                 -4795,               -139298,               -469995,,                -65765,               -404230,               -404230,,,,,,,,               -178646,               -582876,,               -393059,                -11171,,               -571199,                -11677,,                             -0.18,,,,,,,,,,                 53626,,,,,               -259045,                 80399,,                              0
