證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額
6108,2013年04月01日至2013年06月30日,,              2230004,,              1956364,                273640,                273640,,,                 61202,,                107079,                168281,                105359,,,                 11842,,                -91917,,                 15378,                -95453,                  9906,,                  1118,                  8788,                  8788,,,,,                 55180,                 63968,,                  8788,,                 63968,,                              0.05,,                              0.05,,                 55180,,,                              0,                              0,,,,,,
6108,2013年01月01日至2013年12月31日,,              8047121,,              7173040,                874081,                874081,,,                280543,,                412467,                693010,                181071,,,                135693,,                -46900,,                 55618,                 33175,                214246,,                 56162,                158084,                158084,,,,,                145190,                303274,,                158084,,                303274,,                              0.99,,                              0.99,,                195539,                -18286,                 32063,,,,,,,,
6108,2013年01月01日至2013年09月30日,,              6021874,,              5359744,                662130,                662130,,,                186411,,                318519,                504930,                157200,,,                 62696,,                 38629,,                 48961,                 52364,                209564,,                 58205,                151359,                151359,,,,,                121380,                272739,,                151359,,                272739,,                              0.95,,                              0.90,,                121380,,,,,,,,,,
6108,2013年01月01日至2013年06月30日,,              3980469,,              3606496,                373973,                373973,,,                120770,,                211431,                332201,                 41772,,,                 43075,,                 56421,,                 29633,                 69863,                111635,,                 23908,                 87727,                 87727,,,,,                170122,                257849,,                 87727,,                257849,,                              0.55,,                              0.51,,                170122,,,,,,,,,,
6108,2013年01月01日至2013年03月31日,,              1750465,,              1650132,                100333,                100333,,,                 59568,,                104352,                163920,                -63587,,,                 31233,,                148338,,                 14255,                165316,                101729,,                 22790,                 78939,                 78939,,,,,                114942,                193881,,                 78939,,                193881,,                              0.49,,                              0.46,,                114942,,,,,,,,,,
6108,2012年07月01日至2012年09月30日,,              1849525,,              1572920,                276605,                276605,,,                 54126,,                100425,                154551,                122054,,,                  7674,,                    485,,                 16547,                 -8388,                113666,,                 31475,                 82191,                 82191,,,,,                -34453,                 47738,,                 82191,,                 47738,,                              0.51,,                              0.47,,                -34453,,                              0,                              0,                              0,,,,,,
6108,2012年04月01日至2012年06月30日,,              2103168,,              1703752,                399416,                399416,,,                 57553,,                113649,                171202,                228214,,,                 23686,,                -17654,,                 17358,                -11326,                216888,,                 80669,                136219,                136219,,,,,                 15633,                151852,,                136219,,                151852,,                              0.85,,                              0.79,,                 15633,,,                              0,                              0,,,,,,
6108,2012年01月01日至2012年12月31日,,              7234401,,              6149248,              1085153,              1085153,,,                222622,,                415127,                637749,                447404,,,                156655,,                 32856,,                 42771,                146740,                594144,,                256590,                337554,                337554,,,,,                -82308,                255246,,                337554,,                255246,,                              2.11,,                              1.94,,               -120064,                 15933,                -21823,,,,,,,,
6108,2012年01月01日至2012年09月30日,,              5658962,,              4699443,                959519,                959519,,,                165792,,                315489,                481281,                478238,,,                 52438,,                -39937,,                 51590,                -39089,                439149,,                157805,                281344,                281344,,,,,                -90637,                190707,,                281344,,                190707,,                              1.76,,                              1.59,,                -90637,,                              0,                              0,                              0,,,,,,
6108,2012年01月01日至2012年06月30日,,              3809437,,              3126523,                682914,                682914,,,                111666,,                215064,                326730,                356184,,,                 44764,,                -40422,,                 35043,                -30701,                325483,,                126330,                199153,                199153,,,,,                -56184,                142969,,                199153,,                142969,,                              1.25,,                              1.13,,                -56184,,,                              0,                              0,,,,,,
6108,2012年01月01日至2012年03月31日,,              1706269,,              1422771,                283498,                283498,,,                 54113,,                101415,                155528,                127970,,,                 21078,,                -22768,,                 17685,                -19375,                108595,,                 45661,                 62934,                 62934,,,,,                -71817,                 -8883,,                 62934,,                 -8883,,                              0.39,,                              0.34,,                -71817,,,                              0,                              0,,,              1735026,                 10041,                 18716,              1706269
