證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 管理費用,　　　 管理費用合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計
2608,2014年01月01日至2014年03月31日,,,              1890572,,,              1890572,,,,              1526241,                364331,,,                364331,,                110362,                253969,,,,                  3394,,                  1332,,                  2493,,                   -158,                  2075,                256044,,                 43144,                212900,                212900,,,                   -624,,,                   -624,                   -624,                212276,,                208856,,                  4044,,                208856,,                  3420,,                              0.43,,                              0.43,,                110362,,,,,,,,,,,,,,,,,,,,
2608,2013年第3季,,,              1973665,,,              1973665,,,              1552846,              1552846,                420819,                              0,                              0,                420819,,                106071,                314748,,,                 15379,                 15379,,                -11170,,                  2821,,                  2832,                  4220,                318968,,                 51940,                267028,                267028,,,,,,,                    732,                267760,,                263604,,                  3424,,                261372,,                  6388,,                              0.55,,                              0.55,,,                  1237,,,                   -505,,,,,,,                              0,,,,,,,,,
2608,2013年第2季,,,              1801727,,,              1801727,,,              1442684,              1442684,                359043,                              0,                              0,                359043,,                117825,                241218,,,                 16744,                 16744,,                 55480,,                  2470,,                 -1543,                 68211,                309429,,                 74114,                235315,                235315,,,,,,,                    400,                235715,,                230891,,                  4424,,                233871,,                  1844,,                              0.48,,                              0.48,,,                 -6420,,,                  6820,,,,,,,                              0,,                              0,,                              0,,,,,
2608,2013年度,,,              7529750,,                 18864,              7548614,,,              6005761,              6005761,              1542853,                              0,                              0,              1542853,,                453520,              1089333,,,,                 55995,,                -11733,,                 10787,,                   -328,                 33147,              1122480,,                219789,                902691,                902691,,,,,,,                 22293,                924984,,                882936,,                 19755,,                917481,,                  7503,,                              1.83,,                              1.82,,                453520,                 35211,                -13295,,                  7411,                  7034,                              1.83,                              0.00,                              1.82,                              0.00,,,,,,,,,,,
2608,2013年07月01日至2013年09月30日,,,              1968950,,                  4715,              1973665,,,              1552846,              1552846,                420819,,,                420819,,                106071,                314748,,,,                 15379,,                -11170,,                  2821,,                  2832,                  4220,                318968,,                 51940,                267028,                267028,,,,,,,                 -2208,                264820,,                263604,,                  3424,,                261372,,                  3448,,                              0.55,,                              0.55,,,                 -2208,,,,,,,,,,                              0,,,,,,,,,
2608,2013年04月01日至2013年06月30日,,,              1796963,,                  4764,              1801727,,,              1442684,              1442684,                359043,,,                359043,,                117825,                241218,,,                 16744,                 16744,,                 55480,,                  2470,,                 -1543,                 68211,                309429,,                 74114,                235315,                235315,,,,,,,                    400,                235715,,                230891,,                  4424,,                233871,,                  1844,,                              0.48,,                              0.48,,,                    400,,,,,,,,,,                              0,,,,,,,,              1796963,              1796963
2608,2013年01月01日至2013年12月31日,,,              7529750,,                 18864,              7548614,,,              6005761,              6005761,              1542853,,,              1542853,,                453520,              1089333,,,,                 55995,,                -11733,,                 10787,,                   -328,                 33147,              1122480,,                219789,                902691,                902691,,,,,,,                 19353,                922044,,                882936,,                 19755,,                917481,,                  4563,,                              1.83,,                              1.82,,,                 32271,                -13295,,                  7411,                  7034,,,,,,,,,,,,,,,
2608,2013年01月01日至2013年09月30日,,,              5535197,,,              5535197,,,              4444554,              4444554,              1090643,                              0,                              0,              1090643,,                323760,                766883,,,                 36370,                 36370,,                 49765,,                  7969,,                    151,                 78317,                845200,,                161445,                683755,                683755,,,,,,,                  4594,                688349,,                671790,,                 11965,,                676149,,                 12200,,                              1.39,,                              1.39,,,                 -2770,,,                  7364,,,,,,,                              0,,,,,,,,,
2608,2013年01月01日至2013年06月30日,,,              3561532,,,              3561532,,,              2891708,              2891708,                669824,                              0,                              0,                669824,,                217689,                452135,,,                 20991,                 20991,,                 60935,,                  5148,,                 -2681,                 74097,                526232,,                109505,                416727,                416727,,,,,,,                  3862,                420589,,                408186,,                  8541,,                414777,,                  5812,,                              0.84,,                              0.84,,,                 -4007,,,                  7869,,,,,,,                              0,,                              0,,                              0,,,,,
2608,2013年01月01日至2013年03月31日,,,              1759805,,,              1759805,,,,              1449061,                310744,,,                310744,,                 99864,                210880,,,,                  4284,,                  5455,,                  2678,,                 -1138,                  5923,                216803,,                 35391,                181412,                181412,,,,,,,                  3462,                184874,,                177295,,                  4117,,                180906,,                  3968,,                              0.37,,                              0.37,,                 99864,                  2413,,,                  1049,,,,,,,,,,,,,                              0,,,
2608,2012年07月01日至2012年09月30日,,,              1957556,,                  4059,              1961615,,,              1611413,              1611413,                350202,,,                350202,,                 99331,                250871,,,,                 13959,,                  6998,,                  3698,,                              0,                 17259,                268130,,                 39172,                228958,                228958,,,,,,,                 -2070,                226888,,                226485,,                  2473,,                223981,,                  2907,,                              0.47,,                              0.47,,,                 -2070,,,,,,,,,,                              0,,,,,,,,,
2608,2012年04月01日至2012年06月30日,,,              1831071,,                  6090,              1837161,,,              1529437,              1529437,                307724,,,                307724,,                 96008,                211716,,,                 15860,                 15860,,                 41533,,                  4271,,                              0,                 53122,                264838,,                 62004,                202834,                202834,,,,,,,                  2317,                205151,,                200711,,                  2123,,                203029,,                  2122,,                              0.41,,                              0.41,,,                  2317,,,,,,,,,,                              0,,,,,,,,              1831071,              1831071
2608,2012年01月01日至2012年12月31日,,,              7428763,,                 19613,              7448376,,,              6182646,              6182646,              1265730,,,              1265730,,                384346,                881384,,,,                 70428,,                 68253,,                 16544,,                              0,                122137,              1003521,,                176674,                826847,                826847,,,,,,,               -157590,                669257,,                819518,,                  7329,,                668031,,                  1226,,                              1.69,,                              1.69,,,                -41113,               -148954,,                              0,                -32477,,,,,,,,,,,,,,,
2608,2012年01月01日至2012年09月30日,,,              5511565,,                 15019,              5526584,,,              4597948,              4597948,                928636,,,                928636,,                280303,                648333,,,,                 40725,,                 46101,,                 12772,,                              0,                 74054,                722387,,                136409,                585978,                585978,,,,,,,                 -1046,                584932,,                581966,,                  4012,,                580572,,                  4360,,                              1.20,,                              1.20,,,                 -1046,,,,,,,,,,                              0,,,,,,,,,
2608,2012年01月01日至2012年06月30日,,,              3554009,,                 10960,              3564969,,,              2986535,              2986535,                578434,,,                578434,,                180972,                397462,,,                 26766,                 26766,,                 39103,,                  9074,,                              0,                 56795,                454257,,                 97237,                357020,                357020,,,,,,,                  1024,                358044,,                355481,,                  1539,,                356591,,                  1453,,                              0.73,,                              0.73,,,                  1024,,,,,,,,,,                              0,,,,,,,,              3554009,              3554009
2608,2012年01月01日至2012年03月31日,,,              1722938,,                  4870,              1727808,,,              1457098,              1457098,                270710,,,                270710,,                 84964,                185746,,,,                 10905,,                 -2429,,                  4803,,                              0,                  3673,                189419,,                 35233,                154186,                154186,,,,,,,                 -1293,                152893,,                154770,,                   -584,,                153562,,                   -669,,                              0.32,,                              0.32,,                 84964,                 -1293,,,,,,,,,,                              0,,,,,,                              0,,,
