證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 勞務收入,　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 加工成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 處分不動產、廠房及設備損失,　 停業單位損益,　　 停業單位損益合計,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　　　 銷貨收入,　　　　 加工收入,　　　 銷貨成本,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）
1225,2014年01月01日至2014年03月31日,,,,              2946822,                 10268,              2936554,,,                    725,                    725,              2937279,,,              2745254,,                    830,                    830,              2746084,                191195,                    282,                190913,,,                 86048,,                 39249,,                  4999,                130296,,                   -129,                   -129,                 60488,,,,                    542,                    505,                  2932,                  3979,,                 -4629,                    920,                 -5549,,                 14939,                 14939,,                  4003,                -12506,                 47982,,                  8607,                 39375,                 39375,,,,,                              0,,                  5081,                  5081,                  5081,                 44456,,                 35292,                  4083,,                 40373,                  4083,,                              0.18,                              0.18,,                              0.17,                              0.17,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,
1225,2013年第3季,,,,              3483101,                 24123,              3458978,,,                  1422,                  1422,              3460400,,,              3312556,,                  1214,                  1214,              3313770,                146630,                    -32,                146662,,,                 94013,,                 31027,,                  3336,                128376,,                     36,                     36,                 18322,,,,                    439,                    291,                  4113,                  4843,,                  2593,                 16325,                -13732,,                 14499,                 14499,,                  5098,                -18290,                     32,,                  5316,                 -5284,                 -5284,,,,,,,,,                 -3522,                 -8806,,                 -9880,                  4596,,                -13402,                  4596,,                             -0.05,                             -0.05,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,                 -3522,,,,                              0,,                              0,                              0.00,                              0.00,,,,,
1225,2013年第2季,,,,              3764614,                  8911,              3755703,,,                  2333,                  2333,              3758036,,,              3605533,,                  1934,                  1934,              3607467,                150569,                   -233,                150802,,,                 88846,,                 34258,,                  3020,                126124,,                    -40,                    -40,                 24638,,,,                    542,                    185,                  5901,                  6628,,                  5130,                  1147,                  3983,,                 14973,                 14973,,                  4794,                    432,                 25070,,                  4959,                 20111,                 20111,,,,,,,,,                  3977,                 24088,,                 20918,                   -807,,                 24895,                   -807,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,,,,,,,,,                  3977,,,,,,,                              0.00,                              0.00,,,,,
1225,2013年度,,,,             14255766,                 52670,             14203096,,,                  5990,                  5990,             14209086,,,             13521683,,                  5051,                  5051,             13526734,                682352,                    152,                682200,,,                380483,,                138411,,                 12903,                531797,,                     27,                     27,                150430,,,,                  2113,                  1099,                  8691,                 11903,,                  5870,                 27789,                -21919,,                 59849,                 59849,,                 17404,                -52461,                 97969,,                 25335,                 72634,                 72634,,,,,,,,,                 16207,                 88841,,                 62240,                 10394,,                 78447,                 10394,,                              0.32,                              0.32,,                              0.32,                              0.32,,,,,,,,,,,,,,,,,,                 12304,                  3089,,                    814,,,,,,,,,,
1225,2013年07月01日至2013年09月30日,,,,              3483101,                 24123,              3458978,,,                  1422,                  1422,              3460400,,,              3312556,,                  1214,                  1214,              3313770,                146630,                    -32,                146662,,,                 94013,,                 31027,,                  3336,                128376,,                     36,                     36,                 18322,,,,                    439,                    291,                  4113,                  4843,,                  2593,                 16325,                -13732,,                 14499,                 14499,,                  5098,                -18290,                     32,,                  5316,                 -5284,                 -5284,,,,,,,,,                 -3522,                 -8806,,                 -9880,                  4596,,                -13402,                  4596,,                             -0.05,                             -0.05,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,                 -3522,,,,,,,,,,,,                              0,
1225,2013年04月01日至2013年06月30日,,,,              3764614,                  8911,              3755703,,,                  2333,                  2333,              3758036,,,              3605533,,                  1934,                  1934,              3607467,                150569,                   -233,                150802,,,                 88846,,                 34258,,                  3020,                126124,,                    -40,                    -40,                 24638,,,,                    542,                    185,                  5901,                  6628,,                  5130,                  1147,                  3983,,                 14973,                 14973,,                  4794,                    432,                 25070,,                  4959,                 20111,                 20111,,,,,,,,,                  3977,                 24088,,                 20918,                   -807,,                 24895,                   -807,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,,,,,,,,,                  3977,,,,,,,,,,,,                              0,
1225,2013年01月01日至2013年12月31日,,,,             14255766,                 52670,             14203096,,,                  5990,                  5990,             14209086,,,             13521683,,                  5051,                  5051,             13526734,                682352,                    152,                682200,,,                380483,,                138411,,                 12903,                531797,,,                     27,                150430,,,,                  2113,                  1099,                  8691,                 11903,,                  5870,                 27789,                -21919,,                 59849,                 59849,,                 17404,                -52461,                 97969,,                 25335,                 72634,                 72634,,,,,,,,,                 16207,                 88841,,                 62240,                 10394,,                 78447,                 10394,,                              0.32,                              0.32,,                              0.32,                              0.32,,,,,,,,,,,,,,,,,,                 12304,                  3089,,                    814,,,,,,             14255766,                  5990,             13521683,                              0,                    814
1225,2013年01月01日至2013年09月30日,,,,             10642905,                 41419,             10601486,,,                  5480,                  5480,             10606966,,,             10147484,,                  4600,                  4600,             10152084,                454882,                    148,                454734,,,                264532,,                100160,,                  9259,                373951,,                     20,                     20,                 80803,,,,                  1365,                    607,                 17191,                 19163,,                  8771,                 18704,                 -9933,,                 44910,                 44910,,                 10400,                -25280,                 55523,,                 16403,                 39120,                 39120,,,,,,,,,                  8790,                 47910,,                 36108,                  3012,,                 44898,                  3012,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,,,,,,,,,,,,,                  8790,,,,                              0,,                              0,                              0.00,                              0.00,,,,,
1225,2013年01月01日至2013年06月30日,,,,              7159804,                 17296,              7142508,,,                  4058,                  4058,              7146566,,,              6834928,,                  3386,                  3386,              6838314,                308252,                    180,                308072,,,                170519,,                 69133,,                  5923,                245575,,                    -16,                    -16,                 62481,,,,                    926,                    316,                 13078,                 14320,,                  6178,                  2379,                  3799,,                 30411,                 30411,,                  5302,                 -6990,                 55491,,                 11087,                 44404,                 44404,,,,,,,,,                 12312,                 56716,,                 45988,                 -1584,,                 58300,                 -1584,,                              0.24,                              0.24,,                              0.23,                              0.23,,,,,,,,,,,,,,,,,,                 12312,,,,,,,                              0.00,                              0.00,,,,,
1225,2013年01月01日至2013年03月31日,,,,              3395190,                  8385,              3386805,,,                  1725,                  1725,              3388530,,,              3229395,,                  1452,                  1452,              3230847,                157683,                    413,                157270,,,                 81673,,                 34875,,                  2903,                119451,,                     24,                     24,                 37843,,,,                    384,                    131,                  7177,                  7692,,                  1048,                  1232,                   -184,,                 15438,                 15438,,                    508,                 -7422,                 30421,,                  6128,                 24293,                 24293,,,,,,,,,                  8335,                 32628,,                 25070,                   -777,,                 33405,                   -777,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,,,,,,,,,,,,,                  8335,,,,,,,,,,,,,
1225,2012年07月01日至2012年09月30日,,,,              3905476,                  8628,              3896848,,,                  2662,                  2662,              3899510,,,              3647783,,                  1577,                  1577,              3649360,                250150,                   -206,                250356,,,                 88233,,                 42965,,                  3392,                134590,,                    272,                    272,                116038,,,,                    388,                    877,                  2387,                  3652,,                  1771,                  1224,                    547,,                 15893,                 15893,,                  9502,                 -2192,                113846,,                 18531,                 95315,                 95315,,,,,,,,,                 -6489,                 88826,,                 88085,                  7230,,                 81596,                  7230,,                              0.47,                              0.47,,                              0.41,                              0.41,,,,,,,,,,,,,,,,,,                 -6489,,,,,,,,,,,,                              0,
1225,2012年04月01日至2012年06月30日,,,,              3573664,                  8292,              3565372,,,                  3218,                  3218,              3568590,,,              3415299,,                  1360,                  1360,              3416659,                151931,                    -52,                151983,,,                 84203,,                 33921,,                  3028,                121152,,                     74,                     74,                 30905,,,,                    557,                  1084,                  2432,                  4073,,                 -2520,                  1229,                 -2837,,                 16235,                 16235,,                  3391,                -11608,                 19297,,                  3499,                 15798,                 15798,,,,,,,,,                  3166,                 18964,,                 17280,                 -1482,,                 20446,                 -1482,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,,,,,,,,,,,,,                  3166,,,,,,,,,,,,                    912,
1225,2012年01月01日至2012年12月31日,,,,             14903980,                 44025,             14859955,,,                  8493,                  8493,             14868448,,,             14287502,,                  5353,                  5353,             14292855,                575593,                   -163,                575756,,,                346411,,                138510,,                 12995,                497916,,,                    249,                 78089,,,,                  1781,                  5102,                  9645,                 16528,,                  6604,                  5757,                  2252,,                 64931,                 64931,,                 22251,                -23900,                 54189,,                  9159,                 45030,                 45030,,,,,,,,,                -18878,                 26152,,                 40279,                  4751,,                 21401,                  4751,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,,,,,,,,,,,,,,                -12949,                 -5552,,                   -377,,,,,,             14903980,                  8493,             14287502,                  1405,                   -377
1225,2012年01月01日至2012年09月30日,,,,             10779140,                 24855,             10754285,,,                  6935,                  6935,             10761220,,,             10253026,,                  4457,                  4457,             10257483,                503737,                    137,                503600,,,                249756,,                108638,,                  9573,                367967,,                    194,                    194,                135827,,,,                  1294,                  3048,                  6551,                 10893,,                  3013,                  3808,                    117,,                 47952,                 47952,,                 16177,                -20765,                115062,,                 18848,                 96214,                 96214,,,,,,,,,                -11702,                 84512,,                 94640,                  1574,,                 82938,                  1574,,                              0.51,                              0.51,,                              0.47,                              0.47,,,,,,,,,,,,,,,,,,                -11702,,,,,,,,,,,,                    912,
1225,2012年01月01日至2012年06月30日,,,,              6873664,                 16227,              6857437,,,                  4273,                  4273,              6861710,,,              6605243,,                  2880,                  2880,              6608123,                253587,                    343,                253244,,,                161523,,                 65673,,                  6181,                233377,,                    -78,                    -78,                 19789,,,,                    906,                  2171,                  4164,                  7241,,                  1242,                  2584,                   -430,,                 32059,                 32059,,                  6675,                -18573,                  1216,,                    317,                    899,                    899,,,,,,,,,                 -5213,                 -4314,,                  6555,                 -5656,,                  1342,                 -5656,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,,,,,,,,                 -5213,,,,,,,,,,,,                    912,
1225,2012年01月01日至2012年03月31日,,,,              3300000,                  7935,              3292065,,,                  1055,                  1055,              3293120,,,              3189944,,                  1520,                  1520,              3191464,                101656,                    395,                101261,,,                 77320,,                 31752,,                  3153,                112225,,                   -152,                   -152,                -11116,,,,                    349,                  1087,                  1732,                  3168,,                  3762,                  1355,                  2407,,                 15824,                 15824,,                  3284,                 -6965,                -18081,,                 -3182,                -14899,                -14899,,,,,,,,,                 -8379,                -23278,,                -10725,                 -4174,,                -19104,                 -4174,,                              0.06,                              0.06,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,                 -8379,,,,,,,,,,,,,
