證券代號,年季,　 營業收入,　　 保費收入,　　　 再保費收入,　　　 保費收入合計,　　 再保費支出,　　 未滿期保費準備淨變動,　　　 未滿期保費準備淨變動,　　 自留滿期保費收入,　　 再保佣金收入,　　 手續費收入,　　　 手續費收入合計,　　 淨投資損益,　　　 利息收入,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　 無活絡市場之債務工具投資損益之已實現損益,　　　 兌換損益－投資,　　　 投資性不動產損益,　　　 淨投資損益,　　 其他營業收入,　　　 其他營業收入合計,　　 營業收入合計,　 營業成本,　　 保險賠款與給付,　　　 保險賠款與給付合計,　　 攤回再保賠款與給付,　　 自留保險賠款與給付,　　 其他保險負債淨變動,　　　 其他保險負債淨變動合計,　　 佣金費用,　　　 佣金費用合計,　　 其他營業成本,　　　 其他營業成本合計,　　 營業成本合計,　 營業費用,　　 業務費用,　　 管理費用,　　 員工訓練費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）淨額,　 繼續營業單位本期純益（純損）,　 本期淨利（淨損）,　 其他綜合損益（稅後淨額）,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產之未實現評價利益（損失）,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目,　　 其他綜合損益（稅後淨額）合計,　 本期綜合損益總額,　 基本每股盈餘 ,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 無活絡市場之債券投資損益之已實現損益,　 繼續營業單位稅前純益（純損）,　　 其他綜合損益-稅前,　　　 確定福利計畫精算利益（損失）,　　　 其他綜合損益－稅前合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 投資減損損失及迴轉利益,　　　　 投資減損損失及迴轉利益淨額,　　 保險負債淨變動,　　　 保險負債淨變動,　　　 簽單保費收入,　　　 保險賠款與給付,　　　 再保賠款與給付,　　　 賠款準備淨變動,　　　　 賠款準備淨變動,　　　 特別準備淨變動,　　　　 特別準備淨變動,　　　 保費不足準備淨變動,　　　　 保費不足準備淨變動,　　 其他營業外收入及支出,　　　 雜項收入,　　　 其他營業外收入及支出淨額
2851,2014年01月01日至2014年03月31日,,,              4457085,              4457085,                393824,,                126645,              3936616,                 83984,,                  3953,,                 72111,                -32808,                 12812,                              0,                 31481,                  5426,                 89022,,                  2826,              4116401,,,              2619035,                124439,              2494596,,                 14974,,              1243470,,                    464,              3753504,,                 70554,                 29911,                     64,                100529,                262368,,                     21,                262389,,                 38254,                224135,                224135,,,                -46897,                 -3669,                -43228,                -43228,                180907,,                              0.40,,                              0.40,,,,,,,,,,,,,,,,,,,,,,
2851,2013年第3季,,,              3694427,              3694427,                162070,,               -138259,              3670616,                 55645,,                  4526,,                 69366,                158763,                 -9900,,                -61896,                  5356,                435220,,                    104,              4166111,,,              2312535,                118877,              2193658,,                152049,,              1170749,,                      1,              3516457,,                 68656,                 26575,                    408,                 95639,                554015,,                    475,,,                 89624,                464866,                464866,,,                 95221,,,                 91129,                555995,,                              0.83,,                              0.83,                273531,                554490,,,                 95221,                  4092,,,,,,,,,,,,,,,,
2851,2013年第2季,,,              3975051,              3975051,                216693,,                139308,              3619050,                 86424,,                  4549,,                 87795,               -122384,                 -8957,,                 26817,                  3719,                -13010,,                 -1608,              3695405,,,              2333145,                111112,              2222033,,                -14000,,              1276043,,                              0,              3484076,,                 68777,                 25089,                    272,                 94138,                117191,,                     79,,,                 56464,                 60806,                 60806,,,                -24269,,,                -11313,                 49493,,                              0.11,,                              0.11,                              0,                117270,,,                -24269,                -12956,,,,,,,,,,,,,,,,
2851,2013年度,,,             15649693,             15649693,                908808,,                144518,             14596367,                266945,,                 16508,,                291332,                -49889,               -143375,,                112911,                 18929,                501342,,                  3332,             15384494,,,              9357147,                471486,              8885661,,                268665,,              4908020,,                      2,             14062348,,                274036,                103093,                    803,                377932,                944214,,                    586,,,                212710,                732090,                732090,,,                598432,,,                583162,              1315252,,                              1.30,,                              1.30,                271434,                944800,,                 -1575,                596857,                 13695,,,,,,,,,,,,,,,,
2851,2013年07月01日至2013年09月30日,,,,              3694427,                162070,,               -138259,              3670616,                 55645,,                  4526,,                 69366,                158763,                 -9900,,                -61896,                  5356,                435220,,                    104,              4166111,,,              2312535,                118877,              2193658,,,,              1170749,,                      1,              3516457,,                 68656,                 26575,                    408,                 95639,                554015,,                    475,,,                 89624,                464866,                464866,,,                 95221,,,                 91129,                555995,,                              0.83,,,                273531,                554490,,,                 95221,                  4092,,                              0,,                152049,              3694427,,,,,,,,,,,
2851,2013年04月01日至2013年06月30日,,,              3975051,              3975051,                216693,,                139308,              3619050,                 86424,,                  4549,,                 87795,               -122384,                 -8957,,                 26817,                  3719,                -13010,,                 -1608,              3695405,,,              2333145,                111112,              2222033,,,,              1276043,,                              0,              3484076,,                 68777,                 25089,                    272,                 94138,                117191,,                     79,,,                 56464,                 60806,                 60806,,,                -24269,,,                -11313,                 49493,,                              0.11,,,                              0,                117270,,,                -24269,                -12956,,,,                -14000,,              2333145,,,,,,,,,,
2851,2013年01月01日至2013年12月31日,,,             15649693,             15649693,                908808,,                144518,             14596367,                266945,,                 16508,,                291325,                -49882,               -143375,,                112911,                 18929,                501342,,                  3332,             15384494,,,              9357147,                471486,              8885661,,,,              4908020,,                      2,             14062348,,                274036,                103093,                    803,                377932,                944214,,                    586,,,                212710,                732090,                732090,,,                598432,,,                583162,              1315252,,                              1.30,,                              1.30,                271434,                944800,,                 -1575,                596857,                 13695,,                              0,,                268665,,,,,,,,,,,,
2851,2013年01月01日至2013年09月30日,,,             11810589,             11810589,                724337,,                256703,             10829549,                212280,,                 12693,,                215207,                -33586,                 42769,,                 43797,                 14671,                554292,,                  1552,             11610366,,,              7012512,                353139,              6659373,,                 92106,,              3710907,,                      2,             10462388,,                206654,                 80561,                    723,                287938,                860040,,                    554,,,                181534,                679060,                679060,,,                314991,,,                319321,                998381,,                              1.21,,                              1.21,                271434,                860594,,,                314991,                 -4330,,,,,,,,,,,,,,,,
2851,2013年01月01日至2013年06月30日,,,              8116162,              8116162,                562267,,                394962,              7158933,                156635,,                  8167,,                145841,               -192349,                 52669,,                105693,                  9315,                119072,,                  1448,              7444255,,,              4699977,                234262,              4465715,,                -59943,,              2540158,,                      1,              6945931,,                137998,                 53986,                    315,                192299,                306025,,                     79,,,                 91910,                214194,                214194,,,                219770,,,                228192,                442386,,                              0.38,,                              0.38,                 -2097,                306104,,,                219770,                 -8422,,,,,,,,,,,,,,,,
2851,2013年01月01日至2013年03月31日,,,              4141111,              4141111,                345574,,                255654,              3539883,                 70211,,                  3618,,                 58046,                -69965,                 61626,,                 78876,                  5596,                132082,,                  3056,              3748850,,,              2366832,                123150,              2243682,,                -45943,,              1264115,,                      1,              3461855,,                 69221,                 28897,                     43,                 98161,                188834,,                              0,,,                 35446,                153388,                153388,,,                244039,,,                239505,                392893,,                              0.27,,                              0.27,                 -2097,                188834,,,                244039,                  4534,,,,,,,,,,,,,,,,
2851,2012年07月01日至2012年09月30日,,,,              3368194,                183126,,               -153491,              3338559,                 60102,,                  5443,,                 55675,                 85982,                 80462,,                -29913,                  5751,                120287,,                    652,              3525043,,,              2371962,                137626,              2234336,,,,              1013961,,                 -2641,              3251969,,                 61741,                 23966,                    614,                 86321,                186753,,                     47,,,                 34487,                152313,                152313,,,                149185,,,                150374,                302687,,                              0.27,,,                              0,                186800,,,                149185,                 -1189,,                -77670,,                  6313,              3368194,,,,,,,,,,,
2851,2012年04月01日至2012年06月30日,,,              3634954,              3634954,                214568,,                155557,              3264829,                 73590,,                  4854,,                 74509,                -28972,                 -4660,,                 22907,                  4126,                 67910,,                  1042,              3412225,,,              2517619,                142141,              2375478,,,,              1061198,,                  4507,              3306503,,                 65345,                 23131,                    270,                 88746,                 16976,,                 19863,,,                 18426,                 18413,                 18413,,,               -179727,,,               -167150,               -148737,,                              0.03,,,                              0,                 36839,,,               -179727,                -12577,,,,               -134680,,              2517619,,,,,,,,,,
2851,2012年01月01日至2012年12月31日,,,             14368568,             14368568,                966232,,                 43220,             13359116,                279402,,                 19369,,                360634,                395195,                142260,,               -109460,                 20153,                689933,,                  2695,             14350515,,,              9278604,                534899,              8743705,,,,              4279255,,                 13676,             13216111,,                260121,                 99526,                  1058,                360705,                773699,,                 19947,,,                114712,                678934,                678934,,,                197031,,,                194415,                873349,,                              1.21,,                              1.21,                              0,                793646,,                 -1354,                195677,                  1262,,               -118849,,                179475,,,,,,,,,,,,
2851,2012年01月01日至2012年09月30日,,,,             10861581,                768790,,                173535,              9919256,                213538,,                 14640,,                301813,                296430,                197864,,                -92030,                 15671,                642078,,                  2008,             10791520,,,              6999628,                418247,              6581381,,,,              3200553,,                  7636,              9886219,,                195298,                 76113,                    919,                272330,                632971,,                 19967,,,                 74902,                578036,                578036,,,                 42819,,,                 50932,                628968,,                              1.03,,,                              0,                652938,,,                 42819,                 -8113,,                -77670,,                 96649,             10861581,,,,,,,,,,,
2851,2012年01月01日至2012年06月30日,,,              7493387,              7493387,                585664,,                327026,              6580697,                153436,,                  9197,,                246138,                210448,                117402,,                -62117,                  9920,                521791,,                  1356,              7266477,,,              4627666,                280621,              4347045,,,,              2186592,,                 10277,              6634250,,                133557,                 52147,                    305,                186009,                446218,,                 19920,,,                 40415,                425723,                425723,,,               -106366,,,                -99442,                326281,,                              0.76,,,                              0,                466138,,,               -106366,                 -6924,,,,                 90336,,              4627666,,,,,,,,,,
2851,2012年01月01日至2012年03月31日,,,              3858433,              3858433,                371096,,                171469,              3315868,                 79846,,                  4343,,                171629,                239420,                122062,,                -85024,                  5794,                453881,,                    314,              3854252,,,              2110047,                138480,              1971567,,,,              1125394,,                  5770,              3327747,,                 68212,                 29016,                     35,                 97263,                429242,,                     57,,,                 21989,                407310,                407310,,,                 73361,,,                 67708,                475018,,                              0.74,,,                              0,                429299,,,                 73361,                  5653,,,,                225016,,,              2110047,,                251763,,                -13347,,                -13400,,                     57,                     57
