證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 其他綜合損益,　　 推銷費用,　　　 推銷費用合計,　　 其他費用,　 停業單位損益,　　 停業單位損益合計,　　 權益工具投資之利益（損失）,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
4108,2013年04月01日至2013年06月30日,,                 46760,,,,                 47066,                   -306,                              0,                              0,                   -306,,,                 12999,,                 21133,                 34132,,                              0,                -34438,,,                  5268,,                   -385,,                              0,,                              0,,                              0,,                              0,                  4883,                -29555,,                              0,                -29555,                -29555,,,,,,,,,                  4143,                -25412,,                -28980,                   -575,,                -24837,                   -575,,                             -0.18,,                             -0.18,                     -7,                  4150,,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0
4108,2013年01月01日至2013年12月31日,,                144988,,,,                146379,                 -1391,                              0,                              0,                 -1391,,,                 62438,,                176526,                238964,,,               -240355,,,                 25266,,                 22850,,,,,,                              0,,,                 48116,               -192239,,                     24,               -192263,               -192263,,,,,,,,,                -73068,               -265331,,               -182964,                 -9299,,               -256032,                 -9299,,                             -1.12,,                             -1.12,                     -5,                -73199,,,,,,,,,,,                    136,,,,
4108,2013年01月01日至2013年09月30日,,                117048,,,,                116377,                    671,                              0,                              0,                    671,,,                 44004,,                 85093,                129097,,                              0,               -128426,,,                 20954,,                 40415,,                              0,,                              0,,                              0,,                              0,                 61369,                -67057,,                     24,                -67081,                -67081,,,,,,,,,                -71190,               -138271,,                -63720,                 -3361,,               -134910,                 -3361,,                             -0.39,,                             -0.39,                     15,                -71205,                              0,,,,,,,,,,,,,,
4108,2013年01月01日至2013年06月30日,,                 90890,,,,                 87455,                  3435,                              0,                              0,                  3435,,,                 27481,,                 48674,                 76155,,                              0,                -72720,,,                 11055,,                 39988,,                              0,,                              0,,                              0,,                              0,                 51043,                -21677,,                     24,                -21701,                -21701,,,,,,,,,                -56486,                -78187,,                -20235,                 -1466,,                -76721,                 -1466,,                             -0.12,,                             -0.12,                    -10,                -56476,,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0
4108,2013年01月01日至2013年03月31日,,                 44130,,,,                 40389,                  3741,                              0,                              0,                  3741,,,                 14482,,                 27541,                 42023,,,                -38282,,,                  5787,,                 40373,,                              0,,                              0,,                              0,,,                 46160,                  7878,,                     24,                  7854,                  7854,,,,,,,,,                -60629,                -52775,,                  8745,                   -891,,                -51884,                   -891,,                              0.05,,                              0.05,                     -3,                -60626,                              0,,,,,,,,,,,,,,
4108,2012年07月01日至2012年09月30日,,                 47770,,,,                 44339,                  3431,                              0,                              0,                  3431,,,                 17731,,                 29081,                 46812,,                              0,                -43381,,,                  4114,,                 18412,,,,,,                     58,,,                 22468,                -20913,,                              0,                -20913,                -20913,,,,,,,,,                 22986,                  2073,,                 -8089,                -12824,,                -37491,                 39564,,                             -0.06,,                             -0.06,                   -787,                 23773,                              0,,,,,,,,,,,,,,
4108,2012年04月01日至2012年06月30日,,                 54414,,,,                 48639,                  5775,                              0,                              0,                  5775,,,                 10018,,                 23402,                 33420,,                              0,                -27645,,,                  2174,,                 -3287,,                              0,,                              0,,                              0,,                              0,                 -1113,                -28758,,                     11,                -28769,                -28769,,,,,,,,,                -31787,                -60556,,                -27075,                 -1694,,                -58892,                 -1664,,                             -0.20,,                             -0.20,                     41,                -31828,,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0
4108,2012年01月01日至2012年12月31日,,                177711,,,,                161914,                 15797,                              0,                              0,                 15797,,,                 63601,,                 89936,                153537,,,               -137740,,,                 13073,,                 12860,,,,,,                    170,,,                 25763,               -111977,,                     11,               -111988,               -111988,,,,,,,,,                117799,                  5811,,               -103794,                 -8194,,                 14005,                 -8194,,                             -0.76,,                             -0.76,                 -1918,                119611,,,,,,,,,,,                    106,,,,
4108,2012年01月01日至2012年09月30日,,                129213,,,,                118362,                 10851,                              0,                              0,                 10851,,,                 37244,,                 74282,                111526,,                              0,               -100675,,,                  9337,,                 15218,,,,,,                     58,,,                 24497,                -76178,,                     11,                -76189,                -76189,,,,,,,,,                 87151,                 10962,,                -59925,                -16264,,                -25125,                 36087,,                             -0.45,,                             -0.45,                   -836,                 87987,                              0,,,,,,,,,,,,,,
4108,2012年01月01日至2012年06月30日,,                 81443,,,,                 74023,                  7420,                              0,                              0,                  7420,,,                 19513,,                 45201,                 64714,,                              0,                -57294,,,                  5223,,                 -3194,,                              0,,                              0,,                              0,,                              0,                  2029,                -55265,,                     11,                -55276,                -55276,,,,,,,,,                 64165,                  8889,,                -51836,                 -3440,,                 12366,                 -3477,,                             -0.39,,                             -0.39,                    -49,                 64214,,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0
4108,2012年01月01日至2012年03月31日,,                 27029,,,,                 25384,                  1645,                              0,                              0,                  1645,,,                  9495,,                 21799,                 31294,,,                -29649,,,                  3049,,                     93,,                              0,,                              0,,                              0,,,                  3142,                -26507,,                              0,                -26507,                -26507,,,,,,,,,                 95952,                 69445,,                -24761,                 -1746,,                 71258,                 -1813,,                             -0.19,,                             -0.19,                    -90,                 96042,                              0,,,,,,,,,,,,,,
