證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　 不重分類至損益之其他項目,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 可能重分類至損益之其他項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2439,2014年01月01日至2014年09月30日,,              9053292,,              6884284,              2169008,,,              2169008,,,                169098,,                402014,,                466539,              1037651,              1131357,,,                 62733,,                  5763,,                  1492,,                  9269,                 76273,              1207630,,                217373,                990257,                990257,,,                              0,,                              0,                              0,                              0,,                 25867,                 -7807,,                     49,                  5601,                 12508,                 12508,              1002765,,                960672,                 29585,,                970592,                 32173,,                              5.19,,                              5.18,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
2439,2014年01月01日至2014年06月30日,,              5589136,,              4254281,              1334855,,,              1334855,,,                103654,,                251337,,                303571,                658562,                676293,,,                 37559,,                 -4137,,                  1322,,                  4953,                 37053,                713346,,                129769,                583577,                583577,,,                              0,,                              0,                              0,                              0,,                -63431,                 -8068,,                     49,                 -9555,                -61895,                -61895,                521682,,                563099,                 20478,,                499311,                 22371,,                              3.04,,                              3.04,                              0,                              0,                              0,                              0,,                              0,,,,,,,,,,
2439,2014年01月01日至2014年03月31日,,              2662575,,              2055960,                606615,,,                606615,,,                 47319,,                117726,,                140611,                305656,                300959,,,                 15526,,                 21507,,                    941,,                    764,                 36856,                337815,,                 53220,                284595,                284595,,,,,,,,,,,,,,,                 -5647,                278948,,                274310,                 10285,,                268443,                 10505,,                              1.56,,                              1.55,,,,,,,,,,,                  1544,                 -8487,,,                     49,                 -1247
2439,2013年第3季,,              3022827,,              2332378,                690449,,,                690449,,,                 55179,,                123754,,                123164,                302097,                388352,,,                 15413,,                -20895,,                  1529,,                  8936,                  1925,                390277,,                 74116,                316161,                316161,,,,,,,,,,,,,,,                -41937,                274224,,                315848,                    313,,                273968,                    256,,                              1.71,,                              1.71,,,,,,,,,,,                -34786,                -13164,,,                              0,                 -6013
2439,2013年第2季,,              2226549,,              1848371,                378178,,,                378178,,,                 47366,,                103589,,                117837,                268792,                109386,,,                 15582,,                -16511,,                  1768,,                  3175,                    478,                109864,,                 19477,                 90387,                 90387,,,,,,,,,,,,,,,                 47957,                138344,,                 95219,                 -4832,,                143154,                 -4810,,                              0.52,,                              0.51,,,,,,,,,,,                 47459,                  8641,,,                              0,                  8143
2439,2013年度,,             11258248,,              8773722,              2484526,                              0,                              0,              2484526,,,                204653,,                490576,,                481402,              1176631,              1307895,,,                 52950,,                -80512,,                  5797,,                  1559,                -31800,              1276095,,                244949,              1031146,              1031146,,,,,,,,,,,,,,,                176315,              1207461,,              1030857,                    289,,              1207025,                    436,,                              5.86,,                              5.84,,,,,,,,,,,                172358,                 39969,                 -9543,,                  1696,                 28165
2439,2013年07月01日至2013年09月30日,,              3022827,,              2332378,                690449,,,                690449,,,                 55179,,                123754,,                123164,                302097,                388352,,,                 15413,,                -20895,,                  1529,,                  8936,                  1925,                390277,,                 74116,                316161,                316161,,,,,,,,,,,,,,,                -41937,                274224,,                315847,                    314,,                273967,                    257,,                              1.79,,                              1.79,,,,,,,,,,,                -34786,                -13164,,,                              0,                 -6013
2439,2013年04月01日至2013年06月30日,,              2226549,,              1848371,                378178,,,                378178,,,                 47366,,                103589,,                117837,                268792,                109386,,,                 15582,,                -16511,,                  1768,,                  3175,                    478,                109864,,                 19477,                 90387,                 90387,,,,,,,,,,,,,,,                 47957,                138344,,                 95219,                 -4832,,                143154,                 -4810,,                              0.54,,                              0.54,,,,,,,,,,,                 47459,                  8641,,,                              0,                  8143
2439,2013年01月01日至2013年12月31日,,             11258248,,              8773722,              2484526,                              0,                              0,              2484526,,,                204653,,                490576,,                481402,              1176631,              1307895,,,                 52950,,                -80512,,                  5797,,                  1559,                -31800,              1276095,,                244949,              1031146,              1031146,,,,,,,,,,,,,,,                176315,              1207461,,              1030857,                    289,,              1207025,                    436,,                              5.86,,                              5.84,,,,,,,,,,,                172358,                 39969,                 -9543,,                  1696,                 28165
2439,2013年01月01日至2013年09月30日,,              7527397,,              5966555,              1560842,,,              1560842,,,                144474,,                338692,,                346181,                829347,                731495,,,                 39935,,                -60369,,                  4043,,                  9216,                -15261,                716234,,                144122,                572112,                572112,,,,,,,,,,,,,,,                142148,                714260,,                577242,                 -5130,,                719289,                 -5029,,                              3.12,,                              3.12,,,,,,,,,,,                121762,                 37698,,,                  3522,                 20834
2439,2013年01月01日至2013年06月30日,,              4504570,,              3634177,                870393,,,                870393,,,                 89295,,                214938,,                223017,                527250,                343143,,,                 24522,,                -39474,,                  2514,,                    280,                -17186,                325957,,                 70006,                255951,                255951,,,,,,,,,,,,,,,                184085,                440036,,                261395,                 -5444,,                445322,                 -5286,,                              1.42,,                              1.41,,,,,,,,,,,                156548,                 50862,,,                  3522,                 26847
2439,2013年01月01日至2013年03月31日,,              2278021,,              1785806,                492215,,,                492215,,,                 41929,,                111349,,                105180,                258458,                233757,,,                  8940,,                -22963,,                    746,,                 -2895,                -17664,                216093,,                 50529,                165564,                165564,,,,,,,,,,,,,,,                136128,                301692,,                166176,                   -612,,                302168,                   -476,,                              0.94,,                              0.94,,,,,,,,,,,                109089,                 42221,,,                  3522,                 18704
2439,2012年07月01日至2012年09月30日,,              1693460,,              1391306,                302154,,,                302154,,,                 38993,,                107475,,                118861,                265329,                 36825,,,                  9023,,                -83501,,                  1683,,                 -1077,                -77238,                -40413,,                 -7799,                -32614,                -32614,,,,,,,,,,,,,,,                -39411,                -72025,,                -39797,                  7183,,                -79330,                  7305,,                             -0.23,,                             -0.23,,,,,,,,,,,                -56258,                  7920,,,                              0,                 -8927
2439,2012年04月01日至2012年06月30日,,              1814104,,              1489181,                324923,,,                324923,,,                 35072,,                114101,,                106015,                255188,                 69735,,,                 10408,,                 94200,,                  4172,,                  4113,                104549,                174284,,                 24006,                150278,                150278,,,,,,,,,,,,,,,                 19398,                169676,,                149457,                    821,,                168848,                    828,,                              0.85,,                              0.85,,,,,,,,,,,                 26775,                 -1999,,,                              0,                  5378
2439,2012年01月01日至2012年12月31日,,              7690029,,              6230307,              1459722,                              0,                              0,              1459722,,,                151529,,                435510,,                437820,              1024859,                434863,,,                 52387,,                111607,,                 10313,,                   -270,                153411,                588274,,                109480,                478794,                478794,,,,,,,,,,,,,,,               -140084,                338710,,                482083,                 -3289,,                342580,                 -3870,,                              2.74,,                              2.73,,,,,,,,,,,               -102299,                -41364,                -10699,,                 -4418,                -18696
2439,2012年01月01日至2012年09月30日,,              5597537,,              4609897,                987640,,,                987640,,,                109504,,                338390,,                326430,                774324,                213316,,,                 35169,,                 80724,,                  8815,,                   -769,                106309,                319625,,                 54110,                265515,                265515,,,,,,,,,,,,,,,                -69758,                195757,,                261929,                  3586,,                192245,                  3512,,                              1.49,,                              1.49,,,,,,,,,,,                -88635,                  4630,,,                    -21,                -14268
2439,2012年01月01日至2012年06月30日,,              3904077,,              3218591,                685486,,,                685486,,,                 70511,,                230915,,                207569,                508995,                176491,,,                 26146,,                164225,,                  7132,,                    308,                183547,                360038,,                 61909,                298129,                298129,,,,,,,,,,,,,,,                -30347,                267782,,                301726,                 -3597,,                271575,                 -3793,,                              1.72,,                              1.71,,,,,,,,,,,                -32377,                 -3290,,,                    -21,                 -5341
2439,2012年01月01日至2012年03月31日,,              2089973,,              1729410,                360563,,,                360563,,,                 35439,,                116814,,                101554,                253807,                106756,,,                 15738,,                 70025,,                  2960,,                 -3805,                 78998,                185754,,                 37903,                147851,                147851,,,,,,,,,,,,,,,                -49745,                 98106,,                152269,                 -4418,,                102727,                 -4621,,                              0.92,,                              0.91,,,,,,,,,,,                -59152,                 -1291,,,                    -21,                -10719
