證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 備供出售金融資產未實現評價損益
2397,2014年01月01日至2014年03月31日,,                652077,,                449807,                202270,                202270,,,                 56356,,                 29812,,                 35772,                121940,                 80330,,,                  2949,,                  7976,,                     82,                 10843,                 91173,,                 15165,                 76008,                 76008,,,                  7554,                  7554,                  7554,                 83562,,                 76008,                              0,,                 83562,                              0,,                              0.66,,                              0.66,,,,,,,,
2397,2013年第3季,,                676127,,                479074,                197053,                197053,,,                 45202,,                 32313,,                 34567,                112082,                 84971,,,                  3525,,                 -8200,,                     54,                 -4729,                 80242,,                 13300,                 66942,                 66942,,,,,                 -2513,                 64429,,                 66942,                              0,,                 64429,                              0,,                              0.58,,                              0.58,                 -2513,,,,                              0,,,
2397,2013年第2季,,                618232,,                436895,                181337,                181337,,,                 47153,,                 28150,,                 33998,                109301,                 72036,,,                  3492,,                  9804,,                     72,                 13224,                 85260,,                 14832,                 70428,                 70428,,,,,                 -3840,                 66588,,                 70428,                              0,,                 66588,                              0,,                              0.61,,                              0.61,                 -3840,,,,,                              0,                              0,
2397,2013年度,,              2311728,,              1602847,                708881,                708881,,,                189500,,                120380,,                140816,                450696,                258185,,,                 15305,,                 37593,,                    257,                 52641,                310826,,                 57479,                253347,                253347,,,,,                -18741,                234606,,                253347,                              0,,                234606,                              0,,                              2.21,,                              2.19,                -15350,                 -4085,                    694,,,,,
2397,2013年07月01日至2013年09月30日,,                676127,,                479074,                197053,                197053,,,                 45202,,                 32313,,                 34567,                112082,                 84971,,,                  3525,,                 -8200,,                     54,                 -4729,                 80242,,                 13300,                 66942,                 66942,,,,,                 -2513,                 64429,,                 66942,                              0,,                 64429,                              0,,                              0.58,,                              0.58,                 -2513,,,,,,,                              0
2397,2013年04月01日至2013年06月30日,,                618232,,                436895,                181337,                181337,,,                 47153,,                 28150,,                 33998,                109301,                 72036,,,                  3492,,                  9804,,                     72,                 13224,                 85260,,                 14832,                 70428,                 70428,,,,,                 -3840,                 66588,,                 70428,                              0,,                 66588,                              0,,                              0.61,,                              0.61,                 -3840,,,,,,,                              0
2397,2013年01月01日至2013年12月31日,,              2311728,,              1602847,                708881,                708881,,,                189500,,                120380,,                140816,                450696,                258185,,,                 15305,,                 37593,,                    257,                 52641,                310826,,                 57479,                253347,                253347,,,,,                -18741,                234606,,                253347,,,                234606,,,                              2.21,,                              2.19,                -15350,                 -4085,                    694,,,,,                              0
2397,2013年01月01日至2013年09月30日,,              1773792,,              1246713,                527079,                527079,,,                138603,,                 85779,,                102025,                326407,                200672,,,                  8893,,                 25943,,                    180,                 34656,                235328,,                 40918,                194410,                194410,,,,,                -10871,                183539,,                194410,                              0,,                183539,                              0,,                              1.69,,                              1.68,                -10871,,,,                              0,,,
2397,2013年01月01日至2013年06月30日,,              1097665,,                767639,                330026,                330026,,,                 93401,,                 53466,,                 67458,                214325,                115701,,,                  5368,,                 34143,,                    126,                 39385,                155086,,                 27618,                127468,                127468,,,,,                 -8358,                119110,,                127468,                              0,,                119110,                              0,,                              1.11,,                              1.10,                 -8358,,,,,                              0,                              0,
2397,2013年01月01日至2013年03月31日,,                479433,,                330744,                148689,                148689,,,                 46248,,                 25316,,                 33460,                105024,                 43665,,,                  1876,,                 24339,,                     54,                 26161,                 69826,,                 12786,                 57040,                 57040,,,,,                 -4518,                 52522,,                 57040,                              0,,                 52522,                              0,,                              0.50,,                              0.49,                 -4518,,,,,,,
2397,2012年07月01日至2012年09月30日,,                535739,,                365804,                169935,                169935,,,                 50487,,                 27275,,                 29086,                106848,                 63087,,,                 13154,,                 -3195,,                     70,                  9889,                 72976,,                 12850,                 60126,                 60126,,,,,                 -4196,                 55930,,                 60126,                              0,,                 55930,                              0,,                              0.52,,                              0.52,                 -2010,,,,,,,                 -2186
2397,2012年04月01日至2012年06月30日,,                470248,,                318351,                151897,                151897,,,                 52401,,                 25346,,                 27319,                105066,                 46831,,,                  5627,,                 11230,,                     53,                 16804,                 63635,,                 20055,                 43580,                 43580,,,,,                  8726,                 52306,,                 43580,                              0,,                 52306,                              0,,                              0.38,,                              0.38,                  8259,,,,,,,                    467
2397,2012年01月01日至2012年12月31日,,              1936864,,              1279512,                657352,                657352,,,                206269,,                102224,,                117486,                425979,                231373,,,                 28205,,                 12871,,                    256,                 40820,                272193,,                 63685,                208508,                208508,,,,,                -36250,                172258,,                208508,,,                172258,,,                              1.82,,                              1.79,                -29926,                 -5884,                  1000,,,,,                 -1440
2397,2012年01月01日至2012年09月30日,,              1428822,,                953428,                475394,                475394,,,                153592,,                 76578,,                 83938,                314108,                161286,,,                 23576,,                 10473,,                    197,                 33852,                195138,,                 44820,                150318,                150318,,,,,                -11025,                139293,,                150318,                              0,,                139293,                              0,,                              1.31,,                              1.29,                 -9585,,,,,,,                 -1440
2397,2012年01月01日至2012年06月30日,,                893083,,                587624,                305459,                305459,,,                103105,,                 49303,,                 54852,                207260,                 98199,,,                 10422,,                 13668,,                    127,                 23963,                122162,,                 31970,                 90192,                 90192,,,,,                 -6829,                 83363,,                 90192,                              0,,                 83363,                              0,,                              0.79,,                              0.78,                 -7575,,,,,,,                    746
2397,2012年01月01日至2012年03月31日,,                422835,,                269273,                153562,                153562,,,                 50704,,                 23957,,                 27533,                102194,                 51368,,,                  4795,,                  2438,,                     74,                  7159,                 58527,,                 11915,                 46612,                 46612,,,,,                -15555,                 31057,,                 46612,                              0,,                 31057,                              0,,                              0.41,,                              0.40,                -15834,,,,,                              0,                              0,                    279
